cdc_id,customer_id,effective_ts,operation,new_segment,new_credit_class,new_autopay_flag,change_reason,_ingested_at_utc,_source_file,_source_system
CCDC0000024,CUST00001468,2026-04-01 20:26:09,UPDATE,Enterprise,C,N,segment_change,2026-09-11T04:28:53.773949+00:00,data/raw/cdc/customer_cdc.csv,customer_cdc
CCDC0000025,CUST00001083,2026-02-03 05:58:10,UPDATE,Government,D,Y,credit_review,2026-09-11T04:28:53.773949+00:00,data/raw/cdc/customer_cdc.csv,customer_cdc
CCDC0000026,CUST00002418,2026-02-16 07:15:01,UPDATE,Consumer,C,Y,annual_review,2026-09-11T04:28:53.773949+00:00,data/raw/cdc/customer_cdc.csv,customer_cdc
CCDC0000027,CUST00002002,2026-03-20 14:51:02,UPDATE,Consumer,B,N,annual_review,2026-09-11T04:28:53.773949+00:00,data/raw/cdc/customer_cdc.csv,customer_cdc
CCDC0000028,CUST00003396,2026-03-07 10:29:22,UPDATE,Small Business,A,Y,annual_review,2026-09-11T04:28:53.773949+00:00,data/raw/cdc/customer_cdc.csv,customer_cdc
CCDC0000029,CUST00000957,2026-02-19 01:47:07,UPDATE,Enterprise,D,N,credit_review,2026-09-11T04:28:53.773949+00:00,data/raw/cdc/customer_cdc.csv,customer_cdc
CCDC0000030,CUST00002054,2026-04-13 20:09:08,UPDATE,Consumer,A,N,segment_change,2026-09-11T04:28:53.773949+00:00,data/raw/cdc/customer_cdc.csv,customer_cdc
CCDC0000031,CUST00001814,2026-02-21 17:30:29,UPDATE,Consumer,D,N,annual_review,2026-09-11T04:28:53.773949+00:00,data/raw/cdc/customer_cdc.csv,customer_cdc
CCDC0000032,CUST00004237,2026-04-17 16:14:47,UPDATE,Small Business,D,N,segment_change,2026-09-11T04:28:53.773949+00:00,data/raw/cdc/customer_cdc.csv,customer_cdc
CCDC0000033,CUST00004054,2026-05-08 19:12:53,UPDATE,Enterprise,A,N,customer_request,2026-09-11T04:28:53.773949+00:00,data/raw/cdc/customer_cdc.csv,customer_cdc
CCDC0000034,CUST00003811,2026-04-21 06:40:07,UPDATE,Government,C,N,customer_request,2026-09-11T04:28:53.773949+00:00,data/raw/cdc/customer_cdc.csv,customer_cdc
CCDC0000035,CUST00000288,2026-04-22 13:02:43,UPDATE,Small Business,B,N,customer_request,2026-09-11T04:28:53.773949+00:00,data/raw/cdc/customer_cdc.csv,customer_cdc
CCDC0000036,CUST00003931,2026-04-24 03:00:02,UPDATE,Enterprise,B,N,annual_review,2026-09-11T04:28:53.773949+00:00,data/raw/cdc/customer_cdc.csv,customer_cdc
CCDC0000037,CUST00001628,2026-03-31 14:58:40,UPDATE,Small Business,C,N,annual_review,2026-09-11T04:28:53.773949+00:00,data/raw/cdc/customer_cdc.csv,customer_cdc
CCDC0000038,CUST00001723,2026-04-08 07:52:20,UPDATE,Government,C,N,credit_review,2026-09-11T04:28:53.773949+00:00,data/raw/cdc/customer_cdc.csv,customer_cdc
CCDC0000039,CUST00000851,2026-04-12 20:41:31,UPDATE,Government,B,Y,segment_change,2026-09-11T04:28:53.773949+00:00,data/raw/cdc/customer_cdc.csv,customer_cdc
CCDC0000040,CUST00000844,2026-03-23 14:31:34,UPDATE,Enterprise,A,Y,credit_review,2026-09-11T04:28:53.773949+00:00,data/raw/cdc/customer_cdc.csv,customer_cdc
CCDC0000041,CUST00001774,2026-03-09 17:33:38,UPDATE,Consumer,C,Y,annual_review,2026-09-11T04:28:53.773949+00:00,data/raw/cdc/customer_cdc.csv,customer_cdc
CCDC0000042,CUST00003825,2026-04-27 05:46:44,UPDATE,Government,B,N,credit_review,2026-09-11T04:28:53.773949+00:00,data/raw/cdc/customer_cdc.csv,customer_cdc
CCDC0000043,CUST00000855,2026-02-02 19:01:21,UPDATE,Consumer,D,Y,annual_review,2026-09-11T04:28:53.773949+00:00,data/raw/cdc/customer_cdc.csv,customer_cdc
CCDC0000044,CUST00002878,2026-03-25 05:53:47,UPDATE,Consumer,B,Y,segment_change,2026-09-11T04:28:53.773949+00:00,data/raw/cdc/customer_cdc.csv,customer_cdc
CCDC0000045,CUST00002221,2026-04-06 00:18:50,UPDATE,Enterprise,A,Y,credit_review,2026-09-11T04:28:53.773949+00:00,data/raw/cdc/customer_cdc.csv,customer_cdc
CCDC0000046,CUST00000793,2026-04-09 11:12:55,UPDATE,Small Business,B,N,credit_review,2026-09-11T04:28:53.773949+00:00,data/raw/cdc/customer_cdc.csv,customer_cdc
CCDC0000047,CUST00003913,2026-04-26 19:40:54,UPDATE,Small Business,B,Y,customer_request,2026-09-11T04:28:53.773949+00:00,data/raw/cdc/customer_cdc.csv,customer_cdc
CCDC0000048,CUST00000912,2026-04-12 04:20:13,UPDATE,Government,A,Y,annual_review,2026-09-11T04:28:53.773949+00:00,data/raw/cdc/customer_cdc.csv,customer_cdc
CCDC0000049,CUST00001802,2026-04-18 23:15:47,UPDATE,Enterprise,B,Y,credit_review,2026-09-11T04:28:53.773949+00:00,data/raw/cdc/customer_cdc.csv,customer_cdc
CCDC0000050,CUST00000392,2026-03-11 13:51:27,UPDATE,Small Business,D,Y,customer_request,2026-09-11T04:28:53.773949+00:00,data/raw/cdc/customer_cdc.csv,customer_cdc
CCDC0000051,CUST00000724,2026-02-16 03:53:32,UPDATE,Small Business,D,N,annual_review,2026-09-11T04:28:53.773949+00:00,data/raw/cdc/customer_cdc.csv,customer_cdc
CCDC0000052,CUST00000062,2026-02-18 06:25:32,UPDATE,Small Business,C,N,credit_review,2026-09-11T04:28:53.773949+00:00,data/raw/cdc/customer_cdc.csv,customer_cdc
CCDC0000053,CUST00002590,2026-04-26 12:20:12,UPDATE,Enterprise,D,N,annual_review,2026-09-11T04:28:53.773949+00:00,data/raw/cdc/customer_cdc.csv,customer_cdc
CCDC0000054,CUST00001334,2026-05-09 11:55:35,UPDATE,Consumer,A,Y,credit_review,2026-09-11T04:28:53.773949+00:00,data/raw/cdc/customer_cdc.csv,customer_cdc
CCDC0000055,CUST00002078,2026-02-04 07:30:23,UPDATE,Enterprise,A,N,segment_change,2026-09-11T04:28:53.773949+00:00,data/raw/cdc/customer_cdc.csv,customer_cdc
CCDC0000056,CUST00003069,2026-03-16 14:50:40,UPDATE,Consumer,C,Y,customer_request,2026-09-11T04:28:53.773949+00:00,data/raw/cdc/customer_cdc.csv,customer_cdc
CCDC0000057,CUST00001552,2026-02-04 15:14:22,UPDATE,Small Business,D,Y,credit_review,2026-09-11T04:28:53.773949+00:00,data/raw/cdc/customer_cdc.csv,customer_cdc
CCDC0000058,CUST00000680,2026-04-19 02:51:48,UPDATE,Small Business,D,Y,annual_review,2026-09-11T04:28:53.773949+00:00,data/raw/cdc/customer_cdc.csv,customer_cdc
CCDC0000059,CUST00000787,2026-04-18 05:49:37,UPDATE,Government,B,N,segment_change,2026-09-11T04:28:53.773949+00:00,data/raw/cdc/customer_cdc.csv,customer_cdc
CCDC0000060,CUST00004413,2026-05-22 00:16:45,UPDATE,Consumer,B,N,annual_review,2026-09-11T04:28:53.773949+00:00,data/raw/cdc/customer_cdc.csv,customer_cdc
CCDC0000061,CUST00001608,2026-02-02 15:09:00,UPDATE,Consumer,B,N,customer_request,2026-09-11T04:28:53.773949+00:00,data/raw/cdc/customer_cdc.csv,customer_cdc
CCDC0000062,CUST00002361,2026-02-22 13:39:33,UPDATE,Consumer,A,Y,customer_request,2026-09-11T04:28:53.773949+00:00,data/raw/cdc/customer_cdc.csv,customer_cdc
CCDC0000063,CUST00000350,2026-04-18 22:10:17,UPDATE,Government,C,Y,annual_review,2026-09-11T04:28:53.773949+00:00,data/raw/cdc/customer_cdc.csv,customer_cdc
CCDC0000064,CUST00000831,2026-02-08 03:52:11,UPDATE,Enterprise,B,N,annual_review,2026-09-11T04:28:53.773949+00:00,data/raw/cdc/customer_cdc.csv,customer_cdc
CCDC0000065,CUST00003830,2026-02-19 14:37:16,UPDATE,Government,C,Y,customer_request,2026-09-11T04:28:53.773949+00:00,data/raw/cdc/customer_cdc.csv,customer_cdc
CCDC0000066,CUST00002636,2026-03-25 04:35:40,UPDATE,Small Business,B,Y,segment_change,2026-09-11T04:28:53.773949+00:00,data/raw/cdc/customer_cdc.csv,customer_cdc
CCDC0000067,CUST00004473,2026-03-15 10:59:00,UPDATE,Government,D,Y,customer_request,2026-09-11T04:28:53.773949+00:00,data/raw/cdc/customer_cdc.csv,customer_cdc
CCDC0000068,CUST00000340,2026-03-09 22:01:36,UPDATE,Consumer,D,N,annual_review,2026-09-11T04:28:53.773949+00:00,data/raw/cdc/customer_cdc.csv,customer_cdc
CCDC0000069,CUST00002814,2026-04-26 19:36:48,UPDATE,Enterprise,D,N,annual_review,2026-09-11T04:28:53.773949+00:00,data/raw/cdc/customer_cdc.csv,customer_cdc
CCDC0000070,CUST00000750,2026-03-06 00:16:49,UPDATE,Enterprise,A,Y,credit_review,2026-09-11T04:28:53.773949+00:00,data/raw/cdc/customer_cdc.csv,customer_cdc
CCDC0000071,CUST00002703,2026-04-01 20:44:42,UPDATE,Enterprise,A,N,annual_review,2026-09-11T04:28:53.773949+00:00,data/raw/cdc/customer_cdc.csv,customer_cdc
CCDC0000072,CUST00003102,2026-02-04 07:49:25,UPDATE,Consumer,B,N,segment_change,2026-09-11T04:28:53.773949+00:00,data/raw/cdc/customer_cdc.csv,customer_cdc
CCDC0000073,CUST00003214,2026-05-21 16:11:40,UPDATE,Government,C,Y,annual_review,2026-09-11T04:28:53.773949+00:00,data/raw/cdc/customer_cdc.csv,customer_cdc
CCDC0000074,CUST00002839,2026-03-29 11:42:35,UPDATE,Enterprise,B,N,customer_request,2026-09-11T04:28:53.773949+00:00,data/raw/cdc/customer_cdc.csv,customer_cdc
CCDC0000075,CUST00003842,2026-02-01 03:26:22,UPDATE,Small Business,C,N,segment_change,2026-09-11T04:28:53.773949+00:00,data/raw/cdc/customer_cdc.csv,customer_cdc
CCDC0000076,CUST00004293,2026-05-23 04:28:18,UPDATE,Consumer,D,Y,annual_review,2026-09-11T04:28:53.773949+00:00,data/raw/cdc/customer_cdc.csv,customer_cdc
CCDC0000077,CUST00000869,2026-03-25 09:38:09,UPDATE,Government,D,Y,segment_change,2026-09-11T04:28:53.773949+00:00,data/raw/cdc/customer_cdc.csv,customer_cdc
CCDC0000078,CUST00000940,2026-05-06 15:52:12,UPDATE,Enterprise,B,N,annual_review,2026-09-11T04:28:53.773949+00:00,data/raw/cdc/customer_cdc.csv,customer_cdc
CCDC0000079,CUST00003260,2026-05-07 08:13:46,UPDATE,Consumer,D,N,annual_review,2026-09-11T04:28:53.773949+00:00,data/raw/cdc/customer_cdc.csv,customer_cdc
CCDC0000080,CUST00002311,2026-04-01 04:39:58,UPDATE,Consumer,D,Y,segment_change,2026-09-11T04:28:53.773949+00:00,data/raw/cdc/customer_cdc.csv,customer_cdc
CCDC0000081,CUST00004132,2026-03-11 00:42:36,UPDATE,Consumer,B,Y,annual_review,2026-09-11T04:28:53.773949+00:00,data/raw/cdc/customer_cdc.csv,customer_cdc
CCDC0000082,CUST00003558,2026-03-12 14:15:16,UPDATE,Government,C,N,customer_request,2026-09-11T04:28:53.773949+00:00,data/raw/cdc/customer_cdc.csv,customer_cdc
CCDC0000083,CUST00001082,2026-03-20 08:07:48,UPDATE,Consumer,A,Y,customer_request,2026-09-11T04:28:53.773949+00:00,data/raw/cdc/customer_cdc.csv,customer_cdc
CCDC0000084,CUST00000395,2026-04-07 22:37:31,UPDATE,Government,B,Y,annual_review,2026-09-11T04:28:53.773949+00:00,data/raw/cdc/customer_cdc.csv,customer_cdc
CCDC0000085,CUST00000682,2026-05-04 09:05:24,UPDATE,Consumer,D,N,segment_change,2026-09-11T04:28:53.773949+00:00,data/raw/cdc/customer_cdc.csv,customer_cdc
CCDC0000086,CUST00000422,2026-03-12 06:48:57,UPDATE,Enterprise,B,N,credit_review,2026-09-11T04:28:53.773949+00:00,data/raw/cdc/customer_cdc.csv,customer_cdc
CCDC0000087,CUST00003365,2026-04-07 02:04:41,UPDATE,Consumer,C,N,segment_change,2026-09-11T04:28:53.773949+00:00,data/raw/cdc/customer_cdc.csv,customer_cdc
CCDC0000088,CUST00000609,2026-04-01 13:07:11,UPDATE,Consumer,A,N,segment_change,2026-09-11T04:28:53.773949+00:00,data/raw/cdc/customer_cdc.csv,customer_cdc
CCDC0000089,CUST00000478,2026-05-09 19:22:06,UPDATE,Enterprise,B,Y,annual_review,2026-09-11T04:28:53.773949+00:00,data/raw/cdc/customer_cdc.csv,customer_cdc
CCDC0000090,CUST00002531,2026-02-14 06:55:20,UPDATE,Consumer,D,N,annual_review,2026-09-11T04:28:53.773949+00:00,data/raw/cdc/customer_cdc.csv,customer_cdc
CCDC0000091,CUST00000272,2026-02-05 00:34:59,UPDATE,Small Business,B,N,credit_review,2026-09-11T04:28:53.773949+00:00,data/raw/cdc/customer_cdc.csv,customer_cdc
CCDC0000092,CUST00000543,2026-03-14 04:56:13,UPDATE,Consumer,A,Y,annual_review,2026-09-11T04:28:53.773949+00:00,data/raw/cdc/customer_cdc.csv,customer_cdc
CCDC0000093,CUST00001058,2026-04-23 12:21:50,UPDATE,Government,C,Y,annual_review,2026-09-11T04:28:53.773949+00:00,data/raw/cdc/customer_cdc.csv,customer_cdc
CCDC0000094,CUST00003394,2026-02-21 06:51:04,UPDATE,Small Business,D,N,annual_review,2026-09-11T04:28:53.773949+00:00,data/raw/cdc/customer_cdc.csv,customer_cdc
CCDC0000095,CUST00001199,2026-02-07 03:35:25,UPDATE,Small Business,B,Y,credit_review,2026-09-11T04:28:53.773949+00:00,data/raw/cdc/customer_cdc.csv,customer_cdc
CCDC0000096,CUST00004090,2026-05-01 14:30:56,UPDATE,Enterprise,C,Y,annual_review,2026-09-11T04:28:53.773949+00:00,data/raw/cdc/customer_cdc.csv,customer_cdc
CCDC0000097,CUST00000389,2026-02-23 07:04:08,UPDATE,Consumer,C,Y,annual_review,2026-09-11T04:28:53.773949+00:00,data/raw/cdc/customer_cdc.csv,customer_cdc
CCDC0000098,CUST00001105,2026-05-24 19:51:19,UPDATE,Small Business,B,N,credit_review,2026-09-11T04:28:53.773949+00:00,data/raw/cdc/customer_cdc.csv,customer_cdc
CCDC0000099,CUST00003533,2026-04-27 21:30:14,UPDATE,Consumer,D,N,credit_review,2026-09-11T04:28:53.773949+00:00,data/raw/cdc/customer_cdc.csv,customer_cdc
CCDC0000100,CUST00002610,2026-04-29 21:55:12,UPDATE,Enterprise,D,N,annual_review,2026-09-11T04:28:53.773949+00:00,data/raw/cdc/customer_cdc.csv,customer_cdc
CCDC0000101,CUST00002656,2026-05-27 23:11:58,UPDATE,Enterprise,A,Y,customer_request,2026-09-11T04:28:53.773949+00:00,data/raw/cdc/customer_cdc.csv,customer_cdc
CCDC0000102,CUST00001037,2026-02-12 11:28:31,UPDATE,Government,A,Y,customer_request,2026-09-11T04:28:53.773949+00:00,data/raw/cdc/customer_cdc.csv,customer_cdc
CCDC0000103,CUST00000520,2026-04-05 10:36:52,UPDATE,Small Business,B,Y,annual_review,2026-09-11T04:28:53.773949+00:00,data/raw/cdc/customer_cdc.csv,customer_cdc
CCDC0000104,CUST00003542,2026-02-16 19:01:36,UPDATE,Small Business,D,Y,annual_review,2026-09-11T04:28:53.773949+00:00,data/raw/cdc/customer_cdc.csv,customer_cdc
CCDC0000105,CUST00000072,2026-02-10 14:54:51,UPDATE,Government,C,Y,segment_change,2026-09-11T04:28:53.773949+00:00,data/raw/cdc/customer_cdc.csv,customer_cdc
CCDC0000106,CUST00002510,2026-03-07 03:37:14,UPDATE,Small Business,C,N,segment_change,2026-09-11T04:28:53.773949+00:00,data/raw/cdc/customer_cdc.csv,customer_cdc
CCDC0000107,CUST00000618,2026-04-28 09:18:40,UPDATE,Small Business,C,Y,customer_request,2026-09-11T04:28:53.773949+00:00,data/raw/cdc/customer_cdc.csv,customer_cdc
CCDC0000108,CUST00002774,2026-04-30 13:43:22,UPDATE,Small Business,D,Y,credit_review,2026-09-11T04:28:53.773949+00:00,data/raw/cdc/customer_cdc.csv,customer_cdc
CCDC0000109,CUST00000921,2026-05-21 13:21:33,UPDATE,Small Business,A,N,credit_review,2026-09-11T04:28:53.773949+00:00,data/raw/cdc/customer_cdc.csv,customer_cdc
CCDC0000110,CUST00000211,2026-05-01 18:16:02,UPDATE,Consumer,B,Y,annual_review,2026-09-11T04:28:53.773949+00:00,data/raw/cdc/customer_cdc.csv,customer_cdc
CCDC0000111,CUST00000506,2026-05-10 03:18:46,UPDATE,Consumer,B,N,customer_request,2026-09-11T04:28:53.773949+00:00,data/raw/cdc/customer_cdc.csv,customer_cdc
CCDC0000112,CUST00001718,2026-04-18 06:21:57,UPDATE,Small Business,C,N,annual_review,2026-09-11T04:28:53.773949+00:00,data/raw/cdc/customer_cdc.csv,customer_cdc
CCDC0000113,CUST00003622,2026-02-25 11:44:45,UPDATE,Small Business,B,Y,customer_request,2026-09-11T04:28:53.773949+00:00,data/raw/cdc/customer_cdc.csv,customer_cdc
CCDC0000114,CUST00003441,2026-04-21 13:47:39,UPDATE,Enterprise,A,Y,annual_review,2026-09-11T04:28:53.773949+00:00,data/raw/cdc/customer_cdc.csv,customer_cdc
CCDC0000115,CUST00004439,2026-04-29 13:53:24,UPDATE,Enterprise,D,Y,customer_request,2026-09-11T04:28:53.773949+00:00,data/raw/cdc/customer_cdc.csv,customer_cdc
CCDC0000116,CUST00003024,2026-04-23 13:32:59,UPDATE,Government,D,Y,annual_review,2026-09-11T04:28:53.773949+00:00,data/raw/cdc/customer_cdc.csv,customer_cdc
CCDC0000117,CUST00002784,2026-05-08 04:23:06,UPDATE,Government,C,N,annual_review,2026-09-11T04:28:53.773949+00:00,data/raw/cdc/customer_cdc.csv,customer_cdc
CCDC0000118,CUST00000493,2026-02-03 19:22:52,UPDATE,Government,B,Y,customer_request,2026-09-11T04:28:53.773949+00:00,data/raw/cdc/customer_cdc.csv,customer_cdc
CCDC0000119,CUST00000629,2026-02-10 22:12:30,UPDATE,Enterprise,B,N,credit_review,2026-09-11T04:28:53.773949+00:00,data/raw/cdc/customer_cdc.csv,customer_cdc
CCDC0000120,CUST00003330,2026-03-07 21:31:14,UPDATE,Enterprise,C,Y,annual_review,2026-09-11T04:28:53.773949+00:00,data/raw/cdc/customer_cdc.csv,customer_cdc
CCDC0000121,CUST00003247,2026-03-28 02:46:08,UPDATE,Government,D,N,customer_request,2026-09-11T04:28:53.773949+00:00,data/raw/cdc/customer_cdc.csv,customer_cdc
CCDC0000122,CUST00003763,2026-02-18 11:29:03,UPDATE,Consumer,B,N,customer_request,2026-09-11T04:28:53.773949+00:00,data/raw/cdc/customer_cdc.csv,customer_cdc
CCDC0000123,CUST00001782,2026-05-13 00:59:02,UPDATE,Government,D,Y,annual_review,2026-09-11T04:28:53.773949+00:00,data/raw/cdc/customer_cdc.csv,customer_cdc
CCDC0000124,CUST00003409,2026-02-01 10:30:23,UPDATE,Government,B,N,segment_change,2026-09-11T04:28:53.773949+00:00,data/raw/cdc/customer_cdc.csv,customer_cdc
CCDC0000125,CUST00003413,2026-03-13 07:31:08,UPDATE,Consumer,D,N,segment_change,2026-09-11T04:28:53.773949+00:00,data/raw/cdc/customer_cdc.csv,customer_cdc
CCDC0000126,CUST00001495,2026-02-16 14:47:19,UPDATE,Government,C,N,credit_review,2026-09-11T04:28:53.773949+00:00,data/raw/cdc/customer_cdc.csv,customer_cdc
CCDC0000127,CUST00003432,2026-05-25 13:33:09,UPDATE,Consumer,A,N,segment_change,2026-09-11T04:28:53.773949+00:00,data/raw/cdc/customer_cdc.csv,customer_cdc
CCDC0000128,CUST00000859,2026-05-10 11:57:22,UPDATE,Government,D,N,annual_review,2026-09-11T04:28:53.773949+00:00,data/raw/cdc/customer_cdc.csv,customer_cdc
CCDC0000129,CUST00004369,2026-04-08 16:18:12,UPDATE,Government,A,N,annual_review,2026-09-11T04:28:53.773949+00:00,data/raw/cdc/customer_cdc.csv,customer_cdc
CCDC0000130,CUST00004440,2026-03-07 01:53:55,UPDATE,Small Business,B,N,customer_request,2026-09-11T04:28:53.773949+00:00,data/raw/cdc/customer_cdc.csv,customer_cdc
CCDC0000131,CUST00001208,2026-02-27 01:44:12,UPDATE,Small Business,A,Y,customer_request,2026-09-11T04:28:53.773949+00:00,data/raw/cdc/customer_cdc.csv,customer_cdc
CCDC0000132,CUST00000218,2026-03-29 02:50:12,UPDATE,Small Business,B,N,annual_review,2026-09-11T04:28:53.773949+00:00,data/raw/cdc/customer_cdc.csv,customer_cdc
CCDC0000133,CUST00001739,2026-04-26 07:18:50,UPDATE,Government,D,N,segment_change,2026-09-11T04:28:53.773949+00:00,data/raw/cdc/customer_cdc.csv,customer_cdc
CCDC0000134,CUST00003143,2026-02-01 19:57:20,UPDATE,Government,B,N,annual_review,2026-09-11T04:28:53.773949+00:00,data/raw/cdc/customer_cdc.csv,customer_cdc
CCDC0000135,CUST00000961,2026-04-15 16:54:51,UPDATE,Enterprise,C,N,credit_review,2026-09-11T04:28:53.773949+00:00,data/raw/cdc/customer_cdc.csv,customer_cdc
CCDC0000136,CUST00001524,2026-02-17 18:40:54,UPDATE,Consumer,B,N,customer_request,2026-09-11T04:28:53.773949+00:00,data/raw/cdc/customer_cdc.csv,customer_cdc
CCDC0000137,CUST00001724,2026-03-25 02:48:53,UPDATE,Enterprise,A,Y,annual_review,2026-09-11T04:28:53.773949+00:00,data/raw/cdc/customer_cdc.csv,customer_cdc
CCDC0000138,CUST00000341,2026-03-28 08:44:17,UPDATE,Consumer,C,Y,annual_review,2026-09-11T04:28:53.773949+00:00,data/raw/cdc/customer_cdc.csv,customer_cdc
CCDC0000139,CUST00001837,2026-05-04 22:36:35,UPDATE,Small Business,D,Y,annual_review,2026-09-11T04:28:53.773949+00:00,data/raw/cdc/customer_cdc.csv,customer_cdc
CCDC0000140,CUST00002347,2026-02-16 02:29:35,UPDATE,Small Business,C,Y,annual_review,2026-09-11T04:28:53.773949+00:00,data/raw/cdc/customer_cdc.csv,customer_cdc
CCDC0000141,CUST00001503,2026-05-10 07:39:56,UPDATE,Enterprise,C,N,annual_review,2026-09-11T04:28:53.773949+00:00,data/raw/cdc/customer_cdc.csv,customer_cdc
CCDC0000142,CUST00003000,2026-04-17 11:36:39,UPDATE,Consumer,A,Y,customer_request,2026-09-11T04:28:53.773949+00:00,data/raw/cdc/customer_cdc.csv,customer_cdc
CCDC0000143,CUST00001863,2026-02-08 03:49:42,UPDATE,Consumer,D,N,credit_review,2026-09-11T04:28:53.773949+00:00,data/raw/cdc/customer_cdc.csv,customer_cdc
CCDC0000144,CUST00000515,2026-02-20 12:26:29,UPDATE,Consumer,A,N,annual_review,2026-09-11T04:28:53.773949+00:00,data/raw/cdc/customer_cdc.csv,customer_cdc
CCDC0000145,CUST00000087,2026-03-31 14:54:26,UPDATE,Enterprise,A,N,customer_request,2026-09-11T04:28:53.773949+00:00,data/raw/cdc/customer_cdc.csv,customer_cdc
CCDC0000146,CUST00000073,2026-05-20 18:25:40,UPDATE,Government,A,N,credit_review,2026-09-11T04:28:53.773949+00:00,data/raw/cdc/customer_cdc.csv,customer_cdc
CCDC0000147,CUST00000182,2026-04-09 04:59:24,UPDATE,Enterprise,B,Y,annual_review,2026-09-11T04:28:53.773949+00:00,data/raw/cdc/customer_cdc.csv,customer_cdc
