return_id,order_id,order_line_id,product_id,return_date,return_reason,return_qty,refund_amount,return_status,_bronze_loaded_at_utc,_source_file
RET00000014,SO00000430,SOL0000001306,SKU0000450,2026-06-19,Quality Issue,bad,187.52,Requested,2026-06-20T05:01:24.647073+00:00,data/raw/transactions/returns.csv
RET00000015,SO00000146,SOL0000000455,SKU0000575,2026-07-18,Wrong Item,5,448.24,Approved,2026-06-20T05:01:24.647073+00:00,data/raw/transactions/returns.csv
RET00000016,SO00002495,SOL0000007467,SKU0000611,2026-06-14,Customer Cancelled,5,438.09,Requested,2026-06-20T05:01:24.647073+00:00,data/raw/transactions/returns.csv
RET00000017,SO00001352,SOL0000004133,SKU0000555,2026-05-27,Wrong Item,2,218.20,Received,2026-06-20T05:01:24.647073+00:00,data/raw/transactions/returns.csv
RET00000018,SO00002025,SOL0000006095,SKU0000522,2026-03-09,Late Delivery,3,91.88,Requested,2026-06-20T05:01:24.647073+00:00,data/raw/transactions/returns.csv
RET00000019,SO00000803,SOL0000002456,SKU0000130,2026-05-13,Customer Cancelled,3,452.22,Received,2026-06-20T05:01:24.647073+00:00,data/raw/transactions/returns.csv
RET00000020,SO00000273,SOL0000000812,SKU0000661,2026-05-21,Customer Cancelled,5,406.75,Received,2026-06-20T05:01:24.647073+00:00,data/raw/transactions/returns.csv
RET00000021,SO00000422,SOL0000001285,SKU0000354,2026-04-19,Damaged,5,468.55,approved ,2026-06-20T05:01:24.647073+00:00,data/raw/transactions/returns.csv
RET00000022,SO00000882,SOL0000002688,SKU0000469,2026-02-01,Damaged,bad,564.73,Requested,2026-06-20T05:01:24.647073+00:00,data/raw/transactions/returns.csv
RET00000023,SO00001096,SOL0000003329,SKU0000669,2026-07-12,Wrong Item,bad,23.49,Rejected,2026-06-20T05:01:24.647073+00:00,data/raw/transactions/returns.csv
RET00000024,SO00002438,SOL0000007308,SKU0000369,2026-03-21,Wrong Item,3,587.97,Approved,2026-06-20T05:01:24.647073+00:00,data/raw/transactions/returns.csv
RET00000025,SO00000567,SOL0000001731,SKU0000337,2026-04-13,Late Delivery,2,285.89,Approved,2026-06-20T05:01:24.647073+00:00,data/raw/transactions/returns.csv
RET00000026,SO00000067,SOL0000000209,SKU0000173,2026-01-16,Customer Cancelled,1,574.48,Rejected,2026-06-20T05:01:24.647073+00:00,data/raw/transactions/returns.csv
RET00000027,SO00002118,SOL0000006364,SKU0000674,2026-05-19,Customer Cancelled,1,581.40,Received,2026-06-20T05:01:24.647073+00:00,data/raw/transactions/returns.csv
RET00000028,SO00001637,SOL0000004960,SKU0000248,2026-01-29,Late Delivery,3,44.42,Requested,2026-06-20T05:01:24.647073+00:00,data/raw/transactions/returns.csv
RET00000029,SO00002492,SOL0000007456,SKU0000216,2026-06-06,Late Delivery,1,310.79,approved ,2026-06-20T05:01:24.647073+00:00,data/raw/transactions/returns.csv
RET00000030,SO00002350,SOL0000007054,SKU0000580,2026-03-03,Damaged,1,190.37,approved ,2026-06-20T05:01:24.647073+00:00,data/raw/transactions/returns.csv
RET00000031,SO00000919,SOL0000002801,SKU0000417,2026-03-21,Wrong Item,1,321.27,approved ,2026-06-20T05:01:24.647073+00:00,data/raw/transactions/returns.csv
RET00000032,SO00000712,SOL0000002182,SKU0000299,2026-06-11,Damaged,3,197.79,approved ,2026-06-20T05:01:24.647073+00:00,data/raw/transactions/returns.csv
RET00000033,SO_UNKNOWN,SOL0000000374,SKU0000362,2026-03-19,Quality Issue,2,525.01,approved ,2026-06-20T05:01:24.647073+00:00,data/raw/transactions/returns.csv
RET00000034,SO00002293,SOL0000006886,SKU0000518,2026-05-01,Damaged,3,247.62,Rejected,2026-06-20T05:01:24.647073+00:00,data/raw/transactions/returns.csv
RET00000035,SO00002326,SOL0000006992,SKU0000214,2026-03-09,Customer Cancelled,1,394.06,Approved,2026-06-20T05:01:24.647073+00:00,data/raw/transactions/returns.csv
RET00000036,SO00000497,SOL0000001508,SKU0000130,2026-07-16,Quality Issue,1,270.43,approved ,2026-06-20T05:01:24.647073+00:00,data/raw/transactions/returns.csv
RET00000037,SO00000973,SOL0000002965,SKU0000262,2026-05-02,Quality Issue,5,387.06,Rejected,2026-06-20T05:01:24.647073+00:00,data/raw/transactions/returns.csv
RET00000038,SO00001496,SOL0000004556,SKU0000364,2026-02-21,Damaged,3,270.01,approved ,2026-06-20T05:01:24.647073+00:00,data/raw/transactions/returns.csv
RET00000039,SO00000971,SOL0000002959,SKU0000016,2026-04-25,Late Delivery,bad,454.18,approved ,2026-06-20T05:01:24.647073+00:00,data/raw/transactions/returns.csv
RET00000040,SO00001132,SOL0000003445,SKU0000030,2026-05-25,Wrong Item,5,398.75,approved ,2026-06-20T05:01:24.647073+00:00,data/raw/transactions/returns.csv
RET00000041,SO00000544,SOL0000001658,SKU0000234,2026-02-22,Wrong Item,1,117.61,Approved,2026-06-20T05:01:24.647073+00:00,data/raw/transactions/returns.csv
RET00000042,SO00001096,SOL0000003328,SKU0000627,2026-07-02,Damaged,1,436.70,Rejected,2026-06-20T05:01:24.647073+00:00,data/raw/transactions/returns.csv
RET00000043,SO00001740,SOL0000005256,SKU0000011,2026-07-06,Wrong Item,1,259.30,Approved,2026-06-20T05:01:24.647073+00:00,data/raw/transactions/returns.csv
RET00000044,SO00001634,SOL0000004952,SKU0000058,2026-04-23,Quality Issue,1,577.47,approved ,2026-06-20T05:01:24.647073+00:00,data/raw/transactions/returns.csv
RET00000045,SO00001112,SOL0000003377,SKU0000056,2026-03-28,Customer Cancelled,1,561.32,Rejected,2026-06-20T05:01:24.647073+00:00,data/raw/transactions/returns.csv
RET00000046,SO00000076,SOL0000000232,SKU0000433,2026-03-13,Quality Issue,5,149.44,Received,2026-06-20T05:01:24.647073+00:00,data/raw/transactions/returns.csv
RET00000047,SO00002498,SOL0000007477,SKU0000569,2026-05-14,Quality Issue,2,528.41,Requested,2026-06-20T05:01:24.647073+00:00,data/raw/transactions/returns.csv
RET00000048,SO00000164,SOL0000000509,SKU0000042,2026-06-01,Quality Issue,1,27.76,Requested,2026-06-20T05:01:24.647073+00:00,data/raw/transactions/returns.csv
RET00000049,SO00001583,SOL0000004808,SKU0000443,2026-03-28,Customer Cancelled,2,172.77,Approved,2026-06-20T05:01:24.647073+00:00,data/raw/transactions/returns.csv
RET00000050,SO00001833,SOL0000005539,SKU0000558,2026-03-31,Quality Issue,1,532.88,Received,2026-06-20T05:01:24.647073+00:00,data/raw/transactions/returns.csv
RET00000051,SO00000312,SOL0000000922,SKU0000565,2026-05-19,Customer Cancelled,1,198.92,Requested,2026-06-20T05:01:24.647073+00:00,data/raw/transactions/returns.csv
RET00000052,SO00002127,SOL0000006390,SKU0000486,2026-05-15,Damaged,2,322.38,Received,2026-06-20T05:01:24.647073+00:00,data/raw/transactions/returns.csv
RET00000053,SO00000884,SOL0000002695,SKU0000125,2026-06-04,Wrong Item,2,275.98,Requested,2026-06-20T05:01:24.647073+00:00,data/raw/transactions/returns.csv
RET00000054,SO00001559,SOL0000004726,SKU0000075,2026-02-07,Quality Issue,3,396.85,approved ,2026-06-20T05:01:24.647073+00:00,data/raw/transactions/returns.csv
RET00000055,SO00000154,SOL0000000483,SKU0000528,2026-05-06,Damaged,1,199.15,Approved,2026-06-20T05:01:24.647073+00:00,data/raw/transactions/returns.csv
RET00000056,SO00000404,SOL0000001224,SKU0000639,2026-02-09,Customer Cancelled,3,240.58,Requested,2026-06-20T05:01:24.647073+00:00,data/raw/transactions/returns.csv
RET00000057,SO00002298,SOL0000006902,SKU0000083,2026-02-26,Late Delivery,bad,81.43,Requested,2026-06-20T05:01:24.647073+00:00,data/raw/transactions/returns.csv
RET00000058,SO00000506,SOL0000001542,SKU0000682,2026-03-24,Quality Issue,5,371.83,Rejected,2026-06-20T05:01:24.647073+00:00,data/raw/transactions/returns.csv
RET00000059,SO00000709,SOL0000002172,SKU0000145,2026-03-30,Late Delivery,bad,17.32,Rejected,2026-06-20T05:01:24.647073+00:00,data/raw/transactions/returns.csv
RET00000060,SO00001921,SOL0000005793,SKU0000242,2026-01-29,Wrong Item,2,131.90,Rejected,2026-06-20T05:01:24.647073+00:00,data/raw/transactions/returns.csv
RET00000061,SO00002140,SOL0000006428,SKU0000500,2026-02-19,Damaged,1,,approved ,2026-06-20T05:01:24.647073+00:00,data/raw/transactions/returns.csv
RET00000062,SO00000402,SOL0000001214,SKU0000272,2026-03-13,Wrong Item,2,169.94,approved ,2026-06-20T05:01:24.647073+00:00,data/raw/transactions/returns.csv
RET00000063,SO00000674,SOL0000002070,SKU0000097,2026-04-25,Wrong Item,5,579.23,Received,2026-06-20T05:01:24.647073+00:00,data/raw/transactions/returns.csv
RET00000064,SO00000311,SOL0000000921,SKU0000401,2026-06-23,Customer Cancelled,1,459.12,Rejected,2026-06-20T05:01:24.647073+00:00,data/raw/transactions/returns.csv
RET00000065,SO00000940,SOL0000002861,SKU0000677,2026-05-20,Customer Cancelled,1,,Approved,2026-06-20T05:01:24.647073+00:00,data/raw/transactions/returns.csv
RET00000066,SO00001164,SOL0000003558,SKU0000391,2026-07-07,Quality Issue,bad,291.01,Received,2026-06-20T05:01:24.647073+00:00,data/raw/transactions/returns.csv
RET00000067,SO00000416,SOL0000001265,SKU0000066,2026-03-02,Late Delivery,2,221.03,Received,2026-06-20T05:01:24.647073+00:00,data/raw/transactions/returns.csv
RET00000068,SO00002024,SOL0000006090,SKU0000525,2026-02-10,Customer Cancelled,1,444.55,Received,2026-06-20T05:01:24.647073+00:00,data/raw/transactions/returns.csv
RET00000069,SO00002141,SOL0000006429,SKU0000552,2026-04-21,Quality Issue,bad,131.88,Rejected,2026-06-20T05:01:24.647073+00:00,data/raw/transactions/returns.csv
RET00000070,SO00000948,SOL0000002891,SKU0000636,2026-03-18,Wrong Item,1,444.44,Rejected,2026-06-20T05:01:24.647073+00:00,data/raw/transactions/returns.csv
RET00000071,SO00000858,SOL0000002614,SKU0000520,2026-02-16,Wrong Item,1,505.89,Received,2026-06-20T05:01:24.647073+00:00,data/raw/transactions/returns.csv
RET00000072,SO00000140,SOL0000000436,SKU0000462,2026-05-09,Quality Issue,3,477.64,approved ,2026-06-20T05:01:24.647073+00:00,data/raw/transactions/returns.csv
RET00000073,SO00001682,SOL0000005093,SKU0000279,2026-05-23,Late Delivery,5,524.23,Received,2026-06-20T05:01:24.647073+00:00,data/raw/transactions/returns.csv
RET00000074,SO00002392,SOL0000007176,SKU0000371,2026-06-05,Damaged,2,92.92,approved ,2026-06-20T05:01:24.647073+00:00,data/raw/transactions/returns.csv
RET00000075,SO00001115,SOL0000003386,SKU0000280,2026-02-06,Customer Cancelled,2,339.43,approved ,2026-06-20T05:01:24.647073+00:00,data/raw/transactions/returns.csv
RET00000076,SO00000792,SOL0000002420,SKU0000221,2026-03-25,Quality Issue,1,195.88,approved ,2026-06-20T05:01:24.647073+00:00,data/raw/transactions/returns.csv
RET00000077,SO00001257,SOL0000003831,SKU0000318,2026-07-23,Late Delivery,1,468.97,Requested,2026-06-20T05:01:24.647073+00:00,data/raw/transactions/returns.csv
RET00000078,SO00001348,SOL0000004120,SKU0000001,2026-02-24,Customer Cancelled,3,530.98,Rejected,2026-06-20T05:01:24.647073+00:00,data/raw/transactions/returns.csv
RET00000079,SO00000291,SOL0000000864,SKU0000097,2026-05-13,Wrong Item,1,148.55,approved ,2026-06-20T05:01:24.647073+00:00,data/raw/transactions/returns.csv
RET00000080,SO00002387,SOL0000007157,SKU0000264,2026-03-14,Quality Issue,bad,350.25,Rejected,2026-06-20T05:01:24.647073+00:00,data/raw/transactions/returns.csv
RET00000081,SO00000651,SOL0000002002,SKU0000683,2026-03-25,Quality Issue,1,472.48,Rejected,2026-06-20T05:01:24.647073+00:00,data/raw/transactions/returns.csv
RET00000082,SO00000296,SOL0000000879,SKU0000333,2026-05-22,Late Delivery,1,530.19,Approved,2026-06-20T05:01:24.647073+00:00,data/raw/transactions/returns.csv
RET00000083,SO00002055,SOL0000006175,SKU0000203,2026-02-17,Late Delivery,2,102.64,Requested,2026-06-20T05:01:24.647073+00:00,data/raw/transactions/returns.csv
RET00000084,SO00000002,SOL0000000006,SKU0000139,2026-04-27,Damaged,bad,449.08,Approved,2026-06-20T05:01:24.647073+00:00,data/raw/transactions/returns.csv
RET00000085,SO00000265,SOL0000000792,SKU0000319,2026-03-09,Customer Cancelled,1,483.86,approved ,2026-06-20T05:01:24.647073+00:00,data/raw/transactions/returns.csv
RET00000086,SO00001969,SOL0000005936,SKU0000014,2026-05-01,Wrong Item,1,82.55,Requested,2026-06-20T05:01:24.647073+00:00,data/raw/transactions/returns.csv
RET00000087,SO00000287,SOL0000000855,SKU0000624,2026-05-18,Damaged,bad,470.04,Approved,2026-06-20T05:01:24.647073+00:00,data/raw/transactions/returns.csv
RET00000088,SO00002011,SOL0000006051,SKU0000209,2026-07-20,Quality Issue,5,509.39,Approved,2026-06-20T05:01:24.647073+00:00,data/raw/transactions/returns.csv
RET00000089,SO00001942,SOL0000005856,SKU0000057,2026-05-28,Quality Issue,3,536.10,approved ,2026-06-20T05:01:24.647073+00:00,data/raw/transactions/returns.csv
RET00000090,SO00001712,SOL0000005178,SKU0000505,2026-04-02,Late Delivery,bad,354.21,Requested,2026-06-20T05:01:24.647073+00:00,data/raw/transactions/returns.csv
RET00000091,SO00002202,SOL0000006608,SKU0000204,2026-02-24,Damaged,3,513.63,Rejected,2026-06-20T05:01:24.647073+00:00,data/raw/transactions/returns.csv
RET00000092,SO00002291,SOL0000006880,SKU0000380,2026-03-27,Damaged,3,365.00,approved ,2026-06-20T05:01:24.647073+00:00,data/raw/transactions/returns.csv
RET00000093,SO00001981,SOL0000005970,SKU0000033,2026-04-05,Customer Cancelled,1,578.62,Received,2026-06-20T05:01:24.647073+00:00,data/raw/transactions/returns.csv
RET00000094,SO00001436,SOL0000004380,SKU0000213,2026-03-14,Damaged,3,420.24,Approved,2026-06-20T05:01:24.647073+00:00,data/raw/transactions/returns.csv
RET00000095,SO00000665,SOL0000002044,SKU0000019,2026-03-12,Late Delivery,bad,61.58,Requested,2026-06-20T05:01:24.647073+00:00,data/raw/transactions/returns.csv
RET00000096,SO00000213,SOL0000000652,SKU0000059,2026-01-20,Customer Cancelled,2,233.30,approved ,2026-06-20T05:01:24.647073+00:00,data/raw/transactions/returns.csv
RET00000097,SO00000521,SOL0000001592,SKU0000588,2026-02-25,Late Delivery,bad,409.19,Requested,2026-06-20T05:01:24.647073+00:00,data/raw/transactions/returns.csv
RET00000098,SO00002038,SOL0000006132,SKU0000565,2026-04-15,Customer Cancelled,3,60.33,Approved,2026-06-20T05:01:24.647073+00:00,data/raw/transactions/returns.csv
RET00000099,SO00002498,SOL0000007475,SKU0000089,2026-04-27,Wrong Item,1,325.86,Rejected,2026-06-20T05:01:24.647073+00:00,data/raw/transactions/returns.csv
RET00000100,SO00002381,SOL0000007138,SKU0000568,2026-03-03,Late Delivery,5,102.01,approved ,2026-06-20T05:01:24.647073+00:00,data/raw/transactions/returns.csv
RET00000101,SO00001337,SOL0000004081,SKU0000251,2026-05-14,Late Delivery,1,177.11,Requested,2026-06-20T05:01:24.647073+00:00,data/raw/transactions/returns.csv
RET00000102,SO00001818,SOL0000005485,SKU_BAD,2026-03-03,Wrong Item,1,474.52,Rejected,2026-06-20T05:01:24.647073+00:00,data/raw/transactions/returns.csv
RET00000103,SO00001103,SOL0000003346,SKU0000584,2026-04-07,Customer Cancelled,1,531.28,Requested,2026-06-20T05:01:24.647073+00:00,data/raw/transactions/returns.csv
RET00000104,SO00001666,SOL0000005058,SKU0000525,2026-06-12,Customer Cancelled,3,321.44,Approved,2026-06-20T05:01:24.647073+00:00,data/raw/transactions/returns.csv
RET00000105,SO00001168,SOL0000003570,SKU0000078,2026-04-06,Quality Issue,3,547.97,Rejected,2026-06-20T05:01:24.647073+00:00,data/raw/transactions/returns.csv
RET00000106,SO00000367,SOL0000001098,SKU0000452,2026-04-06,Damaged,2,326.52,approved ,2026-06-20T05:01:24.647073+00:00,data/raw/transactions/returns.csv
RET00000107,SO00002023,SOL0000006089,SKU0000321,2026-04-03,Wrong Item,2,328.53,approved ,2026-06-20T05:01:24.647073+00:00,data/raw/transactions/returns.csv
RET00000108,SO00001255,SOL0000003828,SKU0000664,2026-04-28,Customer Cancelled,1,371.88,approved ,2026-06-20T05:01:24.647073+00:00,data/raw/transactions/returns.csv
RET00000109,SO00002247,SOL_UNKNOWN,SKU0000101,2026-07-25,Damaged,5,79.67,Received,2026-06-20T05:01:24.647073+00:00,data/raw/transactions/returns.csv
RET00000110,SO00002307,SOL0000006926,SKU0000187,2026-05-05,Damaged,1,165.00,Approved,2026-06-20T05:01:24.647073+00:00,data/raw/transactions/returns.csv
RET00000111,SO00000197,SOL0000000607,SKU0000471,2026-04-02,Quality Issue,3,29.48,Approved,2026-06-20T05:01:24.647073+00:00,data/raw/transactions/returns.csv
RET00000112,SO00001134,SOL0000003448,SKU0000420,2026-04-25,Customer Cancelled,3,359.44,Received,2026-06-20T05:01:24.647073+00:00,data/raw/transactions/returns.csv
RET00000113,SO00000391,SOL0000001174,SKU0000013,2026-06-26,Quality Issue,5,222.42,approved ,2026-06-20T05:01:24.647073+00:00,data/raw/transactions/returns.csv
RET00000114,SO00001407,SOL0000004289,SKU0000108,2026-06-06,Late Delivery,2,531.39,Received,2026-06-20T05:01:24.647073+00:00,data/raw/transactions/returns.csv
RET00000115,SO00002111,SOL0000006339,SKU0000646,2026-06-30,Damaged,1,554.65,approved ,2026-06-20T05:01:24.647073+00:00,data/raw/transactions/returns.csv
RET00000116,SO00001420,SOL0000004330,SKU0000113,2026-06-08,Late Delivery,1,571.64,Received,2026-06-20T05:01:24.647073+00:00,data/raw/transactions/returns.csv
RET00000117,SO00001094,SOL0000003321,SKU0000554,2026-04-21,Quality Issue,bad,565.57,Requested,2026-06-20T05:01:24.647073+00:00,data/raw/transactions/returns.csv
RET00000118,SO00000152,SOL0000000476,SKU0000589,2026-07-21,Customer Cancelled,1,424.57,Requested,2026-06-20T05:01:24.647073+00:00,data/raw/transactions/returns.csv
RET00000119,SO00002161,SOL0000006487,SKU0000005,2026-04-07,Wrong Item,3,307.68,Rejected,2026-06-20T05:01:24.647073+00:00,data/raw/transactions/returns.csv
RET00000120,SO00000866,SOL0000002635,SKU0000485,2026-07-04,Customer Cancelled,5,547.72,approved ,2026-06-20T05:01:24.647073+00:00,data/raw/transactions/returns.csv
RET00000121,SO00000496,SOL0000001502,SKU0000379,2026-02-18,Late Delivery,2,179.69,approved ,2026-06-20T05:01:24.647073+00:00,data/raw/transactions/returns.csv
RET00000122,SO00000542,SOL0000001655,SKU0000462,2026-05-05,Customer Cancelled,3,402.76,approved ,2026-06-20T05:01:24.647073+00:00,data/raw/transactions/returns.csv
RET00000123,SO00001307,SOL0000003981,SKU0000364,2026-07-19,Late Delivery,bad,274.82,approved ,2026-06-20T05:01:24.647073+00:00,data/raw/transactions/returns.csv
RET00000124,SO00001169,SOL0000003573,SKU0000062,2026-04-05,Damaged,1,78.49,Approved,2026-06-20T05:01:24.647073+00:00,data/raw/transactions/returns.csv
RET00000125,SO00000630,SOL0000001936,SKU0000058,2026-02-18,Wrong Item,1,302.98,Requested,2026-06-20T05:01:24.647073+00:00,data/raw/transactions/returns.csv
RET00000126,SO00000453,SOL0000001386,SKU0000243,2026-02-27,Late Delivery,3,150.17,Received,2026-06-20T05:01:24.647073+00:00,data/raw/transactions/returns.csv
RET00000127,SO00000203,SOL0000000623,SKU0000553,2026-04-15,Quality Issue,3,511.68,Approved,2026-06-20T05:01:24.647073+00:00,data/raw/transactions/returns.csv
RET00000128,SO00000058,SOL0000000180,SKU0000139,2026-03-14,Damaged,3,461.51,Received,2026-06-20T05:01:24.647073+00:00,data/raw/transactions/returns.csv
RET00000129,SO00001434,SOL0000004376,SKU0000419,2026-05-05,Damaged,bad,274.64,Requested,2026-06-20T05:01:24.647073+00:00,data/raw/transactions/returns.csv
RET00000130,SO00000785,SOL0000002400,SKU0000456,2026-03-25,Quality Issue,1,476.42,Received,2026-06-20T05:01:24.647073+00:00,data/raw/transactions/returns.csv
RET00000131,SO00002408,SOL0000007227,SKU0000155,2026-05-17,Wrong Item,2,69.10,Received,2026-06-20T05:01:24.647073+00:00,data/raw/transactions/returns.csv
RET00000132,SO00001470,SOL0000004471,SKU0000298,2026-02-16,Late Delivery,3,288.16,Approved,2026-06-20T05:01:24.647073+00:00,data/raw/transactions/returns.csv
RET00000133,SO00001564,SOL0000004742,SKU0000478,2026-04-14,Damaged,2,230.85,Received,2026-06-20T05:01:24.647073+00:00,data/raw/transactions/returns.csv
RET00000134,SO00001111,SOL0000003370,SKU0000661,2026-06-16,Late Delivery,3,457.94,approved ,2026-06-20T05:01:24.647073+00:00,data/raw/transactions/returns.csv
RET00000135,SO00000251,SOL0000000756,SKU0000409,2026-07-04,Damaged,2,296.71,Approved,2026-06-20T05:01:24.647073+00:00,data/raw/transactions/returns.csv
RET00000136,SO00002383,SOL0000007146,SKU0000115,2026-03-23,Late Delivery,1,245.90,approved ,2026-06-20T05:01:24.647073+00:00,data/raw/transactions/returns.csv
RET00000137,SO00000647,SOL0000001989,SKU0000552,2026-02-20,Wrong Item,1,275.84,Requested,2026-06-20T05:01:24.647073+00:00,data/raw/transactions/returns.csv
RET00000138,SO00002373,SOL_UNKNOWN,SKU0000373,2026-05-23,Wrong Item,3,143.38,Approved,2026-06-20T05:01:24.647073+00:00,data/raw/transactions/returns.csv
RET00000139,SO00001777,SOL0000005354,SKU0000169,2026-02-23,Customer Cancelled,1,256.82,Approved,2026-06-20T05:01:24.647073+00:00,data/raw/transactions/returns.csv
RET00000140,SO00001980,SOL0000005967,SKU0000587,2026-02-26,Damaged,1,344.28,Rejected,2026-06-20T05:01:24.647073+00:00,data/raw/transactions/returns.csv
RET00000141,SO00001910,SOL0000005761,SKU0000415,2026-03-28,Customer Cancelled,bad,469.77,Approved,2026-06-20T05:01:24.647073+00:00,data/raw/transactions/returns.csv
RET00000142,SO00000904,SOL0000002760,SKU0000569,2026-03-06,Customer Cancelled,1,490.55,Approved,2026-06-20T05:01:24.647073+00:00,data/raw/transactions/returns.csv
RET00000143,SO00001185,SOL0000003613,SKU0000586,2026-03-24,Damaged,5,443.29,Rejected,2026-06-20T05:01:24.647073+00:00,data/raw/transactions/returns.csv
RET00000144,SO00001471,SOL0000004475,SKU0000471,2026-05-16,Damaged,1,544.26,Rejected,2026-06-20T05:01:24.647073+00:00,data/raw/transactions/returns.csv
RET00000145,SO_UNKNOWN,SOL0000006450,SKU0000232,2026-03-08,Quality Issue,3,99.78,Approved,2026-06-20T05:01:24.647073+00:00,data/raw/transactions/returns.csv
RET00000146,SO_UNKNOWN,SOL0000002279,SKU0000516,2026-05-15,Customer Cancelled,3,235.80,Approved,2026-06-20T05:01:24.647073+00:00,data/raw/transactions/returns.csv
RET00000147,SO00002110,SOL0000006334,SKU0000099,2026-05-26,Wrong Item,3,322.51,Approved,2026-06-20T05:01:24.647073+00:00,data/raw/transactions/returns.csv
RET00000148,SO00000751,SOL0000002305,SKU0000123,2026-01-29,Wrong Item,1,64.05,Rejected,2026-06-20T05:01:24.647073+00:00,data/raw/transactions/returns.csv
RET00000149,SO00001008,SOL0000003071,SKU0000544,2026-03-14,Late Delivery,2,417.04,Approved,2026-06-20T05:01:24.647073+00:00,data/raw/transactions/returns.csv
RET00000150,SO00001025,SOL0000003123,SKU0000062,2026-05-02,Customer Cancelled,bad,45.48,Requested,2026-06-20T05:01:24.647073+00:00,data/raw/transactions/returns.csv
RET00000151,SO00001968,SOL0000005931,SKU0000213,2026-06-02,Late Delivery,1,182.21,Approved,2026-06-20T05:01:24.647073+00:00,data/raw/transactions/returns.csv
RET00000152,SO00002396,SOL0000007191,SKU0000537,2026-03-15,Damaged,5,143.96,Approved,2026-06-20T05:01:24.647073+00:00,data/raw/transactions/returns.csv
RET00000153,SO00001137,SOL0000003461,SKU0000319,2026-04-29,Damaged,2,322.41,approved ,2026-06-20T05:01:24.647073+00:00,data/raw/transactions/returns.csv
RET00000154,SO00002322,SOL0000006981,SKU0000254,2026-05-23,Quality Issue,2,433.21,Received,2026-06-20T05:01:24.647073+00:00,data/raw/transactions/returns.csv
RET00000155,SO00001652,SOL0000005014,SKU0000612,2026-05-17,Wrong Item,3,395.28,Approved,2026-06-20T05:01:24.647073+00:00,data/raw/transactions/returns.csv
RET00000156,SO00001338,SOL0000004082,SKU0000351,2026-05-03,Late Delivery,bad,299.85,Approved,2026-06-20T05:01:24.647073+00:00,data/raw/transactions/returns.csv
RET00000157,SO00000150,SOL0000000472,SKU0000395,2026-03-13,Damaged,2,499.89,Rejected,2026-06-20T05:01:24.647073+00:00,data/raw/transactions/returns.csv
RET00000158,SO00002113,SOL0000006344,SKU0000265,2026-02-13,Quality Issue,1,391.36,Approved,2026-06-20T05:01:24.647073+00:00,data/raw/transactions/returns.csv
RET00000159,SO00001156,SOL0000003528,SKU0000024,2026-03-29,Late Delivery,1,192.46,Rejected,2026-06-20T05:01:24.647073+00:00,data/raw/transactions/returns.csv
RET00000160,SO00001445,SOL0000004407,SKU0000257,2026-05-23,Customer Cancelled,1,299.50,Requested,2026-06-20T05:01:24.647073+00:00,data/raw/transactions/returns.csv
