po_line_id,po_id,line_number,product_id,ordered_qty,unit_cost,line_status,_bronze_loaded_at_utc,_source_file
POL0000000042,PO00000016,2,SKU0000444,500,234.25,Partial,2026-06-20T05:01:24.070881+00:00,data/raw/transactions/purchase_order_lines.csv
POL0000000043,PO00000016,3,SKU0000239,250,85.21,Received,2026-06-20T05:01:24.070881+00:00,data/raw/transactions/purchase_order_lines.csv
POL0000000044,PO00000017,1,SKU0000285,500,34.95,Partial,2026-06-20T05:01:24.070881+00:00,data/raw/transactions/purchase_order_lines.csv
POL0000000045,PO00000017,2,SKU0000077,,83.37,Cancelled,2026-06-20T05:01:24.070881+00:00,data/raw/transactions/purchase_order_lines.csv
POL0000000046,PO00000017,3,SKU0000545,50,192.63,Received,2026-06-20T05:01:24.070881+00:00,data/raw/transactions/purchase_order_lines.csv
POL0000000047,PO00000017,4,SKU0000594,500,102.78,Open,2026-06-20T05:01:24.070881+00:00,data/raw/transactions/purchase_order_lines.csv
POL0000000048,PO00000018,1,SKU0000682,500,63.61,Partial,2026-06-20T05:01:24.070881+00:00,data/raw/transactions/purchase_order_lines.csv
POL0000000049,PO00000018,2,SKU0000091,500,82.29,Open,2026-06-20T05:01:24.070881+00:00,data/raw/transactions/purchase_order_lines.csv
POL0000000050,PO00000019,1,SKU0000244,-5,61.20,Received,2026-06-20T05:01:24.070881+00:00,data/raw/transactions/purchase_order_lines.csv
POL0000000051,PO00000019,2,SKU0000220,100,259.00,Cancelled,2026-06-20T05:01:24.070881+00:00,data/raw/transactions/purchase_order_lines.csv
POL0000000052,PO00000019,3,SKU0000189,50,6.52,Open,2026-06-20T05:01:24.070881+00:00,data/raw/transactions/purchase_order_lines.csv
POL0000000053,PO00000019,4,SKU0000573,500,204.84,Received,2026-06-20T05:01:24.070881+00:00,data/raw/transactions/purchase_order_lines.csv
POL0000000054,PO00000020,1,SKU0000430,500,14.34,Partial,2026-06-20T05:01:24.070881+00:00,data/raw/transactions/purchase_order_lines.csv
POL0000000055,PO00000020,2,SKU0000355,50,180.72,Partial,2026-06-20T05:01:24.070881+00:00,data/raw/transactions/purchase_order_lines.csv
POL0000000056,PO00000020,3,SKU0000420,50,158.76,Received,2026-06-20T05:01:24.070881+00:00,data/raw/transactions/purchase_order_lines.csv
POL0000000057,PO00000020,4,SKU0000530,100,286.42,Open,2026-06-20T05:01:24.070881+00:00,data/raw/transactions/purchase_order_lines.csv
POL0000000058,PO00000021,1,SKU0000147,1000,287.94,Partial,2026-06-20T05:01:24.070881+00:00,data/raw/transactions/purchase_order_lines.csv
POL0000000059,PO00000021,2,SKU0000002,250,191.37,Open,2026-06-20T05:01:24.070881+00:00,data/raw/transactions/purchase_order_lines.csv
POL0000000060,PO00000021,3,SKU0000181,250,169.03,Open,2026-06-20T05:01:24.070881+00:00,data/raw/transactions/purchase_order_lines.csv
POL0000000061,PO00000021,4,SKU0000199,,237.35,Received,2026-06-20T05:01:24.070881+00:00,data/raw/transactions/purchase_order_lines.csv
POL0000000062,PO00000022,1,SKU0000432,-5,208.90,Received,2026-06-20T05:01:24.070881+00:00,data/raw/transactions/purchase_order_lines.csv
POL0000000063,PO00000022,2,SKU0000622,100,100.24,Received,2026-06-20T05:01:24.070881+00:00,data/raw/transactions/purchase_order_lines.csv
POL0000000064,PO00000022,3,SKU0000576,250,289.95,Received,2026-06-20T05:01:24.070881+00:00,data/raw/transactions/purchase_order_lines.csv
POL0000000065,PO00000022,4,SKU0000415,50,220.81,Cancelled,2026-06-20T05:01:24.070881+00:00,data/raw/transactions/purchase_order_lines.csv
POL0000000066,PO00000023,1,SKU0000378,100,bad,Open,2026-06-20T05:01:24.070881+00:00,data/raw/transactions/purchase_order_lines.csv
POL0000000067,PO00000024,1,SKU0000113,100,122.37,Open,2026-06-20T05:01:24.070881+00:00,data/raw/transactions/purchase_order_lines.csv
POL0000000068,PO00000024,2,SKU0000661,250,24.97,Received,2026-06-20T05:01:24.070881+00:00,data/raw/transactions/purchase_order_lines.csv
POL0000000069,PO00000024,3,SKU0000012,50,220.94,Partial,2026-06-20T05:01:24.070881+00:00,data/raw/transactions/purchase_order_lines.csv
POL0000000070,PO00000025,1,SKU0000458,250,175.67,Partial,2026-06-20T05:01:24.070881+00:00,data/raw/transactions/purchase_order_lines.csv
POL0000000071,PO00000025,2,SKU0000441,1000,216.68,Open,2026-06-20T05:01:24.070881+00:00,data/raw/transactions/purchase_order_lines.csv
POL0000000072,PO00000025,3,SKU0000335,500,76.57,Cancelled,2026-06-20T05:01:24.070881+00:00,data/raw/transactions/purchase_order_lines.csv
POL0000000073,PO00000026,1,SKU0000222,,5.74,Open,2026-06-20T05:01:24.070881+00:00,data/raw/transactions/purchase_order_lines.csv
POL0000000074,PO00000027,1,SKU0000490,250,112.73,Received,2026-06-20T05:01:24.070881+00:00,data/raw/transactions/purchase_order_lines.csv
POL0000000075,PO00000028,1,SKU0000222,250,5.74,Partial,2026-06-20T05:01:24.070881+00:00,data/raw/transactions/purchase_order_lines.csv
POL0000000076,PO00000028,2,SKU0000161,1000,167.98,Received,2026-06-20T05:01:24.070881+00:00,data/raw/transactions/purchase_order_lines.csv
POL0000000077,PO00000028,3,SKU0000488,-5,159.38,Received,2026-06-20T05:01:24.070881+00:00,data/raw/transactions/purchase_order_lines.csv
POL0000000078,PO00000029,1,SKU0000212,250,184.32,Cancelled,2026-06-20T05:01:24.070881+00:00,data/raw/transactions/purchase_order_lines.csv
POL0000000079,PO00000029,2,SKU0000185,250,134.83,Open,2026-06-20T05:01:24.070881+00:00,data/raw/transactions/purchase_order_lines.csv
POL0000000080,PO00000029,3,SKU0000583,500,130.33,Cancelled,2026-06-20T05:01:24.070881+00:00,data/raw/transactions/purchase_order_lines.csv
POL0000000081,PO00000029,4,SKU0000021,,247.69,Cancelled,2026-06-20T05:01:24.070881+00:00,data/raw/transactions/purchase_order_lines.csv
POL0000000082,PO00000030,1,SKU0000618,50,17.24,Cancelled,2026-06-20T05:01:24.070881+00:00,data/raw/transactions/purchase_order_lines.csv
POL0000000083,PO00000030,2,SKU0000352,,76.87,open ,2026-06-20T05:01:24.070881+00:00,data/raw/transactions/purchase_order_lines.csv
POL0000000084,PO00000030,3,SKU0000405,250,42.44,Received,2026-06-20T05:01:24.070881+00:00,data/raw/transactions/purchase_order_lines.csv
POL0000000085,PO00000030,4,SKU0000364,500,191.35,Partial,2026-06-20T05:01:24.070881+00:00,data/raw/transactions/purchase_order_lines.csv
POL0000000086,PO00000031,1,SKU0000212,-5,184.32,open ,2026-06-20T05:01:24.070881+00:00,data/raw/transactions/purchase_order_lines.csv
POL0000000087,PO00000031,2,SKU0000404,250,36.82,Cancelled,2026-06-20T05:01:24.070881+00:00,data/raw/transactions/purchase_order_lines.csv
POL0000000088,PO00000031,3,SKU0000630,100,262.31,Open,2026-06-20T05:01:24.070881+00:00,data/raw/transactions/purchase_order_lines.csv
POL0000000089,PO00000031,4,SKU0000491,-5,159.01,open ,2026-06-20T05:01:24.070881+00:00,data/raw/transactions/purchase_order_lines.csv
POL0000000090,PO00000032,1,SKU0000175,50,226.42,Cancelled,2026-06-20T05:01:24.070881+00:00,data/raw/transactions/purchase_order_lines.csv
POL0000000091,PO00000033,1,SKU0000143,-5,167.94,Cancelled,2026-06-20T05:01:24.070881+00:00,data/raw/transactions/purchase_order_lines.csv
POL0000000092,PO00000033,2,SKU0000607,100,144.65,Received,2026-06-20T05:01:24.070881+00:00,data/raw/transactions/purchase_order_lines.csv
POL0000000093,PO00000033,3,SKU0000270,1000,30.68,Partial,2026-06-20T05:01:24.070881+00:00,data/raw/transactions/purchase_order_lines.csv
POL0000000094,PO00000034,1,SKU0000651,,114.63,Open,2026-06-20T05:01:24.070881+00:00,data/raw/transactions/purchase_order_lines.csv
POL0000000095,PO00000034,2,SKU0000540,,191.55,Open,2026-06-20T05:01:24.070881+00:00,data/raw/transactions/purchase_order_lines.csv
POL0000000096,PO00000034,3,SKU0000230,500,150.83,Partial,2026-06-20T05:01:24.070881+00:00,data/raw/transactions/purchase_order_lines.csv
POL0000000097,PO00000034,4,SKU0000314,,217.39,Received,2026-06-20T05:01:24.070881+00:00,data/raw/transactions/purchase_order_lines.csv
POL0000000098,PO00000035,1,SKU0000353,100,74.70,Partial,2026-06-20T05:01:24.070881+00:00,data/raw/transactions/purchase_order_lines.csv
POL0000000099,PO00000035,2,SKU0000471,,31.80,Cancelled,2026-06-20T05:01:24.070881+00:00,data/raw/transactions/purchase_order_lines.csv
POL0000000100,PO00000035,3,SKU0000151,,236.85,open ,2026-06-20T05:01:24.070881+00:00,data/raw/transactions/purchase_order_lines.csv
POL0000000101,PO00000035,4,SKU0000378,250,170.68,open ,2026-06-20T05:01:24.070881+00:00,data/raw/transactions/purchase_order_lines.csv
POL0000000102,PO00000036,1,SKU0000660,250,16.29,Open,2026-06-20T05:01:24.070881+00:00,data/raw/transactions/purchase_order_lines.csv
POL0000000103,PO00000036,2,SKU0000190,250,230.54,Partial,2026-06-20T05:01:24.070881+00:00,data/raw/transactions/purchase_order_lines.csv
POL0000000104,PO00000036,3,SKU0000516,,82.03,Partial,2026-06-20T05:01:24.070881+00:00,data/raw/transactions/purchase_order_lines.csv
POL0000000105,PO00000037,1,SKU0000638,250,225.27,Received,2026-06-20T05:01:24.070881+00:00,data/raw/transactions/purchase_order_lines.csv
POL0000000106,PO00000037,2,SKU0000632,100,135.05,open ,2026-06-20T05:01:24.070881+00:00,data/raw/transactions/purchase_order_lines.csv
POL0000000107,PO00000037,3,SKU0000012,,220.94,Received,2026-06-20T05:01:24.070881+00:00,data/raw/transactions/purchase_order_lines.csv
POL0000000108,PO00000037,4,SKU0000320,-5,6.22,open ,2026-06-20T05:01:24.070881+00:00,data/raw/transactions/purchase_order_lines.csv
POL0000000109,PO00000038,1,SKU0000340,,26.34,open ,2026-06-20T05:01:24.070881+00:00,data/raw/transactions/purchase_order_lines.csv
POL0000000110,PO00000038,2,SKU0000219,100,116.78,Received,2026-06-20T05:01:24.070881+00:00,data/raw/transactions/purchase_order_lines.csv
POL0000000111,PO00000038,3,SKU0000191,-5,255.44,Open,2026-06-20T05:01:24.070881+00:00,data/raw/transactions/purchase_order_lines.csv
POL0000000112,PO00000038,4,SKU0000496,50,3.10,Partial,2026-06-20T05:01:24.070881+00:00,data/raw/transactions/purchase_order_lines.csv
POL0000000113,PO00000039,1,SKU0000511,-5,118.60,open ,2026-06-20T05:01:24.070881+00:00,data/raw/transactions/purchase_order_lines.csv
POL0000000114,PO00000039,2,SKU0000674,1000,99.69,Open,2026-06-20T05:01:24.070881+00:00,data/raw/transactions/purchase_order_lines.csv
POL0000000115,PO00000039,3,SKU0000529,-5,230.58,Open,2026-06-20T05:01:24.070881+00:00,data/raw/transactions/purchase_order_lines.csv
POL0000000116,PO00000039,4,SKU0000466,100,79.72,Cancelled,2026-06-20T05:01:24.070881+00:00,data/raw/transactions/purchase_order_lines.csv
POL0000000117,PO00000040,1,SKU0000078,250,106.21,Partial,2026-06-20T05:01:24.070881+00:00,data/raw/transactions/purchase_order_lines.csv
POL0000000118,PO00000041,1,SKU0000517,,63.69,Open,2026-06-20T05:01:24.070881+00:00,data/raw/transactions/purchase_order_lines.csv
POL0000000119,PO00000042,1,SKU0000489,100,248.68,open ,2026-06-20T05:01:24.070881+00:00,data/raw/transactions/purchase_order_lines.csv
POL0000000120,PO00000042,2,SKU0000306,100,154.34,Cancelled,2026-06-20T05:01:24.070881+00:00,data/raw/transactions/purchase_order_lines.csv
POL0000000121,PO00000043,1,SKU0000325,100,96.40,Partial,2026-06-20T05:01:24.070881+00:00,data/raw/transactions/purchase_order_lines.csv
POL0000000122,PO00000043,2,SKU0000572,500,284.13,Open,2026-06-20T05:01:24.070881+00:00,data/raw/transactions/purchase_order_lines.csv
POL0000000123,PO00000044,1,SKU0000606,100,100.02,Cancelled,2026-06-20T05:01:24.070881+00:00,data/raw/transactions/purchase_order_lines.csv
POL0000000124,PO00000044,2,SKU0000455,50,130.54,Open,2026-06-20T05:01:24.070881+00:00,data/raw/transactions/purchase_order_lines.csv
POL0000000125,PO00000044,3,SKU0000676,,230.94,Open,2026-06-20T05:01:24.070881+00:00,data/raw/transactions/purchase_order_lines.csv
POL0000000126,PO00000044,4,SKU0000664,1000,237.21,Cancelled,2026-06-20T05:01:24.070881+00:00,data/raw/transactions/purchase_order_lines.csv
POL0000000127,PO00000045,1,SKU0000027,50,144.08,Received,2026-06-20T05:01:24.070881+00:00,data/raw/transactions/purchase_order_lines.csv
POL0000000128,PO00000045,2,SKU0000103,100,265.22,Open,2026-06-20T05:01:24.070881+00:00,data/raw/transactions/purchase_order_lines.csv
POL0000000129,PO00000045,3,SKU0000629,50,42.15,Open,2026-06-20T05:01:24.070881+00:00,data/raw/transactions/purchase_order_lines.csv
POL0000000130,PO00000046,1,SKU0000125,,173.82,Cancelled,2026-06-20T05:01:24.070881+00:00,data/raw/transactions/purchase_order_lines.csv
POL0000000131,PO00000047,1,SKU0000132,500,278.50,open ,2026-06-20T05:01:24.070881+00:00,data/raw/transactions/purchase_order_lines.csv
POL0000000132,PO00000048,1,SKU0000675,250,38.43,Partial,2026-06-20T05:01:24.070881+00:00,data/raw/transactions/purchase_order_lines.csv
POL0000000133,PO00000049,1,SKU0000268,250,293.05,open ,2026-06-20T05:01:24.070881+00:00,data/raw/transactions/purchase_order_lines.csv
POL0000000134,PO00000049,2,SKU0000440,1000,140.15,Cancelled,2026-06-20T05:01:24.070881+00:00,data/raw/transactions/purchase_order_lines.csv
POL0000000135,PO00000049,3,SKU0000147,1000,287.94,Received,2026-06-20T05:01:24.070881+00:00,data/raw/transactions/purchase_order_lines.csv
POL0000000136,PO00000050,1,SKU0000457,250,50.55,Cancelled,2026-06-20T05:01:24.070881+00:00,data/raw/transactions/purchase_order_lines.csv
POL0000000137,PO00000050,2,SKU0000231,250,120.81,Cancelled,2026-06-20T05:01:24.070881+00:00,data/raw/transactions/purchase_order_lines.csv
POL0000000138,PO00000050,3,SKU0000332,,261.39,Cancelled,2026-06-20T05:01:24.070881+00:00,data/raw/transactions/purchase_order_lines.csv
POL0000000139,PO00000051,1,SKU0000132,50,278.50,Open,2026-06-20T05:01:24.070881+00:00,data/raw/transactions/purchase_order_lines.csv
POL0000000140,PO00000051,2,SKU0000358,50,44.63,Partial,2026-06-20T05:01:24.070881+00:00,data/raw/transactions/purchase_order_lines.csv
POL0000000141,PO00000051,3,SKU0000558,100,68.72,Open,2026-06-20T05:01:24.070881+00:00,data/raw/transactions/purchase_order_lines.csv
POL0000000142,PO00000051,4,SKU0000493,500,2.06,Open,2026-06-20T05:01:24.070881+00:00,data/raw/transactions/purchase_order_lines.csv
POL0000000143,PO00000052,1,SKU0000554,50,197.11,Partial,2026-06-20T05:01:24.070881+00:00,data/raw/transactions/purchase_order_lines.csv
POL0000000144,PO00000052,2,SKU0000594,250,102.78,Partial,2026-06-20T05:01:24.070881+00:00,data/raw/transactions/purchase_order_lines.csv
POL0000000145,PO00000053,1,SKU0000395,,239.10,Cancelled,2026-06-20T05:01:24.070881+00:00,data/raw/transactions/purchase_order_lines.csv
POL0000000146,PO00000053,2,SKU0000032,500,111.82,Partial,2026-06-20T05:01:24.070881+00:00,data/raw/transactions/purchase_order_lines.csv
POL0000000147,PO00000053,3,SKU0000522,500,18.75,Received,2026-06-20T05:01:24.070881+00:00,data/raw/transactions/purchase_order_lines.csv
POL0000000148,PO00000054,1,SKU0000361,500,46.82,open ,2026-06-20T05:01:24.070881+00:00,data/raw/transactions/purchase_order_lines.csv
POL0000000149,PO00000054,2,SKU0000249,1000,19.78,Partial,2026-06-20T05:01:24.070881+00:00,data/raw/transactions/purchase_order_lines.csv
POL0000000150,PO00000054,3,SKU0000065,50,90.37,Received,2026-06-20T05:01:24.070881+00:00,data/raw/transactions/purchase_order_lines.csv
POL0000000151,PO00000054,4,SKU0000253,100,179.86,open ,2026-06-20T05:01:24.070881+00:00,data/raw/transactions/purchase_order_lines.csv
POL0000000152,PO00000055,1,SKU0000622,,100.24,Open,2026-06-20T05:01:24.070881+00:00,data/raw/transactions/purchase_order_lines.csv
POL0000000153,PO00000055,2,SKU0000130,100,291.40,Partial,2026-06-20T05:01:24.070881+00:00,data/raw/transactions/purchase_order_lines.csv
POL0000000154,PO00000056,1,SKU0000657,250,216.77,open ,2026-06-20T05:01:24.070881+00:00,data/raw/transactions/purchase_order_lines.csv
POL0000000155,PO00000056,2,SKU0000476,500,15.76,Received,2026-06-20T05:01:24.070881+00:00,data/raw/transactions/purchase_order_lines.csv
POL0000000156,PO00000056,3,SKU0000545,50,192.63,Partial,2026-06-20T05:01:24.070881+00:00,data/raw/transactions/purchase_order_lines.csv
POL0000000157,PO00000056,4,SKU0000294,50,41.04,Partial,2026-06-20T05:01:24.070881+00:00,data/raw/transactions/purchase_order_lines.csv
POL0000000158,PO00000057,1,SKU0000460,1000,163.81,Partial,2026-06-20T05:01:24.070881+00:00,data/raw/transactions/purchase_order_lines.csv
POL0000000159,PO00000057,2,SKU0000339,500,86.25,Partial,2026-06-20T05:01:24.070881+00:00,data/raw/transactions/purchase_order_lines.csv
POL0000000160,PO00000057,3,SKU0000154,250,285.85,Open,2026-06-20T05:01:24.070881+00:00,data/raw/transactions/purchase_order_lines.csv
POL0000000161,PO00000057,4,SKU0000279,50,219.46,Received,2026-06-20T05:01:24.070881+00:00,data/raw/transactions/purchase_order_lines.csv
POL0000000162,PO00000058,1,SKU0000521,50,278.47,Cancelled,2026-06-20T05:01:24.070881+00:00,data/raw/transactions/purchase_order_lines.csv
POL0000000163,PO00000058,2,SKU0000345,1000,240.87,open ,2026-06-20T05:01:24.070881+00:00,data/raw/transactions/purchase_order_lines.csv
POL0000000164,PO00000059,1,SKU0000523,,261.93,Open,2026-06-20T05:01:24.070881+00:00,data/raw/transactions/purchase_order_lines.csv
POL0000000165,PO00000059,2,SKU0000460,500,163.81,Partial,2026-06-20T05:01:24.070881+00:00,data/raw/transactions/purchase_order_lines.csv
POL0000000166,PO00000059,3,SKU0000459,,220.01,Cancelled,2026-06-20T05:01:24.070881+00:00,data/raw/transactions/purchase_order_lines.csv
POL0000000167,PO00000059,4,SKU0000529,,230.58,open ,2026-06-20T05:01:24.070881+00:00,data/raw/transactions/purchase_order_lines.csv
POL0000000168,PO00000060,1,SKU0000060,-5,97.86,Cancelled,2026-06-20T05:01:24.070881+00:00,data/raw/transactions/purchase_order_lines.csv
POL0000000169,PO00000061,1,SKU0000633,50,50.73,open ,2026-06-20T05:01:24.070881+00:00,data/raw/transactions/purchase_order_lines.csv
POL0000000170,PO00000062,1,SKU0000357,-5,137.90,open ,2026-06-20T05:01:24.070881+00:00,data/raw/transactions/purchase_order_lines.csv
POL0000000171,PO00000062,2,SKU0000032,50,111.82,Cancelled,2026-06-20T05:01:24.070881+00:00,data/raw/transactions/purchase_order_lines.csv
POL0000000172,PO00000062,3,SKU0000321,500,128.78,open ,2026-06-20T05:01:24.070881+00:00,data/raw/transactions/purchase_order_lines.csv
POL0000000173,PO00000063,1,SKU0000489,-5,248.68,Partial,2026-06-20T05:01:24.070881+00:00,data/raw/transactions/purchase_order_lines.csv
POL0000000174,PO00000063,2,SKU0000060,100,15.25,Received,2026-06-20T05:01:24.070881+00:00,data/raw/transactions/purchase_order_lines.csv
POL0000000175,PO00000064,1,SKU0000633,50,50.73,Open,2026-06-20T05:01:24.070881+00:00,data/raw/transactions/purchase_order_lines.csv
POL0000000176,PO00000064,2,SKU0000202,50,51.89,Open,2026-06-20T05:01:24.070881+00:00,data/raw/transactions/purchase_order_lines.csv
POL0000000177,PO00000064,3,SKU0000209,100,228.55,Open,2026-06-20T05:01:24.070881+00:00,data/raw/transactions/purchase_order_lines.csv
POL0000000178,PO00000064,4,SKU0000489,-5,248.68,open ,2026-06-20T05:01:24.070881+00:00,data/raw/transactions/purchase_order_lines.csv
POL0000000179,PO00000065,1,SKU0000161,50,167.98,Cancelled,2026-06-20T05:01:24.070881+00:00,data/raw/transactions/purchase_order_lines.csv
POL0000000180,PO00000065,2,SKU0000287,-5,153.33,Partial,2026-06-20T05:01:24.070881+00:00,data/raw/transactions/purchase_order_lines.csv
POL0000000181,PO00000065,3,SKU_UNKNOWN,50,83.39,Partial,2026-06-20T05:01:24.070881+00:00,data/raw/transactions/purchase_order_lines.csv
POL0000000182,PO00000066,1,SKU0000245,500,209.38,Partial,2026-06-20T05:01:24.070881+00:00,data/raw/transactions/purchase_order_lines.csv
POL0000000183,PO00000067,1,SKU0000134,100,220.35,Received,2026-06-20T05:01:24.070881+00:00,data/raw/transactions/purchase_order_lines.csv
POL0000000184,PO00000067,2,SKU0000053,100,104.27,Partial,2026-06-20T05:01:24.070881+00:00,data/raw/transactions/purchase_order_lines.csv
POL0000000185,PO00000067,3,SKU0000052,,81.58,Open,2026-06-20T05:01:24.070881+00:00,data/raw/transactions/purchase_order_lines.csv
POL0000000186,PO00000067,4,SKU0000318,,275.06,open ,2026-06-20T05:01:24.070881+00:00,data/raw/transactions/purchase_order_lines.csv
POL0000000187,PO00000068,1,SKU0000548,500,153.70,Open,2026-06-20T05:01:24.070881+00:00,data/raw/transactions/purchase_order_lines.csv
POL0000000188,PO00000068,2,SKU0000690,500,160.08,Cancelled,2026-06-20T05:01:24.070881+00:00,data/raw/transactions/purchase_order_lines.csv
POL0000000189,PO00000068,3,SKU0000685,,278.17,Cancelled,2026-06-20T05:01:24.070881+00:00,data/raw/transactions/purchase_order_lines.csv
POL0000000190,PO00000068,4,SKU0000255,50,205.18,Received,2026-06-20T05:01:24.070881+00:00,data/raw/transactions/purchase_order_lines.csv
