order_line_id,order_id,line_number,product_id,ordered_qty,unit_price,discount_pct,line_status,_bronze_loaded_at_utc,_source_file
SOL0000000018,SO00000006,1,SKU0000524,15,,10,open ,2026-06-20T05:01:23.969263+00:00,data/raw/transactions/sales_order_lines.csv
SOL0000000019,SO00000006,2,SKU0000559,-1,564.26,0,Shipped,2026-06-20T05:01:23.969263+00:00,data/raw/transactions/sales_order_lines.csv
SOL0000000020,SO00000006,3,SKU0000507,15,14.95,5,Shipped,2026-06-20T05:01:23.969263+00:00,data/raw/transactions/sales_order_lines.csv
SOL0000000021,SO00000006,4,SKU0000394,15,101.11,25,Open,2026-06-20T05:01:23.969263+00:00,data/raw/transactions/sales_order_lines.csv
SOL0000000022,SO00000006,5,SKU0000514,25,331.36,10,open ,2026-06-20T05:01:23.969263+00:00,data/raw/transactions/sales_order_lines.csv
SOL0000000023,SO00000007,1,SKU0000162,15,439.93,15,Backordered,2026-06-20T05:01:23.969263+00:00,data/raw/transactions/sales_order_lines.csv
SOL0000000024,SO00000007,2,SKU0000388,3,299.40,bad,Open,2026-06-20T05:01:23.969263+00:00,data/raw/transactions/sales_order_lines.csv
SOL0000000025,SO00000007,3,SKU0000570,50,672.22,10,Shipped,2026-06-20T05:01:23.969263+00:00,data/raw/transactions/sales_order_lines.csv
SOL0000000026,SO00000007,4,SKU0000613,50,39.33,5,open ,2026-06-20T05:01:23.969263+00:00,data/raw/transactions/sales_order_lines.csv
SOL0000000027,SO00000007,5,SKU0000654,5,329.62,10,Allocated,2026-06-20T05:01:23.969263+00:00,data/raw/transactions/sales_order_lines.csv
SOL0000000028,SO00000008,1,SKU0000128,10,287.67,2.5,Allocated,2026-06-20T05:01:23.969263+00:00,data/raw/transactions/sales_order_lines.csv
SOL0000000029,SO00000008,2,SKU0000287,5,271.01,15,Allocated,2026-06-20T05:01:23.969263+00:00,data/raw/transactions/sales_order_lines.csv
SOL0000000030,SO00000008,3,SKU0000001,2,216.79,0,Cancelled,2026-06-20T05:01:23.969263+00:00,data/raw/transactions/sales_order_lines.csv
SOL0000000031,SO00000008,4,SKU0000303,-1,62.08,15,open ,2026-06-20T05:01:23.969263+00:00,data/raw/transactions/sales_order_lines.csv
SOL0000000032,SO00000009,1,SKU0000335,-1,110.12,bad,Open,2026-06-20T05:01:23.969263+00:00,data/raw/transactions/sales_order_lines.csv
SOL0000000033,SO00000009,2,SKU0000545,15,256.79,5,Shipped,2026-06-20T05:01:23.969263+00:00,data/raw/transactions/sales_order_lines.csv
SOL0000000034,SO00000010,1,SKU0000500,50,32.85,5,Allocated,2026-06-20T05:01:23.969263+00:00,data/raw/transactions/sales_order_lines.csv
SOL0000000035,SO00000010,2,SKU0000304,10,194.31,,open ,2026-06-20T05:01:23.969263+00:00,data/raw/transactions/sales_order_lines.csv
SOL0000000036,SO00000011,1,SKU0000462,3,432.94,,Backordered,2026-06-20T05:01:23.969263+00:00,data/raw/transactions/sales_order_lines.csv
SOL0000000037,SO00000011,2,SKU0000536,1,633.26,25,Allocated,2026-06-20T05:01:23.969263+00:00,data/raw/transactions/sales_order_lines.csv
SOL0000000038,SO00000011,3,SKU0000184,3,202.45,5,Backordered,2026-06-20T05:01:23.969263+00:00,data/raw/transactions/sales_order_lines.csv
SOL0000000039,SO00000011,4,SKU0000679,5,364.05,15,Cancelled,2026-06-20T05:01:23.969263+00:00,data/raw/transactions/sales_order_lines.csv
SOL0000000040,SO00000011,5,SKU0000247,25,398.57,,Open,2026-06-20T05:01:23.969263+00:00,data/raw/transactions/sales_order_lines.csv
SOL0000000041,SO00000012,1,SKU0000166,3,240.50,10,Backordered,2026-06-20T05:01:23.969263+00:00,data/raw/transactions/sales_order_lines.csv
SOL0000000042,SO00000012,2,SKU0000011,15,351.58,25,Shipped,2026-06-20T05:01:23.969263+00:00,data/raw/transactions/sales_order_lines.csv
SOL0000000043,SO00000012,3,SKU0000573,10,279.28,25,Shipped,2026-06-20T05:01:23.969263+00:00,data/raw/transactions/sales_order_lines.csv
SOL0000000044,SO00000012,4,SKU0000543,5,27.79,15,Allocated,2026-06-20T05:01:23.969263+00:00,data/raw/transactions/sales_order_lines.csv
SOL0000000045,SO00000012,5,SKU0000108,1,542.93,,Backordered,2026-06-20T05:01:23.969263+00:00,data/raw/transactions/sales_order_lines.csv
SOL0000000046,SO00000013,1,SKU0000522,2,48.48,10,Open,2026-06-20T05:01:23.969263+00:00,data/raw/transactions/sales_order_lines.csv
SOL0000000047,SO00000013,2,SKU0000320,5,16.34,2.5,Cancelled,2026-06-20T05:01:23.969263+00:00,data/raw/transactions/sales_order_lines.csv
SOL0000000048,SO00000013,3,SKU0000665,1,173.98,15,Backordered,2026-06-20T05:01:23.969263+00:00,data/raw/transactions/sales_order_lines.csv
SOL0000000049,SO00000013,4,SKU0000288,5,258.49,0,Cancelled,2026-06-20T05:01:23.969263+00:00,data/raw/transactions/sales_order_lines.csv
SOL0000000050,SO00000014,1,SKU0000470,,228.59,5,Backordered,2026-06-20T05:01:23.969263+00:00,data/raw/transactions/sales_order_lines.csv
SOL0000000051,SO00000014,2,SKU0000520,50,196.00,,Allocated,2026-06-20T05:01:23.969263+00:00,data/raw/transactions/sales_order_lines.csv
SOL0000000052,SO00000014,3,SKU0000275,50,40.37,5,Open,2026-06-20T05:01:23.969263+00:00,data/raw/transactions/sales_order_lines.csv
SOL0000000053,SO00000015,1,SKU0000576,,750.86,15,Shipped,2026-06-20T05:01:23.969263+00:00,data/raw/transactions/sales_order_lines.csv
SOL0000000054,SO00000015,2,SKU0000391,10,286.20,bad,Shipped,2026-06-20T05:01:23.969263+00:00,data/raw/transactions/sales_order_lines.csv
SOL0000000055,SO00000015,3,SKU0000177,5,650.96,25,Cancelled,2026-06-20T05:01:23.969263+00:00,data/raw/transactions/sales_order_lines.csv
SOL0000000056,SO00000015,4,SKU0000251,2,645.99,2.5,open ,2026-06-20T05:01:23.969263+00:00,data/raw/transactions/sales_order_lines.csv
SOL0000000057,SO00000016,1,SKU0000457,,135.80,25,Open,2026-06-20T05:01:23.969263+00:00,data/raw/transactions/sales_order_lines.csv
SOL0000000058,SO00000016,2,SKU0000460,,210.30,5,Cancelled,2026-06-20T05:01:23.969263+00:00,data/raw/transactions/sales_order_lines.csv
SOL0000000059,SO00000016,3,SKU0000091,10,210.47,bad,Shipped,2026-06-20T05:01:23.969263+00:00,data/raw/transactions/sales_order_lines.csv
SOL0000000060,SO00000017,1,SKU0000610,-1,225.39,10,Open,2026-06-20T05:01:23.969263+00:00,data/raw/transactions/sales_order_lines.csv
SOL0000000061,SO00000018,1,SKU0000348,15,580.58,10,open ,2026-06-20T05:01:23.969263+00:00,data/raw/transactions/sales_order_lines.csv
SOL0000000062,SO00000018,2,SKU0000588,3,327.94,2.5,open ,2026-06-20T05:01:23.969263+00:00,data/raw/transactions/sales_order_lines.csv
SOL0000000063,SO00000018,3,SKU0000473,,165.69,0,open ,2026-06-20T05:01:23.969263+00:00,data/raw/transactions/sales_order_lines.csv
SOL0000000064,SO00000019,1,SKU0000550,50,183.10,0,Allocated,2026-06-20T05:01:23.969263+00:00,data/raw/transactions/sales_order_lines.csv
SOL0000000065,SO00000019,2,SKU0000360,5,283.42,,Shipped,2026-06-20T05:01:23.969263+00:00,data/raw/transactions/sales_order_lines.csv
SOL0000000066,SO00000019,3,SKU0000245,,409.02,bad,Allocated,2026-06-20T05:01:23.969263+00:00,data/raw/transactions/sales_order_lines.csv
SOL0000000067,SO00000020,1,SKU0000347,25,60.87,5,Shipped,2026-06-20T05:01:23.969263+00:00,data/raw/transactions/sales_order_lines.csv
SOL0000000068,SO00000020,2,SKU0000621,25,195.24,bad,Cancelled,2026-06-20T05:01:23.969263+00:00,data/raw/transactions/sales_order_lines.csv
SOL0000000069,SO00000021,1,SKU0000097,2,245.57,25,Cancelled,2026-06-20T05:01:23.969263+00:00,data/raw/transactions/sales_order_lines.csv
SOL0000000070,SO00000021,2,SKU0000436,-1,288.76,0,Cancelled,2026-06-20T05:01:23.969263+00:00,data/raw/transactions/sales_order_lines.csv
SOL0000000071,SO00000021,3,SKU0000420,50,,bad,Open,2026-06-20T05:01:23.969263+00:00,data/raw/transactions/sales_order_lines.csv
SOL0000000072,SO00000022,1,SKU0000447,,155.41,,open ,2026-06-20T05:01:23.969263+00:00,data/raw/transactions/sales_order_lines.csv
SOL0000000073,SO00000022,2,SKU0000558,,92.32,2.5,Cancelled,2026-06-20T05:01:23.969263+00:00,data/raw/transactions/sales_order_lines.csv
SOL0000000074,SO00000022,3,SKU0000355,1,308.27,10,Shipped,2026-06-20T05:01:23.969263+00:00,data/raw/transactions/sales_order_lines.csv
SOL0000000075,SO00000022,4,SKU0000590,-1,333.04,2.5,Open,2026-06-20T05:01:23.969263+00:00,data/raw/transactions/sales_order_lines.csv
SOL0000000076,SO00000023,1,SKU0000223,2,582.30,bad,Allocated,2026-06-20T05:01:23.969263+00:00,data/raw/transactions/sales_order_lines.csv
SOL0000000077,SO00000023,2,SKU0000258,3,367.50,2.5,open ,2026-06-20T05:01:23.969263+00:00,data/raw/transactions/sales_order_lines.csv
SOL0000000078,SO00000023,3,SKU0000682,3,99.75,0,Backordered,2026-06-20T05:01:23.969263+00:00,data/raw/transactions/sales_order_lines.csv
SOL0000000079,SO00000024,1,SKU0000503,3,37.48,10,Open,2026-06-20T05:01:23.969263+00:00,data/raw/transactions/sales_order_lines.csv
SOL0000000080,SO00000024,2,SKU0000071,2,245.77,bad,Cancelled,2026-06-20T05:01:23.969263+00:00,data/raw/transactions/sales_order_lines.csv
SOL0000000081,SO00000025,1,SKU0000323,-1,479.29,10,Allocated,2026-06-20T05:01:23.969263+00:00,data/raw/transactions/sales_order_lines.csv
SOL0000000082,SO00000025,2,SKU0000066,1,836.52,10,Cancelled,2026-06-20T05:01:23.969263+00:00,data/raw/transactions/sales_order_lines.csv
SOL0000000083,SO00000025,3,SKU0000270,10,56.32,bad,Open,2026-06-20T05:01:23.969263+00:00,data/raw/transactions/sales_order_lines.csv
SOL0000000084,SO00000026,1,SKU0000169,15,487.87,5,Allocated,2026-06-20T05:01:23.969263+00:00,data/raw/transactions/sales_order_lines.csv
SOL0000000085,SO00000027,1,SKU0000134,2,477.78,,open ,2026-06-20T05:01:23.969263+00:00,data/raw/transactions/sales_order_lines.csv
SOL0000000086,SO00000027,2,SKU0000373,50,326.52,0,open ,2026-06-20T05:01:23.969263+00:00,data/raw/transactions/sales_order_lines.csv
SOL0000000087,SO00000028,1,SKU0000125,,393.34,25,Backordered,2026-06-20T05:01:23.969263+00:00,data/raw/transactions/sales_order_lines.csv
SOL0000000088,SO00000028,2,SKU0000131,10,54.98,15,open ,2026-06-20T05:01:23.969263+00:00,data/raw/transactions/sales_order_lines.csv
SOL0000000089,SO00000028,3,SKU0000194,15,530.63,2.5,Allocated,2026-06-20T05:01:23.969263+00:00,data/raw/transactions/sales_order_lines.csv
SOL0000000090,SO00000028,4,SKU0000216,3,356.28,2.5,Allocated,2026-06-20T05:01:23.969263+00:00,data/raw/transactions/sales_order_lines.csv
SOL0000000091,SO00000029,1,SKU0000530,2,791.33,25,Allocated,2026-06-20T05:01:23.969263+00:00,data/raw/transactions/sales_order_lines.csv
SOL0000000092,SO00000029,2,SKU0000312,-1,40.75,10,Cancelled,2026-06-20T05:01:23.969263+00:00,data/raw/transactions/sales_order_lines.csv
SOL0000000093,SO00000029,3,SKU0000439,25,266.33,25,Allocated,2026-06-20T05:01:23.969263+00:00,data/raw/transactions/sales_order_lines.csv
SOL0000000094,SO00000029,4,SKU0000126,50,111.94,0,Allocated,2026-06-20T05:01:23.969263+00:00,data/raw/transactions/sales_order_lines.csv
SOL0000000095,SO00000030,1,SKU0000037,2,69.22,,Shipped,2026-06-20T05:01:23.969263+00:00,data/raw/transactions/sales_order_lines.csv
SOL0000000096,SO00000030,2,SKU0000146,2,318.38,10,Cancelled,2026-06-20T05:01:23.969263+00:00,data/raw/transactions/sales_order_lines.csv
SOL0000000097,SO00000030,3,SKU0000647,50,360.52,25,open ,2026-06-20T05:01:23.969263+00:00,data/raw/transactions/sales_order_lines.csv
SOL0000000098,SO00000031,1,SKU0000426,10,8.84,15,Open,2026-06-20T05:01:23.969263+00:00,data/raw/transactions/sales_order_lines.csv
SOL0000000099,SO00000032,1,SKU0000455,2,356.84,25,Open,2026-06-20T05:01:23.969263+00:00,data/raw/transactions/sales_order_lines.csv
SOL0000000100,SO00000032,2,SKU0000576,50,711.34,10,Open,2026-06-20T05:01:23.969263+00:00,data/raw/transactions/sales_order_lines.csv
SOL0000000101,SO00000033,1,SKU0000617,15,541.63,25,open ,2026-06-20T05:01:23.969263+00:00,data/raw/transactions/sales_order_lines.csv
SOL0000000102,SO00000033,2,SKU0000584,2,20.81,0,Cancelled,2026-06-20T05:01:23.969263+00:00,data/raw/transactions/sales_order_lines.csv
SOL0000000103,SO00000033,3,SKU0000028,15,357.42,,Allocated,2026-06-20T05:01:23.969263+00:00,data/raw/transactions/sales_order_lines.csv
SOL0000000104,SO00000034,1,SKU0000411,2,248.09,5,Shipped,2026-06-20T05:01:23.969263+00:00,data/raw/transactions/sales_order_lines.csv
SOL0000000105,SO00000034,2,SKU0000587,5,241.26,bad,Backordered,2026-06-20T05:01:23.969263+00:00,data/raw/transactions/sales_order_lines.csv
SOL0000000106,SO00000034,3,SKU0000647,3,342.49,15,Backordered,2026-06-20T05:01:23.969263+00:00,data/raw/transactions/sales_order_lines.csv
SOL0000000107,SO00000034,4,SKU0000620,15,62.44,15,open ,2026-06-20T05:01:23.969263+00:00,data/raw/transactions/sales_order_lines.csv
SOL0000000108,SO00000034,5,SKU0000064,,262.50,15,Shipped,2026-06-20T05:01:23.969263+00:00,data/raw/transactions/sales_order_lines.csv
SOL0000000109,SO00000035,1,SKU0000104,10,322.61,25,Allocated,2026-06-20T05:01:23.969263+00:00,data/raw/transactions/sales_order_lines.csv
SOL0000000110,SO00000035,2,SKU0000508,1,20.61,0,open ,2026-06-20T05:01:23.969263+00:00,data/raw/transactions/sales_order_lines.csv
SOL0000000111,SO00000035,3,SKU0000561,2,185.40,2.5,Open,2026-06-20T05:01:23.969263+00:00,data/raw/transactions/sales_order_lines.csv
SOL0000000112,SO00000035,4,SKU0000384,5,668.89,0,Open,2026-06-20T05:01:23.969263+00:00,data/raw/transactions/sales_order_lines.csv
SOL0000000113,SO00000036,1,SKU0000523,3,689.08,bad,Allocated,2026-06-20T05:01:23.969263+00:00,data/raw/transactions/sales_order_lines.csv
SOL0000000114,SO00000036,2,SKU0000518,3,276.31,25,Cancelled,2026-06-20T05:01:23.969263+00:00,data/raw/transactions/sales_order_lines.csv
SOL0000000115,SO00000036,3,SKU0000346,2,396.42,15,Shipped,2026-06-20T05:01:23.969263+00:00,data/raw/transactions/sales_order_lines.csv
SOL0000000116,SO00000036,4,SKU0000193,1,423.50,10,Backordered,2026-06-20T05:01:23.969263+00:00,data/raw/transactions/sales_order_lines.csv
SOL0000000117,SO00000037,1,SKU0000320,50,15.48,0,Cancelled,2026-06-20T05:01:23.969263+00:00,data/raw/transactions/sales_order_lines.csv
SOL0000000118,SO00000037,2,SKU0000032,25,167.21,10,Cancelled,2026-06-20T05:01:23.969263+00:00,data/raw/transactions/sales_order_lines.csv
SOL0000000119,SO00000037,3,SKU0000555,1,518.96,10,Open,2026-06-20T05:01:23.969263+00:00,data/raw/transactions/sales_order_lines.csv
SOL0000000120,SO00000038,1,SKU0000608,1,354.39,0,Shipped,2026-06-20T05:01:23.969263+00:00,data/raw/transactions/sales_order_lines.csv
SOL0000000121,SO00000038,2,SKU0000292,10,148.12,15,open ,2026-06-20T05:01:23.969263+00:00,data/raw/transactions/sales_order_lines.csv
SOL0000000122,SO00000038,3,SKU0000433,10,51.34,25,Open,2026-06-20T05:01:23.969263+00:00,data/raw/transactions/sales_order_lines.csv
SOL0000000123,SO00000038,4,SKU0000163,5,147.36,15,Shipped,2026-06-20T05:01:23.969263+00:00,data/raw/transactions/sales_order_lines.csv
SOL0000000124,SO00000039,1,SKU0000573,,279.28,2.5,Cancelled,2026-06-20T05:01:23.969263+00:00,data/raw/transactions/sales_order_lines.csv
SOL0000000125,SO00000039,2,SKU0000610,2,213.53,2.5,Open,2026-06-20T05:01:23.969263+00:00,data/raw/transactions/sales_order_lines.csv
SOL0000000126,SO00000040,1,SKU0000593,50,266.44,15,Allocated,2026-06-20T05:01:23.969263+00:00,data/raw/transactions/sales_order_lines.csv
SOL0000000127,SO00000040,2,SKU0000092,,41.77,10,Open,2026-06-20T05:01:23.969263+00:00,data/raw/transactions/sales_order_lines.csv
SOL0000000128,SO00000041,1,SKU0000079,15,216.55,15,Open,2026-06-20T05:01:23.969263+00:00,data/raw/transactions/sales_order_lines.csv
SOL0000000129,SO00000041,2,SKU0000668,10,194.64,,Allocated,2026-06-20T05:01:23.969263+00:00,data/raw/transactions/sales_order_lines.csv
SOL0000000130,SO00000041,3,SKU0000620,3,65.73,15,Open,2026-06-20T05:01:23.969263+00:00,data/raw/transactions/sales_order_lines.csv
SOL0000000131,SO00000041,4,SKU0000184,3,173.53,bad,Backordered,2026-06-20T05:01:23.969263+00:00,data/raw/transactions/sales_order_lines.csv
SOL0000000132,SO00000041,5,SKU0000348,1,497.64,10,Cancelled,2026-06-20T05:01:23.969263+00:00,data/raw/transactions/sales_order_lines.csv
SOL0000000133,SO00000042,1,SKU0000115,,,15,Allocated,2026-06-20T05:01:23.969263+00:00,data/raw/transactions/sales_order_lines.csv
SOL0000000134,SO00000042,2,SKU0000132,15,462.99,5,Cancelled,2026-06-20T05:01:23.969263+00:00,data/raw/transactions/sales_order_lines.csv
SOL0000000135,SO00000042,3,SKU0000004,15,18.15,5,Open,2026-06-20T05:01:23.969263+00:00,data/raw/transactions/sales_order_lines.csv
SOL0000000136,SO00000042,4,SKU0000016,50,18.09,10,Shipped,2026-06-20T05:01:23.969263+00:00,data/raw/transactions/sales_order_lines.csv
SOL0000000137,SO00000042,5,SKU0000496,10,4.12,10,Open,2026-06-20T05:01:23.969263+00:00,data/raw/transactions/sales_order_lines.csv
SOL0000000138,SO00000043,1,SKU0000671,10,50.71,0,Shipped,2026-06-20T05:01:23.969263+00:00,data/raw/transactions/sales_order_lines.csv
SOL0000000139,SO00000043,2,SKU0000209,3,349.09,bad,Allocated,2026-06-20T05:01:23.969263+00:00,data/raw/transactions/sales_order_lines.csv
SOL0000000140,SO00000044,1,SKU0000550,5,183.10,5,Cancelled,2026-06-20T05:01:23.969263+00:00,data/raw/transactions/sales_order_lines.csv
SOL0000000141,SO00000045,1,SKU0000291,3,110.43,0,Cancelled,2026-06-20T05:01:23.969263+00:00,data/raw/transactions/sales_order_lines.csv
SOL0000000142,SO00000045,2,SKU0000070,-1,41.81,25,Cancelled,2026-06-20T05:01:23.969263+00:00,data/raw/transactions/sales_order_lines.csv
SOL0000000143,SO00000045,3,SKU0000420,,293.68,25,Open,2026-06-20T05:01:23.969263+00:00,data/raw/transactions/sales_order_lines.csv
SOL0000000144,SO00000046,1,SKU0000106,,83.84,,Cancelled,2026-06-20T05:01:23.969263+00:00,data/raw/transactions/sales_order_lines.csv
SOL0000000145,SO00000047,1,SKU0000346,25,440.47,25,Allocated,2026-06-20T05:01:23.969263+00:00,data/raw/transactions/sales_order_lines.csv
SOL0000000146,SO00000047,2,SKU0000187,50,508.85,0,Cancelled,2026-06-20T05:01:23.969263+00:00,data/raw/transactions/sales_order_lines.csv
SOL0000000147,SO00000047,3,SKU0000524,15,693.07,bad,Allocated,2026-06-20T05:01:23.969263+00:00,data/raw/transactions/sales_order_lines.csv
SOL0000000148,SO00000047,4,SKU0000679,1,345.85,5,Allocated,2026-06-20T05:01:23.969263+00:00,data/raw/transactions/sales_order_lines.csv
SOL0000000149,SO00000048,1,SKU0000100,50,361.42,10,open ,2026-06-20T05:01:23.969263+00:00,data/raw/transactions/sales_order_lines.csv
SOL0000000150,SO00000048,2,SKU0000188,25,160.51,0,open ,2026-06-20T05:01:23.969263+00:00,data/raw/transactions/sales_order_lines.csv
SOL0000000151,SO00000048,3,SKU0000649,15,323.32,5,Backordered,2026-06-20T05:01:23.969263+00:00,data/raw/transactions/sales_order_lines.csv
SOL0000000152,SO00000048,4,SKU0000573,50,279.28,,Allocated,2026-06-20T05:01:23.969263+00:00,data/raw/transactions/sales_order_lines.csv
SOL0000000153,SO00000049,1,SKU0000005,10,235.84,15,Backordered,2026-06-20T05:01:23.969263+00:00,data/raw/transactions/sales_order_lines.csv
SOL0000000154,SO00000049,2,SKU0000428,-1,185.22,2.5,Shipped,2026-06-20T05:01:23.969263+00:00,data/raw/transactions/sales_order_lines.csv
SOL0000000155,SO00000050,1,SKU0000144,2,342.88,25,open ,2026-06-20T05:01:23.969263+00:00,data/raw/transactions/sales_order_lines.csv
SOL0000000156,SO00000050,2,SKU0000647,,342.49,5,open ,2026-06-20T05:01:23.969263+00:00,data/raw/transactions/sales_order_lines.csv
SOL0000000157,SO00000051,1,SKU0000183,5,4.16,15,Allocated,2026-06-20T05:01:23.969263+00:00,data/raw/transactions/sales_order_lines.csv
SOL0000000158,SO00000051,2,SKU0000147,-1,552.02,,Shipped,2026-06-20T05:01:23.969263+00:00,data/raw/transactions/sales_order_lines.csv
SOL0000000159,SO00000051,3,SKU0000665,15,173.98,25,open ,2026-06-20T05:01:23.969263+00:00,data/raw/transactions/sales_order_lines.csv
SOL0000000160,SO00000052,1,SKU0000495,3,371.24,2.5,Cancelled,2026-06-20T05:01:23.969263+00:00,data/raw/transactions/sales_order_lines.csv
SOL0000000161,SO00000052,2,SKU0000461,15,27.80,0,Open,2026-06-20T05:01:23.969263+00:00,data/raw/transactions/sales_order_lines.csv
SOL0000000162,SO00000052,3,SKU0000571,-1,107.12,10,Shipped,2026-06-20T05:01:23.969263+00:00,data/raw/transactions/sales_order_lines.csv
SOL0000000163,SO00000053,1,SKU0000122,10,155.35,10,Shipped,2026-06-20T05:01:23.969263+00:00,data/raw/transactions/sales_order_lines.csv
SOL0000000164,SO00000053,2,SKU0000212,-1,364.63,,Cancelled,2026-06-20T05:01:23.969263+00:00,data/raw/transactions/sales_order_lines.csv
SOL0000000165,SO00000053,3,SKU0000104,10,339.59,10,Backordered,2026-06-20T05:01:23.969263+00:00,data/raw/transactions/sales_order_lines.csv
SOL0000000166,SO00000053,4,SKU0000601,10,138.72,2.5,Allocated,2026-06-20T05:01:23.969263+00:00,data/raw/transactions/sales_order_lines.csv
SOL0000000167,SO00000054,1,SKU0000628,-1,367.74,,Shipped,2026-06-20T05:01:23.969263+00:00,data/raw/transactions/sales_order_lines.csv
SOL0000000168,SO00000054,2,SKU0000597,1,319.82,15,open ,2026-06-20T05:01:23.969263+00:00,data/raw/transactions/sales_order_lines.csv
SOL0000000169,SO00000055,1,SKU0000459,5,572.01,5,Shipped,2026-06-20T05:01:23.969263+00:00,data/raw/transactions/sales_order_lines.csv
SOL0000000170,SO00000055,2,SKU0000033,,25.52,5,Cancelled,2026-06-20T05:01:23.969263+00:00,data/raw/transactions/sales_order_lines.csv
SOL0000000171,SO00000055,3,SKU0000072,50,344.18,bad,Allocated,2026-06-20T05:01:23.969263+00:00,data/raw/transactions/sales_order_lines.csv
SOL0000000172,SO00000055,4,SKU0000424,5,576.37,25,Allocated,2026-06-20T05:01:23.969263+00:00,data/raw/transactions/sales_order_lines.csv
SOL0000000173,SO00000055,5,SKU0000264,1,512.44,10,Open,2026-06-20T05:01:23.969263+00:00,data/raw/transactions/sales_order_lines.csv
SOL0000000174,SO00000056,1,SKU0000118,15,451.13,,Shipped,2026-06-20T05:01:23.969263+00:00,data/raw/transactions/sales_order_lines.csv
SOL0000000175,SO00000056,2,SKU0000117,50,10.65,2.5,Cancelled,2026-06-20T05:01:23.969263+00:00,data/raw/transactions/sales_order_lines.csv
SOL0000000176,SO00000056,3,SKU0000587,-1,254.67,25,Backordered,2026-06-20T05:01:23.969263+00:00,data/raw/transactions/sales_order_lines.csv
SOL0000000177,SO00000056,4,SKU0000591,3,89.97,2.5,Shipped,2026-06-20T05:01:23.969263+00:00,data/raw/transactions/sales_order_lines.csv
SOL0000000178,SO00000057,1,SKU0000432,15,374.49,10,Allocated,2026-06-20T05:01:23.969263+00:00,data/raw/transactions/sales_order_lines.csv
SOL0000000179,SO00000058,1,SKU0000618,,48.07,bad,Shipped,2026-06-20T05:01:23.969263+00:00,data/raw/transactions/sales_order_lines.csv
SOL0000000180,SO00000058,2,SKU0000139,5,193.85,5,Shipped,2026-06-20T05:01:23.969263+00:00,data/raw/transactions/sales_order_lines.csv
SOL0000000181,SO00000058,3,SKU0000665,15,183.14,0,open ,2026-06-20T05:01:23.969263+00:00,data/raw/transactions/sales_order_lines.csv
SOL0000000182,SO00000058,4,SKU0000406,15,26.00,bad,Allocated,2026-06-20T05:01:23.969263+00:00,data/raw/transactions/sales_order_lines.csv
SOL0000000183,SO00000058,5,SKU0000385,3,318.53,25,open ,2026-06-20T05:01:23.969263+00:00,data/raw/transactions/sales_order_lines.csv
