event_id,shipment_id,event_ts,event_type,event_location,event_notes,_bronze_loaded_at_utc,_source_file
SE0000000018,SHP00000004,2026-05-15 05:26:00,Arrived Hub,Vancouver Crossdock,OK,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000000019,SHP00000005,2026-03-28 13:04:00,Delivered,Denver Hub,Delay due to weather,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000000020,SHP00000005,2026-03-29 10:04:00,Picked,Atlanta DC,Scanned,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000000021,SHP00000005,2026-03-29 09:04:00,Departed Warehouse,Guadalajara DC,Capacity issue,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000000022,SHP00000005,2026-03-31 07:04:00,Packed,Chicago DC,,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000000023,SHP00000005,2026-03-31 17:04:00,Exception,Denver Hub,Capacity issue,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000000024,SHP00000005,2026-03-29 09:04:00,Out for Delivery,Miami Fulfillment,Capacity issue,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000000025,SHP00000006,2026-03-04 20:49:00,Exception,Phoenix DC,OK,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000000026,SHP00000006,2026-03-05 14:49:00,Departed Warehouse,Chicago DC,Capacity issue,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000000027,SHP00000006,2026-03-06 06:49:00,Delivered,Phoenix DC,OK,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000000028,SHP00000006,2026-03-07 14:49:00,Arrived Hub,Monterrey Fulfillment,Delay due to weather,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000000029,SHP00000007,2026-04-21 07:14:00,Arrived Hub,Guadalajara Hub,,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000000030,SHP00000007,2026-04-22 05:14:00,Exception,Denver Crossdock,Capacity issue,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000000031,SHP00000007,2026-04-21 19:14:00,Picked,Atlanta Crossdock,,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000000032,SHP00000008,2026-01-20 02:49:00,Packed,Guadalajara DC,Delay due to weather,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000000033,SHP00000008,2026-01-21 00:49:00,Exception,Monterrey Fulfillment,Delay due to weather,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000000034,SHP00000008,2026-01-22 10:49:00,Departed Warehouse,Guadalajara Hub,,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000000035,SHP00000008,2026-01-23 02:49:00,Arrived Hub,Phoenix DC,Delay due to weather,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000000036,SHP00000009,2026-06-04 14:52:00,Departed Warehouse,Denver Hub,Capacity issue,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000000037,SHP00000009,2026-06-05 17:52:00,Out for Delivery,Chicago DC,,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000000038,SHP00000009,2026-06-05 14:52:00,Exception,Monterrey Fulfillment,Capacity issue,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000000039,SHP00000009,2026-06-05 11:52:00,Packed,Guadalajara DC,,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000000040,SHP00000010,2026-04-26 09:30:00,Arrived Hub,Chicago DC,Capacity issue,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000000041,SHP00000010,2026-04-27 06:30:00,Out for Delivery,Atlanta Crossdock,Scanned,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000000042,SHP00000010,2026-04-27 11:30:00,Picked,Chicago DC,Delay due to weather,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000000043,SHP00000011,2026-06-01 00:04:00,Arrived Hub,Atlanta Crossdock,Delay due to weather,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000000044,SHP00000011,2026-06-02 02:04:00,Picked,Guadalajara DC,Capacity issue,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000000045,SHP00000011,2026-06-02 16:04:00,Exception,Monterrey Fulfillment,OK,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000000046,SHP00000011,2026-06-02 18:04:00,Delivered,Guadalajara Fulfillment,,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000000047,SHP00000012,2026-03-27 17:12:00,Exception,Atlanta DC,Capacity issue,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000000048,SHP00000012,2026-03-27 22:12:00,Departed Warehouse,Miami DC,OK,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000000049,SHP00000012,2026-03-28 01:12:00,Picked,Guadalajara DC,OK,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000000050,SHP00000012,2026-03-28 11:12:00,Out for Delivery,Seattle Fulfillment,Capacity issue,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000000051,SHP00000012,2026-03-29 09:12:00,Packed,Denver Crossdock,Scanned,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000000052,SHP00000013,2026-02-19 12:23:00,Packed,Denver Hub,Capacity issue,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000000053,SHP00000013,2026-02-20 18:23:00,Arrived Hub,Seattle Crossdock,,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000000054,SHP00000013,2026-02-22 00:23:00,Delivered,Denver Hub,OK,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000000055,SHP00000013,2026-02-21 00:23:00,Out for Delivery,Monterrey Fulfillment,Delay due to weather,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000000056,SHP00000013,2026-02-23 08:23:00,Picked,Miami Fulfillment,Capacity issue,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000000057,SHP00000013,2026-02-24 02:23:00,Exception,Vancouver Crossdock,OK,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000000058,SHP00000014,2026-05-05 12:04:00,Delivered,Guadalajara DC,Delay due to weather,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000000059,SHP00000014,2026-05-05 18:04:00,Exception,Boston Hub,Delay due to weather,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000000060,SHP00000014,2026-05-07 22:04:00,Out for Delivery,Chicago DC,OK,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000000061,SHP00000014,2026-05-07 12:04:00,Arrived Hub,Boston Hub,Capacity issue,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000000062,SHP00000014,2026-05-07 08:04:00,Packed,Guadalajara DC,OK,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000000063,SHP00000014,2026-05-08 05:04:00,Picked,Denver Crossdock,Delay due to weather,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000000064,SHP00000015,2026-05-18 14:12:00,Delivered,Guadalajara DC,Scanned,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000000065,SHP00000015,2026-05-19 15:12:00,Arrived Hub,Denver Crossdock,Scanned,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000000066,SHP00000015,2026-05-19 20:12:00,Departed Warehouse,Boston Hub,OK,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000000067,SHP00000016,2026-04-16 21:56:00,Departed Warehouse,Guadalajara Crossdock,Capacity issue,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000000068,SHP00000016,2026-04-17 21:56:00,Delivered,Guadalajara Crossdock,Delay due to weather,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000000069,SHP00000016,2026-04-17 17:56:00,Picked,Seattle Fulfillment,Capacity issue,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000000070,SHP00000016,2026-04-19 09:56:00,Exception,Boston Crossdock,OK,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000000071,SHP00000017,2026-05-06 21:59:00,Delivered,Denver Hub,Capacity issue,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000000072,SHP00000017,2026-05-07 20:59:00,Arrived Hub,Denver Hub,Delay due to weather,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000000073,SHP00000017,2026-05-08 01:59:00,Out for Delivery,Guadalajara DC,Delay due to weather,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000000074,SHP00000017,2026-05-09 09:59:00,Exception,Guadalajara DC,Scanned,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000000075,SHP00000018,2026-03-30 05:43:00,Delivered,Denver Hub,OK,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000000076,SHP00000018,2026-03-31 11:43:00,Departed Warehouse,Atlanta DC,OK,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000000077,SHP00000018,2026-03-31 03:43:00,Packed,Atlanta DC,Scanned,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000000078,SHP00000018,2026-04-01 11:43:00,Exception,Boston Hub,,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000000079,SHP00000018,2026-04-01 17:43:00,Arrived Hub,Seattle Fulfillment,,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000000080,SHP00000018,2026-03-31 16:43:00,Picked,Phoenix DC,Capacity issue,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000000081,SHP00000019,2026-03-05 03:21:00,Departed Warehouse,Guadalajara Hub,,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000000082,SHP00000019,2026-03-05 22:21:00,Exception,Atlanta DC,Delay due to weather,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000000083,SHP00000019,2026-03-07 09:21:00,Arrived Hub,Atlanta DC,Capacity issue,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000000084,SHP00000019,2026-03-08 15:21:00,Packed,Vancouver Crossdock,Delay due to weather,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000000085,SHP00000020,2026-06-09 05:44:00,Departed Warehouse,Seattle Crossdock,Scanned,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000000086,SHP00000020,2026-06-10 04:44:00,Delivered,Guadalajara Hub,Scanned,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000000087,SHP00000020,2026-06-11 11:44:00,Arrived Hub,Vancouver DC,Scanned,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000000088,SHP00000020,2026-06-11 17:44:00,Packed,Vancouver Crossdock,Scanned,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000000089,SHP00000020,2026-06-12 05:44:00,Picked,Monterrey Fulfillment,Capacity issue,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000000090,SHP00000021,2026-01-27 04:38:00,Exception,Monterrey Fulfillment,Delay due to weather,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000000091,SHP00000021,2026-01-28 03:38:00,Delivered,Guadalajara Crossdock,,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000000092,SHP00000021,2026-01-28 20:38:00,Packed,Atlanta DC,,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000000093,SHP00000022,2026-03-21 06:06:00,Departed Warehouse,Atlanta DC,OK,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000000094,SHP00000022,2026-03-22 12:06:00,Packed,Seattle Fulfillment,Capacity issue,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000000095,SHP00000022,2026-03-21 22:06:00,Out for Delivery,Guadalajara DC,OK,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000000096,SHP00000022,2026-03-23 03:06:00,Arrived Hub,Boston Hub,Capacity issue,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000000097,SHP00000023,2026-03-11 18:50:00,Packed,Guadalajara Fulfillment,Scanned,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000000098,SHP00000023,2026-03-12 16:50:00,Out for Delivery,Guadalajara DC,OK,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000000099,SHP00000023,2026-03-13 22:50:00,Arrived Hub,Guadalajara DC,,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000000100,SHP00000023,2026-03-13 03:50:00,Departed Warehouse,Phoenix DC,Capacity issue,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000000101,SHP00000024,2026-02-22 11:45:00,Packed,Vancouver DC,,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000000102,SHP00000024,2026-02-22 22:45:00,Arrived Hub,Guadalajara Fulfillment,OK,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000000103,SHP00000024,2026-02-23 19:45:00,Delivered,Vancouver DC,,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000000104,SHP00000024,2026-02-23 02:45:00,Out for Delivery,Phoenix DC,Capacity issue,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000000105,SHP00000024,2026-02-25 07:45:00,Departed Warehouse,Vancouver Crossdock,OK,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000000106,SHP00000024,2026-02-26 05:45:00,Exception,Vancouver DC,OK,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000000107,SHP00000025,2026-04-10 16:40:00,Departed Warehouse,Phoenix DC,Scanned,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000000108,SHP00000025,2026-04-11 00:40:00,Packed,Seattle Fulfillment,OK,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000000109,SHP00000025,2026-04-12 16:40:00,Exception,Guadalajara Crossdock,,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000000110,SHP00000025,2026-04-13 04:40:00,Picked,Denver Hub,Capacity issue,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000000111,SHP00000025,2026-04-15 00:40:00,Delivered,Phoenix DC,Scanned,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000000112,SHP00000025,2026-04-16 07:40:00,Arrived Hub,Boston Hub,,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000000113,SHP00000026,2026-04-22 17:31:00,Packed,Guadalajara DC,Capacity issue,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000000114,SHP00000026,2026-04-23 23:31:00,Out for Delivery,Guadalajara DC,Scanned,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000000115,SHP00000026,2026-04-24 19:31:00,Picked,Guadalajara Crossdock,,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000000116,SHP00000027,2026-04-26 02:01:00,Arrived Hub,Chicago DC,Scanned,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000000117,SHP00000027,2026-04-27 03:01:00,Picked,Vancouver Hub,Delay due to weather,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000000118,SHP00000027,2026-04-26 20:01:00,Packed,Boston Hub,,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000000119,SHP00000027,2026-04-27 20:01:00,Delivered,Guadalajara Hub,Delay due to weather,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000000120,SHP00000028,2026-05-10 22:47:00,Picked,Atlanta DC,,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000000121,SHP00000028,2026-05-11 04:47:00,Packed,Denver Hub,OK,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000000122,SHP00000028,2026-05-11 10:47:00,Departed Warehouse,Denver Hub,Delay due to weather,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000000123,SHP00000028,2026-05-13 13:47:00,Exception,Vancouver Crossdock,,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000000124,SHP00000028,2026-05-14 10:47:00,Out for Delivery,Chicago DC,OK,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000000125,SHP00000029,2026-05-05 04:49:00,Departed Warehouse,Miami DC,OK,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000000126,SHP00000029,2026-05-06 01:49:00,Exception,Atlanta DC,,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000000127,SHP00000029,2026-05-05 22:49:00,Picked,Atlanta Crossdock,Delay due to weather,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000000128,SHP00000030,2026-03-12 21:45:00,Arrived Hub,Atlanta DC,Capacity issue,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000000129,SHP00000030,2026-03-13 01:45:00,Out for Delivery,Boston Hub,Delay due to weather,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000000130,SHP00000030,2026-03-14 05:45:00,Packed,Vancouver Hub,Capacity issue,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000000131,SHP00000031,2026-04-08 13:49:00,Departed Warehouse,Vancouver Crossdock,OK,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000000132,SHP00000031,2026-04-09 05:49:00,Exception,Atlanta DC,OK,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000000133,SHP00000031,2026-04-08 23:49:00,Delivered,Atlanta DC,,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000000134,SHP00000031,2026-04-11 13:49:00,Packed,Phoenix DC,OK,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000000135,SHP00000031,2026-04-10 05:49:00,Out for Delivery,Guadalajara Hub,Scanned,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000000136,SHP00000032,2026-03-23 21:05:00,Departed Warehouse,Miami Fulfillment,OK,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000000137,SHP00000032,2026-03-24 11:05:00,Out for Delivery,Vancouver Hub,Scanned,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000000138,SHP00000032,2026-03-24 19:05:00,Arrived Hub,Phoenix DC,Scanned,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000000139,SHP00000033,2026-01-26 09:36:00,Arrived Hub,Vancouver Crossdock,OK,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000000140,SHP00000033,2026-01-26 17:36:00,Departed Warehouse,Monterrey Fulfillment,Delay due to weather,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000000141,SHP00000033,2026-01-27 19:36:00,Exception,Vancouver DC,,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000000142,SHP00000033,2026-01-27 03:36:00,Out for Delivery,Vancouver Crossdock,OK,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000000143,SHP00000033,2026-01-28 05:36:00,Picked,Phoenix DC,,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000000144,SHP00000034,2026-05-15 23:23:00,Out for Delivery,Chicago DC,Delay due to weather,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000000145,SHP00000034,2026-05-16 21:23:00,Picked,Guadalajara DC,Capacity issue,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000000146,SHP00000034,2026-05-16 17:23:00,Departed Warehouse,Guadalajara DC,,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000000147,SHP00000035,2026-05-30 00:50:00,Departed Warehouse,Chicago DC,Scanned,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000000148,SHP00000035,2026-05-31 04:50:00,Delivered,Phoenix DC,OK,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000000149,SHP00000035,2026-05-30 18:50:00,Exception,Seattle Fulfillment,Capacity issue,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000000150,SHP00000035,2026-05-31 18:50:00,Picked,Vancouver DC,Delay due to weather,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000000151,SHP00000035,2026-05-31 20:50:00,Out for Delivery,Guadalajara Hub,,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000000152,SHP00000036,2026-04-10 20:10:00,Exception,Phoenix DC,Scanned,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000000153,SHP00000036,2026-04-11 16:10:00,Out for Delivery,Vancouver Hub,Capacity issue,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000000154,SHP00000036,2026-04-11 06:10:00,Arrived Hub,Monterrey Fulfillment,Scanned,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000000155,SHP00000036,2026-04-14 02:10:00,Delivered,Boston Hub,Capacity issue,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000000156,SHP00000037,2026-03-27 10:47:00,Exception,Boston Hub,,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000000157,SHP00000037,2026-03-27 15:47:00,Picked,Chicago DC,,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000000158,SHP00000037,2026-03-28 18:47:00,Delivered,Miami Fulfillment,Scanned,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000000159,SHP00000038,2026-04-28 00:37:00,Exception,Guadalajara Fulfillment,,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000000160,SHP00000038,2026-04-28 23:37:00,Arrived Hub,Denver Hub,Capacity issue,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000000161,SHP00000038,2026-04-30 00:37:00,Packed,Denver Crossdock,Scanned,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000000162,SHP00000038,2026-05-01 03:37:00,Out for Delivery,Guadalajara Fulfillment,Capacity issue,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000000163,SHP00000039,2026-05-27 04:13:00,Picked,Denver Crossdock,Capacity issue,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000000164,SHP00000039,2026-05-27 08:13:00,Packed,Atlanta Crossdock,Delay due to weather,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
