call_id,subscriber_id,cell_id,call_start_ts,duration_seconds,call_direction,call_status,roaming_flag,source_system
CALL0000000023,SUB00004963,CELL000236,2026-05-01 06:20:20,40,MO,Failed,N,switch
CALL0000000024,SUB00000142,CELL000207,05/16/2026 22:48,200,MO,Dropped,N,switch
CALL0000000025,SUB00001796,CELL000126,04/14/2026 12:36,163,MT,Completed,N,switch
CALL0000000026,SUB00001158,CELL000248,2026-04-19 09:45:58,191,mo ,completed ,N,switch
CALL0000000027,SUB00001066,CELL000168,04/25/2026 14:51,67,mo ,Completed,No,switch
CALL0000000028,SUB00000389,CELL000059,05/02/2026 16:41,133,MO,Completed,N,switch
CALL0000000029,SUB00001973,CELL000238,05/05/2026 06:32,490,MT,Completed,N,switch
CALL0000000030,SUB00004700,CELL000151,04/25/2026 10:39,136,MO,Completed,No,switch
CALL0000000031,SUB00004595,CELL000219,05/26/2026 17:30,6,MT,Dropped,Y,switch
CALL0000000032,SUB00002140,CELL000014,04/23/2026 09:51,477,mo ,Dropped,N,switch
CALL0000000033,SUB00002912,CELL000113,04/15/2026 11:05,138,MO,Failed,N,switch
CALL0000000034,SUB00003900,CELL000032,2026-05-24 07:32:11,67,mo ,Dropped,N,switch
CALL0000000035,SUB00004785,CELL000177,05/26/2026 19:56,245,mo ,completed ,N,switch
CALL0000000036,SUB00000067,CELL000210,2026-05-11 04:32:55,198,MO,completed ,No,switch
CALL0000000037,SUB00004045,CELL000020,2026-04-10 19:41:14,723,mo ,completed ,No,switch
CALL0000000038,SUB00000542,CELL000129,2026-04-14 15:16:16,62,MT,Failed,Y,switch
CALL0000000039,SUB00001341,CELL000148,04/21/2026 13:12,185,MT,Completed,N,switch
CALL0000000040,SUB00000927,CELL000080,05/17/2026 09:35,143,mo ,completed ,N,switch
CALL0000000041,SUB00003092,CELL000232,04/03/2026 11:02,11,MO,Dropped,Y,switch
CALL0000000042,SUB00004677,CELL000255,2026-04-24 19:22:47,57,mo ,Dropped,No,switch
CALL0000000043,SUB00003088,CELL000228,2026-05-23 23:18:58,49,MO,completed ,N,switch
CALL0000000044,SUB00003036,CELL000197,04/04/2026 03:03,159,mo ,completed ,Y,switch
CALL0000000045,SUB00003905,CELL000002,04/25/2026 12:45,99,MO,Completed,N,switch
CALL0000000046,SUB00000012,CELL000157,2026-05-18 10:44:35,53,MT,Completed,No,switch
CALL0000000047,SUB00002693,CELL000249,2026-04-02 21:16:46,145,mo ,Dropped,No,switch
CALL0000000048,SUB00003888,CELL000217,05/08/2026 03:50,110,MT,Dropped,N,switch
CALL0000000049,SUB00003649,CELL000137,2026-05-10 08:47:05,22,mo ,Completed,No,switch
CALL0000000050,SUB00004308,CELL000069,04/27/2026 11:28,96,MO,Completed,N,switch
CALL0000000051,SUB00001921,CELL000217,05/26/2026 05:37,657,MO,Completed,No,switch
CALL0000000052,SUB00000076,CELL000137,05/26/2026 12:11,222,MT,Completed,N,switch
CALL0000000053,SUB00003515,CELL000227,05/31/2026 21:48,41,MO,Completed,N,switch
CALL0000000054,SUB00001627,CELL000056,04/10/2026 20:36,82,MO,Completed,N,switch
CALL0000000055,SUB00002256,CELL000188,04/05/2026 22:35,353,MT,Completed,No,switch
CALL0000000056,SUB00001941,CELL000248,2026-05-23 06:06:15,61,MO,Failed,N,switch
CALL0000000057,SUB00002466,CELL000231,05/08/2026 16:03,108,mo ,Completed,No,switch
CALL0000000058,SUB00001311,CELL000097,2026-04-05 13:42:37,94,MO,Dropped,Y,switch
CALL0000000059,SUB00000489,CELL000083,04/23/2026 13:20,184,MT,Failed,No,switch
CALL0000000060,SUB00004824,CELL000160,05/11/2026 09:03,130,mo ,Completed,No,switch
CALL0000000061,SUB00000593,CELL000109,2026-05-31 00:21:35,171,MO,completed ,Y,switch
CALL0000000062,SUB00002171,CELL000124,04/23/2026 10:56,55,MT,Completed,No,switch
CALL0000000063,SUB00004676,CELL000156,05/16/2026 20:36,41,MO,Failed,N,switch
CALL0000000064,SUB00001674,CELL000028,05/24/2026 19:20,506,mo ,Completed,N,switch
CALL0000000065,SUB00000282,CELL000099,2026-05-04 11:23:11,251,mo ,Failed,N,switch
CALL0000000066,SUB00002730,CELL000082,04/22/2026 04:17,117,mo ,Dropped,No,switch
CALL0000000067,SUB00000049,CELL000095,05/15/2026 19:33,321,MO,Completed,Y,switch
CALL0000000068,SUB00003529,CELL000163,2026-04-09 19:32:32,13,MO,Failed,N,switch
CALL0000000069,SUB00000074,CELL000138,2026-04-16 07:44:38,276,mo ,Completed,Y,switch
CALL0000000070,SUB00000652,CELL000218,04/26/2026 01:49,358,MO,Dropped,Y,switch
CALL0000000071,SUB00002572,CELL000202,05/19/2026 12:29,534,MT,Failed,N,switch
CALL0000000072,SUB00000141,CELL000047,05/11/2026 00:00,181,MT,Failed,N,switch
CALL0000000073,SUB00004615,CELL000207,04/08/2026 09:12,86,MT,Failed,N,switch
CALL0000000074,SUB00004779,CELL000143,05/27/2026 16:54,445,MT,Failed,Y,switch
CALL0000000075,SUB00003662,CELL000141,2026-05-03 00:27:26,53,mo ,Completed,N,switch
CALL0000000076,SUB00004667,CELL000204,2026-04-24 01:58:15,40,mo ,Dropped,N,switch
CALL0000000077,SUB00002009,CELL000187,04/09/2026 23:22,22,MO,Failed,N,switch
CALL0000000078,SUB00004748,CELL000116,2026-04-25 20:14:04,147,MO,Dropped,No,switch
CALL0000000079,SUB00002227,CELL000243,2026-04-09 19:57:11,186,MO,Failed,N,switch
CALL0000000080,SUB00000325,CELL000193,2026-04-02 11:09:06,141,MT,completed ,N,switch
CALL0000000081,SUB00002537,CELL000176,04/09/2026 17:22,195,MO,Failed,N,switch
CALL0000000082,SUB00004970,CELL000032,05/25/2026 18:38,174,MT,Dropped,No,switch
CALL0000000083,SUB00001225,CELL000212,2026-05-08 18:36:18,172,MT,Completed,Y,switch
CALL0000000084,SUB00003280,CELL000081,04/18/2026 21:32,157,MT,completed ,Y,switch
CALL0000000085,SUB00000218,CELL000044,2026-05-24 23:23:03,153,MO,Dropped,Y,switch
CALL0000000086,SUB00000834,CELL000090,05/12/2026 14:17,72,MO,Dropped,N,switch
CALL0000000087,SUB00003291,CELL000154,05/20/2026 20:36,81,MT,Completed,N,switch
CALL0000000088,SUB00004237,CELL000171,2026-05-24 03:33:00,245,MT,Completed,N,switch
CALL0000000089,SUB00003940,CELL000125,04/22/2026 20:09,71,MT,Dropped,No,switch
CALL0000000090,SUB00000023,CELL000228,2026-04-15 20:04:40,111,mo ,Completed,Y,switch
CALL0000000091,SUB00000313,CELL000022,2026-04-14 08:43:57,77,MO,completed ,N,switch
CALL0000000092,SUB00004324,CELL000156,05/11/2026 07:52,240,mo ,Failed,Y,switch
CALL0000000093,SUB00000034,CELL000188,05/05/2026 13:03,59,MO,completed ,N,switch
CALL0000000094,SUB00003757,CELL000040,2026-04-09 22:48:26,176,mo ,completed ,No,switch
CALL0000000095,SUB00000121,CELL000039,04/12/2026 12:01,78,MO,Failed,No,switch
CALL0000000096,SUB00002904,CELL000077,2026-05-03 07:07:45,173,mo ,Failed,Y,switch
CALL0000000097,SUB00001209,CELL000100,04/24/2026 15:52,410,mo ,completed ,N,switch
CALL0000000098,SUB00002415,CELL000079,2026-05-14 05:47:13,10,MT,Completed,N,switch
CALL0000000099,SUB00001960,CELL000173,2026-05-10 16:40:12,10,MO,Completed,N,switch
CALL0000000100,SUB00001267,CELL000175,2026-05-21 10:25:19,51,MT,Failed,N,switch
CALL0000000101,SUB00004014,CELL000004,05/15/2026 22:31,280,MO,Dropped,N,switch
CALL0000000102,SUB00001278,CELL000244,2026-05-22 06:32:44,547,MO,Failed,N,switch
CALL0000000103,SUB00003072,CELL000221,2026-04-18 22:43:05,100,MO,Dropped,N,switch
CALL0000000104,SUB00000168,CELL000050,2026-05-04 02:29:09,561,mo ,Completed,Y,switch
CALL0000000105,SUB00002915,CELL000194,05/04/2026 23:27,217,MO,Dropped,No,switch
CALL0000000106,SUB00000771,CELL000109,2026-04-29 06:58:51,205,mo ,Failed,N,switch
CALL0000000107,SUB00004043,CELL000035,2026-04-06 00:55:05,10,mo ,Completed,Y,switch
CALL0000000108,SUB00004659,CELL000199,05/31/2026 14:52,17,MO,Completed,N,switch
CALL0000000109,SUB00002546,CELL000203,2026-04-28 17:21:19,215,MT,Dropped,Y,switch
CALL0000000110,SUB00002730,CELL000176,2026-04-11 22:33:55,415,MO,Dropped,Y,switch
CALL0000000111,SUB00002566,CELL000228,05/29/2026 05:57,275,MO,Completed,N,switch
CALL0000000112,SUB00002196,CELL000017,2026-05-31 14:19:59,480,MT,Dropped,N,switch
CALL0000000113,SUB00001703,CELL000177,04/21/2026 17:03,30,mo ,Failed,N,switch
CALL0000000114,SUB00001305,CELL000159,2026-04-20 05:27:16,38,MO,completed ,No,switch
CALL0000000115,SUB00004351,CELL000152,2026-05-05 20:39:54,138,MO,Completed,N,switch
CALL0000000116,SUB00001661,CELL000069,2026-05-07 10:41:11,381,MT,completed ,N,switch
CALL0000000117,SUB00000781,CELL000133,05/26/2026 13:21,163,MT,Failed,Y,switch
CALL0000000118,SUB00001488,CELL000171,04/25/2026 17:36,55,MT,Dropped,N,switch
CALL0000000119,SUB00004263,CELL000168,2026-04-02 21:58:53,278,MT,completed ,No,switch
CALL0000000120,SUB00000549,CELL000180,2026-04-22 09:48:43,26,MT,Failed,No,switch
CALL0000000121,SUB00004945,CELL000014,2026-04-26 09:29:05,73,MT,Dropped,No,switch
CALL0000000122,SUB00003468,CELL000021,05/15/2026 01:07,328,mo ,Dropped,N,switch
CALL0000000123,SUB00003962,CELL000092,2026-05-27 20:16:55,195,MT,Completed,N,switch
CALL0000000124,SUB00000798,CELL000106,2026-05-29 13:23:10,44,MO,Dropped,Y,switch
CALL0000000125,SUB00003224,CELL000116,2026-04-28 04:41:46,123,MT,Completed,N,switch
CALL0000000126,SUB00002444,CELL000208,2026-04-29 09:45:44,161,mo ,Completed,N,switch
CALL0000000127,SUB00002344,CELL000035,2026-05-12 20:03:51,245,mo ,Dropped,Y,switch
CALL0000000128,SUB00000630,CELL000047,2026-04-10 17:56:21,26,mo ,Failed,No,switch
CALL0000000129,SUB00003885,CELL000020,05/19/2026 11:00,121,mo ,Failed,N,switch
CALL0000000130,SUB00004837,CELL000119,05/04/2026 06:23,93,MO,Failed,No,switch
CALL0000000131,SUB00000663,CELL000243,04/25/2026 09:06,115,MT,completed ,Y,switch
CALL0000000132,SUB00004962,CELL000099,05/15/2026 18:13,885,MO,Completed,N,switch
CALL0000000133,SUB00001273,CELL000025,2026-04-11 11:37:52,1,MO,Completed,Y,switch
CALL0000000134,SUB00002780,CELL000237,05/21/2026 14:21,72,MT,Failed,N,switch
CALL0000000135,SUB00002097,CELL000249,2026-04-26 02:47:26,344,MO,Failed,N,switch
CALL0000000136,SUB00002375,CELL000035,04/04/2026 20:42,75,MT,Dropped,Y,switch
CALL0000000137,SUB00001621,CELL000254,05/05/2026 01:06,322,MT,Completed,N,switch
CALL0000000138,SUB00002344,CELL000230,2026-05-08 06:48:50,131,MT,Completed,N,switch
CALL0000000139,SUB00001384,CELL000236,04/07/2026 15:24,1,MO,Completed,Y,switch
CALL0000000140,SUB00004451,CELL000236,05/03/2026 05:29,133,MO,Dropped,No,switch
CALL0000000141,SUB00002822,CELL000125,05/06/2026 04:25,36,MT,Failed,N,switch
CALL0000000142,SUB00000551,CELL000122,2026-04-17 07:57:20,18,MO,Completed,Y,switch
CALL0000000143,SUB00004564,CELL000112,2026-05-18 07:53:10,106,MT,completed ,No,switch
CALL0000000144,SUB00002667,CELL000076,2026-04-19 19:31:42,100,mo ,Failed,Y,switch
CALL0000000145,SUB00003123,CELL000065,2026-04-21 07:23:11,180,MT,Failed,No,switch
CALL0000000146,SUB00002121,CELL000161,05/11/2026 20:21,177,mo ,Completed,N,switch
CALL0000000147,SUB00001416,CELL000148,2026-04-02 01:02:53,109,MT,completed ,Y,switch
CALL0000000148,SUB00001022,CELL000194,2026-05-25 01:58:16,64,MO,completed ,N,switch
CALL0000000149,SUB00004533,CELL000080,05/09/2026 02:22,1,MT,Failed,No,switch
CALL0000000150,SUB00004329,CELL000033,2026-05-22 13:58:36,100,mo ,Failed,Y,switch
CALL0000000151,SUB00002897,CELL000174,2026-04-01 06:28:28,120,MT,Completed,N,switch
CALL0000000152,SUB00002374,CELL000070,05/08/2026 16:02,1346,mo ,Completed,N,switch
CALL0000000153,SUB00001383,CELL000176,2026-04-21 23:03:36,305,MO,Completed,Y,switch
CALL0000000154,SUB00001481,CELL000082,05/27/2026 11:10,5,MT,Failed,No,switch
CALL0000000155,SUB00002999,CELL000176,04/01/2026 17:14,36,MT,Completed,N,switch
CALL0000000156,SUB00001634,CELL000253,05/30/2026 08:59,60,MT,Completed,N,switch
CALL0000000157,SUB00001653,CELL000138,2026-04-02 09:37:55,2,MO,Dropped,Y,switch
CALL0000000158,SUB00003069,CELL000115,04/19/2026 18:59,31,MO,Failed,Y,switch
CALL0000000159,SUB00000330,CELL000023,05/08/2026 15:35,59,MT,Completed,Y,switch
CALL0000000160,SUB00001172,CELL000040,2026-05-19 19:18:52,314,MT,Completed,N,switch
CALL0000000161,SUB00002289,CELL000232,2026-05-26 09:07:50,479,mo ,completed ,N,switch
CALL0000000162,SUB00002000,CELL000097,04/22/2026 14:40,256,MT,Failed,No,switch
CALL0000000163,SUB00000805,CELL000103,2026-04-09 15:18:49,149,MT,Dropped,N,switch
CALL0000000164,SUB00000829,CELL000070,2026-04-05 09:20:49,132,mo ,Dropped,N,switch
CALL0000000165,SUB00003583,CELL000218,2026-05-07 18:57:47,55,mo ,completed ,N,switch
CALL0000000166,SUB00002756,CELL000103,2026-04-25 04:56:50,280,MO,Completed,Y,switch
CALL0000000167,SUB00003077,CELL000023,2026-05-28 06:38:14,854,MT,Dropped,N,switch
CALL0000000168,SUB00004394,CELL000162,2026-04-05 01:41:42,394,mo ,Completed,N,switch
CALL0000000169,SUB00004841,CELL000026,2026-05-02 17:37:29,36,MO,Completed,N,switch
CALL0000000170,SUB00000486,CELL000222,2026-04-05 22:38:19,125,MO,Completed,No,switch
CALL0000000171,SUB00000086,CELL000170,05/23/2026 19:04,1,MO,Completed,No,switch
CALL0000000172,SUB00000598,CELL000130,2026-05-15 06:56:56,18,MO,completed ,N,switch
CALL0000000173,SUB00002916,CELL000118,2026-05-03 08:00:54,127,MT,Completed,Y,switch
CALL0000000174,SUB00000216,CELL000248,2026-05-02 21:39:36,23,mo ,Completed,N,switch
CALL0000000175,SUB00002984,CELL000252,05/21/2026 15:36,715,MT,Failed,N,switch
CALL0000000176,SUB00001025,CELL000185,04/02/2026 15:55,197,MO,Failed,N,switch
CALL0000000177,SUB00002160,CELL000142,05/08/2026 03:36,480,MT,Dropped,N,switch
CALL0000000178,SUB00001728,CELL000086,2026-05-24 00:06:48,255,mo ,Completed,N,switch
CALL0000000179,SUB00000465,CELL000113,2026-05-13 00:00:52,23,MT,Dropped,N,switch
CALL0000000180,SUB00004047,CELL000130,2026-04-12 16:04:31,29,MO,completed ,N,switch
CALL0000000181,SUB00001736,CELL000126,05/22/2026 16:34,62,MO,completed ,N,switch
CALL0000000182,SUB00002012,CELL000018,2026-04-19 01:10:30,84,MO,Dropped,No,switch
CALL0000000183,SUB00001250,CELL000216,2026-04-11 23:17:22,106,mo ,Failed,N,switch
CALL0000000184,SUB00004683,CELL000170,05/30/2026 00:32,121,mo ,Dropped,Y,switch
CALL0000000185,SUB00003644,CELL000214,2026-04-13 06:32:43,20,MT,Completed,N,switch
CALL0000000186,SUB00002470,CELL000016,04/18/2026 12:23,343,MT,Completed,Y,switch
CALL0000000187,SUB00000099,CELL000034,05/17/2026 20:24,71,mo ,Completed,N,switch
CALL0000000188,SUB00002471,CELL000136,05/16/2026 07:35,470,mo ,Failed,Y,switch
CALL0000000189,SUB00001201,CELL000116,2026-04-18 15:30:38,1013,MT,completed ,N,switch
CALL0000000190,SUB00000252,CELL000033,05/11/2026 04:28,63,MT,completed ,Y,switch
CALL0000000191,SUB00003734,CELL000136,05/15/2026 08:15,200,MO,completed ,N,switch
CALL0000000192,SUB00000323,CELL000067,04/24/2026 10:42,101,MT,Completed,No,switch
CALL0000000193,SUB00003024,CELL000222,05/03/2026 07:50,284,MT,Dropped,N,switch
CALL0000000194,SUB00004663,CELL000143,04/08/2026 16:21,334,MT,Dropped,Y,switch
CALL0000000195,SUB00001029,CELL000051,05/11/2026 04:32,62,MO,completed ,N,switch
CALL0000000196,SUB00003234,CELL000248,04/24/2026 21:00,270,MT,Completed,N,switch
CALL0000000197,SUB00002862,CELL000245,05/10/2026 17:59,94,MO,completed ,Y,switch
CALL0000000198,SUB00003367,CELL000183,2026-04-29 18:21:57,80,MT,Dropped,N,switch
CALL0000000199,SUB00000184,CELL000188,05/28/2026 09:49,79,mo ,Completed,No,switch
CALL0000000200,SUB00001426,CELL000009,2026-05-30 13:25:22,22,mo ,Completed,N,switch
CALL0000000201,SUB00004317,CELL000083,2026-04-02 18:32:33,57,MT,Completed,Y,switch
CALL0000000202,SUB00002594,CELL000105,04/14/2026 13:31,129,mo ,Failed,No,switch
CALL0000000203,SUB00001831,CELL000025,2026-04-17 00:57:13,94,MT,Completed,N,switch
CALL0000000204,SUB00003147,CELL000219,05/03/2026 05:49,49,mo ,completed ,N,switch
CALL0000000205,SUB00003908,CELL000156,2026-05-30 16:04:15,16,mo ,Completed,No,switch
CALL0000000206,SUB00001821,CELL000160,05/31/2026 13:48,160,MT,Completed,No,switch
CALL0000000207,SUB00003841,CELL000036,05/29/2026 12:56,135,mo ,completed ,N,switch
CALL0000000208,SUB00002322,CELL000107,2026-04-02 15:26:40,306,mo ,Completed,N,switch
CALL0000000209,SUB00000323,CELL000080,04/25/2026 16:45,185,MO,completed ,N,switch
CALL0000000210,SUB00000689,CELL000025,04/29/2026 08:51,118,mo ,Failed,Y,switch
CALL0000000211,SUB00001277,CELL000124,05/25/2026 03:56,99,MT,completed ,Y,switch
CALL0000000212,SUB00001591,CELL000066,2026-05-08 22:06:06,327,MO,Dropped,N,switch
CALL0000000213,SUB00003006,CELL000079,2026-05-20 00:03:32,521,MT,Dropped,No,switch
CALL0000000214,SUB00004145,CELL000251,2026-05-06 12:17:26,102,mo ,Dropped,N,switch
CALL0000000215,SUB00004846,CELL000031,2026-05-28 22:36:18,484,MT,completed ,Y,switch
CALL0000000216,SUB00002005,CELL000083,05/01/2026 15:27,102,MT,completed ,N,switch
CALL0000000217,SUB00000154,CELL000230,05/04/2026 03:55,616,mo ,Dropped,No,switch
CALL0000000218,SUB00001012,CELL000120,2026-05-11 15:48:43,249,mo ,Completed,Y,switch
CALL0000000219,SUB00001706,CELL000234,2026-05-12 17:51:53,157,MO,completed ,No,switch
CALL0000000220,SUB00004626,CELL000192,2026-05-05 06:45:40,59,MO,Completed,N,switch
CALL0000000221,SUB00001688,CELL000117,2026-05-24 10:36:28,19,MT,Completed,No,switch
CALL0000000222,SUB00000093,CELL000229,2026-05-02 15:29:20,51,MO,Dropped,No,switch
CALL0000000223,SUB00000737,CELL000119,2026-04-06 20:47:21,583,mo ,Completed,No,switch
CALL0000000224,SUB00002732,CELL000240,2026-05-03 19:37:43,360,MO,Dropped,N,switch
CALL0000000225,SUB00000148,CELL000144,04/19/2026 03:16,53,MT,completed ,N,switch
CALL0000000226,SUB00002407,CELL000051,04/10/2026 03:15,70,MT,Completed,N,switch
CALL0000000227,SUB00001664,CELL000082,04/17/2026 15:16,43,MO,Completed,N,switch
CALL0000000228,SUB00002566,CELL000044,05/14/2026 16:26,87,mo ,Dropped,N,switch
CALL0000000229,SUB00000418,CELL000209,2026-04-08 07:03:02,163,mo ,Completed,N,switch
CALL0000000230,SUB00003944,CELL000203,2026-04-09 10:32:44,9,MT,Completed,Y,switch
CALL0000000231,SUB00000191,CELL000105,05/25/2026 16:42,155,MO,completed ,N,switch
CALL0000000232,SUB00000840,CELL000169,2026-05-11 21:38:00,2,MT,Dropped,Y,switch
CALL0000000233,SUB00000763,CELL000237,2026-04-27 18:10:01,71,mo ,Completed,N,switch
CALL0000000234,SUB00000768,CELL000255,05/23/2026 07:13,8,MT,Completed,No,switch
CALL0000000235,SUB00002006,CELL000208,04/26/2026 05:45,125,MT,Completed,Y,switch
CALL0000000236,SUB00004968,CELL000145,04/05/2026 06:20,116,MO,completed ,N,switch
CALL0000000237,SUB00004580,CELL000135,04/17/2026 03:36,28,MT,completed ,N,switch
CALL0000000238,SUB00003898,CELL000099,2026-05-26 13:47:33,15,MT,Failed,Y,switch
CALL0000000239,SUB00004946,CELL000246,2026-05-20 06:14:57,16,MO,Completed,N,switch
CALL0000000240,SUB00001718,CELL000150,2026-04-03 10:49:23,15,MT,Completed,N,switch
CALL0000000241,SUB00004816,CELL000118,05/26/2026 17:48,121,MO,completed ,N,switch
CALL0000000242,SUB00002178,CELL000238,05/09/2026 23:06,127,MT,Dropped,Y,switch
CALL0000000243,SUB00000794,CELL000097,2026-04-01 19:21:34,471,mo ,completed ,No,switch
CALL0000000244,SUB00003219,CELL000026,04/08/2026 05:50,6,MT,completed ,Y,switch
CALL0000000245,SUB00001576,CELL000231,05/15/2026 08:39,124,mo ,Dropped,N,switch
CALL0000000246,SUB00000657,CELL000060,05/19/2026 04:06,94,MT,completed ,N,switch
CALL0000000247,SUB00004523,CELL000188,05/27/2026 15:27,521,MO,Completed,No,switch
CALL0000000248,SUB00003874,CELL000060,2026-05-27 23:53:33,87,MO,Dropped,Y,switch
CALL0000000249,SUB00002262,CELL000221,05/08/2026 13:35,31,MT,Completed,No,switch
CALL0000000250,SUB00002095,CELL000205,2026-05-20 16:59:39,125,mo ,Completed,N,switch
CALL0000000251,SUB00004919,CELL000205,2026-04-30 22:52:33,11,MO,Completed,N,switch
CALL0000000252,SUB00002300,CELL000107,2026-04-26 20:45:33,261,MT,Completed,Y,switch
CALL0000000253,SUB00002494,CELL000118,05/27/2026 17:05,35,MT,Failed,No,switch
CALL0000000254,SUB00002028,CELL000107,2026-04-30 20:51:12,169,MO,Completed,N,switch
CALL0000000255,SUB00001207,CELL000141,04/24/2026 05:18,56,MT,Failed,No,switch
CALL0000000256,SUB00003523,CELL000159,2026-04-18 21:38:03,28,mo ,Completed,No,switch
CALL0000000257,SUB00003270,CELL000244,04/19/2026 11:40,54,MO,Completed,N,switch
CALL0000000258,SUB00003383,CELL000110,2026-05-06 00:18:17,67,MO,Completed,N,switch
CALL0000000259,SUB00001383,CELL000110,05/20/2026 06:13,155,MT,Dropped,N,switch
CALL0000000260,SUB00001767,CELL000230,2026-04-22 12:31:08,229,mo ,completed ,N,switch
CALL0000000261,SUB00002867,CELL000124,2026-04-21 07:39:04,42,MT,completed ,Y,switch
CALL0000000262,SUB00000429,CELL000075,05/10/2026 22:57,98,MT,Dropped,N,switch
CALL0000000263,SUB00004978,CELL000130,04/09/2026 18:36,443,MO,Dropped,Y,switch
CALL0000000264,SUB00004405,CELL000134,04/29/2026 18:59,60,MO,Failed,Y,switch
CALL0000000265,SUB00001242,CELL000149,05/23/2026 20:56,281,MT,Completed,Y,switch
CALL0000000266,SUB00002971,CELL000226,2026-05-06 12:00:26,111,mo ,completed ,N,switch
CALL0000000267,SUB00002342,CELL000148,04/27/2026 17:42,197,MO,Completed,N,switch
CALL0000000268,SUB00001337,CELL000081,04/04/2026 11:33,1508,MT,Completed,N,switch
CALL0000000269,SUB00003647,CELL000002,04/26/2026 09:59,47,MO,Dropped,N,switch
CALL0000000270,SUB00002804,CELL000145,2026-04-10 01:17:12,441,MO,Completed,N,switch
CALL0000000271,SUB00002841,CELL000051,04/14/2026 11:01,596,mo ,Dropped,N,switch
CALL0000000272,SUB00001992,CELL000173,2026-04-22 12:30:24,38,mo ,Completed,N,switch
CALL0000000273,SUB00002958,CELL000239,2026-05-29 21:05:07,82,MO,Failed,N,switch
CALL0000000274,SUB00004436,CELL000235,2026-05-03 07:58:39,399,MT,Dropped,N,switch
CALL0000000275,SUB00000919,CELL000038,2026-05-18 22:09:49,301,mo ,Dropped,Y,switch
CALL0000000276,SUB00004439,CELL000001,04/03/2026 03:23,190,MT,completed ,Y,switch
CALL0000000277,SUB00003362,CELL000221,2026-05-04 14:19:08,145,mo ,Dropped,No,switch
CALL0000000278,SUB00004912,CELL000014,05/21/2026 23:20,19,MO,Completed,N,switch
CALL0000000279,SUB00002277,CELL000148,04/24/2026 17:05,22,MO,Completed,Y,switch
CALL0000000280,SUB00003624,CELL000058,05/17/2026 00:59,574,mo ,Completed,N,switch
CALL0000000281,SUB00004990,CELL000118,2026-05-22 09:57:55,75,mo ,Dropped,Y,switch
CALL0000000282,SUB00000532,CELL000081,05/25/2026 07:03,1,mo ,Completed,No,switch
CALL0000000283,SUB00002486,CELL000172,2026-05-10 10:17:02,311,mo ,completed ,N,switch
CALL0000000284,SUB00002319,CELL000051,04/18/2026 08:40,233,MO,Failed,N,switch
CALL0000000285,SUB00002564,CELL000175,2026-05-15 06:57:14,92,MO,completed ,No,switch
CALL0000000286,SUB00001192,CELL000094,2026-04-26 13:15:20,448,MO,Failed,N,switch
CALL0000000287,SUB00001155,CELL000137,2026-04-21 07:25:59,302,mo ,Dropped,N,switch
CALL0000000288,SUB00001254,CELL000003,05/21/2026 16:07,471,MO,Completed,N,switch
CALL0000000289,SUB00003816,CELL000251,04/08/2026 19:16,46,mo ,completed ,N,switch
CALL0000000290,SUB00003915,CELL000125,05/23/2026 08:32,311,MT,Completed,N,switch
CALL0000000291,SUB00004648,CELL000144,04/15/2026 20:01,138,MO,Completed,N,switch
