transaction_line_id,transaction_id,line_number,product_id,quantity,unit_price,regular_price,promotion_id,coupon_amount,tax_amount,line_status,valid_values,quarantine_reason
TL0000000137,TXN000000046,3,SKU0000469,-1.0,745.78,745.78,,0.0,0.0,Sold,False,Bad quantity or unit price
TL0000000153,TXN000000051,4,SKU0000060,,762.81,897.42,,0.0,0.0,Sold,False,Bad quantity or unit price
TL0000000158,TXN000000052,4,SKU0000250,-1.0,295.51,328.34,PRM00025,0.0,0.0,Sold,False,Bad quantity or unit price
TL0000000164,TXN000000053,6,SKU0000089,,110.36,137.95,,2.0,5.52,Sold,False,Bad quantity or unit price
TL0000000165,TXN000000054,1,SKU0000469,,745.78,745.78,,0.0,52.2,Sold,False,Bad quantity or unit price
TL0000000166,TXN000000054,2,SKU0000557,-1.0,157.18,157.18,,2.0,0.0,Sold,False,Bad quantity or unit price
TL0000000167,TXN000000054,3,SKU0000035,-1.0,231.61,231.61,,0.0,0.0,Sold,False,Bad quantity or unit price
TL0000000168,TXN000000054,4,SKU0000466,,167.73,167.73,,0.0,15.1,Sold,False,Bad quantity or unit price
TL0000000171,TXN000000056,1,SKU0000205,,92.04,108.28,,5.0,4.6,Sold,False,Bad quantity or unit price
TL0000000172,TXN000000056,2,SKU0000038,,823.17,914.63,,0.0,0.0,Voided,False,Bad quantity or unit price
TL0000000180,TXN000000058,1,SKU0000479,,238.05,238.05,,5.0,21.42,Sold,False,Bad quantity or unit price
TL0000000181,TXN000000058,2,SKU0000100,,151.55,151.55,,0.0,10.61,Sold,False,Bad quantity or unit price
TL0000000183,TXN000000059,2,SKU0000225,-1.0,458.74,458.74,,0.0,0.0,Sold,False,Bad quantity or unit price
TL0000000184,TXN000000059,3,SKU0000273,-1.0,277.42,326.38,,0.0,0.0,Sold,False,Bad quantity or unit price
TL0000000187,TXN000000060,3,SKU0000449,,116.56,116.56,,1.0,5.83,Sold,False,Bad quantity or unit price
TL0000000194,TXN000000061,6,SKU0000438,,579.57,643.97,,1.0,52.16,Sold,False,Bad quantity or unit price
TL0000000196,TXN000000063,1,SKU0000578,-1.0,508.68,508.68,PRM00013,2.0,0.0,Sold,False,Bad quantity or unit price
TL0000000198,TXN000000063,3,SKU0000111,-1.0,473.89,557.52,PRM00015,1.0,0.0,Sold,False,Bad quantity or unit price
TL0000000201,TXN000000064,3,SKU0000178,,877.91,924.12,,0.0,0.0,Sold,False,Bad quantity or unit price
TL0000000202,TXN000000065,1,SKU0000456,-1.0,213.0,224.21,,2.0,0.0,Sold,False,Bad quantity or unit price
TL0000000216,TXN000000068,6,SKU0000356,,278.63,327.8,,5.0,19.5,Sold,False,Bad quantity or unit price
TL0000000217,TXN000000069,1,SKU0000543,,183.59,183.59,,0.0,16.52,Voided,False,Bad quantity or unit price
TL0000000226,TXN000000071,4,SKU0000448,-1.0,530.06,530.06,,5.0,0.0,Sold,False,Bad quantity or unit price
TL0000000234,TXN000000073,2,SKU0000333,-1.0,164.38,205.47,,2.0,0.0,Sold,False,Bad quantity or unit price
TL0000000237,TXN000000073,5,SKU0000200,,504.97,631.21,,0.0,0.0,Sold,False,Bad quantity or unit price
TL0000000238,TXN000000073,6,SKU0000341,-1.0,187.91,208.79,,5.0,0.0,Voided,False,Bad quantity or unit price
TL0000000239,TXN000000074,1,SKU0000378,,,490.3,,5.0,35.3,Sold,False,Bad quantity or unit price
TL0000000246,TXN000000076,4,SKU0000136,,446.76,558.45,,0.0,0.0,Sold,False,Bad quantity or unit price
TL0000000247,TXN000000077,1,SKU0000174,,498.93,498.93,,5.0,44.9,Sold,False,Bad quantity or unit price
TL0000000248,TXN000000077,2,SKU0000221,,362.3,426.23,PRM00040,0.0,25.36,Sold,False,Bad quantity or unit price
TL0000000252,TXN000000078,1,SKU0000545,-1.0,446.69,496.32,,0.0,0.0,Sold,False,Bad quantity or unit price
TL0000000259,TXN000000080,2,SKU0000159,-1.0,563.01,563.01,,1.0,0.0,Sold,False,Bad quantity or unit price
TL0000000262,TXN000000080,5,SKU0000454,-1.0,205.48,216.29,,0.0,0.0,Sold,False,Bad quantity or unit price
TL0000000264,TXN000000081,1,SKU0000291,-1.0,296.07,370.09,,0.0,0.0,Sold,False,Bad quantity or unit price
TL0000000277,TXN000000084,1,SKU0000568,,112.15,124.61,,1.0,7.85,Sold,False,Bad quantity or unit price
TL0000000283,TXN000000085,2,SKU0000226,-1.0,202.05,212.68,,0.0,0.0,Voided,False,Bad quantity or unit price
TL0000000285,TXN000000085,4,SKU0000531,,331.03,331.03,,0.0,0.0,Sold,False,Bad quantity or unit price
TL0000000288,TXN000000086,2,SKU0000309,,420.75,420.75,PRM00014,0.0,29.45,Sold,False,Bad quantity or unit price
TL0000000300,TXN000000089,3,SKU0000002,-1.0,1062.46,1062.46,,0.0,0.0,Sold,False,Bad quantity or unit price
TL0000000301,TXN000000090,1,SKU0000231,,328.79,328.79,,2.0,0.0,Sold,False,Bad quantity or unit price
TL0000000307,TXN000000091,1,SKU0000292,,95.23,119.04,,0.0,6.67,Voided,False,Bad quantity or unit price
TL0000000312,TXN000000092,2,SKU0000467,-1.0,533.63,667.04,,0.0,0.0,Sold,False,Bad quantity or unit price
TL0000000315,TXN000000092,5,SKU0000097,,557.48,619.42,PRM00059,0.0,27.87,Voided,False,Bad quantity or unit price
TL0000000317,TXN000000093,1,SKU0000080,,389.83,433.14,,0.0,27.29,Sold,False,Bad quantity or unit price
TL0000000322,TXN000000094,5,SKU0000087,,640.94,640.94,,0.0,32.05,Sold,False,Bad quantity or unit price
TL0000000326,TXN000000095,4,SKU0000219,-1.0,802.89,802.89,,0.0,0.0,Voided,False,Bad quantity or unit price
TL0000000327,TXN000000095,5,SKU0000215,-1.0,698.24,872.8,,2.0,0.0,Sold,False,Bad quantity or unit price
TL0000000333,TXN000000097,1,SKU0000419,-1.0,28.59,30.1,,2.0,0.0,Sold,False,Bad quantity or unit price
TL0000000347,TXN000000102,1,SKU0000315,,408.93,481.09,,1.0,20.45,Sold,False,Bad quantity or unit price
TL0000000354,TXN000000104,1,SKU0000434,,201.14,236.64,,2.0,10.06,Sold,False,Bad quantity or unit price
TL0000000361,TXN000000106,1,SKU0000069,-1.0,545.82,545.82,,0.0,0.0,Sold,False,Bad quantity or unit price
TL0000000362,TXN000000106,2,SKU0000538,-1.0,959.25,1009.74,,0.0,0.0,Voided,False,Bad quantity or unit price
TL0000000367,TXN000000107,2,SKU0000098,,52.88,58.75,,0.0,2.64,Sold,False,Bad quantity or unit price
TL0000000369,TXN000000108,2,SKU0000561,-1.0,512.31,539.27,,2.0,0.0,Sold,False,Bad quantity or unit price
TL0000000379,TXN000000111,3,SKU0000083,-1.0,501.55,501.55,,5.0,0.0,Sold,False,Bad quantity or unit price
TL0000000381,TXN000000112,1,SKU0000035,,231.61,231.61,PRM00008,2.0,20.84,Voided,False,Bad quantity or unit price
TL0000000385,TXN000000113,4,SKU0000161,,534.0,562.1,,0.0,0.0,Sold,False,Bad quantity or unit price
TL0000000390,TXN000000114,3,SKU0000550,-1.0,915.46,915.46,,0.0,0.0,Sold,False,Bad quantity or unit price
TL0000000394,TXN000000115,3,SKU_UNKNOWN,-1.0,158.94,158.94,,0.0,0.0,Voided,False,Bad quantity or unit price
TL0000000395,TXN000000115,4,SKU0000467,-1.0,633.69,667.04,PRM00041,0.0,0.0,Sold,False,Bad quantity or unit price
TL0000000402,TXN000000118,2,SKU0000355,-1.0,801.15,942.53,,1.0,0.0,Sold,False,Bad quantity or unit price
TL0000000409,TXN000000119,5,SKU0000249,,104.5,104.5,,0.0,9.4,Sold,False,Bad quantity or unit price
TL0000000410,TXN000000120,1,SKU0000478,,330.81,389.19,,2.0,0.0,Voided,False,Bad quantity or unit price
TL0000000413,TXN000000120,4,SKU0000382,-1.0,764.98,956.23,,5.0,0.0,Sold,False,Bad quantity or unit price
TL0000000416,TXN000000121,1,SKU0000053,,276.92,276.92,,0.0,13.85,Sold,False,Bad quantity or unit price
TL0000000428,TXN000000125,1,SKU0000443,-1.0,92.19,92.19,,2.0,0.0,Sold,False,Bad quantity or unit price
TL0000000433,TXN000000126,3,SKU0000538,,1009.74,1009.74,,0.0,50.49,Sold,False,Bad quantity or unit price
TL0000000435,TXN000000127,1,SKU0000428,,51.67,57.41,,1.0,4.65,Sold,False,Bad quantity or unit price
TL0000000438,TXN000000128,1,SKU0000154,,111.76,111.76,PRM00030,1.0,7.82,Sold,False,Bad quantity or unit price
TL0000000439,TXN000000128,2,SKU0000021,,748.96,748.96,,2.0,67.41,Sold,False,Bad quantity or unit price
TL0000000440,TXN000000128,3,SKU0000266,-1.0,238.34,238.34,,1.0,0.0,Sold,False,Bad quantity or unit price
TL0000000443,TXN000000129,1,SKU0000152,,471.64,471.64,,1.0,42.45,Sold,False,Bad quantity or unit price
TL0000000444,TXN000000130,1,SKU0000505,-1.0,181.23,181.23,,0.0,0.0,Sold,False,Bad quantity or unit price
TL0000000449,TXN000000131,4,SKU0000158,1.0,,142.05,,1.0,0.0,Sold,False,Bad quantity or unit price
TL0000000450,TXN000000132,1,SKU0000205,,108.28,108.28,,0.0,7.58,Sold,False,Bad quantity or unit price
TL0000000457,TXN000000134,2,SKU0000475,-1.0,120.17,150.21,,2.0,0.0,Sold,False,Bad quantity or unit price
TL0000000459,TXN000000134,4,SKU0000578,,406.94,508.68,,1.0,28.49,Sold,False,Bad quantity or unit price
TL0000000460,TXN000000134,5,SKU0000147,,449.66,473.33,,5.0,31.48,Sold,False,Bad quantity or unit price
TL0000000466,TXN000000136,4,SKU0000094,-1.0,90.52,90.52,,0.0,0.0,Voided,False,Bad quantity or unit price
TL0000000468,TXN000000136,6,SKU0000062,-1.0,329.65,366.28,,0.0,0.0,Sold,False,Bad quantity or unit price
TL0000000476,TXN000000138,4,SKU0000452,-1.0,260.0,325.0,,0.0,0.0,Sold,False,Bad quantity or unit price
TL0000000483,TXN000000140,1,SKU0000286,-1.0,579.21,579.21,,0.0,0.0,Sold,False,Bad quantity or unit price
TL0000000488,TXN000000141,2,SKU0000199,,41.52,46.13,,0.0,2.08,Sold,False,Bad quantity or unit price
TL0000000489,TXN000000141,3,SKU0000172,,,283.45,,5.0,25.51,Sold,False,Bad quantity or unit price
TL0000000497,TXN000000143,2,SKU0000328,-1.0,661.79,827.24,,1.0,0.0,Sold,False,Bad quantity or unit price
TL0000000498,TXN000000143,3,SKU0000260,,244.54,305.67,,0.0,0.0,Voided,False,Bad quantity or unit price
TL0000000499,TXN000000144,1,SKU0000397,-1.0,877.77,975.3,PRM00059,0.0,0.0,Sold,False,Bad quantity or unit price
TL0000000500,TXN000000145,1,SKU0000257,-1.0,789.3,789.3,,0.0,0.0,Sold,False,Bad quantity or unit price
TL0000000505,TXN000000145,6,SKU0000247,-1.0,423.85,423.85,,5.0,0.0,Sold,False,Bad quantity or unit price
TL0000000514,TXN000000148,2,SKU0000022,-1.0,229.21,269.66,,2.0,0.0,Voided,False,Bad quantity or unit price
TL0000000521,TXN000000150,1,SKU0000391,-1.0,136.83,144.03,,1.0,0.0,Voided,False,Bad quantity or unit price
TL0000000522,TXN000000150,2,SKU0000537,,5.77,7.21,PRM00055,0.0,0.52,Sold,False,Bad quantity or unit price
TL0000000529,TXN000000152,1,SKU0000383,-1.0,402.31,502.89,PRM00014,5.0,0.0,Voided,False,Bad quantity or unit price
TL0000000530,TXN000000152,2,SKU0000477,1.0,,64.16,,1.0,2.73,Sold,False,Bad quantity or unit price
TL0000000531,TXN000000152,3,SKU0000483,-1.0,117.0,117.0,,0.0,0.0,Sold,False,Bad quantity or unit price
TL0000000534,TXN000000152,6,SKU0000339,,59.03,73.79,,5.0,0.0,Sold,False,Bad quantity or unit price
TL0000000539,TXN000000154,1,SKU0000396,,305.49,321.57,,0.0,15.27,Sold,False,Bad quantity or unit price
TL0000000547,TXN000000155,3,SKU0000019,-1.0,97.78,115.04,,2.0,0.0,Voided,False,Bad quantity or unit price
TL0000000550,TXN000000156,1,SKU0000443,-1.0,73.75,92.19,,0.0,0.0,Sold,False,Bad quantity or unit price
TL0000000551,TXN000000157,1,SKU0000184,-1.0,757.42,757.42,,5.0,0.0,Sold,False,Bad quantity or unit price
TL0000000555,TXN000000158,3,SKU0000328,-1.0,785.88,827.24,,0.0,0.0,Sold,False,Bad quantity or unit price
TL0000000567,TXN000000161,4,SKU0000167,,577.2,721.5,,2.0,40.4,Sold,False,Bad quantity or unit price
TL0000000589,TXN000000167,2,SKU0000118,,517.75,545.0,,0.0,0.0,Sold,False,Bad quantity or unit price
TL0000000590,TXN000000168,1,SKU0000520,,150.64,158.57,,1.0,13.56,Sold,False,Bad quantity or unit price
TL0000000592,TXN000000169,1,SKU0000202,,507.12,507.12,,0.0,45.64,Voided,False,Bad quantity or unit price
TL0000000595,TXN000000169,4,SKU0000522,-1.0,123.59,130.1,,0.0,0.0,Sold,False,Bad quantity or unit price
TL0000000610,TXN000000173,3,SKU0000233,-1.0,593.57,741.96,,0.0,0.0,Sold,False,Bad quantity or unit price
TL0000000620,TXN000000177,2,SKU0000533,-1.0,286.14,286.14,,2.0,0.0,Sold,False,Bad quantity or unit price
TL0000000622,TXN000000177,4,SKU0000047,-1.0,19.57,21.74,PRM00060,0.0,0.0,Sold,False,Bad quantity or unit price
TL0000000638,TXN000000181,4,SKU0000217,,513.46,513.46,,0.0,0.0,Sold,False,Bad quantity or unit price
TL0000000639,TXN000000181,5,SKU0000101,,730.64,730.64,,2.0,51.14,Voided,False,Bad quantity or unit price
TL0000000645,TXN000000182,5,SKU0000164,-1.0,714.59,714.59,,2.0,0.0,Sold,False,Bad quantity or unit price
TL0000000658,TXN000000187,3,SKU0000260,,305.67,305.67,,0.0,21.4,Sold,False,Bad quantity or unit price
TL0000000663,TXN000000188,2,SKU0000425,,279.74,294.46,,0.0,13.99,Voided,False,Bad quantity or unit price
TL0000000666,TXN000000189,1,SKU0000463,1.0,,66.59,,0.0,2.66,Sold,False,Bad quantity or unit price
TL0000000671,TXN000000190,5,SKU0000567,,15.45,15.45,,0.0,0.0,Sold,False,Bad quantity or unit price
TL0000000672,TXN000000190,6,SKU0000328,,827.24,827.24,,0.0,74.45,Sold,False,Bad quantity or unit price
TL0000000696,TXN000000197,1,SKU0000519,-1.0,268.9,268.9,,5.0,0.0,Voided,False,Bad quantity or unit price
TL0000000701,TXN000000199,1,SKU0000273,-1.0,310.06,326.38,,5.0,0.0,Voided,False,Bad quantity or unit price
TL0000000705,TXN000000199,5,SKU0000392,-1.0,469.03,469.03,,0.0,0.0,Sold,False,Bad quantity or unit price
TL0000000710,TXN000000200,5,SKU0000530,-1.0,54.09,54.09,,0.0,0.0,Sold,False,Bad quantity or unit price
TL0000000712,TXN000000201,2,SKU0000233,-1.0,593.57,741.96,,0.0,0.0,Voided,False,Bad quantity or unit price
TL0000000715,TXN000000201,5,SKU0000514,,277.03,325.92,PRM00039,1.0,0.0,Sold,False,Bad quantity or unit price
TL0000000716,TXN000000201,6,SKU0000445,-1.0,215.93,254.03,,0.0,0.0,Sold,False,Bad quantity or unit price
TL0000000718,TXN000000202,2,SKU0000018,-1.0,685.31,685.31,,5.0,0.0,Sold,False,Bad quantity or unit price
TL0000000727,TXN000000204,4,SKU0000382,-1.0,908.42,956.23,,5.0,0.0,Sold,False,Bad quantity or unit price
TL0000000730,TXN000000205,1,SKU0000370,-1.0,39.98,47.03,,5.0,0.0,Sold,False,Bad quantity or unit price
TL0000000732,TXN000000206,1,SKU0000087,,608.89,640.94,PRM00037,5.0,54.8,Sold,False,Bad quantity or unit price
TL0000000744,TXN000000210,2,SKU0000573,,446.39,446.39,,0.0,31.25,Voided,False,Bad quantity or unit price
TL0000000749,TXN000000211,4,SKU0000329,,869.2,869.2,PRM00047,0.0,60.84,Sold,False,Bad quantity or unit price
TL0000000753,TXN000000212,2,SKU0000316,-1.0,410.86,483.36,,5.0,0.0,Sold,False,Bad quantity or unit price
TL0000000769,TXN000000218,1,SKU0000371,-1.0,488.92,488.92,PRM00049,5.0,0.0,Sold,False,Bad quantity or unit price
TL0000000770,TXN000000218,2,SKU0000572,,225.2,237.05,,1.0,15.76,Sold,False,Bad quantity or unit price
TL0000000775,TXN000000220,3,SKU0000033,,711.31,711.31,,0.0,64.02,Sold,False,Bad quantity or unit price
TL0000000777,TXN000000221,1,SKU0000414,,185.36,231.7,,5.0,16.68,Sold,False,Bad quantity or unit price
TL0000000786,TXN000000223,2,SKU0000027,,547.47,684.34,,2.0,27.37,Sold,False,Bad quantity or unit price
TL0000000788,TXN000000224,2,SKU0000027,-1.0,684.34,684.34,,0.0,0.0,Sold,False,Bad quantity or unit price
TL0000000789,TXN000000224,3,SKU0000425,,,294.46,PRM00030,0.0,26.5,Sold,False,Bad quantity or unit price
TL0000000792,TXN000000225,3,SKU0000090,,710.58,710.58,,0.0,49.74,Sold,False,Bad quantity or unit price
TL0000000797,TXN000000228,3,SKU0000276,,397.53,418.45,,5.0,35.78,Sold,False,Bad quantity or unit price
TL0000000801,TXN000000229,1,SKU0000380,-1.0,305.67,321.76,,0.0,0.0,Sold,False,Bad quantity or unit price
TL0000000803,TXN000000230,2,SKU0000275,,964.64,964.64,,2.0,86.82,Sold,False,Bad quantity or unit price
TL0000000806,TXN000000230,5,SKU0000077,-1.0,930.47,1163.09,,0.0,0.0,Sold,False,Bad quantity or unit price
TL0000000812,TXN000000232,2,SKU0000354,,418.39,440.41,,1.0,20.92,Sold,False,Bad quantity or unit price
TL0000000815,TXN000000232,5,SKU0000007,-1.0,340.97,378.86,,0.0,0.0,Sold,False,Bad quantity or unit price
TL0000000816,TXN000000232,6,SKU0000091,-1.0,171.5,190.56,,0.0,0.0,Voided,False,Bad quantity or unit price
TL0000000840,TXN000000239,1,SKU0000183,-1.0,750.79,750.79,,5.0,0.0,Sold,False,Bad quantity or unit price
TL0000000841,TXN000000239,2,SKU0000102,,355.61,418.37,,0.0,32.01,Voided,False,Bad quantity or unit price
TL0000000844,TXN000000240,1,SKU_UNKNOWN,-1.0,68.19,80.22,,1.0,0.0,Sold,False,Bad quantity or unit price
TL0000000846,TXN000000240,3,SKU0000268,-1.0,387.96,431.07,,5.0,0.0,Voided,False,Bad quantity or unit price
TL0000000851,TXN000000241,2,SKU0000309,,420.75,420.75,,5.0,37.87,Sold,False,Bad quantity or unit price
TL0000000854,TXN000000242,2,SKU0000011,,101.03,112.26,,0.0,5.05,Sold,False,Bad quantity or unit price
TL0000000859,TXN000000243,3,SKU0000524,,815.91,959.9,,0.0,0.0,Sold,False,Bad quantity or unit price
TL0000000865,TXN000000245,4,SKU0000481,1.0,,807.85,,0.0,53.72,Sold,False,Bad quantity or unit price
TL0000000869,TXN000000246,3,SKU0000462,,42.07,46.74,,5.0,2.1,Voided,False,Bad quantity or unit price
TL0000000873,TXN000000247,1,SKU0000186,,368.53,368.53,,0.0,18.43,Sold,False,Bad quantity or unit price
TL0000000878,TXN000000248,4,SKU0000073,-1.0,339.92,399.91,PRM00031,2.0,0.0,Sold,False,Bad quantity or unit price
TL0000000880,TXN000000249,2,SKU0000264,,125.8,125.8,,0.0,11.32,Voided,False,Bad quantity or unit price
TL0000000883,TXN000000250,3,SKU0000156,-1.0,464.17,464.17,,2.0,0.0,Sold,False,Bad quantity or unit price
TL0000000885,TXN000000250,5,SKU0000161,-1.0,449.68,562.1,,0.0,0.0,Sold,False,Bad quantity or unit price
TL0000000886,TXN000000251,1,SKU0000214,-1.0,417.43,491.09,,0.0,0.0,Sold,False,Bad quantity or unit price
TL0000000888,TXN000000252,1,SKU0000523,,118.56,118.56,,2.0,5.93,Voided,False,Bad quantity or unit price
TL0000000889,TXN000000252,2,SKU0000073,-1.0,339.92,399.91,,5.0,0.0,Sold,False,Bad quantity or unit price
TL0000000900,TXN000000257,1,SKU0000166,-1.0,147.46,155.22,,0.0,0.0,Sold,False,Bad quantity or unit price
TL0000000908,TXN000000260,3,SKU0000385,,61.66,61.66,,2.0,4.32,Sold,False,Bad quantity or unit price
TL0000000910,TXN000000260,5,SKU0000085,,353.59,372.2,,1.0,0.0,Sold,False,Bad quantity or unit price
TL0000000913,TXN000000261,3,SKU0000210,,109.96,129.37,PRM00025,5.0,7.7,Sold,False,Bad quantity or unit price
TL0000000917,TXN000000262,4,SKU0000306,-1.0,555.51,555.51,,5.0,0.0,Voided,False,Bad quantity or unit price
TL0000000920,TXN000000264,1,SKU0000559,,492.88,492.88,,0.0,24.64,Sold,False,Bad quantity or unit price
TL0000000922,TXN000000265,1,SKU0000104,-1.0,758.74,843.04,,0.0,0.0,Sold,False,Bad quantity or unit price
TL0000000925,TXN000000267,1,SKU0000334,,425.21,472.46,,0.0,29.76,Sold,False,Bad quantity or unit price
TL0000000935,TXN000000270,1,SKU0000465,-1.0,390.99,434.43,,0.0,0.0,Voided,False,Bad quantity or unit price
TL0000000938,TXN000000271,1,SKU0000547,-1.0,476.74,595.93,,2.0,0.0,Sold,False,Bad quantity or unit price
TL0000000948,TXN000000273,1,SKU0000262,-1.0,98.49,103.67,,0.0,0.0,Voided,False,Bad quantity or unit price
TL0000000959,TXN000000275,3,SKU0000561,,512.31,539.27,,5.0,35.86,Voided,False,Bad quantity or unit price
TL0000000964,TXN000000276,4,SKU0000066,,619.3,651.9,,0.0,55.74,Sold,False,Bad quantity or unit price
TL0000000970,TXN000000280,1,SKU0000551,,,469.71,,2.0,31.24,Voided,False,Bad quantity or unit price
TL0000000983,TXN000000284,2,SKU0000124,,637.45,749.94,,0.0,57.37,Sold,False,Bad quantity or unit price
TL0000000985,TXN000000284,4,SKU0000179,-1.0,501.88,501.88,,0.0,0.0,Sold,False,Bad quantity or unit price
TL0000000987,TXN000000285,2,SKU0000164,,571.67,714.59,,0.0,51.45,Sold,False,Bad quantity or unit price
TL0000000995,TXN000000286,5,SKU0000381,,814.61,958.36,,0.0,0.0,Sold,False,Bad quantity or unit price
TL0000001003,TXN000000289,1,SKU0000294,,170.43,170.43,,0.0,8.52,Sold,False,Bad quantity or unit price
TL0000001007,TXN000000291,1,SKU0000479,-1.0,214.25,238.05,,5.0,0.0,Sold,False,Bad quantity or unit price
TL0000001011,TXN000000292,3,SKU0000215,,785.52,872.8,PRM00029,2.0,70.7,Sold,False,Bad quantity or unit price
TL0000001012,TXN000000292,4,SKU0000198,,51.65,60.77,,0.0,0.0,Voided,False,Bad quantity or unit price
TL0000001021,TXN000000296,2,SKU0000514,,325.92,325.92,,5.0,22.81,Sold,False,Bad quantity or unit price
TL0000001033,TXN000000300,1,SKU0000375,,491.34,491.34,,0.0,24.57,Voided,False,Bad quantity or unit price
TL0000001054,TXN000000305,2,SKU0000197,,718.88,718.88,,2.0,50.32,Sold,False,Bad quantity or unit price
TL0000001057,TXN000000306,2,SKU0000005,-1.0,129.56,129.56,PRM00029,0.0,0.0,Sold,False,Bad quantity or unit price
TL0000001065,TXN000000307,4,SKU0000558,,533.25,533.25,,5.0,47.99,Voided,False,Bad quantity or unit price
TL0000001073,TXN000000309,1,SKU0000494,-1.0,878.63,878.63,,5.0,0.0,Voided,False,Bad quantity or unit price
TL0000001078,TXN000000311,2,SKU0000187,,161.91,179.9,,2.0,14.57,Sold,False,Bad quantity or unit price
TL0000001079,TXN000000311,3,SKU0000493,,209.83,209.83,,1.0,0.0,Sold,False,Bad quantity or unit price
TL0000001088,TXN000000313,6,SKU0000039,,112.39,132.22,,0.0,7.87,Sold,False,Bad quantity or unit price
TL0000001089,TXN000000314,1,SKU0000525,,365.63,365.63,,0.0,0.0,Sold,False,Bad quantity or unit price
TL0000001091,TXN000000314,3,SKU0000321,,263.41,309.9,,5.0,0.0,Voided,False,Bad quantity or unit price
TL0000001096,TXN000000315,3,SKU0000479,-1.0,214.25,238.05,,1.0,0.0,Sold,False,Bad quantity or unit price
TL0000001112,TXN000000322,1,SKU0000427,,777.57,863.97,PRM00005,0.0,0.0,Voided,False,Bad quantity or unit price
TL0000001119,TXN000000323,2,SKU0000186,-1.0,350.1,368.53,,0.0,0.0,Sold,False,Bad quantity or unit price
TL0000001120,TXN000000324,1,SKU0000002,-1.0,1062.46,1062.46,,2.0,0.0,Voided,False,Bad quantity or unit price
TL0000001124,TXN000000324,5,SKU0000033,-1.0,711.31,711.31,,1.0,0.0,Sold,False,Bad quantity or unit price
TL0000001126,TXN000000325,1,SKU0000386,-1.0,722.33,722.33,,5.0,0.0,Sold,False,Bad quantity or unit price
