telemetry_id,asset_id,reading_ts,power_output_kw,temperature_c,vibration_mm_s,frequency_hz,status_code,reading_date,quarantine_reason
AT0000008774,AST_BAD,2026-05-31 13:00:00,381.065,34.977,0.771,60.0428,NORMAL,2026-05-31,Telemetry references missing asset
AT0000010434,AST_BAD,2026-04-08 17:00:00,208.205,44.838,1.244,60.0141,NORMAL,2026-04-08,Telemetry references missing asset
AT0000011723,AST_BAD,2026-04-01 10:00:00,178.751,22.675,0.445,60.0754,NORMAL,2026-04-01,Telemetry references missing asset
AT0000014179,AST_BAD,2026-05-12 18:00:00,-48.296,30.922,0.711,59.9774,NORMAL,2026-05-12,Telemetry references missing asset
AT0000017994,AST_BAD,2026-04-18 17:00:00,-133.096,36.83,0.544,59.9355,NORMAL,2026-04-18,Telemetry references missing asset
AT0000021048,AST_BAD,2026-04-23 23:00:00,218.711,33.891,0.421,59.9937,NORMAL,2026-04-23,Telemetry references missing asset
AT0000022382,AST_BAD,2026-04-18 13:00:00,339.654,42.869,1.212,60.0134,NORMAL,2026-04-18,Telemetry references missing asset
AT0000023537,AST_BAD,2026-04-05 16:00:00,289.997,39.939,1.199,59.9766,TRIP,2026-04-05,Telemetry references missing asset
AT0000024840,AST_BAD,2026-05-29 23:00:00,0.0,45.386,1.382,59.9552,NORMAL,2026-05-29,Telemetry references missing asset
AT0000026229,AST_BAD,2026-05-26 20:00:00,0.0,46.452,1.372,59.9827,NORMAL,2026-05-26,Telemetry references missing asset
AT0000026861,AST_BAD,2026-04-22 04:00:00,5.924,48.964,1.41,59.9044,TRIP,2026-04-22,Telemetry references missing asset
AT0000027508,AST_BAD,2026-05-19 03:00:00,0.0,35.821,1.526,59.9157,NORMAL,2026-05-19,Telemetry references missing asset
AT0000027595,AST_BAD,2026-05-22 18:00:00,88.593,41.155,1.41,59.996,NORMAL,2026-05-22,Telemetry references missing asset
AT0000029160,AST_BAD,2026-05-26 23:00:00,0.0,39.208,1.095,59.9464,NORMAL,2026-05-26,Telemetry references missing asset
AT0000029365,AST_BAD,2026-04-04 12:00:00,475.475,44.941,0.876,59.9617,NORMAL,2026-04-04,Telemetry references missing asset
AT0000030328,AST_BAD,2026-05-14 15:00:00,396.878,50.095,1.56,59.9463,NORMAL,2026-05-14,Telemetry references missing asset
AT0000031072,AST_BAD,2026-04-14 15:00:00,482.937,47.741,1.246,59.988,NORMAL,2026-04-14,Telemetry references missing asset
AT0000031302,AST_BAD,2026-04-24 05:00:00,3.24,53.568,0.433,60.0202,NORMAL,2026-04-24,Telemetry references missing asset
AT0000032338,AST_BAD,2026-04-06 09:00:00,252.371,42.606,1.317,60.0309,NORMAL,2026-04-06,Telemetry references missing asset
AT0000034867,AST_BAD,2026-05-20 18:00:00,269.095,46.959,0.735,60.0319,NORMAL,2026-05-20,Telemetry references missing asset
AT0000036010,AST_BAD,2026-05-07 09:00:00,292.603,25.76,1.612,60.0773,NORMAL,2026-05-07,Telemetry references missing asset
AT0000036274,AST_BAD,2026-05-18 09:00:00,450.504,44.554,0.606,59.9327,NORMAL,2026-05-18,Telemetry references missing asset
AT0000036889,AST_BAD,2026-04-13 00:00:00,0.0,32.497,1.027,60.0468,NORMAL,2026-04-13,Telemetry references missing asset
AT0000037786,AST_BAD,2026-05-20 09:00:00,348.909,57.129,0.675,59.9806,NORMAL,2026-05-20,Telemetry references missing asset
AT0000038453,AST_BAD,2026-04-17 04:00:00,68.455,38.995,1.023,59.9931,NORMAL,2026-04-17,Telemetry references missing asset
AT0000038905,AST_BAD,2026-05-06 00:00:00,23.908,45.195,1.345,60.0415,NORMAL,2026-05-06,Telemetry references missing asset
AT0000039373,AST_BAD,2026-05-25 12:00:00,354.898,56.052,1.351,59.9342,TRIP,2026-05-25,Telemetry references missing asset
AT0000041266,AST_BAD,2026-04-12 09:00:00,240.718,58.082,1.762,60.0421,NORMAL,2026-04-12,Telemetry references missing asset
AT0000041307,AST_BAD,2026-04-14 02:00:00,0.0,42.245,1.2,60.0383,NORMAL,2026-04-14,Telemetry references missing asset
AT0000041779,AST_BAD,2026-05-03 18:00:00,410.477,38.136,1.13,60.0464,TRIP,2026-05-03,Telemetry references missing asset
AT0000041807,AST_BAD,2026-05-04 22:00:00,25.971,58.264,1.147,59.9954,NORMAL,2026-05-04,Telemetry references missing asset
AT0000042461,AST_BAD,2026-04-01 04:00:00,116.94,33.32,0.99,59.9896,NORMAL,2026-04-01,Telemetry references missing asset
AT0000042758,AST_BAD,2026-04-13 13:00:00,349.078,33.867,1.206,59.9212,NORMAL,2026-04-13,Telemetry references missing asset
AT0000043460,AST_BAD,2026-05-12 19:00:00,0.0,52.66,1.038,60.09,WARNING,2026-05-12,Telemetry references missing asset
AT0000043722,AST_BAD,2026-05-23 17:00:00,260.144,37.301,1.776,59.9751,TRIP,2026-05-23,Telemetry references missing asset
AT0000043764,AST_BAD,2026-05-25 11:00:00,320.601,32.094,0.794,60.0299,NORMAL,2026-05-25,Telemetry references missing asset
AT0000043999,AST_BAD,2026-04-04 06:00:00,0.0,47.523,1.376,59.9426,NORMAL,2026-04-04,Telemetry references missing asset
AT0000044395,AST_BAD,2026-04-20 18:00:00,376.116,43.268,1.501,59.9063,NORMAL,2026-04-20,Telemetry references missing asset
AT0000045160,AST_BAD,2026-05-22 15:00:00,423.112,51.317,2.141,60.0124,NORMAL,2026-05-22,Telemetry references missing asset
AT0000046230,AST_BAD,2026-05-06 05:00:00,1130.057,38.734,1.673,59.984,NORMAL,2026-05-06,Telemetry references missing asset
AT0000046581,AST_BAD,2026-05-20 20:00:00,1295.701,55.678,2.247,59.9707,NORMAL,2026-05-20,Telemetry references missing asset
AT0000047069,AST_BAD,2026-04-10 04:00:00,1275.155,50.736,2.012,59.965,NORMAL,2026-04-10,Telemetry references missing asset
AT0000047529,AST_BAD,2026-04-29 08:00:00,1037.925,37.28,1.147,60.0023,NORMAL,2026-04-29,Telemetry references missing asset
AT0000047638,AST_BAD,2026-05-03 21:00:00,1198.129,50.895,2.137,60.0647,NORMAL,2026-05-03,Telemetry references missing asset
AT0000051440,AST_BAD,2026-04-09 07:00:00,1283.73,45.033,1.191,60.0129,WARNING,2026-04-09,Telemetry references missing asset
AT0000052190,AST_BAD,2026-05-10 13:00:00,1583.236,36.281,1.578,59.8618,NORMAL,2026-05-10,Telemetry references missing asset
AT0000054331,AST_BAD,2026-04-07 18:00:00,517.466,51.477,1.767,59.9851,TRIP,2026-04-07,Telemetry references missing asset
AT0000056905,AST_BAD,2026-05-24 00:00:00,609.427,66.357,3.099,60.0531,NORMAL,2026-05-24,Telemetry references missing asset
AT0000057677,AST_BAD,2026-04-25 04:00:00,1025.446,61.345,2.384,59.9695,NORMAL,2026-04-25,Telemetry references missing asset
AT0000060097,AST_BAD,2026-04-04 00:00:00,157.214,57.821,1.822,59.9637,NORMAL,2026-04-04,Telemetry references missing asset
AT0000060325,AST_BAD,2026-04-13 12:00:00,288.527,53.137,1.856,60.1177,NORMAL,2026-04-13,Telemetry references missing asset
AT0000061193,AST_BAD,2026-05-19 16:00:00,414.837,49.579,1.196,59.9233,WARNING,2026-05-19,Telemetry references missing asset
AT0000061459,AST_BAD,2026-05-30 18:00:00,397.89,47.551,1.207,59.9318,WARNING,2026-05-30,Telemetry references missing asset
AT0000062245,AST_BAD,2026-05-02 12:00:00,437.558,49.874,0.967,60.0145,NORMAL,2026-05-02,Telemetry references missing asset
AT0000062387,AST_BAD,2026-05-08 10:00:00,264.068,46.014,0.949,60.0739,TRIP,2026-05-08,Telemetry references missing asset
AT0000063487,AST_BAD,2026-04-23 06:00:00,0.0,26.561,1.156,59.9219,TRIP,2026-04-23,Telemetry references missing asset
AT0000064335,AST_BAD,2026-05-28 14:00:00,362.21,37.9,1.431,60.0152,NORMAL,2026-05-28,Telemetry references missing asset
AT0000065486,AST_BAD,2026-05-15 13:00:00,269.666,53.166,0.932,59.9655,NORMAL,2026-05-15,Telemetry references missing asset
AT0000065649,AST_BAD,2026-05-22 08:00:00,444.672,53.078,0.93,59.9853,NORMAL,2026-05-22,Telemetry references missing asset
AT0000066937,AST_BAD,2026-05-15 00:00:00,0.0,36.272,1.16,60.018,NORMAL,2026-05-15,Telemetry references missing asset
AT0000067686,AST_BAD,2026-04-15 05:00:00,0.0,43.491,1.117,59.9913,NORMAL,2026-04-15,Telemetry references missing asset
AT0000067859,AST_BAD,2026-04-22 10:00:00,479.359,49.204,1.279,60.082,WARNING,2026-04-22,Telemetry references missing asset
AT0000069022,AST_BAD,2026-04-09 21:00:00,0.0,30.964,1.561,59.9718,TRIP,2026-04-09,Telemetry references missing asset
AT0000069948,AST_BAD,2026-05-18 11:00:00,581.648,40.079,1.782,59.961,NORMAL,2026-05-18,Telemetry references missing asset
AT0000071564,AST_BAD,2026-05-24 19:00:00,18.83,36.203,1.692,60.1027,WARNING,2026-05-24,Telemetry references missing asset
AT0000073249,AST_BAD,2026-04-03 00:00:00,456.465,41.584,1.397,60.0217,TRIP,2026-04-03,Telemetry references missing asset
AT0000074636,AST_BAD,2026-05-30 19:00:00,1042.116,37.05,2.474,59.9167,NORMAL,2026-05-30,Telemetry references missing asset
AT0000074920,AST_BAD,2026-04-11 15:00:00,566.907,41.764,4.262,60.0809,NORMAL,2026-04-11,Telemetry references missing asset
AT0000076034,AST_BAD,2026-05-28 01:00:00,436.536,25.597,1.503,59.9632,NORMAL,2026-05-28,Telemetry references missing asset
AT0000076380,AST_BAD,2026-04-11 11:00:00,813.707,33.28,3.255,59.9637,WARNING,2026-04-11,Telemetry references missing asset
AT0000076899,AST_BAD,2026-05-03 02:00:00,837.125,32.911,1.846,59.9418,WARNING,2026-05-03,Telemetry references missing asset
AT0000082329,AST_BAD,2026-04-15 08:00:00,1369.339,27.942,3.092,59.9607,NORMAL,2026-04-15,Telemetry references missing asset
AT0000082626,AST_BAD,2026-04-27 17:00:00,557.774,43.813,2.621,60.1079,WARNING,2026-04-27,Telemetry references missing asset
AT0000083363,AST_BAD,2026-05-28 10:00:00,983.794,32.912,2.61,60.0016,TRIP,2026-05-28,Telemetry references missing asset
AT0000086723,AST_BAD,2026-04-15 10:00:00,1816.999,43.088,1.932,59.9885,NORMAL,2026-04-15,Telemetry references missing asset
AT0000087669,AST_BAD,2026-05-24 20:00:00,1410.595,33.429,1.76,60.0202,NORMAL,2026-05-24,Telemetry references missing asset
AT0000088116,AST_BAD,2026-04-12 11:00:00,984.277,47.813,1.475,60.0656,TRIP,2026-04-12,Telemetry references missing asset
AT0000090238,AST_BAD,2026-05-09 21:00:00,478.6,47.966,1.199,59.9584,TRIP,2026-05-09,Telemetry references missing asset
AT0000091794,AST_BAD,2026-05-13 17:00:00,933.424,57.617,2.118,60.0263,NORMAL,2026-05-13,Telemetry references missing asset
AT0000094150,AST_BAD,2026-04-19 21:00:00,937.373,44.112,2.123,60.0067,TRIP,2026-04-19,Telemetry references missing asset
AT0000094170,AST_BAD,2026-04-20 17:00:00,683.611,49.42,2.934,59.9933,WARNING,2026-04-20,Telemetry references missing asset
AT0000094784,AST_BAD,2026-05-16 07:00:00,1063.881,43.003,2.286,60.0595,NORMAL,2026-05-16,Telemetry references missing asset
AT0000097424,AST_BAD,2026-05-04 07:00:00,1207.942,55.259,1.897,60.0996,NORMAL,2026-05-04,Telemetry references missing asset
AT0000098877,AST_BAD,2026-05-03 20:00:00,233.517,25.979,0.192,60.0162,NORMAL,2026-05-03,Telemetry references missing asset
AT0000098997,AST_BAD,2026-05-08 20:00:00,250.905,29.625,0.561,60.0141,WARNING,2026-05-08,Telemetry references missing asset
AT0000101248,AST_BAD,2026-04-10 15:00:00,253.486,22.038,0.404,59.9572,NORMAL,2026-04-10,Telemetry references missing asset
AT0000102028,AST_BAD,2026-05-13 03:00:00,-111.866,31.073,0.531,60.018,NORMAL,2026-05-13,Telemetry references missing asset
AT0000102070,AST_BAD,2026-05-14 21:00:00,-228.893,25.588,0.028,60.0021,NORMAL,2026-05-14,Telemetry references missing asset
AT0000102425,AST_BAD,2026-05-29 16:00:00,-420.12,28.336,0.603,59.9956,NORMAL,2026-05-29,Telemetry references missing asset
AT0000105064,AST_BAD,2026-05-17 15:00:00,-107.537,35.414,0.303,60.0278,NORMAL,2026-05-17,Telemetry references missing asset
AT0000107203,AST_BAD,2026-04-14 18:00:00,372.398,38.407,0.955,59.8926,WARNING,2026-04-14,Telemetry references missing asset
AT0000111343,AST_BAD,2026-04-04 06:00:00,634.725,30.092,1.448,60.1057,TRIP,2026-04-04,Telemetry references missing asset
AT0000111604,AST_BAD,2026-04-15 03:00:00,1035.73,55.786,1.603,59.9762,TRIP,2026-04-15,Telemetry references missing asset
AT0000114527,AST_BAD,2026-04-14 22:00:00,1298.151,48.922,2.202,59.9768,TRIP,2026-04-14,Telemetry references missing asset
AT0000115310,AST_BAD,2026-05-17 13:00:00,1100.001,46.347,2.504,60.142,TRIP,2026-05-17,Telemetry references missing asset
AT0000117068,AST_BAD,2026-05-29 19:00:00,1283.159,48.213,1.909,60.013,TRIP,2026-05-29,Telemetry references missing asset
