reading_id,meter_id,reading_ts,kwh,kw_demand,voltage,power_factor,quality_flag,source_system,ingestion_batch_id,reading_date,quarantine_reason
MR0000028814,MTR0000020,2026-05-12 13:00:00,,7.9015,239.6,0.9553,GOOD,ami_headend,AMI_20260601_A,2026-05-12,"Invalid timestamp, kWh, or negative consumption"
MR0000030457,MTR0000021,2026-05-20 00:00:00,-2.6902,0.0,240.73,0.9223,MISSING,ami_headend,AMI_20260601_A,2026-05-20,"Invalid timestamp, kWh, or negative consumption"
MR0000030552,MTR0000021,,2.616,3.0291,237.79,0.9639,GOOD,ami_headend,AMI_20260601_B,,"Invalid timestamp, kWh, or negative consumption"
MR0000030790,MTR0000022,,7.3941,7.8235,234.41,0.9084,GOOD,ami_headend,AMI_20260601_A,,"Invalid timestamp, kWh, or negative consumption"
MR0000030807,MTR0000022,2026-04-03 14:00:00,,13.5486,240.28,0.9397,MISSING,ami_headend,AMI_20260601_B,2026-04-03,"Invalid timestamp, kWh, or negative consumption"
MR0000031999,MTR0000022,2026-05-23 06:00:00,-3.3875,0.0,243.04,0.9379,MISSING,ami_headend,AMI_20260601_B,2026-05-23,"Invalid timestamp, kWh, or negative consumption"
MR0000032165,MTR0000022,2026-05-30 04:00:00,-2.9942,0.0,241.94,0.9247,GOOD,ami_headend,AMI_20260601_B,2026-05-30,"Invalid timestamp, kWh, or negative consumption"
MR0000033006,MTR0000023,2026-05-04 05:00:00,,3.4027,240.54,0.9186,GOOD,ami_headend,AMI_20260601_A,2026-05-04,"Invalid timestamp, kWh, or negative consumption"
MR0000033798,MTR0000024,,25.8671,26.9574,242.92,0.9206,GOOD,ami_headend,AMI_20260601_B,,"Invalid timestamp, kWh, or negative consumption"
MR0000033873,MTR0000024,2026-04-09 08:00:00,-89.9375,0.0,241.39,0.9404,ESTIMATED,ami_headend,AMI_20260602_A,2026-04-09,"Invalid timestamp, kWh, or negative consumption"
MR0000033892,MTR0000024,2026-04-10 03:00:00,,72.3109,242.53,0.9332,GOOD,ami_headend,AMI_20260601_B,2026-04-10,"Invalid timestamp, kWh, or negative consumption"
MR0000034010,MTR0000024,2026-04-15 01:00:00,-15.3605,0.0,241.58,0.9479,MISSING,ami_headend,AMI_20260601_A,2026-04-15,"Invalid timestamp, kWh, or negative consumption"
MR0000035011,MTR0000024,,89.5399,76.5097,234.57,0.887,GOOD,ami_headend,AMI_20260601_A,,"Invalid timestamp, kWh, or negative consumption"
MR0000036209,MTR0000025,2026-05-15 16:00:00,-26.7453,0.0,237.08,0.9203,GOOD,ami_headend,AMI_20260601_A,2026-05-15,"Invalid timestamp, kWh, or negative consumption"
MR0000036423,MTR0000025,,14.7839,11.9409,240.37,0.9725,GOOD,ami_headend,AMI_20260601_B,,"Invalid timestamp, kWh, or negative consumption"
MR0000036481,MTR0000025,,8.0735,6.8145,237.52,0.9045,MISSING,ami_headend,AMI_20260601_B,,"Invalid timestamp, kWh, or negative consumption"
MR0000036612,MTR0000026,2026-04-01 11:00:00,,7.1129,239.49,0.9442,GOOD,ami_headend,AMI_20260601_B,2026-04-01,"Invalid timestamp, kWh, or negative consumption"
MR0000036731,MTR0000026,2026-04-06 10:00:00,-6.2513,0.0,242.33,0.9271,GOOD,ami_headend,AMI_20260602_A,2026-04-06,"Invalid timestamp, kWh, or negative consumption"
MR0000037094,MTR0000026,,7.9878,8.6817,243.07,0.9487,GOOD,ami_headend,AMI_20260601_B,,"Invalid timestamp, kWh, or negative consumption"
MR0000037729,MTR0000026,2026-05-18 00:00:00,-4.375,0.0,241.37,0.913,GOOD,ami_headend,AMI_20260602_A,2026-05-18,"Invalid timestamp, kWh, or negative consumption"
MR0000038460,MTR0000027,2026-04-17 11:00:00,-6.4442,0.0,244.24,0.9354,GOOD,ami_headend,AMI_20260601_B,2026-04-17,"Invalid timestamp, kWh, or negative consumption"
MR0000038982,MTR0000027,2026-05-09 05:00:00,-2.6575,0.0,240.77,0.9347,ESTIMATED,ami_headend,AMI_20260602_A,2026-05-09,"Invalid timestamp, kWh, or negative consumption"
MR0000039054,MTR0000027,,6.5745,6.4008,235.95,0.9098,GOOD,ami_headend,AMI_20260601_B,,"Invalid timestamp, kWh, or negative consumption"
MR0000039307,MTR0000027,2026-05-22 18:00:00,,15.888,231.32,0.9834,GOOD,ami_headend,AMI_20260601_A,2026-05-22,"Invalid timestamp, kWh, or negative consumption"
MR0000039451,MTR0000027,2026-05-28 18:00:00,-6.7874,0.0,239.03,0.9312,MISSING,ami_headend,AMI_20260602_A,2026-05-28,"Invalid timestamp, kWh, or negative consumption"
MR0000039814,MTR0000028,2026-04-12 21:00:00,,6.1484,238.79,0.9034,GOOD,ami_headend,AMI_20260601_A,2026-04-12,"Invalid timestamp, kWh, or negative consumption"
MR0000040563,MTR0000028,2026-05-14 02:00:00,-9.5769,0.0,245.13,0.907,ESTIMATED,ami_headend,AMI_20260601_B,2026-05-14,"Invalid timestamp, kWh, or negative consumption"
MR0000040675,MTR0000028,2026-05-18 18:00:00,,25.3336,234.71,0.9295,GOOD,ami_headend,AMI_20260601_A,2026-05-18,"Invalid timestamp, kWh, or negative consumption"
MR0000040732,MTR0000028,,6.6213,7.6073,250.78,0.9184,GOOD,ami_headend,AMI_20260601_A,,"Invalid timestamp, kWh, or negative consumption"
MR0000041867,MTR0000029,2026-05-07 10:00:00,,325.0945,240.56,0.935,GOOD,ami_headend,AMI_20260601_B,2026-05-07,"Invalid timestamp, kWh, or negative consumption"
MR0000042320,MTR0000029,2026-05-26 07:00:00,,16.149,248.49,0.9979,GOOD,ami_headend,AMI_20260602_A,2026-05-26,"Invalid timestamp, kWh, or negative consumption"
MR0000042894,MTR0000030,2026-04-19 05:00:00,-2.7104,0.0,239.62,0.9246,GOOD,ami_headend,AMI_20260602_A,2026-04-19,"Invalid timestamp, kWh, or negative consumption"
MR0000043451,MTR0000030,2026-05-12 10:00:00,,12.451,238.91,0.9474,ESTIMATED,ami_headend,AMI_20260602_A,2026-05-12,"Invalid timestamp, kWh, or negative consumption"
MR0000043839,MTR0000030,2026-05-28 14:00:00,-8.4846,0.0,239.94,0.8746,GOOD,ami_headend,AMI_20260601_B,2026-05-28,"Invalid timestamp, kWh, or negative consumption"
MR0000043992,MTR0000031,2026-04-03 23:00:00,-2.8188,0.0,242.69,0.8916,GOOD,ami_headend,AMI_20260601_A,2026-04-03,"Invalid timestamp, kWh, or negative consumption"
MR0000044164,MTR0000031,2026-04-11 03:00:00,-2.0947,0.0,237.75,0.9076,GOOD,ami_headend,AMI_20260601_B,2026-04-11,"Invalid timestamp, kWh, or negative consumption"
MR0000044587,MTR0000031,2026-04-28 18:00:00,-8.0309,0.0,239.69,0.9465,MISSING,ami_headend,AMI_20260601_A,2026-04-28,"Invalid timestamp, kWh, or negative consumption"
MR0000044694,MTR0000031,2026-05-03 05:00:00,,3.1965,246.83,0.9397,ESTIMATED,ami_headend,AMI_20260601_A,2026-05-03,"Invalid timestamp, kWh, or negative consumption"
MR0000044766,MTR0000031,2026-05-06 05:00:00,-5.4589,0.0,236.98,0.9191,GOOD,ami_headend,AMI_20260601_A,2026-05-06,"Invalid timestamp, kWh, or negative consumption"
MR0000045042,MTR0000031,2026-05-17 17:00:00,-8.3997,0.0,245.61,0.8945,GOOD,ami_headend,AMI_20260601_B,2026-05-17,"Invalid timestamp, kWh, or negative consumption"
MR0000047353,MTR0000033,,3.4028,3.213,245.81,0.9704,ESTIMATED,ami_headend,AMI_20260601_B,,"Invalid timestamp, kWh, or negative consumption"
MR0000048015,MTR0000033,2026-05-19 14:00:00,,8.2334,237.46,0.915,MISSING,ami_headend,AMI_20260602_A,2026-05-19,"Invalid timestamp, kWh, or negative consumption"
MR0000048045,MTR0000033,,8.3563,11.0874,238.79,0.8984,MISSING,ami_headend,AMI_20260601_B,,"Invalid timestamp, kWh, or negative consumption"
MR0000048362,MTR0000034,2026-04-03 01:00:00,-2.3796,0.0,241.8,0.9242,GOOD,ami_headend,AMI_20260601_A,2026-04-03,"Invalid timestamp, kWh, or negative consumption"
MR0000048665,MTR0000034,2026-04-15 16:00:00,-4.5325,0.0,244.27,1.0,GOOD,ami_headend,AMI_20260601_B,2026-04-15,"Invalid timestamp, kWh, or negative consumption"
MR0000049138,MTR0000034,2026-05-05 09:00:00,,4.044,247.06,0.9533,ESTIMATED,ami_headend,AMI_20260601_A,2026-05-05,"Invalid timestamp, kWh, or negative consumption"
MR0000049338,MTR0000034,2026-05-13 17:00:00,,4.6464,234.68,0.967,GOOD,ami_headend,AMI_20260601_A,2026-05-13,"Invalid timestamp, kWh, or negative consumption"
MR0000049959,MTR0000035,2026-04-08 14:00:00,,38.5488,239.83,0.9207,GOOD,ami_headend,AMI_20260602_A,2026-04-08,"Invalid timestamp, kWh, or negative consumption"
MR0000051265,MTR0000036,,1.7291,1.6043,237.14,0.9417,GOOD,ami_headend,AMI_20260601_A,,"Invalid timestamp, kWh, or negative consumption"
MR0000051578,MTR0000036,2026-04-15 01:00:00,,2.3528,234.04,0.93,ESTIMATED,ami_headend,AMI_20260602_A,2026-04-15,"Invalid timestamp, kWh, or negative consumption"
MR0000051628,MTR0000036,2026-04-17 03:00:00,,1.921,237.33,0.9774,GOOD,ami_headend,AMI_20260601_B,2026-04-17,"Invalid timestamp, kWh, or negative consumption"
MR0000051932,MTR0000036,2026-04-29 19:00:00,-3.5488,0.0,239.62,0.9609,GOOD,ami_headend,AMI_20260601_A,2026-04-29,"Invalid timestamp, kWh, or negative consumption"
MR0000053314,MTR0000037,,93.7467,106.9075,239.59,0.9359,GOOD,ami_headend,AMI_20260602_A,,"Invalid timestamp, kWh, or negative consumption"
MR0000054366,MTR0000038,,35.8689,35.1934,233.68,0.9771,GOOD,ami_headend,AMI_20260601_A,,"Invalid timestamp, kWh, or negative consumption"
MR0000054986,MTR0000038,2026-05-05 01:00:00,-27.2204,0.0,240.22,0.9563,GOOD,ami_headend,AMI_20260601_B,2026-05-05,"Invalid timestamp, kWh, or negative consumption"
MR0000055449,MTR0000038,,63.6671,61.4652,249.54,0.8958,GOOD,ami_headend,AMI_20260601_A,,"Invalid timestamp, kWh, or negative consumption"
MR0000055785,MTR0000039,2026-04-07 08:00:00,-5.6027,0.0,242.68,0.9853,MISSING,ami_headend,AMI_20260601_B,2026-04-07,"Invalid timestamp, kWh, or negative consumption"
MR0000056283,MTR0000039,2026-04-28 02:00:00,-2.3301,0.0,245.14,0.9076,MISSING,ami_headend,AMI_20260601_A,2026-04-28,"Invalid timestamp, kWh, or negative consumption"
MR0000056855,MTR0000039,2026-05-21 22:00:00,,3.7532,242.21,0.9471,GOOD,ami_headend,AMI_20260601_B,2026-05-21,"Invalid timestamp, kWh, or negative consumption"
MR0000056871,MTR0000039,2026-05-22 14:00:00,,8.1883,243.48,0.9772,MISSING,ami_headend,AMI_20260602_A,2026-05-22,"Invalid timestamp, kWh, or negative consumption"
MR0000057529,MTR0000040,2026-04-19 00:00:00,-2.4218,0.0,242.07,0.923,GOOD,ami_headend,AMI_20260601_B,2026-04-19,"Invalid timestamp, kWh, or negative consumption"
MR0000057630,MTR0000040,2026-04-23 05:00:00,,2.6144,236.24,0.9599,GOOD,ami_headend,AMI_20260602_A,2026-04-23,"Invalid timestamp, kWh, or negative consumption"
MR0000057688,MTR0000040,2026-04-25 15:00:00,-5.221,0.0,245.93,0.8978,GOOD,ami_headend,AMI_20260601_A,2026-04-25,"Invalid timestamp, kWh, or negative consumption"
MR0000057760,MTR0000040,2026-04-28 15:00:00,-8.3985,0.0,242.27,0.9512,GOOD,ami_headend,AMI_20260601_A,2026-04-28,"Invalid timestamp, kWh, or negative consumption"
MR0000058477,MTR0000040,,7.2772,9.7842,234.43,0.93,GOOD,ami_headend,AMI_20260602_A,,"Invalid timestamp, kWh, or negative consumption"
MR0000058966,MTR0000041,2026-04-17 21:00:00,,79.4086,249.91,0.9518,GOOD,ami_headend,AMI_20260602_A,2026-04-17,"Invalid timestamp, kWh, or negative consumption"
MR0000059614,MTR0000041,,85.3558,87.838,236.82,0.8755,MISSING,ami_headend,AMI_20260601_B,,"Invalid timestamp, kWh, or negative consumption"
MR0000059675,MTR0000041,2026-05-17 10:00:00,,221.2363,238.74,0.981,GOOD,ami_headend,AMI_20260601_B,2026-05-17,"Invalid timestamp, kWh, or negative consumption"
MR0000060105,MTR0000042,2026-04-04 08:00:00,-2.7253,0.0,248.49,0.95,GOOD,ami_headend,AMI_20260601_B,2026-04-04,"Invalid timestamp, kWh, or negative consumption"
MR0000060388,MTR0000042,2026-04-16 03:00:00,-2.3643,0.0,236.04,0.9302,ESTIMATED,ami_headend,AMI_20260602_A,2026-04-16,"Invalid timestamp, kWh, or negative consumption"
MR0000061015,MTR0000042,2026-05-12 06:00:00,-1.4664,0.0,246.45,0.9256,GOOD,ami_headend,AMI_20260601_B,2026-05-12,"Invalid timestamp, kWh, or negative consumption"
MR0000062833,MTR0000043,2026-05-27 00:00:00,-6.6897,0.0,236.64,0.9295,GOOD,ami_headend,AMI_20260602_A,2026-05-27,"Invalid timestamp, kWh, or negative consumption"
MR0000063312,MTR0000044,,5.1713,4.1633,234.43,0.8745,GOOD,ami_headend,AMI_20260601_B,,"Invalid timestamp, kWh, or negative consumption"
MR0000063734,MTR0000044,2026-05-03 13:00:00,-7.6844,0.0,247.27,0.8652,GOOD,ami_headend,AMI_20260601_A,2026-05-03,"Invalid timestamp, kWh, or negative consumption"
MR0000063995,MTR0000044,2026-05-14 10:00:00,,11.0458,242.86,0.9282,MISSING,ami_headend,AMI_20260602_A,2026-05-14,"Invalid timestamp, kWh, or negative consumption"
MR0000065208,MTR0000045,2026-05-03 23:00:00,,1.0586,242.04,0.9232,ESTIMATED,ami_headend,AMI_20260602_A,2026-05-03,"Invalid timestamp, kWh, or negative consumption"
MR0000065682,MTR0000045,2026-05-23 17:00:00,,5.5141,238.4,0.9821,MISSING,ami_headend,AMI_20260602_A,2026-05-23,"Invalid timestamp, kWh, or negative consumption"
MR0000066186,MTR0000046,,5.3628,6.5969,239.34,0.9102,GOOD,ami_headend,AMI_20260601_A,,"Invalid timestamp, kWh, or negative consumption"
MR0000066425,MTR0000046,2026-04-23 16:00:00,-5.1583,0.0,236.99,0.9529,GOOD,ami_headend,AMI_20260601_A,2026-04-23,"Invalid timestamp, kWh, or negative consumption"
MR0000066428,MTR0000046,2026-04-23 19:00:00,-5.6649,0.0,237.88,0.8975,GOOD,ami_headend,AMI_20260601_B,2026-04-23,"Invalid timestamp, kWh, or negative consumption"
MR0000066779,MTR0000046,2026-05-08 10:00:00,,4.7168,238.03,0.9514,GOOD,ami_headend,AMI_20260602_A,2026-05-08,"Invalid timestamp, kWh, or negative consumption"
MR0000067065,MTR0000046,2026-05-20 08:00:00,-5.1663,0.0,238.83,0.9645,GOOD,ami_headend,AMI_20260602_A,2026-05-20,"Invalid timestamp, kWh, or negative consumption"
MR0000067277,MTR0000046,2026-05-29 04:00:00,-1.6129,0.0,239.13,0.9483,GOOD,ami_headend,AMI_20260601_B,2026-05-29,"Invalid timestamp, kWh, or negative consumption"
MR0000067421,MTR0000047,2026-04-04 04:00:00,-2.8096,0.0,242.41,0.9661,GOOD,ami_headend,AMI_20260602_A,2026-04-04,"Invalid timestamp, kWh, or negative consumption"
MR0000067824,MTR0000047,,1.8952,2.2391,243.64,0.9208,GOOD,ami_headend,AMI_20260601_B,,"Invalid timestamp, kWh, or negative consumption"
MR0000068517,MTR0000047,2026-05-19 20:00:00,-9.2314,0.0,234.15,0.9419,GOOD,ami_headend,AMI_20260601_B,2026-05-19,"Invalid timestamp, kWh, or negative consumption"
MR0000069629,MTR0000048,2026-05-05 04:00:00,,22.165,241.76,0.9792,GOOD,ami_headend,AMI_20260602_A,2026-05-05,"Invalid timestamp, kWh, or negative consumption"
MR0000069813,MTR0000048,2026-05-12 20:00:00,-60.9618,0.0,244.79,0.979,MISSING,ami_headend,AMI_20260601_B,2026-05-12,"Invalid timestamp, kWh, or negative consumption"
MR0000070095,MTR0000048,2026-05-24 14:00:00,-31.7623,0.0,237.8,0.8914,GOOD,ami_headend,AMI_20260601_A,2026-05-24,"Invalid timestamp, kWh, or negative consumption"
MR0000070490,MTR0000049,2026-04-10 01:00:00,-103.5735,0.0,241.79,1.0,GOOD,ami_headend,AMI_20260601_B,2026-04-10,"Invalid timestamp, kWh, or negative consumption"
MR0000071743,MTR0000050,2026-04-01 06:00:00,,5.094,238.7,0.9369,GOOD,ami_headend,AMI_20260601_B,2026-04-01,"Invalid timestamp, kWh, or negative consumption"
MR0000072490,MTR0000050,,9.644,9.0081,239.29,0.9177,MISSING,ami_headend,AMI_20260601_B,,"Invalid timestamp, kWh, or negative consumption"
MR0000072548,MTR0000050,2026-05-04 19:00:00,,8.977,237.69,0.9332,GOOD,ami_headend,AMI_20260601_A,2026-05-04,"Invalid timestamp, kWh, or negative consumption"
MR0000073045,MTR0000050,2026-05-25 12:00:00,,7.3398,240.75,0.9426,MISSING,ami_headend,AMI_20260601_B,2026-05-25,"Invalid timestamp, kWh, or negative consumption"
MR0000073441,MTR0000051,2026-04-11 00:00:00,,2.0496,242.2,0.9132,GOOD,ami_headend,AMI_20260601_B,2026-04-11,"Invalid timestamp, kWh, or negative consumption"
MR0000073571,MTR0000051,2026-04-16 10:00:00,-9.6084,0.0,233.42,0.9229,MISSING,ami_headend,AMI_20260601_B,2026-04-16,"Invalid timestamp, kWh, or negative consumption"
MR0000073799,MTR0000051,2026-04-25 22:00:00,-3.7144,0.0,234.26,0.8992,GOOD,ami_headend,AMI_20260601_A,2026-04-25,"Invalid timestamp, kWh, or negative consumption"
MR0000073856,MTR0000051,2026-04-28 07:00:00,-2.7015,0.0,235.28,0.9518,GOOD,ami_headend,AMI_20260601_B,2026-04-28,"Invalid timestamp, kWh, or negative consumption"
MR0000074122,MTR0000051,2026-05-09 09:00:00,,6.9881,245.92,0.9289,GOOD,ami_headend,AMI_20260601_A,2026-05-09,"Invalid timestamp, kWh, or negative consumption"
MR0000074229,MTR0000051,,8.5815,7.6139,241.85,0.9541,GOOD,ami_headend,AMI_20260601_A,,"Invalid timestamp, kWh, or negative consumption"
MR0000075568,MTR0000052,,32.6269,34.047,239.48,0.9271,ESTIMATED,ami_headend,AMI_20260602_A,,"Invalid timestamp, kWh, or negative consumption"
MR0000075808,MTR0000052,,40.6057,52.3044,233.88,0.9611,MISSING,ami_headend,AMI_20260602_A,,"Invalid timestamp, kWh, or negative consumption"
MR0000076432,MTR0000053,,74.9409,96.3032,238.68,0.9424,GOOD,ami_headend,AMI_20260601_B,,"Invalid timestamp, kWh, or negative consumption"
MR0000076758,MTR0000053,2026-04-27 05:00:00,-50.2164,0.0,244.52,0.8982,ESTIMATED,ami_headend,AMI_20260601_A,2026-04-27,"Invalid timestamp, kWh, or negative consumption"
MR0000077595,MTR0000054,2026-04-01 02:00:00,,253.2912,242.44,0.9438,GOOD,ami_headend,AMI_20260602_A,2026-04-01,"Invalid timestamp, kWh, or negative consumption"
