call_id,subscriber_id,cell_id,call_start_ts,duration_seconds,call_direction,call_status,roaming_flag,source_system,call_date
CALL0000000132,SUB00004962,CELL000099,2026-05-15 18:13:00,885.0,MO,Completed,False,switch,2026-05-15
CALL0000000133,SUB00001273,CELL000025,,1.0,MO,Completed,True,switch,
CALL0000000134,SUB00002780,CELL000237,2026-05-21 14:21:00,72.0,MT,Failed,False,switch,2026-05-21
CALL0000000135,SUB00002097,CELL000249,,344.0,MO,Failed,False,switch,
CALL0000000136,SUB00002375,CELL000035,2026-04-04 20:42:00,75.0,MT,Dropped,True,switch,2026-04-04
CALL0000000137,SUB00001621,CELL000254,2026-05-05 01:06:00,322.0,MT,Completed,False,switch,2026-05-05
CALL0000000138,SUB00002344,CELL000230,,131.0,MT,Completed,False,switch,
CALL0000000139,SUB00001384,CELL000236,2026-04-07 15:24:00,1.0,MO,Completed,True,switch,2026-04-07
CALL0000000140,SUB00004451,CELL000236,2026-05-03 05:29:00,133.0,MO,Dropped,False,switch,2026-05-03
CALL0000000141,SUB00002822,CELL000125,2026-05-06 04:25:00,36.0,MT,Failed,False,switch,2026-05-06
CALL0000000142,SUB00000551,CELL000122,,18.0,MO,Completed,True,switch,
CALL0000000143,SUB00004564,CELL000112,,106.0,MT,Completed,False,switch,
CALL0000000144,SUB00002667,CELL000076,,100.0,MO,Failed,True,switch,
CALL0000000145,SUB00003123,CELL000065,,180.0,MT,Failed,False,switch,
CALL0000000146,SUB00002121,CELL000161,2026-05-11 20:21:00,177.0,MO,Completed,False,switch,2026-05-11
CALL0000000147,SUB00001416,CELL000148,,109.0,MT,Completed,True,switch,
CALL0000000148,SUB00001022,CELL000194,,64.0,MO,Completed,False,switch,
CALL0000000149,SUB00004533,CELL000080,2026-05-09 02:22:00,1.0,MT,Failed,False,switch,2026-05-09
CALL0000000150,SUB00004329,CELL000033,,100.0,MO,Failed,True,switch,
CALL0000000151,SUB00002897,CELL000174,,120.0,MT,Completed,False,switch,
CALL0000000152,SUB00002374,CELL000070,2026-05-08 16:02:00,1346.0,MO,Completed,False,switch,2026-05-08
CALL0000000153,SUB00001383,CELL000176,,305.0,MO,Completed,True,switch,
CALL0000000154,SUB00001481,CELL000082,2026-05-27 11:10:00,5.0,MT,Failed,False,switch,2026-05-27
CALL0000000155,SUB00002999,CELL000176,2026-04-01 17:14:00,36.0,MT,Completed,False,switch,2026-04-01
CALL0000000156,SUB00001634,CELL000253,2026-05-30 08:59:00,60.0,MT,Completed,False,switch,2026-05-30
CALL0000000157,SUB00001653,CELL000138,,2.0,MO,Dropped,True,switch,
CALL0000000158,SUB00003069,CELL000115,2026-04-19 18:59:00,31.0,MO,Failed,True,switch,2026-04-19
CALL0000000159,SUB00000330,CELL000023,2026-05-08 15:35:00,59.0,MT,Completed,True,switch,2026-05-08
CALL0000000160,SUB00001172,CELL000040,,314.0,MT,Completed,False,switch,
CALL0000000161,SUB00002289,CELL000232,,479.0,MO,Completed,False,switch,
CALL0000000162,SUB00002000,CELL000097,2026-04-22 14:40:00,256.0,MT,Failed,False,switch,2026-04-22
CALL0000000163,SUB00000805,CELL000103,,149.0,MT,Dropped,False,switch,
CALL0000000164,SUB00000829,CELL000070,,132.0,MO,Dropped,False,switch,
CALL0000000165,SUB00003583,CELL000218,,55.0,MO,Completed,False,switch,
CALL0000000166,SUB00002756,CELL000103,,280.0,MO,Completed,True,switch,
CALL0000000167,SUB00003077,CELL000023,,854.0,MT,Dropped,False,switch,
CALL0000000168,SUB00004394,CELL000162,,394.0,MO,Completed,False,switch,
CALL0000000169,SUB00004841,CELL000026,,36.0,MO,Completed,False,switch,
CALL0000000170,SUB00000486,CELL000222,,125.0,MO,Completed,False,switch,
CALL0000000171,SUB00000086,CELL000170,2026-05-23 19:04:00,1.0,MO,Completed,False,switch,2026-05-23
CALL0000000172,SUB00000598,CELL000130,,18.0,MO,Completed,False,switch,
CALL0000000173,SUB00002916,CELL000118,,127.0,MT,Completed,True,switch,
CALL0000000174,SUB00000216,CELL000248,,23.0,MO,Completed,False,switch,
CALL0000000175,SUB00002984,CELL000252,2026-05-21 15:36:00,715.0,MT,Failed,False,switch,2026-05-21
CALL0000000176,SUB00001025,CELL000185,2026-04-02 15:55:00,197.0,MO,Failed,False,switch,2026-04-02
CALL0000000177,SUB00002160,CELL000142,2026-05-08 03:36:00,480.0,MT,Dropped,False,switch,2026-05-08
CALL0000000178,SUB00001728,CELL000086,,255.0,MO,Completed,False,switch,
CALL0000000179,SUB00000465,CELL000113,,23.0,MT,Dropped,False,switch,
CALL0000000180,SUB00004047,CELL000130,,29.0,MO,Completed,False,switch,
CALL0000000181,SUB00001736,CELL000126,2026-05-22 16:34:00,62.0,MO,Completed,False,switch,2026-05-22
CALL0000000182,SUB00002012,CELL000018,,84.0,MO,Dropped,False,switch,
CALL0000000183,SUB00001250,CELL000216,,106.0,MO,Failed,False,switch,
CALL0000000184,SUB00004683,CELL000170,2026-05-30 00:32:00,121.0,MO,Dropped,True,switch,2026-05-30
CALL0000000185,SUB00003644,CELL000214,,20.0,MT,Completed,False,switch,
CALL0000000186,SUB00002470,CELL000016,2026-04-18 12:23:00,343.0,MT,Completed,True,switch,2026-04-18
CALL0000000187,SUB00000099,CELL000034,2026-05-17 20:24:00,71.0,MO,Completed,False,switch,2026-05-17
CALL0000000188,SUB00002471,CELL000136,2026-05-16 07:35:00,470.0,MO,Failed,True,switch,2026-05-16
CALL0000000189,SUB00001201,CELL000116,,1013.0,MT,Completed,False,switch,
CALL0000000190,SUB00000252,CELL000033,2026-05-11 04:28:00,63.0,MT,Completed,True,switch,2026-05-11
CALL0000000191,SUB00003734,CELL000136,2026-05-15 08:15:00,200.0,MO,Completed,False,switch,2026-05-15
CALL0000000192,SUB00000323,CELL000067,2026-04-24 10:42:00,101.0,MT,Completed,False,switch,2026-04-24
CALL0000000193,SUB00003024,CELL000222,2026-05-03 07:50:00,284.0,MT,Dropped,False,switch,2026-05-03
CALL0000000194,SUB00004663,CELL000143,2026-04-08 16:21:00,334.0,MT,Dropped,True,switch,2026-04-08
CALL0000000195,SUB00001029,CELL000051,2026-05-11 04:32:00,62.0,MO,Completed,False,switch,2026-05-11
CALL0000000196,SUB00003234,CELL000248,2026-04-24 21:00:00,270.0,MT,Completed,False,switch,2026-04-24
CALL0000000197,SUB00002862,CELL000245,2026-05-10 17:59:00,94.0,MO,Completed,True,switch,2026-05-10
CALL0000000198,SUB00003367,CELL000183,,80.0,MT,Dropped,False,switch,
CALL0000000199,SUB00000184,CELL000188,2026-05-28 09:49:00,79.0,MO,Completed,False,switch,2026-05-28
CALL0000000200,SUB00001426,CELL000009,,22.0,MO,Completed,False,switch,
CALL0000000201,SUB00004317,CELL000083,,57.0,MT,Completed,True,switch,
CALL0000000202,SUB00002594,CELL000105,2026-04-14 13:31:00,129.0,MO,Failed,False,switch,2026-04-14
CALL0000000203,SUB00001831,CELL000025,,94.0,MT,Completed,False,switch,
CALL0000000204,SUB00003147,CELL000219,2026-05-03 05:49:00,49.0,MO,Completed,False,switch,2026-05-03
CALL0000000205,SUB00003908,CELL000156,,16.0,MO,Completed,False,switch,
CALL0000000206,SUB00001821,CELL000160,2026-05-31 13:48:00,160.0,MT,Completed,False,switch,2026-05-31
CALL0000000207,SUB00003841,CELL000036,2026-05-29 12:56:00,135.0,MO,Completed,False,switch,2026-05-29
CALL0000000208,SUB00002322,CELL000107,,306.0,MO,Completed,False,switch,
CALL0000000209,SUB00000323,CELL000080,2026-04-25 16:45:00,185.0,MO,Completed,False,switch,2026-04-25
CALL0000000210,SUB00000689,CELL000025,2026-04-29 08:51:00,118.0,MO,Failed,True,switch,2026-04-29
CALL0000000211,SUB00001277,CELL000124,2026-05-25 03:56:00,99.0,MT,Completed,True,switch,2026-05-25
CALL0000000212,SUB00001591,CELL000066,,327.0,MO,Dropped,False,switch,
CALL0000000213,SUB00003006,CELL000079,,521.0,MT,Dropped,False,switch,
CALL0000000214,SUB00004145,CELL000251,,102.0,MO,Dropped,False,switch,
CALL0000000215,SUB00004846,CELL000031,,484.0,MT,Completed,True,switch,
CALL0000000216,SUB00002005,CELL000083,2026-05-01 15:27:00,102.0,MT,Completed,False,switch,2026-05-01
CALL0000000217,SUB00000154,CELL000230,2026-05-04 03:55:00,616.0,MO,Dropped,False,switch,2026-05-04
CALL0000000218,SUB00001012,CELL000120,,249.0,MO,Completed,True,switch,
CALL0000000219,SUB00001706,CELL000234,,157.0,MO,Completed,False,switch,
CALL0000000220,SUB00004626,CELL000192,,59.0,MO,Completed,False,switch,
CALL0000000221,SUB00001688,CELL000117,,19.0,MT,Completed,False,switch,
CALL0000000222,SUB00000093,CELL000229,,51.0,MO,Dropped,False,switch,
CALL0000000223,SUB00000737,CELL000119,,583.0,MO,Completed,False,switch,
CALL0000000224,SUB00002732,CELL000240,,360.0,MO,Dropped,False,switch,
CALL0000000225,SUB00000148,CELL000144,2026-04-19 03:16:00,53.0,MT,Completed,False,switch,2026-04-19
CALL0000000226,SUB00002407,CELL000051,2026-04-10 03:15:00,70.0,MT,Completed,False,switch,2026-04-10
CALL0000000227,SUB00001664,CELL000082,2026-04-17 15:16:00,43.0,MO,Completed,False,switch,2026-04-17
CALL0000000228,SUB00002566,CELL000044,2026-05-14 16:26:00,87.0,MO,Dropped,False,switch,2026-05-14
CALL0000000229,SUB00000418,CELL000209,,163.0,MO,Completed,False,switch,
CALL0000000230,SUB00003944,CELL000203,,9.0,MT,Completed,True,switch,
CALL0000000231,SUB00000191,CELL000105,2026-05-25 16:42:00,155.0,MO,Completed,False,switch,2026-05-25
CALL0000000232,SUB00000840,CELL000169,,2.0,MT,Dropped,True,switch,
CALL0000000233,SUB00000763,CELL000237,,71.0,MO,Completed,False,switch,
CALL0000000234,SUB00000768,CELL000255,2026-05-23 07:13:00,8.0,MT,Completed,False,switch,2026-05-23
CALL0000000235,SUB00002006,CELL000208,2026-04-26 05:45:00,125.0,MT,Completed,True,switch,2026-04-26
CALL0000000236,SUB00004968,CELL000145,2026-04-05 06:20:00,116.0,MO,Completed,False,switch,2026-04-05
CALL0000000237,SUB00004580,CELL000135,2026-04-17 03:36:00,28.0,MT,Completed,False,switch,2026-04-17
CALL0000000238,SUB00003898,CELL000099,,15.0,MT,Failed,True,switch,
CALL0000000239,SUB00004946,CELL000246,,16.0,MO,Completed,False,switch,
CALL0000000240,SUB00001718,CELL000150,,15.0,MT,Completed,False,switch,
CALL0000000241,SUB00004816,CELL000118,2026-05-26 17:48:00,121.0,MO,Completed,False,switch,2026-05-26
CALL0000000242,SUB00002178,CELL000238,2026-05-09 23:06:00,127.0,MT,Dropped,True,switch,2026-05-09
CALL0000000243,SUB00000794,CELL000097,,471.0,MO,Completed,False,switch,
CALL0000000244,SUB00003219,CELL000026,2026-04-08 05:50:00,6.0,MT,Completed,True,switch,2026-04-08
CALL0000000245,SUB00001576,CELL000231,2026-05-15 08:39:00,124.0,MO,Dropped,False,switch,2026-05-15
CALL0000000246,SUB00000657,CELL000060,2026-05-19 04:06:00,94.0,MT,Completed,False,switch,2026-05-19
CALL0000000247,SUB00004523,CELL000188,2026-05-27 15:27:00,521.0,MO,Completed,False,switch,2026-05-27
CALL0000000248,SUB00003874,CELL000060,,87.0,MO,Dropped,True,switch,
CALL0000000249,SUB00002262,CELL000221,2026-05-08 13:35:00,31.0,MT,Completed,False,switch,2026-05-08
CALL0000000250,SUB00002095,CELL000205,,125.0,MO,Completed,False,switch,
CALL0000000251,SUB00004919,CELL000205,,11.0,MO,Completed,False,switch,
CALL0000000252,SUB00002300,CELL000107,,261.0,MT,Completed,True,switch,
CALL0000000253,SUB00002494,CELL000118,2026-05-27 17:05:00,35.0,MT,Failed,False,switch,2026-05-27
CALL0000000254,SUB00002028,CELL000107,,169.0,MO,Completed,False,switch,
CALL0000000255,SUB00001207,CELL000141,2026-04-24 05:18:00,56.0,MT,Failed,False,switch,2026-04-24
CALL0000000256,SUB00003523,CELL000159,,28.0,MO,Completed,False,switch,
CALL0000000257,SUB00003270,CELL000244,2026-04-19 11:40:00,54.0,MO,Completed,False,switch,2026-04-19
CALL0000000258,SUB00003383,CELL000110,,67.0,MO,Completed,False,switch,
CALL0000000259,SUB00001383,CELL000110,2026-05-20 06:13:00,155.0,MT,Dropped,False,switch,2026-05-20
CALL0000000260,SUB00001767,CELL000230,,229.0,MO,Completed,False,switch,
CALL0000000261,SUB00002867,CELL000124,,42.0,MT,Completed,True,switch,
CALL0000000262,SUB00000429,CELL000075,2026-05-10 22:57:00,98.0,MT,Dropped,False,switch,2026-05-10
CALL0000000263,SUB00004978,CELL000130,2026-04-09 18:36:00,443.0,MO,Dropped,True,switch,2026-04-09
CALL0000000264,SUB00004405,CELL000134,2026-04-29 18:59:00,60.0,MO,Failed,True,switch,2026-04-29
CALL0000000265,SUB00001242,CELL000149,2026-05-23 20:56:00,281.0,MT,Completed,True,switch,2026-05-23
CALL0000000266,SUB00002971,CELL000226,,111.0,MO,Completed,False,switch,
CALL0000000267,SUB00002342,CELL000148,2026-04-27 17:42:00,197.0,MO,Completed,False,switch,2026-04-27
CALL0000000268,SUB00001337,CELL000081,2026-04-04 11:33:00,1508.0,MT,Completed,False,switch,2026-04-04
CALL0000000269,SUB00003647,CELL000002,2026-04-26 09:59:00,47.0,MO,Dropped,False,switch,2026-04-26
CALL0000000270,SUB00002804,CELL000145,,441.0,MO,Completed,False,switch,
CALL0000000271,SUB00002841,CELL000051,2026-04-14 11:01:00,596.0,MO,Dropped,False,switch,2026-04-14
CALL0000000272,SUB00001992,CELL000173,,38.0,MO,Completed,False,switch,
CALL0000000273,SUB00002958,CELL000239,,82.0,MO,Failed,False,switch,
CALL0000000274,SUB00004436,CELL000235,,399.0,MT,Dropped,False,switch,
CALL0000000275,SUB00000919,CELL000038,,301.0,MO,Dropped,True,switch,
CALL0000000276,SUB00004439,CELL000001,2026-04-03 03:23:00,190.0,MT,Completed,True,switch,2026-04-03
CALL0000000277,SUB00003362,CELL000221,,145.0,MO,Dropped,False,switch,
CALL0000000278,SUB00004912,CELL000014,2026-05-21 23:20:00,19.0,MO,Completed,False,switch,2026-05-21
CALL0000000279,SUB00002277,CELL000148,2026-04-24 17:05:00,22.0,MO,Completed,True,switch,2026-04-24
CALL0000000280,SUB00003624,CELL000058,2026-05-17 00:59:00,574.0,MO,Completed,False,switch,2026-05-17
CALL0000000281,SUB00004990,CELL000118,,75.0,MO,Dropped,True,switch,
CALL0000000282,SUB00000532,CELL000081,2026-05-25 07:03:00,1.0,MO,Completed,False,switch,2026-05-25
CALL0000000283,SUB00002486,CELL000172,,311.0,MO,Completed,False,switch,
