device_id,customer_id,device_type,manufacturer,model,imei_like,activation_date,5g_capable_flag,device_status
DEV0000067,CUST00003152,Wearable,Oneplus,Model-71,564036046319662,2020-01-10,True,Retired
DEV0000068,CUST00003029,Tablet,Apple,Model-23,528325832941192,2024-03-24,True,Retired
DEV0000069,CUST00000521,Tablet,Oneplus,Model-84,668072708538786,2025-10-12,True,Retired
DEV0000070,CUST00000597,Smartphone,Samsung,Model-54,894137013954254,2024-11-23,True,Suspended
DEV0000071,CUST00001497,Smartphone,Samsung,Model-93,266946553512164,2022-04-20,True,Active
DEV0000072,CUST00000284,Hotspot,Google,Model-34,807265084387929,2025-12-30,True,Retired
DEV0000073,CUST00001505,Tablet,Google,Model-61,231462879543475,2023-08-09,True,Suspended
DEV0000074,CUST00000088,Smartphone,Motorola,Model-18,501923408302319,2021-04-02,True,Active
DEV0000075,CUST00003792,Iot Router,Nokia,Model-29,691079294303609,2026-01-28,True,Active
DEV0000076,CUST00001145,Wearable,Motorola,Model-34,742371523643615,2025-11-25,True,Retired
DEV0000077,CUST00003911,Hotspot,Nokia,Model-30,998633495975190,2021-03-23,True,Retired
DEV0000078,CUST00001521,Iot Router,Google,Model-76,721093420268004,2023-06-05,True,Active
DEV0000079,CUST00001685,Hotspot,Oneplus,Model-16,236027784293619,2020-05-25,True,Active
DEV0000080,CUST00004320,Wearable,Google,Model-11,115704096285581,2021-08-31,True,Active
DEV0000081,CUST00001189,Hotspot,Samsung,Model-66,901000903623914,2021-02-17,True,Active
DEV0000082,CUST00000032,Iot Router,Google,Model-83,508118198412055,2024-10-25,True,Suspended
DEV0000083,CUST00000058,Tablet,Google,Model-90,724677833094370,2022-04-14,True,Active
DEV0000084,CUST00004427,Hotspot,Oneplus,Model-90,367644078159450,2021-06-12,False,Active
DEV0000085,CUST00004412,Tablet,Google,Model-89,594227843970029,2026-03-04,False,Suspended
DEV0000086,CUST00001303,Smartphone,Motorola,Model-32,872752542607805,2024-08-29,True,Active
DEV0000087,CUST00001073,Hotspot,Samsung,Model-91,478231373881867,2021-09-01,True,Active
DEV0000088,CUST00001498,Hotspot,Samsung,Model-11,481296827773743,2020-02-22,True,Retired
DEV0000089,CUST00004417,Tablet,Oneplus,Model-27,960298212442530,2023-02-18,True,Active
DEV0000090,CUST00000254,Smartphone,Google,Model-45,385329480586585,2023-01-01,False,Active
DEV0000091,CUST00003241,Iot Router,Nokia,Model-63,339683348277356,2023-03-21,False,Suspended
DEV0000092,CUST00004164,Smartphone,Oneplus,Model-86,745022561445410,2021-06-17,True,Retired
DEV0000093,CUST00000801,Smartphone,Samsung,Model-17,925530081022869,2020-12-21,True,Active
DEV0000094,CUST00000834,Tablet,Oneplus,Model-54,429781569071182,2021-05-12,False,Retired
DEV0000095,CUST00000239,Hotspot,Oneplus,Model-28,554515028748066,2020-11-06,False,Suspended
DEV0000096,CUST00004376,Hotspot,Motorola,Model-32,506303801175300,2023-07-29,True,Active
DEV0000097,CUST00000048,Wearable,Oneplus,Model-88,711134617585719,2024-05-14,True,Suspended
DEV0000098,CUST00002407,Wearable,Oneplus,Model-74,428538837185701,2025-03-18,True,Retired
DEV0000099,CUST00004094,Wearable,Google,Model-22,644597958456422,2025-08-05,False,Active
DEV0000100,CUST00000845,Tablet,Nokia,Model-20,768620414692314,2025-06-20,True,Active
DEV0000101,CUST00004338,Smartphone,Google,Model-46,830134598260736,2022-07-10,True,Suspended
DEV0000102,CUST00002892,Smartphone,Motorola,Model-41,960455235206433,2026-02-25,True,Retired
DEV0000103,CUST00002462,Tablet,Google,Model-24,647571791181405,2025-10-06,True,Retired
DEV0000104,CUST00000598,Wearable,Motorola,Model-27,195930455039150,2020-09-20,True,Active
DEV0000105,CUST00001314,Iot Router,Nokia,Model-27,232924135150286,2024-06-09,True,Active
DEV0000106,CUST00003080,Hotspot,Samsung,Model-20,929262900415197,2026-04-02,True,Active
DEV0000107,CUST00000267,Hotspot,Nokia,Model-28,713655007686606,2025-05-05,True,Suspended
DEV0000108,CUST00003662,Wearable,Apple,Model-73,778813860119963,2022-06-09,True,Active
DEV0000109,CUST00001998,Iot Router,Samsung,Model-72,421862343640495,2024-02-09,False,Active
DEV0000110,CUST00004221,Tablet,Samsung,Model-70,148067657257056,2024-10-18,True,Suspended
DEV0000111,CUST00001778,Hotspot,Google,Model-93,405858279846351,2025-07-24,True,Active
DEV0000112,CUST00002824,Smartphone,Google,Model-53,229061876241837,2022-01-22,True,Active
DEV0000113,CUST00001595,Tablet,Google,Model-67,817863160577141,2022-02-20,False,Active
DEV0000114,CUST00003716,Iot Router,Oneplus,Model-94,386096139842361,2020-03-22,True,Active
DEV0000115,CUST00002505,Wearable,Samsung,Model-82,471273211069847,2024-02-17,True,Retired
DEV0000116,CUST00001340,Hotspot,Apple,Model-68,869670387240870,2021-12-03,True,Active
DEV0000117,CUST00001756,Iot Router,Google,Model-46,248307330834617,2021-02-21,True,Suspended
DEV0000118,CUST00001263,Hotspot,Oneplus,Model-20,910742483321873,2021-08-29,True,Suspended
DEV0000119,CUST00000493,Hotspot,Oneplus,Model-53,356577364014025,2024-08-27,True,Retired
DEV0000120,CUST00003191,Wearable,Motorola,Model-65,273645406888752,2025-07-10,False,Active
DEV0000121,CUST00000219,Smartphone,Nokia,Model-94,268338778337057,2024-09-16,True,Active
DEV0000122,CUST00002694,Tablet,Nokia,Model-37,233463132446235,2021-05-25,True,Retired
DEV0000123,CUST00002983,Iot Router,Google,Model-81,242587615904460,2025-03-18,True,Active
DEV0000124,CUST00003568,Iot Router,Motorola,Model-83,577027413563725,2026-01-24,True,Suspended
DEV0000125,CUST00000194,Hotspot,Motorola,Model-10,241941619971087,2023-04-16,False,Suspended
DEV0000126,CUST00001443,Hotspot,Google,Model-47,330353086049854,2022-08-12,True,Active
DEV0000127,CUST00003379,Wearable,Nokia,Model-22,353492921361411,2021-09-25,True,Active
DEV0000128,CUST00000541,Tablet,Nokia,Model-97,542850349574731,2023-10-14,True,Suspended
DEV0000129,CUST00004371,Smartphone,Apple,Model-91,193577302869772,2020-08-08,False,Retired
DEV0000130,CUST00001615,Smartphone,Nokia,Model-67,542750828402928,2023-04-29,True,Active
DEV0000131,CUST00004274,Wearable,Samsung,Model-33,903146328449049,2021-11-04,True,Active
DEV0000132,CUST00000547,Iot Router,Google,Model-66,278952299271387,2023-12-10,True,Active
DEV0000133,CUST00001146,Iot Router,Apple,Model-57,176719947362874,2026-03-18,True,Suspended
DEV0000134,CUST00002963,Iot Router,Samsung,Model-80,404626180187844,2022-12-03,True,Active
DEV0000135,CUST00002599,Tablet,Google,Model-21,566550614101418,2023-09-26,False,Suspended
DEV0000136,CUST00001490,Tablet,Oneplus,Model-40,231879403163786,2024-04-21,True,Active
DEV0000137,CUST00001444,Wearable,Samsung,Model-94,611869179265238,2021-03-29,True,Retired
DEV0000138,CUST00003087,Smartphone,Samsung,Model-80,970375120949870,2023-10-03,True,Active
DEV0000139,CUST00002236,Wearable,Google,Model-62,407657752998642,2025-05-23,True,Suspended
DEV0000140,CUST00002676,Wearable,Google,Model-74,901798998007547,2025-10-12,False,Suspended
DEV0000141,CUST00002986,Iot Router,Google,Model-14,226292733676066,2026-01-29,False,Active
DEV0000142,CUST00000426,Wearable,Google,Model-93,986356689886036,2025-02-25,True,Suspended
DEV0000143,CUST00002098,Tablet,Samsung,Model-16,498907439471300,2025-01-14,True,Retired
DEV0000144,CUST00002088,Smartphone,Apple,Model-52,967008884867361,2024-05-04,True,Active
DEV0000145,CUST00004163,Tablet,Motorola,Model-10,634008844800842,2021-06-28,False,Active
DEV0000146,CUST00004418,Wearable,Oneplus,Model-66,765322397989226,2022-04-30,True,Active
DEV0000147,CUST00001676,Wearable,Motorola,Model-13,397025748826366,2022-02-10,False,Suspended
DEV0000148,CUST00003027,Smartphone,Oneplus,Model-80,681915770778836,2023-02-23,True,Suspended
DEV0000149,CUST00002656,Smartphone,Apple,Model-73,525551751788904,2021-07-25,True,Retired
DEV0000150,CUST00000889,Iot Router,Motorola,Model-70,475841867433369,2022-01-21,True,Active
DEV0000151,CUST00000538,Wearable,Google,Model-85,546137933684646,2024-04-12,True,Active
DEV0000152,CUST00001507,Hotspot,Samsung,Model-49,246016166081261,2026-01-31,True,Retired
DEV0000153,CUST00003111,Smartphone,Apple,Model-34,604175022557562,2020-07-01,True,Suspended
DEV0000154,CUST00000725,Hotspot,Nokia,Model-68,132755462772295,2022-06-03,True,Active
DEV0000155,CUST00003560,Wearable,Motorola,Model-94,448554665604187,2026-04-18,False,Retired
DEV0000156,CUST00002457,Smartphone,Apple,Model-31,328256895584905,2020-09-01,True,Suspended
DEV0000157,CUST00004036,Wearable,Samsung,Model-78,377964201807733,2020-10-09,True,Active
DEV0000158,CUST00003471,Wearable,Apple,Model-28,560452488554792,2025-05-25,False,Suspended
DEV0000159,CUST00001748,Iot Router,Oneplus,Model-26,734964408368936,2022-06-03,True,Retired
DEV0000160,CUST00002571,Hotspot,Nokia,Model-60,683258467624054,2020-06-16,True,Active
DEV0000161,CUST00002404,Wearable,Oneplus,Model-21,412284779960292,2022-05-12,True,Active
DEV0000162,CUST00001985,Tablet,Google,Model-15,994115507982302,2020-09-13,True,Active
DEV0000163,CUST00001589,Tablet,Oneplus,Model-65,681432739243448,2024-12-31,True,Active
DEV0000164,CUST00001088,Tablet,Motorola,Model-31,417505245653577,2020-12-03,True,Active
DEV0000165,CUST00003840,Iot Router,Google,Model-39,386640359080785,2024-03-26,True,Active
DEV0000166,CUST00003258,Iot Router,Oneplus,Model-30,106668165962798,2025-09-02,False,Active
DEV0000167,CUST00003934,Tablet,Samsung,Model-48,741132073657059,2020-04-06,True,Active
DEV0000168,CUST00002262,Wearable,Nokia,Model-34,908511991214699,2024-09-21,False,Active
DEV0000169,CUST00002054,Iot Router,Samsung,Model-84,618681971780553,2021-08-21,True,Suspended
DEV0000170,CUST00001226,Wearable,Apple,Model-79,604726526570171,2025-09-01,True,Active
DEV0000171,CUST00004081,Hotspot,Samsung,Model-58,268915561543906,2021-02-11,True,Retired
DEV0000172,CUST00003593,Tablet,Google,Model-52,140656214540058,2025-02-03,False,Active
DEV0000173,CUST00000210,Wearable,Samsung,Model-12,623329661260422,2020-08-30,False,Suspended
DEV0000174,CUST00001622,Wearable,Google,Model-72,858793894806117,2021-08-05,True,Active
DEV0000175,CUST00000604,Hotspot,Nokia,Model-69,114232489943284,2023-09-30,True,Suspended
DEV0000176,CUST00003131,Hotspot,Apple,Model-20,469625291367040,2024-05-21,True,Retired
DEV0000177,CUST00003362,Smartphone,Samsung,Model-28,909888449172659,2023-08-08,True,Suspended
DEV0000178,CUST00003946,Wearable,Oneplus,Model-37,292956615318316,2025-02-20,False,Active
DEV0000179,CUST00001415,Iot Router,Apple,Model-91,557728025300026,2022-11-30,True,Retired
DEV0000180,CUST00001310,Smartphone,Nokia,Model-68,198025286791596,2023-09-04,True,Active
DEV0000181,CUST00003626,Smartphone,Google,Model-33,162855189978265,2020-12-25,True,Retired
DEV0000182,CUST00001326,Smartphone,Samsung,Model-43,968054509380300,2020-05-06,True,Active
DEV0000183,CUST00002703,Wearable,Motorola,Model-61,816250291642553,2020-11-30,True,Suspended
DEV0000184,CUST00002577,Smartphone,Motorola,Model-76,257181320179297,2025-05-12,False,Retired
DEV0000185,CUST00003527,Smartphone,Nokia,Model-79,589812579928518,2026-02-18,True,Retired
DEV0000186,CUST00002662,Iot Router,Nokia,Model-33,254933835617787,2023-09-21,True,Active
DEV0000187,CUST00004418,Tablet,Motorola,Model-13,639512339666302,2025-12-22,True,Active
DEV0000188,CUST00002296,Wearable,Apple,Model-78,576932497137908,2022-04-07,True,Suspended
DEV0000189,CUST00003439,Iot Router,Google,Model-63,644880492629138,2021-01-24,True,Suspended
DEV0000190,CUST00001139,Tablet,Nokia,Model-71,797250828414757,2024-01-07,True,Active
DEV0000191,CUST00002989,Iot Router,Apple,Model-22,210107486676842,2025-07-11,True,Active
DEV0000192,CUST00000178,Iot Router,Samsung,Model-66,480461181403023,2021-09-08,True,Active
DEV0000193,CUST00000278,Tablet,Oneplus,Model-43,469674872554927,2021-04-24,True,Retired
DEV0000194,CUST00000397,Hotspot,Motorola,Model-86,893895992063593,2024-09-13,False,Active
DEV0000195,CUST00004455,Tablet,Oneplus,Model-59,454949637032242,2021-01-20,True,Suspended
DEV0000196,CUST00000338,Iot Router,Nokia,Model-72,800186759698015,2021-09-22,True,Active
DEV0000197,CUST00001814,Tablet,Oneplus,Model-51,582143320758891,2025-10-30,True,Suspended
DEV0000198,CUST00000358,Hotspot,Google,Model-78,597177105063039,2024-07-04,True,Retired
DEV0000199,CUST00002354,Hotspot,Google,Model-44,892155940317450,2023-03-06,True,Active
DEV0000200,CUST00001637,Iot Router,Oneplus,Model-72,544838102219017,2021-04-20,True,Active
DEV0000201,CUST00002121,Tablet,Nokia,Model-50,263573773865282,2026-02-11,True,Active
DEV0000202,CUST00001528,Iot Router,Nokia,Model-63,314799899351156,2020-04-25,False,Suspended
DEV0000203,CUST00004225,Hotspot,Oneplus,Model-70,586292469918837,2021-05-01,True,Suspended
DEV0000204,CUST00001164,Hotspot,Nokia,Model-44,385398396154746,2025-06-19,True,Retired
DEV0000205,CUST00000673,Tablet,Google,Model-69,342269794640334,2022-06-10,False,Retired
DEV0000206,CUST00002716,Smartphone,Samsung,Model-89,776249471549017,2021-12-25,True,Active
DEV0000207,CUST00002839,Hotspot,Oneplus,Model-58,559096612592584,2024-10-17,False,Active
DEV0000208,CUST00003757,Smartphone,Google,Model-81,542620497704893,2022-02-12,True,Active
DEV0000209,CUST00000263,Tablet,Apple,Model-22,425489808452729,2021-01-01,True,Retired
DEV0000210,CUST00002302,Iot Router,Samsung,Model-60,832643656156464,2026-02-21,True,Retired
DEV0000211,CUST00003576,Hotspot,Oneplus,Model-92,719720411219520,2024-02-22,True,Active
DEV0000212,CUST00003659,Wearable,Nokia,Model-81,449089764614620,2025-01-10,True,Active
DEV0000213,CUST00003208,Wearable,Motorola,Model-93,843803412186411,2020-11-10,False,Active
DEV0000214,CUST00003240,Tablet,Samsung,Model-26,412380933258995,2020-06-14,True,Active
DEV0000215,CUST00002973,Wearable,Apple,Model-13,569032472130002,2021-01-20,True,Active
DEV0000216,CUST00002443,Smartphone,Oneplus,Model-80,857427049017651,2022-03-10,True,Suspended
DEV0000217,CUST00000824,Hotspot,Motorola,Model-69,485234671093755,2022-03-23,True,Active
DEV0000218,CUST00000924,Tablet,Nokia,Model-85,726822244566340,2022-12-16,True,Suspended
DEV0000219,CUST00004385,Wearable,Samsung,Model-93,802817394802875,2021-04-06,True,Suspended
DEV0000220,CUST00001278,Smartphone,Samsung,Model-55,212794593386686,2021-03-11,True,Active
DEV0000221,CUST00002600,Smartphone,Samsung,Model-75,674947487593905,2026-03-02,True,Active
DEV0000222,CUST00002262,Hotspot,Oneplus,Model-71,470511197535083,2025-11-10,False,Retired
DEV0000223,CUST00001095,Iot Router,Nokia,Model-64,132207432269064,2023-07-30,True,Active
DEV0000224,CUST00000861,Tablet,Apple,Model-56,936491219536152,2025-02-19,False,Suspended
DEV0000225,CUST00002375,Smartphone,Google,Model-46,463261775542305,2025-02-15,False,Active
DEV0000226,CUST00003957,Hotspot,Google,Model-25,546843582596159,2023-06-07,True,Active
DEV0000227,CUST00003928,Smartphone,Apple,Model-80,228721493211889,2025-10-09,False,Retired
DEV0000228,CUST00003127,Iot Router,Oneplus,Model-99,420467791552417,2024-01-18,True,Active
DEV0000229,CUST00003682,Iot Router,Oneplus,Model-28,170711622281737,2024-03-22,True,Suspended
DEV0000230,CUST00003312,Tablet,Google,Model-90,354723432763933,2022-10-03,True,Suspended
DEV0000231,CUST00004113,Tablet,Samsung,Model-29,805654856848992,2021-07-30,True,Suspended
DEV0000232,CUST00001972,Wearable,Motorola,Model-73,327890256578938,2023-09-29,True,Suspended
DEV0000233,CUST00001971,Hotspot,Motorola,Model-79,985379101126184,2025-07-19,False,Retired
DEV0000234,CUST00001883,Iot Router,Nokia,Model-79,628778307075538,2023-07-09,True,Active
DEV0000235,CUST00002181,Tablet,Google,Model-98,604618849414012,2023-10-02,True,Retired
DEV0000236,CUST00002573,Hotspot,Samsung,Model-60,526099757808912,2022-09-19,True,Retired
DEV0000237,CUST00002197,Iot Router,Motorola,Model-28,411653488641295,2020-08-02,True,Retired
DEV0000238,CUST00003303,Smartphone,Google,Model-23,437749511321977,2024-11-02,True,Active
DEV0000239,CUST00001937,Tablet,Nokia,Model-84,248805274962652,2023-04-05,False,Active
DEV0000240,CUST00003977,Smartphone,Motorola,Model-70,404992090907942,2023-10-21,True,Retired
DEV0000241,CUST00003603,Smartphone,Motorola,Model-65,548372646450251,2023-07-29,True,Active
DEV0000242,CUST00003773,Wearable,Samsung,Model-30,808922119296405,2023-02-05,True,Retired
DEV0000243,CUST00001913,Smartphone,Google,Model-38,519889676915145,2023-05-30,True,Active
DEV0000244,CUST00001795,Hotspot,Nokia,Model-79,459124420988207,2023-03-02,True,Suspended
DEV0000245,CUST00001411,Tablet,Google,Model-73,424681726287701,2023-11-05,True,Active
DEV0000246,CUST00001577,Hotspot,Motorola,Model-84,886655108469751,2026-01-16,True,Active
DEV0000247,CUST00003352,Hotspot,Nokia,Model-93,324431686969849,2023-09-30,True,Active
DEV0000248,CUST00001599,Smartphone,Nokia,Model-17,299998683841498,2023-11-16,True,Suspended
DEV0000249,CUST00003837,Tablet,Samsung,Model-59,752249000970842,2022-06-13,True,Retired
DEV0000250,CUST00000241,Smartphone,Google,Model-13,834453094479991,2021-06-28,True,Suspended
DEV0000251,CUST00000837,Tablet,Oneplus,Model-73,855694296881487,2022-05-20,True,Active
DEV0000252,CUST00004356,Iot Router,Oneplus,Model-87,586800158960900,2020-01-05,True,Active
DEV0000253,CUST00002472,Iot Router,Samsung,Model-34,613057424825585,2026-04-08,False,Suspended
DEV0000254,CUST00001964,Tablet,Motorola,Model-21,993461669827742,2024-08-14,False,Retired
DEV0000255,CUST00001756,Iot Router,Samsung,Model-71,862424767798706,2024-12-28,True,Suspended
DEV0000256,CUST00003713,Wearable,Apple,Model-49,181424796423454,2024-01-24,True,Active
DEV0000257,CUST00004205,Wearable,Google,Model-70,884410881962824,2025-07-27,True,Active
DEV0000258,CUST00003884,Smartphone,Motorola,Model-14,301515379707193,2020-01-30,True,Suspended
DEV0000259,CUST00003958,Iot Router,Nokia,Model-88,778958334640905,2020-12-16,False,Active
DEV0000260,CUST00000761,Iot Router,Samsung,Model-80,214118904897346,2025-07-13,True,Retired
DEV0000261,CUST00002562,Iot Router,Samsung,Model-92,816503356575495,2021-03-20,True,Suspended
DEV0000262,CUST00002299,Smartphone,Oneplus,Model-71,709686798025154,2023-11-20,False,Suspended
DEV0000263,CUST00000370,Wearable,Motorola,Model-69,594382775309247,2022-10-04,True,Suspended
DEV0000264,CUST00002727,Wearable,Apple,Model-57,701224321164178,2021-09-17,True,Active
DEV0000265,CUST00003125,Tablet,Google,Model-41,681752542312740,2020-10-04,False,Suspended
DEV0000266,CUST00001410,Hotspot,Samsung,Model-18,629588491533054,2020-07-18,True,Active
DEV0000267,CUST00004072,Tablet,Motorola,Model-29,905467030287953,2023-11-12,True,Suspended
DEV0000268,CUST00001445,Tablet,Samsung,Model-52,930786265098029,2023-09-22,True,Active
DEV0000269,CUST00003071,Smartphone,Apple,Model-10,429083732105163,2023-04-17,True,Active
DEV0000270,CUST00000575,Wearable,Motorola,Model-65,722536347376588,2022-11-21,True,Active
DEV0000271,CUST00000017,Wearable,Samsung,Model-78,795615313958280,2022-02-20,True,Retired
DEV0000272,CUST00002154,Hotspot,Samsung,Model-63,410728821827071,2021-11-04,True,Active
DEV0000273,CUST00003903,Wearable,Apple,Model-77,478726204013728,2025-06-06,True,Active
DEV0000274,CUST00003348,Smartphone,Nokia,Model-65,723621066964479,2020-07-15,True,Suspended
DEV0000275,CUST00001218,Tablet,Samsung,Model-48,779850683650367,2026-04-13,False,Retired
DEV0000276,CUST00003601,Smartphone,Motorola,Model-37,789223622562483,2022-04-23,True,Active
DEV0000277,CUST00004389,Tablet,Motorola,Model-35,455203776168052,2026-02-25,True,Active
DEV0000278,CUST00003904,Hotspot,Samsung,Model-79,445240545264638,2025-06-03,True,Active
DEV0000279,CUST00000911,Wearable,Google,Model-22,408073168175885,2022-09-07,True,Suspended
DEV0000280,CUST00004039,Hotspot,Samsung,Model-75,458437331553542,2020-04-26,True,Active
DEV0000281,CUST00003470,Hotspot,Apple,Model-25,670319961277583,2025-11-15,True,Retired
DEV0000282,CUST00000397,Hotspot,Nokia,Model-46,925417974167582,2023-06-30,False,Retired
DEV0000283,CUST00000904,Wearable,Google,Model-33,883309225987945,2023-11-29,False,Retired
DEV0000284,CUST00003310,Hotspot,Motorola,Model-90,251528739819572,2025-10-10,True,Retired
DEV0000285,CUST00001488,Hotspot,Samsung,Model-59,938709910599062,2026-02-09,True,Active
DEV0000286,CUST00003334,Iot Router,Samsung,Model-68,994077681590082,2021-07-18,True,Suspended
DEV0000287,CUST00003770,Hotspot,Google,Model-87,971765986259229,2026-04-04,True,Retired
DEV0000288,CUST00000628,Hotspot,Samsung,Model-82,157035777947782,2025-06-21,True,Suspended
DEV0000289,CUST00004023,Smartphone,Motorola,Model-10,384771355420372,2021-03-22,True,Retired
DEV0000290,CUST00002618,Smartphone,Samsung,Model-24,730350695602503,2026-04-28,True,Retired
