payment_id,invoice_id,payment_date,payment_amount,payment_method,payment_status
PMT400000038,INV400000038,2026-05-20,54.73,ACH,Pending
PMT500000038,INV500000038,2026-06-07,133.42,ACH,Posted
PMT400000039,INV400000039,2026-05-03,88.05,ACH,Reversed
PMT400000040,INV400000040,2026-05-16,118.05,CASH,Pending
PMT500000040,INV500000040,2026-06-02,48.11,ACH,Reversed
PMT400000041,INV400000041,2026-05-08,48.35,CHECK,Failed
PMT400000043,INV400000043,2026-06-02,208.65,ACH,Reversed
PMT500000043,INV500000043,2026-06-15,214.35,ACH,Reversed
PMT400000044,INV400000044,2026-05-16,66.44,CARD,Posted
PMT500000044,INV500000044,2026-06-07,55.58,ACH,Posted
PMT400000045,INV400000045,2026-05-16,90.99,CHECK,Posted
PMT500000045,INV500000045,2026-07-02,67.21,ACH,Reversed
PMT500000046,INV500000046,2026-06-02,163.81,ACH,Posted
PMT400000047,INV400000047,2026-05-08,45.0,CHECK,Failed
PMT500000047,INV500000047,2026-06-02,57.89,CASH,Reversed
PMT400000048,INV400000048,2026-05-03,12.24,CASH,Pending
PMT400000049,INV400000049,2026-05-16,125.03,CASH,Posted
PMT500000049,INV500000049,2026-06-02,121.27,CHECK,Posted
PMT500000050,INV500000050,2026-07-02,70.05,CARD,Reversed
PMT400000051,INV400000051,2026-06-02,17.15,CARD,Reversed
PMT400000052,INV400000052,2026-05-20,46.47,ACH,Reversed
PMT500000052,INV500000052,2026-06-19,192.82,ACH,Posted
PMT400000053,INV400000053,2026-05-03,111.36,CARD,Posted
PMT500000053,INV500000053,2026-06-02,251.93,ACH,Posted
PMT400000054,INV400000054,2026-06-02,156.34,CARD,Posted
PMT500000054,INV500000054,2026-07-02,47.27,ACH,Failed
PMT400000055,INV400000055,2026-05-16,61.16,CHECK,Posted
PMT500000055,INV500000055,2026-06-02,85.62,CASH,Posted
PMT500000056,INV500000056,2026-06-07,243.98,CARD,Posted
PMT400000057,INV400000057,2026-05-20,259.79,CHECK,Posted
PMT500000057,INV500000057,2026-06-07,52.32,CARD,Posted
PMT400000058,INV400000058,2026-06-02,163.79,CHECK,Posted
PMT500000058,INV500000058,2026-06-15,256.81,CASH,Posted
PMT400000059,INV400000059,2026-05-08,53.67,CHECK,Posted
PMT400000060,INV400000060,2026-05-20,238.33,ACH,Posted
PMT500000060,INV500000060,2026-06-19,117.2,CARD,Posted
PMT400000061,INV400000061,2026-05-20,89.17,ACH,Posted
PMT500000061,INV500000061,2026-06-07,167.95,CASH,Reversed
PMT400000062,INV400000062,2026-05-16,78.15,ACH,Posted
PMT500000062,INV500000062,2026-06-15,168.43,CARD,Failed
PMT400000063,INV400000063,2026-05-08,20.71,CARD,Posted
PMT500000063,INV500000063,2026-06-19,32.66,ACH,Reversed
PMT400000064,INV400000064,2026-05-08,49.34,CHECK,Pending
PMT500000064,INV500000064,2026-06-19,81.07,CHECK,Posted
PMT400000065,INV400000065,2026-05-20,90.06,ACH,Posted
PMT500000065,INV500000065,2026-06-07,139.21,CHECK,Posted
PMT400000066,INV400000066,2026-05-16,170.4,CARD,Posted
PMT500000066,INV500000066,2026-06-02,77.55,ACH,Failed
PMT400000067,INV400000067,2026-05-20,48.01,ACH,Posted
PMT500000067,INV500000067,2026-06-19,134.86,CARD,Posted
PMT400000068,INV400000068,2026-05-20,236.02,CARD,Posted
PMT500000068,INV500000068,2026-06-15,126.07,ACH,Failed
PMT400000069,INV400000069,2026-05-03,35.71,CHECK,Posted
PMT400000070,INV400000070,2026-05-20,255.92,ACH,Pending
PMT500000070,INV500000070,2026-06-15,100.97,CHECK,Reversed
PMT500000071,INV500000071,2026-06-02,233.41,ACH,Posted
PMT500000072,INV500000072,2026-06-02,178.15,ACH,Posted
PMT400000073,INV400000073,2026-05-08,150.25,CHECK,Failed
PMT500000073,INV500000073,2026-07-02,127.41,ACH,Posted
PMT400000074,INV400000074,2026-05-08,33.08,CARD,Posted
PMT500000074,INV500000074,2026-06-15,99.27,CASH,Posted
PMT400000075,INV400000075,2026-05-20,133.34,CARD,Posted
PMT400000076,INV400000076,2026-05-16,216.29,CHECK,Pending
PMT500000076,INV500000076,2026-06-19,66.32,ACH,Posted
PMT400000077,INV400000077,2026-05-03,190.7,ACH,Posted
PMT500000077,INV500000077,2026-06-19,43.74,ACH,Posted
PMT400000078,INV400000078,2026-05-16,143.97,ACH,Posted
PMT500000078,INV500000078,2026-06-07,149.72,CARD,Posted
PMT400000079,INV400000079,2026-05-03,45.67,ACH,Pending
PMT500000079,INV500000079,2026-06-19,127.0,CASH,Pending
PMT400000080,INV400000080,2026-06-02,219.16,CHECK,Posted
PMT500000080,INV500000080,2026-06-07,97.84,CASH,Reversed
PMT400000081,INV400000081,2026-06-02,22.3,CHECK,Posted
PMT500000081,INV500000081,2026-06-07,150.72,CASH,Failed
PMT400000082,INV400000082,2026-06-02,84.7,CHECK,Reversed
PMT500000082,INV500000082,2026-06-19,67.89,ACH,Posted
PMT500000083,INV500000083,2026-06-02,11.23,ACH,Posted
PMT500000084,INV500000084,2026-06-02,35.31,ACH,Posted
PMT400000085,INV400000085,2026-05-20,157.23,ACH,Posted
PMT500000085,INV500000085,2026-06-07,155.21,CHECK,Reversed
PMT400000086,INV400000086,2026-05-20,112.89,ACH,Reversed
PMT500000086,INV500000086,2026-07-02,10.32,CHECK,Posted
PMT400000087,INV400000087,2026-05-03,13.28,ACH,Pending
PMT500000087,INV500000087,2026-07-02,124.9,ACH,Reversed
PMT500000088,INV500000088,2026-06-15,144.3,ACH,Posted
PMT400000089,INV400000089,2026-06-02,125.46,CARD,Reversed
PMT500000089,INV500000089,2026-07-02,192.03,CHECK,Reversed
PMT400000090,INV400000090,2026-06-02,14.03,CHECK,Reversed
PMT500000090,INV500000090,2026-06-15,226.59,CASH,Posted
PMT400000091,INV400000091,2026-05-08,22.63,ACH,Posted
PMT500000091,INV500000091,2026-06-02,54.69,CASH,Posted
PMT400000092,INV400000092,2026-05-08,67.14,CHECK,Posted
PMT500000092,INV500000092,2026-06-19,76.43,CHECK,Posted
PMT400000093,INV400000093,2026-05-03,209.3,CASH,Failed
PMT500000093,INV500000093,2026-06-07,45.02,CARD,Failed
PMT400000094,INV400000094,2026-05-16,167.35,ACH,Reversed
PMT500000094,INV500000094,2026-06-19,102.09,CARD,Pending
PMT500000095,INV500000095,2026-06-19,110.14,CASH,Failed
PMT400000096,INV400000096,2026-05-03,98.74,CHECK,Posted
PMT500000096,INV500000096,2026-07-02,22.87,ACH,Posted
PMT400000097,INV400000097,2026-06-02,63.57,CARD,Pending
PMT500000097,INV500000097,2026-06-19,71.62,CASH,Posted
PMT400000098,INV400000098,2026-05-03,102.95,CARD,Pending
PMT500000098,INV500000098,2026-06-15,114.87,ACH,Reversed
PMT400000099,INV400000099,2026-05-08,172.14,CHECK,Failed
PMT500000099,INV500000099,2026-06-15,144.19,ACH,Posted
PMT400000100,INV400000100,2026-05-03,124.18,CARD,Failed
PMT500000100,INV500000100,2026-06-02,225.9,CHECK,Failed
PMT400000101,INV400000101,2026-06-02,128.03,ACH,Failed
PMT500000101,INV500000101,2026-06-07,43.66,ACH,Posted
PMT400000102,INV400000102,2026-05-08,133.12,ACH,Failed
PMT500000102,INV500000102,2026-06-07,162.05,ACH,Posted
PMT400000103,INV400000103,2026-06-02,29.2,CASH,Failed
PMT500000103,INV500000103,2026-06-19,157.17,CHECK,Posted
PMT400000104,INV400000104,2026-05-03,114.15,CHECK,Pending
PMT500000104,INV500000104,2026-06-02,168.79,CARD,Posted
PMT400000105,INV400000105,2026-05-16,176.36,CASH,Failed
PMT500000105,INV500000105,2026-06-15,50.06,ACH,Posted
PMT400000106,INV400000106,2026-05-08,73.83,CASH,Pending
PMT500000106,INV500000106,2026-06-02,233.41,CHECK,Pending
PMT500000107,INV500000107,2026-06-19,119.98,ACH,Failed
PMT400000108,INV400000108,2026-05-20,63.05,CASH,Pending
PMT500000108,INV500000108,2026-06-19,114.13,ACH,Reversed
PMT400000109,INV400000109,2026-05-08,103.21,ACH,Posted
PMT500000109,INV500000109,2026-07-02,215.42,CASH,Posted
PMT400000110,INV400000110,2026-05-08,217.71,CARD,Reversed
PMT500000110,INV500000110,2026-06-02,34.29,CASH,Posted
PMT400000111,INV400000111,2026-06-02,170.01,CHECK,Posted
PMT500000111,INV500000111,2026-06-15,51.65,ACH,Reversed
PMT500000112,INV500000112,2026-06-15,143.0,CARD,Reversed
PMT400000113,INV400000113,2026-06-02,182.82,CHECK,Reversed
PMT500000113,INV500000113,2026-06-15,32.19,CASH,Posted
PMT400000114,INV400000114,2026-05-20,251.77,ACH,Failed
PMT500000114,INV500000114,2026-06-19,209.68,ACH,Pending
PMT400000115,INV400000115,2026-05-20,63.85,ACH,Failed
PMT500000115,INV500000115,2026-06-19,60.14,ACH,Pending
PMT400000116,INV400000116,2026-05-16,100.8,ACH,Pending
PMT500000116,INV500000116,2026-06-15,122.47,CARD,Posted
PMT400000117,INV400000117,2026-05-08,144.59,CARD,Posted
PMT500000117,INV500000117,2026-06-02,58.98,CHECK,Reversed
PMT400000118,INV400000118,2026-05-08,31.16,ACH,Failed
PMT500000118,INV500000118,2026-06-15,116.34,ACH,Reversed
PMT400000119,INV400000119,2026-05-08,56.15,CHECK,Failed
PMT500000119,INV500000119,2026-06-19,159.24,CHECK,Posted
PMT400000120,INV400000120,2026-05-08,258.49,ACH,Posted
PMT500000120,INV500000120,2026-06-15,99.5,ACH,Posted
PMT400000121,INV400000121,2026-06-02,36.95,CASH,Reversed
PMT500000121,INV500000121,2026-06-07,85.34,CARD,Failed
PMT400000122,INV400000122,2026-05-03,31.72,ACH,Failed
PMT500000122,INV500000122,2026-06-19,126.74,CHECK,Posted
PMT500000123,INV500000123,2026-06-02,53.96,CARD,Pending
PMT400000124,INV400000124,2026-05-08,239.48,ACH,Posted
PMT500000124,INV500000124,2026-06-02,171.67,CHECK,Posted
PMT500000125,INV500000125,2026-06-07,173.37,CARD,Posted
PMT400000126,INV400000126,2026-06-02,58.88,ACH,Reversed
PMT500000126,INV500000126,2026-06-15,33.71,ACH,Pending
PMT400000127,INV400000127,2026-06-02,128.28,ACH,Posted
PMT400000128,INV400000128,2026-06-02,75.04,ACH,Posted
PMT500000128,INV500000128,2026-07-02,55.86,CHECK,Pending
PMT400000129,INV400000129,2026-05-08,129.14,CHECK,Reversed
PMT500000129,INV500000129,2026-06-02,171.46,ACH,Posted
PMT400000130,INV400000130,2026-06-02,78.74,CARD,Pending
PMT500000130,INV500000130,2026-06-15,172.43,CARD,Posted
PMT500000131,INV500000131,2026-06-15,193.23,CARD,Posted
PMT400000132,INV400000132,2026-05-16,170.3,CARD,Posted
PMT500000132,INV500000132,2026-06-02,41.13,CARD,Failed
PMT400000133,INV400000133,2026-06-02,120.67,ACH,Posted
PMT500000133,INV500000133,2026-06-07,21.0,ACH,Reversed
PMT400000134,INV400000134,2026-05-20,164.11,CASH,Reversed
PMT500000134,INV500000134,2026-06-07,101.17,CARD,Reversed
PMT400000135,INV400000135,2026-06-02,42.54,ACH,Pending
PMT500000135,INV500000135,2026-06-19,84.77,CASH,Pending
PMT400000136,INV400000136,2026-06-02,102.77,ACH,Posted
PMT500000136,INV500000136,2026-06-19,62.66,CHECK,Posted
PMT500000137,INV500000137,2026-06-19,221.15,CARD,Posted
PMT400000138,INV400000138,2026-05-03,196.42,ACH,Posted
PMT500000138,INV500000138,2026-06-15,190.55,CASH,Posted
PMT400000139,INV400000139,2026-05-03,176.07,ACH,Posted
PMT500000139,INV500000139,2026-06-19,175.26,ACH,Posted
PMT400000140,INV400000140,2026-05-08,152.24,CARD,Pending
PMT500000140,INV500000140,2026-06-19,69.16,CARD,Pending
PMT400000141,INV400000141,2026-05-20,194.31,ACH,Posted
PMT500000141,INV500000141,2026-07-02,163.61,ACH,Posted
PMT500000142,INV500000142,2026-06-15,138.02,CARD,Failed
PMT500000143,INV500000143,2026-06-07,51.35,CHECK,Failed
PMT400000144,INV400000144,2026-05-20,106.7,CARD,Reversed
PMT500000144,INV500000144,2026-07-02,21.45,CHECK,Failed
PMT400000145,INV400000145,2026-05-08,172.39,CHECK,Posted
PMT500000145,INV500000145,2026-06-15,239.58,CHECK,Posted
PMT400000146,INV400000146,2026-05-03,120.67,CHECK,Reversed
PMT500000146,INV500000146,2026-06-02,102.81,CARD,Reversed
PMT400000147,INV400000147,2026-05-16,258.42,ACH,Posted
PMT500000147,INV500000147,2026-06-07,200.25,ACH,Reversed
PMT400000148,INV400000148,2026-05-20,169.61,CHECK,Pending
PMT500000148,INV500000148,2026-07-02,109.25,CHECK,Posted
PMT400000149,INV400000149,2026-05-20,231.97,ACH,Posted
PMT500000149,INV500000149,2026-06-15,225.37,ACH,Failed
PMT400000150,INV400000150,2026-05-20,33.97,CARD,Pending
PMT500000150,INV500000150,2026-07-02,99.41,ACH,Posted
PMT400000151,INV400000151,2026-05-16,25.24,ACH,Posted
PMT500000151,INV500000151,2026-06-19,184.91,ACH,Posted
PMT400000152,INV400000152,2026-05-16,119.14,CHECK,Reversed
PMT500000152,INV500000152,2026-06-19,212.18,CHECK,Pending
PMT400000153,INV400000153,2026-05-08,42.91,CASH,Posted
PMT500000153,INV500000153,2026-06-15,98.82,CASH,Reversed
PMT400000154,INV400000154,2026-05-03,23.25,CHECK,Posted
PMT400000155,INV400000155,2026-05-20,52.75,CASH,Pending
PMT500000155,INV500000155,2026-06-02,205.3,ACH,Reversed
PMT500000156,INV500000156,2026-06-07,73.57,CHECK,Posted
PMT400000157,INV400000157,2026-06-02,70.55,CASH,Failed
PMT400000158,INV400000158,2026-05-08,85.66,CARD,Posted
PMT500000158,INV500000158,2026-06-19,198.88,CASH,Posted
PMT400000159,INV400000159,2026-05-03,105.08,CASH,Reversed
PMT500000159,INV500000159,2026-07-02,126.64,CASH,Failed
PMT500000160,INV500000160,2026-06-07,133.64,CASH,Posted
PMT400000161,INV400000161,2026-05-20,121.88,CASH,Reversed
PMT500000161,INV500000161,2026-06-02,29.8,CASH,Reversed
PMT400000162,INV400000162,2026-05-08,197.57,CASH,Posted
PMT500000162,INV500000162,2026-06-19,124.65,ACH,Posted
PMT400000163,INV400000163,2026-05-08,94.01,CHECK,Reversed
PMT400000164,INV400000164,2026-05-08,28.74,CARD,Pending
PMT500000164,INV500000164,2026-06-15,207.15,ACH,Reversed
PMT400000165,INV400000165,2026-05-16,21.77,CASH,Failed
PMT500000165,INV500000165,2026-07-02,71.63,CASH,Posted
PMT400000166,INV400000166,2026-06-02,171.04,ACH,Reversed
PMT500000166,INV500000166,2026-06-07,110.24,ACH,Posted
PMT500000167,INV500000167,2026-07-02,62.61,CHECK,Posted
PMT400000168,INV400000168,2026-05-08,160.66,ACH,Failed
PMT500000168,INV500000168,2026-06-07,87.8,CHECK,Posted
PMT400000169,INV400000169,2026-05-16,154.58,CASH,Pending
PMT500000169,INV500000169,2026-06-15,240.59,ACH,Posted
PMT400000170,INV400000170,2026-05-20,166.82,ACH,Posted
PMT500000170,INV500000170,2026-07-02,176.66,CHECK,Posted
PMT400000171,INV400000171,2026-05-16,91.26,ACH,Failed
PMT500000171,INV500000171,2026-06-02,229.67,CASH,Reversed
PMT400000172,INV400000172,2026-05-16,125.4,ACH,Pending
PMT500000172,INV500000172,2026-06-02,120.87,ACH,Posted
PMT400000173,INV400000173,2026-06-02,33.3,CASH,Reversed
PMT500000173,INV500000173,2026-07-02,186.64,ACH,Posted
PMT400000174,INV400000174,2026-05-20,202.35,CASH,Posted
PMT500000174,INV500000174,2026-07-02,23.02,ACH,Pending
PMT400000175,INV400000175,2026-05-20,72.59,ACH,Posted
PMT500000175,INV500000175,2026-06-15,67.42,CHECK,Posted
PMT400000176,INV400000176,2026-05-03,103.09,ACH,Posted
PMT500000176,INV500000176,2026-06-19,168.6,CARD,Posted
PMT400000177,INV400000177,2026-05-20,27.24,ACH,Posted
PMT500000177,INV500000177,2026-06-02,112.36,CASH,Posted
PMT400000178,INV400000178,2026-05-20,178.62,CHECK,Posted
PMT500000179,INV500000179,2026-06-07,249.9,CARD,Posted
PMT400000180,INV400000180,2026-05-20,145.68,CHECK,Pending
PMT500000180,INV500000180,2026-06-19,50.93,CHECK,Failed
PMT400000181,INV400000181,2026-05-03,228.84,ACH,Posted
PMT500000181,INV500000181,2026-06-15,70.1,ACH,Pending
PMT400000182,INV400000182,2026-05-08,170.38,ACH,Posted
PMT500000182,INV500000182,2026-06-07,170.96,CASH,Posted
PMT400000183,INV400000183,2026-05-16,36.53,CASH,Posted
PMT500000183,INV500000183,2026-06-15,223.2,ACH,Pending
PMT400000184,INV400000184,2026-05-20,158.88,CASH,Failed
PMT400000185,INV400000185,2026-05-08,239.17,CHECK,Failed
PMT500000185,INV500000185,2026-07-02,235.86,ACH,Posted
PMT400000186,INV400000186,2026-05-20,206.95,CASH,Failed
PMT500000186,INV500000186,2026-06-15,59.14,CHECK,Posted
PMT400000187,INV400000187,2026-06-02,188.07,CHECK,Pending
PMT500000187,INV500000187,2026-07-02,186.28,CARD,Posted
PMT400000188,INV400000188,2026-06-02,157.21,CASH,Failed
PMT500000188,INV500000188,2026-06-07,159.49,ACH,Reversed
PMT400000189,INV400000189,2026-05-08,255.59,ACH,Pending
PMT500000189,INV500000189,2026-06-07,84.87,ACH,Failed
PMT400000190,INV400000190,2026-05-03,161.09,ACH,Failed
PMT500000190,INV500000190,2026-06-15,118.74,ACH,Posted
PMT400000191,INV400000191,2026-06-02,45.58,CHECK,Reversed
PMT400000192,INV400000192,2026-05-20,87.87,ACH,Reversed
PMT500000192,INV500000192,2026-06-19,57.92,ACH,Posted
PMT400000193,INV400000193,2026-05-08,174.6,CASH,Reversed
PMT500000193,INV500000193,2026-06-15,98.72,CHECK,Reversed
PMT400000194,INV400000194,2026-06-02,39.41,CASH,Posted
PMT500000194,INV500000194,2026-06-15,56.44,ACH,Posted
PMT400000195,INV400000195,2026-05-08,37.99,CASH,Posted
PMT500000195,INV500000195,2026-06-19,36.32,CHECK,Failed
PMT400000196,INV400000196,2026-06-02,18.97,CARD,Failed
PMT500000196,INV500000196,2026-06-19,157.01,CARD,Posted
PMT400000197,INV400000197,2026-06-02,88.74,CHECK,Posted
PMT500000197,INV500000197,2026-06-15,121.36,CASH,Posted
PMT400000198,INV400000198,2026-05-20,181.81,CARD,Pending
PMT500000198,INV500000198,2026-06-02,102.47,CASH,Pending
PMT400000199,INV400000199,2026-06-02,109.68,CARD,Failed
PMT500000199,INV500000199,2026-06-15,194.17,ACH,Reversed
PMT400000200,INV400000200,2026-05-16,55.48,CARD,Pending
PMT500000200,INV500000200,2026-06-19,183.9,CASH,Posted
PMT400000201,INV400000201,2026-05-20,21.28,CHECK,Posted
PMT500000201,INV500000201,2026-06-19,104.37,ACH,Failed
PMT400000202,INV400000202,2026-06-02,177.63,ACH,Failed
PMT500000202,INV500000202,2026-06-07,68.53,CHECK,Posted
PMT400000203,INV400000203,2026-05-03,17.84,CASH,Posted
PMT500000203,INV500000203,2026-07-02,74.38,CHECK,Posted
PMT400000204,INV400000204,2026-05-08,60.53,CARD,Posted
PMT500000204,INV500000204,2026-06-19,154.62,CHECK,Posted
PMT400000205,INV400000205,2026-06-02,236.19,CARD,Posted
PMT500000205,INV500000205,2026-06-07,89.77,CASH,Posted
PMT400000206,INV400000206,2026-05-16,113.32,ACH,Posted
PMT500000206,INV500000206,2026-06-07,189.95,ACH,Failed
PMT400000207,INV400000207,2026-06-02,245.9,CARD,Posted
PMT500000207,INV500000207,2026-07-02,246.7,ACH,Pending
PMT400000208,INV400000208,2026-05-08,24.31,CARD,Pending
PMT500000208,INV500000208,2026-06-19,25.23,ACH,Pending
PMT400000209,INV400000209,2026-06-02,245.0,CHECK,Posted
PMT500000209,INV500000209,2026-06-19,163.79,CARD,Pending
PMT400000210,INV400000210,2026-05-20,120.53,CARD,Posted
PMT500000210,INV500000210,2026-06-19,231.85,CASH,Posted
PMT400000211,INV400000211,2026-05-16,180.73,ACH,Posted
PMT500000211,INV500000211,2026-06-15,139.45,CHECK,Pending
PMT400000212,INV400000212,2026-06-02,109.58,ACH,Reversed
PMT500000212,INV500000212,2026-07-02,40.33,CASH,Failed
PMT400000213,INV400000213,2026-05-08,109.15,ACH,Failed
PMT500000213,INV500000213,2026-06-07,228.01,ACH,Posted
PMT500000214,INV500000214,2026-06-15,20.66,CASH,Failed
PMT400000215,INV400000215,2026-05-16,125.66,CASH,Reversed
PMT500000215,INV500000215,2026-06-19,107.39,CASH,Posted
PMT400000216,INV400000216,2026-05-08,105.52,CASH,Failed
PMT500000216,INV500000216,2026-06-15,214.85,ACH,Posted
PMT400000217,INV400000217,2026-06-02,75.38,CARD,Failed
PMT500000217,INV500000217,2026-06-02,216.89,CASH,Reversed
PMT500000218,INV500000218,2026-06-19,70.76,CARD,Pending
PMT400000219,INV400000219,2026-05-20,52.79,CARD,Posted
PMT500000219,INV500000219,2026-07-02,157.57,CHECK,Posted
PMT400000220,INV400000220,2026-05-03,77.33,CASH,Pending
PMT500000220,INV500000220,2026-06-19,38.46,ACH,Posted
PMT400000221,INV400000221,2026-05-08,221.93,ACH,Pending
PMT500000221,INV500000221,2026-07-02,12.5,CHECK,Posted
PMT400000222,INV400000222,2026-05-20,45.02,CARD,Pending
PMT500000222,INV500000222,2026-06-19,212.63,CASH,Posted
PMT400000223,INV400000223,2026-05-03,21.62,CASH,Posted
PMT500000223,INV500000223,2026-06-07,179.62,CARD,Pending
PMT400000224,INV400000224,2026-05-03,133.47,CHECK,Failed
PMT500000224,INV500000224,2026-06-19,61.99,CARD,Pending
PMT400000225,INV400000225,2026-05-08,116.2,CHECK,Posted
PMT400000226,INV400000226,2026-05-20,26.08,CARD,Posted
PMT400000227,INV400000227,2026-05-03,28.83,CHECK,Pending
PMT500000227,INV500000227,2026-07-02,177.7,CHECK,Posted
PMT400000228,INV400000228,2026-05-03,76.27,ACH,Reversed
PMT500000228,INV500000228,2026-06-07,125.49,CHECK,Posted
PMT500000229,INV500000229,2026-06-15,190.01,CARD,Pending
PMT400000230,INV400000230,2026-05-16,217.51,ACH,Pending
PMT500000230,INV500000230,2026-07-02,98.7,ACH,Reversed
PMT400000231,INV400000231,2026-05-20,105.98,CARD,Failed
PMT500000231,INV500000231,2026-07-02,93.38,ACH,Reversed
PMT400000232,INV400000232,2026-05-03,174.74,ACH,Pending
PMT500000232,INV500000232,2026-07-02,83.99,ACH,Posted
PMT400000233,INV400000233,2026-06-02,104.09,CHECK,Pending
PMT500000233,INV500000233,2026-06-07,47.35,ACH,Posted
PMT400000234,INV400000234,2026-06-02,65.0,ACH,Pending
PMT500000234,INV500000234,2026-06-07,255.23,ACH,Posted
PMT400000235,INV400000235,2026-05-08,103.65,CHECK,Posted
PMT400000236,INV400000236,2026-05-03,35.52,ACH,Reversed
PMT500000236,INV500000236,2026-07-02,131.29,CARD,Posted
PMT400000237,INV400000237,2026-06-02,76.0,ACH,Posted
PMT500000237,INV500000237,2026-07-02,156.67,CHECK,Failed
PMT400000238,INV400000238,2026-05-16,16.46,CASH,Posted
PMT500000238,INV500000238,2026-06-07,217.14,ACH,Posted
PMT500000239,INV500000239,2026-06-02,33.73,CHECK,Posted
PMT400000240,INV400000240,2026-05-08,65.38,CASH,Failed
PMT400000241,INV400000241,2026-05-03,81.68,CHECK,Failed
PMT500000241,INV500000241,2026-06-15,119.33,CARD,Posted
PMT400000242,INV400000242,2026-05-16,143.28,ACH,Posted
PMT500000242,INV500000242,2026-06-07,145.05,CASH,Posted
PMT400000243,INV400000243,2026-05-08,217.66,CASH,Failed
