cell_id,kpi_ts,connected_users,throughput_mbps,prb_utilization_pct,drop_call_rate_pct,handover_success_pct,availability_pct,kpi_date
CELL000001,2026-05-02 06:00:00,124,400.095,18.686,0.0,96.1818,99.7648,2026-05-02
CELL000001,2026-05-02 07:00:00,162,623.533,8.478,1.312,94.7252,100.0,2026-05-02
CELL000001,2026-05-02 08:00:00,126,556.401,37.67,0.0,99.1373,99.7502,2026-05-02
CELL000001,2026-05-02 09:00:00,171,580.635,53.315,1.573,96.5177,99.9043,2026-05-02
CELL000001,2026-05-02 10:00:00,233,640.253,65.177,0.927,97.172,99.674,2026-05-02
CELL000001,2026-05-02 11:00:00,226,384.747,83.317,0.4432,97.8487,100.0,2026-05-02
CELL000001,2026-05-02 12:00:00,104,515.757,31.089,0.4349,99.8776,99.3051,2026-05-02
CELL000001,2026-05-02 13:00:00,140,567.786,69.957,1.3528,95.8426,99.8119,2026-05-02
CELL000001,2026-05-02 14:00:00,212,561.444,45.911,0.0,96.7302,99.3351,2026-05-02
CELL000001,2026-05-02 15:00:00,182,733.652,74.807,1.8704,96.6902,99.4914,2026-05-02
CELL000001,2026-05-02 16:00:00,235,177.414,59.356,0.9964,98.5,99.48,2026-05-02
CELL000001,2026-05-02 17:00:00,133,236.614,48.986,0.2319,96.2711,99.6912,2026-05-02
CELL000001,2026-05-02 18:00:00,129,218.234,77.856,1.0616,99.1979,99.7716,2026-05-02
CELL000001,2026-05-02 19:00:00,282,218.013,13.716,0.5584,95.0635,99.7467,2026-05-02
CELL000001,2026-05-02 20:00:00,81,374.689,72.794,0.0088,90.9843,99.5382,2026-05-02
CELL000001,2026-05-02 21:00:00,166,364.498,45.35,0.0,95.6278,100.0,2026-05-02
CELL000001,2026-05-02 22:00:00,175,526.531,45.655,0.7792,97.6961,100.0,2026-05-02
CELL000001,2026-05-02 23:00:00,220,281.613,40.05,1.5623,99.8792,100.0,2026-05-02
CELL000001,2026-05-03 00:00:00,165,479.437,34.926,1.5398,95.6664,99.4302,2026-05-03
CELL000001,2026-05-03 01:00:00,165,218.409,73.517,0.8745,97.2723,99.9988,2026-05-03
CELL000001,2026-05-03 02:00:00,154,456.926,83.324,2.9582,96.6374,100.0,2026-05-03
CELL000001,2026-05-03 03:00:00,148,228.544,32.289,2.8475,93.2634,99.8374,2026-05-03
CELL000001,2026-05-03 04:00:00,204,492.149,76.336,2.1025,96.0649,99.7204,2026-05-03
CELL000001,2026-05-03 05:00:00,288,278.047,42.37,1.1737,97.4425,99.5134,2026-05-03
CELL000001,2026-05-03 06:00:00,255,550.941,84.924,1.6066,94.1614,99.737,2026-05-03
CELL000001,2026-05-03 07:00:00,216,142.077,72.106,1.2841,97.4649,99.352,2026-05-03
CELL000001,2026-05-03 08:00:00,330,336.676,50.829,0.8452,95.7872,99.6618,2026-05-03
CELL000001,2026-05-03 09:00:00,176,355.05,87.932,3.0913,96.172,99.4762,2026-05-03
CELL000001,2026-05-03 10:00:00,243,358.725,66.215,1.8711,99.0905,99.8909,2026-05-03
CELL000001,2026-05-03 11:00:00,286,309.773,67.419,0.0,95.8776,99.8937,2026-05-03
CELL000001,2026-05-03 12:00:00,264,404.988,77.78,1.9084,94.4238,99.7841,2026-05-03
CELL000001,2026-05-03 13:00:00,216,267.633,42.972,0.0,96.0839,99.5308,2026-05-03
CELL000001,2026-05-03 14:00:00,213,263.007,54.431,0.8137,100.0,99.7194,2026-05-03
CELL000001,2026-05-03 15:00:00,300,560.65,100.0,0.0,95.0373,99.6788,2026-05-03
CELL000001,2026-05-03 16:00:00,176,718.191,90.205,1.9692,99.1437,99.5806,2026-05-03
CELL000001,2026-05-03 17:00:00,144,334.158,47.649,2.0005,95.1079,99.6288,2026-05-03
CELL000001,2026-05-03 18:00:00,196,218.25,50.056,1.5569,100.0,99.8475,2026-05-03
CELL000001,2026-05-03 19:00:00,127,682.528,33.178,2.0839,100.0,99.6017,2026-05-03
CELL000001,2026-05-03 20:00:00,350,323.537,86.19,2.7159,94.1495,99.7229,2026-05-03
CELL000001,2026-05-03 21:00:00,197,269.941,51.986,1.2635,98.6366,99.3841,2026-05-03
CELL000001,2026-05-03 22:00:00,317,172.323,44.59,0.3282,93.4244,99.7525,2026-05-03
CELL000001,2026-05-03 23:00:00,236,272.553,60.049,2.3112,96.7697,99.5313,2026-05-03
CELL000001,2026-05-04 00:00:00,212,374.834,43.431,0.5352,92.0417,100.0,2026-05-04
CELL000001,2026-05-04 01:00:00,198,0.0,77.484,0.5158,98.5545,99.802,2026-05-04
CELL000001,2026-05-04 02:00:00,120,685.073,56.244,0.2799,99.2382,99.363,2026-05-04
CELL000001,2026-05-04 03:00:00,273,549.868,87.373,0.0,99.2505,99.8791,2026-05-04
CELL000001,2026-05-04 04:00:00,134,520.527,42.14,1.2155,95.1944,99.9397,2026-05-04
CELL000001,2026-05-04 05:00:00,146,420.671,63.739,0.9364,91.4681,99.2969,2026-05-04
CELL000001,2026-05-04 06:00:00,194,403.098,32.135,0.2228,91.7405,99.5685,2026-05-04
CELL000001,2026-05-04 07:00:00,153,587.188,48.807,0.2177,99.139,100.0,2026-05-04
CELL000001,2026-05-04 08:00:00,210,460.074,66.24,1.5956,97.802,99.4552,2026-05-04
CELL000001,2026-05-04 09:00:00,244,0.0,93.514,1.4448,94.4929,99.754,2026-05-04
CELL000001,2026-05-04 10:00:00,169,525.698,32.818,2.5715,93.6497,99.8398,2026-05-04
CELL000001,2026-05-04 11:00:00,162,555.268,75.524,1.3042,95.1834,100.0,2026-05-04
CELL000001,2026-05-04 12:00:00,228,73.146,89.963,1.6696,97.1781,99.946,2026-05-04
CELL000001,2026-05-04 13:00:00,126,542.704,51.949,0.019,100.0,99.9068,2026-05-04
CELL000001,2026-05-04 14:00:00,160,292.73,45.366,2.1867,97.9624,99.4853,2026-05-04
CELL000001,2026-05-04 15:00:00,232,344.77,69.063,2.5976,91.3014,99.4767,2026-05-04
CELL000001,2026-05-04 16:00:00,207,490.626,45.784,0.0,98.4607,99.5418,2026-05-04
CELL000001,2026-05-04 17:00:00,116,405.939,61.471,1.516,96.87,99.2778,2026-05-04
CELL000001,2026-05-04 18:00:00,240,554.013,34.611,1.2321,94.2285,99.6137,2026-05-04
CELL000001,2026-05-04 19:00:00,167,293.216,46.899,3.3866,94.883,100.0,2026-05-04
CELL000001,2026-05-04 20:00:00,302,500.264,24.686,0.0,97.0293,100.0,2026-05-04
CELL000001,2026-05-04 21:00:00,143,578.126,68.462,1.7501,95.4343,99.7124,2026-05-04
CELL000001,2026-05-04 22:00:00,156,562.753,49.367,0.0,97.8487,99.7858,2026-05-04
CELL000001,2026-05-04 23:00:00,197,334.709,53.7,1.2085,96.6362,99.9315,2026-05-04
CELL000001,2026-05-05 00:00:00,194,590.963,20.677,0.5605,98.6713,99.8526,2026-05-05
CELL000001,2026-05-05 01:00:00,92,379.927,51.616,0.2982,96.7707,99.4303,2026-05-05
CELL000001,2026-05-05 02:00:00,106,335.99,63.027,2.6673,97.6364,99.5302,2026-05-05
CELL000001,2026-05-05 03:00:00,317,410.694,46.212,0.6973,93.577,100.0,2026-05-05
CELL000001,2026-05-05 04:00:00,91,444.377,56.717,0.6555,92.8112,99.6044,2026-05-05
CELL000001,2026-05-05 05:00:00,212,283.704,56.731,1.5849,96.8925,99.4292,2026-05-05
CELL000001,2026-05-05 06:00:00,247,289.756,62.65,1.266,94.1996,99.6249,2026-05-05
CELL000001,2026-05-05 07:00:00,284,503.71,73.359,0.4635,92.5455,99.699,2026-05-05
CELL000001,2026-05-05 08:00:00,167,243.437,79.716,1.9209,95.679,99.4409,2026-05-05
CELL000001,2026-05-05 09:00:00,146,438.404,62.792,1.4706,93.1966,100.0,2026-05-05
CELL000001,2026-05-05 10:00:00,78,424.38,70.669,0.5433,97.2198,99.3824,2026-05-05
CELL000001,2026-05-05 11:00:00,149,286.138,25.901,1.7691,98.7452,99.7401,2026-05-05
CELL000001,2026-05-05 12:00:00,226,405.71,29.117,0.6571,97.8535,99.3638,2026-05-05
CELL000001,2026-05-05 13:00:00,173,484.288,82.682,0.0,91.7642,99.7444,2026-05-05
CELL000001,2026-05-05 14:00:00,144,416.746,59.286,1.3408,97.5077,99.9811,2026-05-05
CELL000001,2026-05-05 15:00:00,124,613.666,48.584,2.2867,93.7125,99.7727,2026-05-05
CELL000001,2026-05-05 16:00:00,169,684.9,50.236,0.1051,94.0795,99.4518,2026-05-05
CELL000001,2026-05-05 17:00:00,208,274.715,50.584,1.137,100.0,99.4408,2026-05-05
CELL000001,2026-05-05 18:00:00,424,814.202,85.761,0.0,99.061,99.8674,2026-05-05
CELL000001,2026-05-05 19:00:00,180,511.673,69.691,0.9513,95.3333,99.8211,2026-05-05
CELL000001,2026-05-05 20:00:00,126,292.461,73.592,1.1515,96.3288,99.6664,2026-05-05
CELL000001,2026-05-05 21:00:00,208,568.191,38.599,2.3363,94.1858,99.5526,2026-05-05
CELL000001,2026-05-05 22:00:00,226,505.067,60.138,3.0308,99.2088,99.4146,2026-05-05
CELL000001,2026-05-05 23:00:00,156,651.054,73.796,0.4212,94.5525,99.4182,2026-05-05
CELL000001,2026-05-06 00:00:00,269,295.347,79.056,0.9793,100.0,99.7597,2026-05-06
CELL000001,2026-05-06 01:00:00,193,450.719,64.253,2.6008,95.3875,99.62,2026-05-06
CELL000001,2026-05-06 02:00:00,221,478.088,30.052,1.204,94.616,99.5525,2026-05-06
CELL000001,2026-05-06 03:00:00,179,1033.276,63.99,0.0,92.9115,99.7383,2026-05-06
CELL000001,2026-05-06 04:00:00,208,395.721,52.151,0.1288,98.8158,99.7941,2026-05-06
CELL000001,2026-05-06 05:00:00,148,418.224,65.931,0.3783,97.6995,99.5159,2026-05-06
CELL000001,2026-05-06 06:00:00,152,304.885,0.0,1.5943,95.4883,99.1331,2026-05-06
CELL000001,2026-05-06 07:00:00,158,512.937,64.341,2.7974,97.0479,99.6469,2026-05-06
CELL000001,2026-05-06 08:00:00,301,93.842,100.0,1.8231,93.3573,99.9105,2026-05-06
CELL000001,2026-05-06 09:00:00,222,860.607,19.786,1.037,96.4538,99.7934,2026-05-06
CELL000001,2026-05-06 10:00:00,144,320.026,48.914,0.0,98.9919,99.9454,2026-05-06
CELL000001,2026-05-06 11:00:00,166,704.19,29.222,1.2346,97.27,99.9113,2026-05-06
CELL000001,2026-05-06 12:00:00,199,438.644,26.058,2.069,96.8225,100.0,2026-05-06
CELL000001,2026-05-06 13:00:00,198,584.415,40.082,4.1937,98.0627,99.858,2026-05-06
CELL000001,2026-05-06 14:00:00,87,532.34,79.269,1.7833,97.4619,99.8265,2026-05-06
CELL000001,2026-05-06 15:00:00,225,249.242,20.717,2.2353,97.4755,100.0,2026-05-06
CELL000001,2026-05-06 16:00:00,48,579.058,39.335,1.0458,96.5243,99.8529,2026-05-06
CELL000001,2026-05-06 17:00:00,229,470.964,45.026,1.558,93.5401,99.81,2026-05-06
CELL000001,2026-05-06 18:00:00,207,472.837,56.337,1.2463,97.4067,99.705,2026-05-06
CELL000001,2026-05-06 19:00:00,148,415.234,33.968,1.6666,98.2985,99.7356,2026-05-06
CELL000001,2026-05-06 20:00:00,187,631.521,75.097,0.4448,100.0,99.214,2026-05-06
CELL000001,2026-05-06 21:00:00,158,158.805,59.011,1.8894,91.2598,99.8492,2026-05-06
CELL000001,2026-05-06 22:00:00,139,607.62,14.116,0.0,99.0211,99.5578,2026-05-06
CELL000001,2026-05-06 23:00:00,113,282.625,30.529,1.0164,94.2152,99.9423,2026-05-06
CELL000001,2026-05-07 00:00:00,148,367.26,49.08,0.6166,97.2734,100.0,2026-05-07
CELL000001,2026-05-07 01:00:00,377,308.987,100.0,0.0,94.6287,99.5387,2026-05-07
CELL000001,2026-05-07 02:00:00,271,565.503,29.534,2.6293,92.451,99.439,2026-05-07
CELL000001,2026-05-07 03:00:00,108,199.376,87.43,0.0,97.575,99.929,2026-05-07
CELL000001,2026-05-07 04:00:00,219,542.398,42.225,0.2886,94.8126,99.7603,2026-05-07
CELL000001,2026-05-07 05:00:00,278,124.515,78.372,2.4193,94.1829,99.8366,2026-05-07
CELL000001,2026-05-07 06:00:00,319,548.226,51.011,0.4226,97.4548,99.6129,2026-05-07
CELL000001,2026-05-07 07:00:00,214,625.94,61.333,1.3493,95.1287,99.8849,2026-05-07
CELL000001,2026-05-07 08:00:00,154,302.711,59.27,2.1414,92.3192,99.6972,2026-05-07
CELL000001,2026-05-07 09:00:00,203,471.042,70.908,1.7585,96.2055,99.7793,2026-05-07
CELL000001,2026-05-07 10:00:00,236,263.742,98.409,3.0574,98.7928,99.4146,2026-05-07
CELL000001,2026-05-07 11:00:00,236,284.997,58.634,0.1628,97.2765,99.3975,2026-05-07
CELL000001,2026-05-07 12:00:00,185,510.266,33.014,1.6878,97.3225,99.5305,2026-05-07
CELL000001,2026-05-07 13:00:00,156,449.318,45.709,1.6252,100.0,99.6693,2026-05-07
CELL000001,2026-05-07 14:00:00,110,514.575,67.746,0.0,93.4472,100.0,2026-05-07
CELL000001,2026-05-07 15:00:00,57,182.723,65.897,2.1093,98.2161,99.411,2026-05-07
CELL000001,2026-05-07 16:00:00,166,0.0,19.598,0.636,93.166,99.7948,2026-05-07
CELL000001,2026-05-07 17:00:00,132,852.753,31.582,1.7912,92.0784,99.9054,2026-05-07
CELL000001,2026-05-07 18:00:00,170,437.762,84.799,1.4185,98.0791,99.4805,2026-05-07
CELL000001,2026-05-07 19:00:00,240,368.049,22.869,2.4249,95.0969,99.8935,2026-05-07
CELL000001,2026-05-07 20:00:00,207,678.826,24.247,2.1197,96.2259,99.9979,2026-05-07
CELL000001,2026-05-07 21:00:00,206,445.308,60.56,0.894,98.8192,99.2865,2026-05-07
CELL000001,2026-05-07 22:00:00,109,591.737,54.981,0.8215,94.4143,100.0,2026-05-07
CELL000001,2026-05-07 23:00:00,267,68.947,80.322,1.3597,94.7206,99.7786,2026-05-07
CELL000001,2026-05-08 00:00:00,65,194.395,50.943,1.1626,100.0,99.568,2026-05-08
CELL000001,2026-05-08 01:00:00,185,281.437,66.699,0.0,93.294,99.743,2026-05-08
CELL000001,2026-05-08 02:00:00,265,47.431,27.749,2.8267,93.0227,100.0,2026-05-08
CELL000001,2026-05-08 03:00:00,162,613.962,47.121,1.1501,97.9657,99.8717,2026-05-08
CELL000001,2026-05-08 04:00:00,138,450.504,57.594,0.5773,94.4667,99.5726,2026-05-08
CELL000001,2026-05-08 05:00:00,170,498.809,55.587,1.0093,99.1149,99.7034,2026-05-08
CELL000001,2026-05-08 06:00:00,101,342.56,62.66,0.9194,96.7334,99.9939,2026-05-08
CELL000001,2026-05-08 07:00:00,169,328.483,59.378,0.7868,98.3647,99.7683,2026-05-08
CELL000001,2026-05-08 08:00:00,85,293.962,62.378,1.3832,94.1639,99.7846,2026-05-08
CELL000001,2026-05-08 09:00:00,175,316.482,71.777,0.7704,95.5072,99.6258,2026-05-08
CELL000001,2026-05-08 10:00:00,47,273.138,30.818,0.0,98.8885,99.6493,2026-05-08
CELL000001,2026-05-08 11:00:00,134,408.257,19.518,0.6159,100.0,99.7428,2026-05-08
CELL000001,2026-05-08 12:00:00,245,563.977,99.029,2.1983,96.0505,99.8814,2026-05-08
CELL000001,2026-05-08 13:00:00,207,436.299,81.462,0.353,99.2517,99.6514,2026-05-08
CELL000001,2026-05-08 14:00:00,269,435.515,29.164,0.94,95.3656,99.9089,2026-05-08
CELL000001,2026-05-08 15:00:00,191,241.639,61.656,4.1134,96.3698,100.0,2026-05-08
CELL000001,2026-05-08 16:00:00,242,571.072,79.801,2.7247,94.5595,99.7964,2026-05-08
CELL000001,2026-05-08 17:00:00,90,675.646,97.09,1.3053,97.3929,99.401,2026-05-08
CELL000001,2026-05-08 18:00:00,209,425.787,59.01,2.0632,96.5961,100.0,2026-05-08
CELL000001,2026-05-08 19:00:00,185,636.23,79.729,3.2052,95.109,99.6918,2026-05-08
CELL000001,2026-05-08 20:00:00,227,455.403,24.924,1.5716,95.1606,99.5599,2026-05-08
CELL000001,2026-05-08 21:00:00,253,206.609,94.793,1.5254,92.3869,99.8689,2026-05-08
CELL000001,2026-05-08 22:00:00,196,486.661,33.533,0.8448,96.7666,99.5403,2026-05-08
CELL000001,2026-05-08 23:00:00,206,393.771,47.864,1.7053,98.3583,99.6454,2026-05-08
CELL000001,2026-05-09 00:00:00,158,363.577,14.307,0.0,94.9136,99.6084,2026-05-09
CELL000001,2026-05-09 01:00:00,202,0.0,74.44,2.5853,99.2123,99.4647,2026-05-09
CELL000001,2026-05-09 02:00:00,248,446.256,78.121,0.5594,98.9953,99.6803,2026-05-09
CELL000001,2026-05-09 03:00:00,235,316.232,74.293,0.5123,94.3176,99.8277,2026-05-09
CELL000001,2026-05-09 04:00:00,275,715.748,51.296,0.1308,97.6594,99.188,2026-05-09
CELL000001,2026-05-09 05:00:00,151,394.275,93.364,1.1184,99.2621,99.83,2026-05-09
CELL000001,2026-05-09 06:00:00,208,414.1,83.026,2.7542,95.0431,99.1619,2026-05-09
CELL000001,2026-05-09 07:00:00,141,632.379,31.656,1.183,94.3379,99.748,2026-05-09
CELL000001,2026-05-09 08:00:00,223,543.866,59.921,2.5261,90.9132,99.6206,2026-05-09
CELL000001,2026-05-09 09:00:00,215,254.567,50.231,0.0676,92.6602,99.3843,2026-05-09
CELL000001,2026-05-09 10:00:00,21,301.141,63.352,2.7905,99.3223,100.0,2026-05-09
CELL000001,2026-05-09 11:00:00,219,255.119,90.616,1.2338,97.3068,99.7008,2026-05-09
CELL000001,2026-05-09 12:00:00,243,43.672,45.038,0.5919,94.3771,99.4991,2026-05-09
CELL000001,2026-05-09 13:00:00,216,504.007,67.353,1.1749,94.6022,99.9879,2026-05-09
CELL000001,2026-05-09 14:00:00,162,306.45,73.857,0.7927,95.2439,99.3199,2026-05-09
CELL000001,2026-05-09 15:00:00,145,501.895,82.81,3.8782,94.8716,99.4976,2026-05-09
CELL000001,2026-05-09 16:00:00,206,178.893,64.906,1.8887,95.8033,99.4923,2026-05-09
CELL000001,2026-05-09 17:00:00,118,511.885,65.693,1.3883,98.0875,99.7106,2026-05-09
CELL000001,2026-05-09 18:00:00,126,134.386,47.305,1.1502,90.6362,99.8074,2026-05-09
CELL000001,2026-05-09 19:00:00,154,490.684,90.324,1.6335,98.0906,99.7795,2026-05-09
CELL000001,2026-05-09 20:00:00,194,152.98,60.393,0.0,94.3831,99.2748,2026-05-09
CELL000001,2026-05-09 21:00:00,200,723.35,65.442,0.3383,99.1816,99.8661,2026-05-09
CELL000001,2026-05-09 22:00:00,232,346.161,96.218,2.0788,92.1276,99.694,2026-05-09
CELL000001,2026-05-09 23:00:00,95,596.209,76.183,0.0,98.6207,99.613,2026-05-09
CELL000001,2026-05-10 00:00:00,167,595.015,54.527,1.1843,93.781,99.9348,2026-05-10
CELL000001,2026-05-10 01:00:00,186,120.17,54.703,0.4909,93.8229,100.0,2026-05-10
CELL000001,2026-05-10 02:00:00,154,290.925,70.395,1.9712,95.2874,99.9049,2026-05-10
CELL000001,2026-05-10 03:00:00,261,602.934,56.398,2.1825,96.2288,99.6354,2026-05-10
CELL000001,2026-05-10 04:00:00,179,754.178,54.093,3.221,95.3769,99.6863,2026-05-10
CELL000001,2026-05-10 05:00:00,333,650.269,39.851,2.507,96.5291,99.9984,2026-05-10
CELL000001,2026-05-10 06:00:00,83,448.366,52.791,2.4033,98.4275,100.0,2026-05-10
CELL000001,2026-05-10 07:00:00,185,296.478,47.232,0.2639,94.2356,99.7711,2026-05-10
CELL000001,2026-05-10 08:00:00,73,697.527,63.849,1.9723,96.6675,99.3489,2026-05-10
CELL000001,2026-05-10 09:00:00,146,557.237,29.842,2.254,97.9487,99.7745,2026-05-10
CELL000001,2026-05-10 10:00:00,74,551.381,62.711,0.5269,94.4952,99.8057,2026-05-10
CELL000001,2026-05-10 11:00:00,274,535.473,89.376,1.3898,93.0873,99.968,2026-05-10
CELL000001,2026-05-10 12:00:00,158,684.541,44.558,1.5777,93.4965,99.7774,2026-05-10
CELL000001,2026-05-10 13:00:00,182,795.091,41.661,1.5705,100.0,99.6039,2026-05-10
CELL000001,2026-05-10 14:00:00,90,339.668,84.061,0.9224,97.1235,99.8744,2026-05-10
CELL000001,2026-05-10 15:00:00,344,489.724,16.785,1.9032,97.464,99.8081,2026-05-10
CELL000001,2026-05-10 16:00:00,167,391.539,49.251,1.2007,93.7549,99.9613,2026-05-10
CELL000001,2026-05-10 17:00:00,144,85.551,34.759,0.4548,95.9253,99.354,2026-05-10
CELL000001,2026-05-10 18:00:00,185,324.475,65.837,1.7022,95.5106,99.6649,2026-05-10
CELL000001,2026-05-10 19:00:00,271,392.246,62.25,0.6291,99.5965,99.3398,2026-05-10
CELL000001,2026-05-10 20:00:00,166,686.361,55.184,0.8318,98.6889,99.8052,2026-05-10
CELL000001,2026-05-10 21:00:00,203,490.264,48.86,1.8464,93.0794,100.0,2026-05-10
CELL000001,2026-05-10 22:00:00,251,782.3,22.165,0.6791,96.3461,99.5274,2026-05-10
CELL000001,2026-05-10 23:00:00,145,679.535,23.01,1.1628,97.7881,99.8413,2026-05-10
CELL000001,2026-05-11 00:00:00,270,608.778,34.83,1.8561,93.8127,99.5381,2026-05-11
CELL000001,2026-05-11 01:00:00,244,593.47,100.0,0.6883,100.0,100.0,2026-05-11
CELL000001,2026-05-11 02:00:00,145,399.459,46.549,0.6236,96.6746,99.4378,2026-05-11
CELL000001,2026-05-11 03:00:00,129,373.255,52.664,1.8451,97.5251,99.7114,2026-05-11
CELL000001,2026-05-11 04:00:00,101,583.55,89.927,2.1666,92.7559,99.6585,2026-05-11
CELL000001,2026-05-11 05:00:00,118,481.03,76.379,0.955,93.339,99.4959,2026-05-11
CELL000001,2026-05-11 06:00:00,237,347.173,72.78,0.9058,95.6532,99.896,2026-05-11
CELL000001,2026-05-11 07:00:00,101,431.037,89.336,1.1735,96.8086,99.843,2026-05-11
CELL000001,2026-05-11 08:00:00,77,362.842,44.364,2.1045,95.4444,99.3335,2026-05-11
CELL000001,2026-05-11 09:00:00,205,212.119,50.429,0.68,98.6833,99.9467,2026-05-11
CELL000001,2026-05-11 10:00:00,205,480.215,58.1,3.0859,96.5716,99.3277,2026-05-11
CELL000001,2026-05-11 11:00:00,239,492.21,50.692,0.4937,97.2042,99.8341,2026-05-11
CELL000001,2026-05-11 12:00:00,210,584.71,31.059,1.4003,97.7472,99.714,2026-05-11
CELL000001,2026-05-11 13:00:00,158,613.366,20.734,0.6457,93.6361,99.3053,2026-05-11
CELL000001,2026-05-11 14:00:00,62,612.795,64.174,1.9876,99.8763,99.6838,2026-05-11
CELL000001,2026-05-11 15:00:00,92,368.311,39.793,0.9855,98.2349,100.0,2026-05-11
CELL000001,2026-05-11 16:00:00,182,642.548,46.927,0.8259,95.8694,99.7756,2026-05-11
CELL000001,2026-05-11 17:00:00,134,296.815,45.552,0.8325,94.8828,99.3163,2026-05-11
CELL000001,2026-05-11 18:00:00,109,303.091,22.993,0.0038,96.7015,99.9695,2026-05-11
CELL000001,2026-05-11 19:00:00,145,246.08,42.56,1.3872,97.2327,99.5771,2026-05-11
CELL000001,2026-05-11 20:00:00,281,226.885,27.376,1.4648,92.4461,100.0,2026-05-11
CELL000001,2026-05-11 21:00:00,360,410.911,16.96,0.6136,97.0358,99.7401,2026-05-11
CELL000001,2026-05-11 22:00:00,207,370.609,68.757,1.1698,93.971,99.7625,2026-05-11
CELL000001,2026-05-11 23:00:00,338,521.46,58.117,2.684,94.7335,100.0,2026-05-11
CELL000001,2026-05-12 00:00:00,85,622.194,60.49,1.8172,94.9934,100.0,2026-05-12
CELL000001,2026-05-12 01:00:00,292,424.897,70.91,0.0958,92.9642,99.7677,2026-05-12
CELL000001,2026-05-12 02:00:00,99,68.833,69.008,2.7098,94.7959,99.8899,2026-05-12
CELL000001,2026-05-12 03:00:00,236,413.42,48.933,2.0876,93.723,99.5539,2026-05-12
CELL000001,2026-05-12 04:00:00,202,441.654,30.355,0.2043,98.7213,100.0,2026-05-12
CELL000001,2026-05-12 05:00:00,51,401.267,71.177,1.4018,99.5139,99.8706,2026-05-12
CELL000001,2026-05-12 06:00:00,189,792.367,59.181,0.9951,97.1832,99.8637,2026-05-12
CELL000001,2026-05-12 07:00:00,173,537.767,66.558,1.6518,99.3181,99.9552,2026-05-12
CELL000001,2026-05-12 08:00:00,234,377.111,58.22,1.6604,97.2271,99.7705,2026-05-12
CELL000001,2026-05-12 09:00:00,324,373.61,59.918,1.1862,96.1864,99.9065,2026-05-12
CELL000001,2026-05-12 10:00:00,190,392.243,100.0,1.5266,94.1562,99.0782,2026-05-12
