associate_id,store_id,role,hire_date,employment_status
ASC000093,STR0018,Cashier,2025-12-13,active 
ASC000094,STR0001,Store Manager,2020-02-25,Active
ASC000095,STR0012,Customer Service,2021-03-09,Leave
ASC000096,STR0017,Customer Service,2024-03-29,Leave
ASC000097,STR0023,Stock Associate,2020-06-29,active 
ASC000098,STR0013,Department Lead,2022-12-25,active 
ASC000099,STR0020,Department Lead,2017-03-19,Leave
ASC000100,STR0016,Cashier,2024-04-19,Terminated
ASC000101,STR0021,Customer Service,2022-09-14,Terminated
ASC000102,STR0004,Cashier,2025-05-04,active 
ASC000103,STR0008,Cashier,2017-01-10,Active
ASC000104,STR0010,Store Manager,2025-11-01,Leave
ASC000105,STR0016,Customer Service,2018-10-29,active 
ASC000106,STR0008,Customer Service,2025-06-14,Leave
ASC000107,STR0006,Cashier,2021-05-11,active 
ASC000108,STR0024,Customer Service,2023-12-11,Leave
ASC000109,STR0020,Store Manager,2025-08-10,Leave
ASC000110,STR0008,Stock Associate,2019-10-17,active 
ASC000111,STR0005,Customer Service,2024-02-27,active 
ASC000112,STR0016,Customer Service,2024-02-22,Leave
ASC000113,STR0021,Customer Service,2019-02-13,Terminated
ASC000114,STR0002,Store Manager,2019-02-08,Active
ASC000115,STR0003,Customer Service,2025-11-26,Leave
ASC000116,STR0012,Cashier,2024-08-10,Leave
ASC000117,STR0019,Customer Service,2026-04-11,Terminated
ASC000118,STR0007,Department Lead,2019-08-01,Leave
ASC000119,STR0007,Department Lead,2023-02-22,Leave
ASC000120,STR0011,Store Manager,2020-08-12,Active
ASC000121,STR0015,Customer Service,2022-10-17,Active
ASC000122,STR0010,Stock Associate,2024-09-22,active 
ASC000123,STR0011,Customer Service,2017-11-09,Terminated
ASC000124,STR0022,Store Manager,2022-11-10,Active
ASC000125,STR0009,Cashier,2021-11-08,active 
ASC000126,STR0009,Cashier,2023-03-20,Leave
ASC000127,STR0018,Store Manager,2024-10-13,Leave
ASC000128,STR0013,Customer Service,2020-01-25,Terminated
ASC000129,STR_BAD,Department Lead,2024-07-30,active 
ASC000130,STR0017,Cashier,2024-07-05,Terminated
ASC000131,STR0022,Store Manager,2021-02-18,Leave
ASC000132,STR0003,Store Manager,2025-12-22,active 
ASC000133,STR0017,Cashier,2025-04-26,Leave
ASC000134,STR0015,Department Lead,2017-02-04,Terminated
ASC000135,STR0011,Department Lead,2020-04-21,Leave
ASC000136,STR0011,Stock Associate,2025-02-03,Active
ASC000137,STR0020,Cashier,2020-02-22,Leave
ASC000138,STR0011,Customer Service,2021-03-13,Leave
ASC000139,STR0024,Stock Associate,2026-03-03,active 
ASC000140,STR0008,Stock Associate,2023-02-21,Leave
ASC000141,STR0017,Stock Associate,2025-09-26,Active
ASC000142,STR0019,Cashier,2018-08-16,Active
ASC000143,STR0001,Customer Service,2023-10-09,active 
ASC000144,STR0024,Department Lead,2017-12-28,Active
ASC000145,STR0012,Store Manager,2017-02-03,Leave
ASC000146,STR0007,Cashier,2024-04-06,Active
ASC000147,STR0019,Customer Service,2017-09-27,Active
ASC000148,STR0007,Stock Associate,2020-05-25,Leave
ASC000149,STR0013,Stock Associate,2019-11-10,Terminated
ASC000150,STR0010,Department Lead,2017-02-16,Active
ASC000151,STR0006,Cashier,2020-07-04,Active
ASC000152,STR0016,Department Lead,2018-07-08,Active
ASC000153,STR0004,Department Lead,2024-08-09,active 
ASC000154,STR0004,Cashier,2019-06-13,Leave
ASC000155,STR0009,Customer Service,2021-10-28,Active
ASC000156,STR0006,Customer Service,2026-02-28,active 
ASC000157,STR0018,Department Lead,2020-01-15,Leave
ASC000158,STR0016,Cashier,2025-02-24,Leave
ASC000159,STR0008,Department Lead,2023-01-16,Terminated
ASC000160,STR0007,Department Lead,2023-09-11,Active
ASC000161,STR0005,Store Manager,2025-04-11,Terminated
ASC000162,STR0023,Cashier,2023-04-02,active 
ASC000163,STR0013,Stock Associate,2025-07-20,Terminated
ASC000164,STR0017,Cashier,2022-12-21,Terminated
ASC000165,STR0004,Department Lead,2017-11-28,Active
ASC000166,STR0008,Customer Service,2023-07-15,Terminated
ASC000167,STR0009,Stock Associate,2024-08-13,Terminated
ASC000168,STR0007,Customer Service,2023-09-13,active 
ASC000169,STR0024,Store Manager,2017-08-08,Leave
ASC000170,STR0020,Store Manager,2025-03-27,Leave
ASC000171,STR0023,Store Manager,2020-12-31,active 
ASC000172,STR0016,Stock Associate,2021-02-04,Active
ASC000173,STR0003,Customer Service,2024-07-28,Terminated
ASC000174,STR0025,Store Manager,2021-09-28,Terminated
ASC000175,STR0020,Department Lead,2023-06-30,Leave
ASC000176,STR0008,Store Manager,2022-07-12,Active
ASC000177,STR0011,Store Manager,2024-03-11,Active
ASC000178,STR0009,Department Lead,2018-01-29,Terminated
ASC000179,STR0008,Department Lead,2020-11-28,active 
ASC000180,STR0025,Department Lead,2020-02-04,Terminated
ASC000181,STR0023,Stock Associate,2024-02-10,Terminated
ASC000182,STR0016,Department Lead,2024-12-13,Terminated
ASC000183,STR0020,Store Manager,2023-04-04,active 
ASC000184,STR0021,Department Lead,2021-07-28,Active
ASC000185,STR0023,Customer Service,2021-10-07,Leave
ASC000186,STR0024,Stock Associate,2025-02-27,Leave
ASC000187,STR0014,Department Lead,2020-04-15,Leave
ASC000188,STR0002,Store Manager,2025-11-05,Terminated
ASC000189,STR0020,Stock Associate,2017-04-17,Leave
ASC000190,STR0003,Department Lead,2018-12-28,Terminated
ASC000191,STR0006,Cashier,2021-06-22,Leave
ASC000192,STR0010,Stock Associate,2018-11-01,Leave
ASC000193,STR0003,Customer Service,2025-11-13,Active
ASC000194,STR0012,Stock Associate,2022-02-21,Terminated
ASC000195,STR0020,Department Lead,2024-02-05,active 
ASC000196,STR0010,Department Lead,2018-04-21,Active
ASC000197,STR0003,Department Lead,2023-06-06,Active
ASC000198,STR0007,Store Manager,2018-06-15,Leave
ASC000199,STR0018,Department Lead,2026-01-19,Leave
ASC000200,STR0020,Customer Service,2017-04-25,Terminated
ASC000201,STR0012,Cashier,2025-04-19,active 
ASC000202,STR0014,Customer Service,2018-03-27,Terminated
ASC000203,STR0023,Customer Service,2017-08-24,Active
ASC000204,STR0025,Department Lead,2021-02-11,Leave
ASC000205,STR0013,Cashier,2020-04-05,active 
ASC000206,STR0025,Department Lead,2017-08-28,Active
ASC000207,STR0012,Customer Service,2018-09-28,Leave
ASC000208,STR0020,Store Manager,2022-03-24,Terminated
ASC000209,STR0012,Customer Service,2022-12-28,Leave
ASC000210,STR0021,Cashier,2021-11-16,Leave
ASC000211,STR0020,Stock Associate,2024-08-13,Leave
ASC000212,STR0015,Customer Service,2023-02-02,Leave
ASC000213,STR0025,Customer Service,2021-09-28,Active
ASC000214,STR0012,Department Lead,2019-08-31,Active
ASC000215,STR0013,Customer Service,2024-12-29,Leave
ASC000216,STR0006,Stock Associate,2021-08-02,Leave
ASC000217,STR0016,Cashier,2020-07-19,Terminated
ASC000218,STR0016,Store Manager,2021-05-14,Terminated
ASC000219,STR0022,Stock Associate,2022-02-07,Terminated
ASC000220,STR0004,Store Manager,2018-08-26,active 
ASC000221,STR0017,Customer Service,2018-10-21,Leave
ASC000222,STR0019,Store Manager,2018-02-12,Active
ASC000223,STR0011,Store Manager,2018-06-22,Terminated
ASC000224,STR0013,Stock Associate,2021-05-11,Terminated
ASC000225,STR0024,Customer Service,2024-06-15,Terminated
ASC000226,STR0006,Stock Associate,2025-09-05,active 
ASC000227,STR0019,Cashier,2020-09-02,Terminated
ASC000228,STR0007,Department Lead,2023-12-24,Terminated
ASC000229,STR0005,Store Manager,2022-05-25,Terminated
ASC000230,STR0025,Customer Service,2022-01-01,Leave
ASC000231,STR0001,Customer Service,2020-11-30,Terminated
ASC000232,STR0017,Stock Associate,2017-07-23,Terminated
ASC000233,STR0003,Cashier,2023-05-24,Terminated
ASC000234,STR0021,Store Manager,2021-09-22,Active
ASC000235,STR0017,Cashier,2022-04-28,Active
ASC000236,STR0023,Customer Service,2024-01-03,Leave
ASC000237,STR0012,Stock Associate,2023-05-08,Leave
ASC000238,STR0013,Cashier,2025-08-08,active 
ASC000239,STR0007,Cashier,2024-08-11,active 
ASC000240,STR0004,Cashier,2018-06-28,Terminated
ASC000241,STR0014,Customer Service,2021-09-23,active 
ASC000242,STR0007,Stock Associate,2022-09-12,active 
ASC000243,STR0006,Department Lead,2019-12-02,Leave
ASC000244,STR0012,Customer Service,2020-12-10,active 
ASC000245,STR0009,Customer Service,2021-12-14,Terminated
ASC000246,STR0009,Customer Service,2024-05-12,Active
ASC000247,STR0014,Store Manager,2021-07-19,Leave
ASC000248,STR0022,Department Lead,2025-12-07,Terminated
ASC000249,STR0003,Department Lead,2017-06-12,Active
ASC000250,STR0017,Store Manager,2019-09-01,Terminated
ASC000251,STR0022,Customer Service,2019-04-12,Terminated
ASC000252,STR0014,Department Lead,2023-09-28,Active
ASC000253,STR0002,Customer Service,2025-11-06,Active
ASC000254,STR0001,Stock Associate,2017-10-12,Active
ASC000255,STR0007,Stock Associate,2023-06-11,Terminated
ASC000256,STR0006,Store Manager,2021-06-25,Terminated
ASC000257,STR0008,Cashier,2022-07-10,Terminated
ASC000258,STR0009,Department Lead,2023-08-05,Leave
ASC000259,STR0002,Store Manager,2020-08-12,Terminated
ASC000260,STR0019,Department Lead,2022-12-26,Terminated
ASC000261,STR0003,Stock Associate,2022-10-16,active 
ASC000262,STR0016,Cashier,2017-12-13,active 
ASC000263,STR0007,Stock Associate,2025-10-06,Leave
ASC000264,STR0003,Store Manager,2018-10-18,Active
ASC000265,STR0008,Cashier,2017-07-04,Leave
ASC000266,STR0014,Store Manager,2018-03-31,Leave
ASC000267,STR0016,Store Manager,2019-11-01,Terminated
ASC000268,STR0021,Stock Associate,2021-02-03,Leave
ASC000269,STR0002,Customer Service,2021-06-26,Leave
ASC000270,STR0007,Cashier,2020-03-12,Terminated
ASC000271,STR0006,Customer Service,2026-04-09,Active
ASC000272,STR0024,Customer Service,2023-01-05,active 
ASC000273,STR0016,Customer Service,2019-05-19,Terminated
ASC000274,STR0015,Cashier,2025-07-11,Terminated
ASC000275,STR0004,Stock Associate,2024-06-01,active 
ASC000276,STR0023,Department Lead,2025-01-11,active 
ASC000277,STR0008,Department Lead,2018-11-13,Active
ASC000278,STR0022,Department Lead,2025-05-18,active 
ASC000279,STR0019,Stock Associate,2021-03-18,Leave
ASC000280,STR0004,Cashier,2026-02-10,Active
ASC000281,STR0023,Customer Service,2021-10-22,active 
ASC000282,STR0020,Cashier,2023-03-01,Active
ASC000283,STR0016,Department Lead,2021-08-19,Leave
ASC000284,STR0020,Customer Service,2019-03-17,Active
ASC000285,STR0007,Cashier,2019-06-18,Active
ASC000286,STR0025,Customer Service,2017-01-24,active 
ASC000287,STR0004,Customer Service,2022-11-03,Terminated
ASC000288,STR0001,Department Lead,2018-10-30,Active
ASC000289,STR0024,Stock Associate,2024-07-12,Active
ASC000290,STR0002,Stock Associate,2025-06-08,Active
ASC000291,STR0019,Store Manager,2019-03-22,Active
ASC000292,STR0019,Stock Associate,2023-04-01,active 
ASC000293,STR0014,Customer Service,2025-09-17,Leave
ASC000294,STR0006,Department Lead,2020-02-12,active 
ASC000295,STR0020,Store Manager,2024-08-03,Terminated
ASC000296,STR0013,Store Manager,2019-09-24,Leave
ASC000297,STR0018,Customer Service,2021-07-24,Leave
ASC000298,STR0008,Cashier,2019-02-14,Active
ASC000299,STR0001,Stock Associate,2021-12-16,active 
ASC000300,STR0011,Cashier,2019-08-21,Leave
ASC000301,STR0002,Cashier,2024-12-29,active 
ASC000302,STR0003,Cashier,2018-12-11,active 
ASC000303,STR0008,Department Lead,2024-07-17,Leave
ASC000304,STR0002,Department Lead,2024-08-26,Terminated
ASC000305,STR0006,Cashier,2025-01-20,Active
ASC000306,STR0001,Store Manager,2025-07-27,Leave
ASC000307,STR0001,Cashier,2017-09-11,active 
ASC000308,STR0001,Store Manager,2020-08-02,Terminated
ASC000309,STR0017,Store Manager,2022-01-15,Leave
ASC000310,STR0006,Store Manager,2025-06-13,Active
ASC000311,STR0004,Stock Associate,2018-04-04,Leave
ASC000312,STR0023,Store Manager,2020-03-12,Active
ASC000313,STR0012,Stock Associate,2022-03-12,Active
ASC000314,STR0011,Store Manager,2021-01-07,Active
ASC000315,STR0016,Customer Service,2022-08-26,Leave
ASC000316,STR0001,Customer Service,2017-09-22,Active
ASC000317,STR0013,Customer Service,2018-09-07,Active
ASC000318,STR0007,Store Manager,2022-09-15,Terminated
ASC000319,STR0006,Department Lead,2021-12-31,Terminated
ASC000320,STR0002,Customer Service,2018-11-10,Terminated
ASC000321,STR0008,Cashier,2020-04-14,Active
ASC000322,STR0007,Cashier,2018-07-27,Leave
ASC000323,STR0024,Cashier,2026-04-12,active 
ASC000324,STR0023,Cashier,2024-05-23,active 
ASC000325,STR0011,Store Manager,2023-11-04,Terminated
ASC000326,STR0021,Store Manager,2020-05-16,Leave
ASC000327,STR0013,Customer Service,2019-01-22,Leave
ASC000328,STR0010,Store Manager,2023-03-08,active 
ASC000329,STR0025,Cashier,2023-05-15,Active
ASC000330,STR0017,Store Manager,2025-11-07,active 
ASC000331,STR0016,Stock Associate,2020-06-29,Terminated
ASC000332,STR0002,Department Lead,2025-10-05,Active
ASC000333,STR0012,Customer Service,2021-11-05,Leave
ASC000334,STR0005,Stock Associate,2023-10-22,Terminated
ASC000335,STR0010,Cashier,2019-01-22,Terminated
ASC000336,STR0021,Department Lead,2024-12-04,Active
ASC000337,STR0024,Store Manager,2017-02-21,Leave
ASC000338,STR0015,Customer Service,2017-07-26,Active
ASC000339,STR0023,Department Lead,2020-12-06,Leave
ASC000340,STR0024,Department Lead,2023-08-16,Active
ASC000341,STR0018,Store Manager,2022-12-10,active 
ASC000342,STR0008,Store Manager,2023-11-15,Active
ASC000343,STR0005,Cashier,2025-03-11,Active
ASC000344,STR0003,Cashier,2018-02-22,Terminated
ASC000345,STR0012,Cashier,2020-06-03,Terminated
ASC000346,STR0003,Department Lead,2018-10-12,Leave
ASC000347,STR0021,Cashier,2021-06-30,Terminated
ASC000348,STR0002,Stock Associate,2023-07-27,active 
ASC000349,STR0009,Stock Associate,2021-07-18,active 
ASC000350,STR0004,Customer Service,2019-01-08,active 
ASC000351,STR0017,Customer Service,2025-08-28,Terminated
ASC000352,STR0025,Department Lead,2025-12-27,Terminated
ASC000353,STR0007,Store Manager,2022-08-12,Leave
ASC000354,STR0004,Stock Associate,2024-02-29,active 
ASC000355,STR0003,Stock Associate,2017-01-16,active 
ASC000356,STR0019,Department Lead,2025-12-04,active 
ASC000357,STR0011,Store Manager,2024-09-15,Active
ASC000358,STR0020,Customer Service,2025-03-24,Leave
ASC000359,STR0012,Stock Associate,2018-12-18,Active
ASC000360,STR0001,Store Manager,2024-05-07,Leave
ASC000361,STR0008,Cashier,2017-12-16,Terminated
ASC000362,STR0009,Department Lead,2020-01-09,Terminated
ASC000363,STR0023,Customer Service,2021-02-07,active 
ASC000364,STR0007,Store Manager,2020-05-03,active 
ASC000365,STR0018,Cashier,2021-05-12,active 
ASC000366,STR0008,Customer Service,2022-02-25,Active
ASC000367,STR0011,Stock Associate,2019-08-17,active 
ASC000368,STR0010,Stock Associate,2017-03-03,Terminated
ASC000369,STR0022,Stock Associate,2018-02-26,Leave
ASC000370,STR0019,Customer Service,2025-05-10,Terminated
ASC000371,STR0012,Cashier,2020-01-21,Active
ASC000372,STR0013,Customer Service,2017-06-27,Terminated
ASC000373,STR0024,Stock Associate,2025-04-10,Terminated
ASC000374,STR0003,Cashier,2020-09-04,Active
ASC000375,STR0015,Cashier,2024-09-25,Active
ASC000376,STR0024,Stock Associate,2023-04-13,Leave
ASC000377,STR0024,Department Lead,2024-03-06,Terminated
ASC000378,STR0016,Cashier,2019-08-08,active 
ASC000379,STR0018,Customer Service,2025-07-21,Leave
ASC000380,STR0013,Customer Service,2020-08-28,Leave
ASC000381,STR0014,Stock Associate,2020-03-10,active 
ASC000382,STR0020,Cashier,2020-07-19,Leave
ASC000383,STR0008,Cashier,2023-01-01,Active
ASC000384,STR0014,Stock Associate,2020-09-18,Leave
ASC000385,STR0014,Stock Associate,2020-10-03,Terminated
ASC000386,STR0018,Department Lead,2023-10-21,active 
ASC000387,STR0013,Customer Service,2021-09-30,Active
ASC000388,STR0010,Customer Service,2022-07-07,Leave
ASC000389,STR0017,Department Lead,2021-12-14,Active
ASC000390,STR0022,Stock Associate,2024-06-11,Leave
ASC000391,STR0006,Cashier,2020-07-30,active 
ASC000392,STR0008,Cashier,2021-12-29,Active
ASC000393,STR0007,Store Manager,2024-10-03,Leave
ASC000394,STR0010,Store Manager,2018-01-01,Terminated
ASC000395,STR0008,Customer Service,2025-05-21,active 
ASC000396,STR0010,Store Manager,2026-03-30,Active
ASC000397,STR0005,Department Lead,2020-05-24,Active
ASC000398,STR0004,Department Lead,2022-03-26,Active
ASC000399,STR0011,Customer Service,2026-01-21,Leave
ASC000400,STR0008,Store Manager,2022-11-16,active 
ASC000401,STR0018,Stock Associate,2019-03-01,Terminated
ASC000402,STR0010,Store Manager,2020-02-23,Active
ASC000403,STR0018,Cashier,2024-12-28,Active
ASC000404,STR0016,Store Manager,2025-03-27,Active
ASC000405,STR0003,Customer Service,2018-01-27,active 
ASC000406,STR0022,Department Lead,2022-01-19,Active
ASC000407,STR0023,Store Manager,2020-01-28,Leave
ASC000408,STR0010,Stock Associate,2018-05-17,active 
ASC000409,STR0006,Customer Service,2025-08-15,active 
ASC000410,STR0023,Department Lead,2017-09-03,Active
ASC000411,STR0014,Customer Service,2025-09-23,Leave
ASC000412,STR0015,Customer Service,2019-02-18,Leave
ASC000413,STR0001,Stock Associate,2023-01-24,Leave
ASC000414,STR0010,Cashier,2021-02-27,Terminated
ASC000415,STR0015,Cashier,2018-02-28,active 
ASC000416,STR0025,Store Manager,2019-07-24,Leave
ASC000417,STR0023,Customer Service,2019-08-11,Leave
ASC000418,STR0024,Store Manager,2024-04-15,Terminated
ASC000419,STR0022,Stock Associate,2018-01-11,Leave
ASC000420,STR0025,Department Lead,2020-08-18,Leave
ASC000421,STR0003,Store Manager,2019-12-25,Active
ASC000422,STR0013,Stock Associate,2025-02-02,Terminated
ASC000423,STR0004,Stock Associate,2018-04-27,active 
ASC000424,STR0021,Cashier,2025-08-15,active 
ASC000425,STR0001,Customer Service,2022-10-17,Active
ASC000426,STR0010,Customer Service,2021-11-08,Terminated
ASC000427,STR0018,Department Lead,2021-11-06,Active
ASC000428,STR0008,Department Lead,2020-11-17,Terminated
ASC000429,STR0017,Store Manager,2026-04-24,Leave
ASC000430,STR0018,Store Manager,2020-08-24,Active
ASC000431,STR0015,Department Lead,2021-10-22,Active
ASC000432,STR0011,Cashier,2025-02-16,Terminated
ASC000433,STR0010,Customer Service,2022-12-30,Active
ASC000434,STR0002,Department Lead,2025-05-22,active 
ASC000435,STR0013,Cashier,2022-10-01,Active
ASC000436,STR0017,Cashier,2022-06-02,active 
ASC000437,STR0013,Store Manager,2018-08-21,Leave
ASC000438,STR0015,Customer Service,2023-01-11,Terminated
ASC000439,STR0010,Department Lead,2017-01-21,active 
ASC000440,STR0025,Department Lead,2018-11-25,Active
ASC000441,STR0024,Store Manager,2025-11-05,Leave
ASC000442,STR0005,Store Manager,2018-04-16,Terminated
ASC000443,STR0022,Stock Associate,2020-12-25,Terminated
ASC000444,STR0014,Cashier,2022-01-09,Leave
ASC000445,STR0009,Customer Service,2023-09-02,active 
ASC000446,STR0006,Customer Service,2023-05-18,active 
ASC000447,STR0011,Store Manager,2022-02-07,active 
ASC000448,STR0012,Department Lead,2022-10-01,Active
ASC000449,STR0006,Store Manager,2024-02-16,active 
ASC000450,STR0021,Stock Associate,2022-06-13,Leave
ASC000451,STR0018,Store Manager,2025-09-26,Terminated
ASC000452,STR0013,Store Manager,2019-02-11,active 
ASC000453,STR0025,Store Manager,2021-05-05,Active
ASC000454,STR0022,Cashier,2025-05-09,Leave
ASC000455,STR0008,Department Lead,2018-04-05,active 
ASC000456,STR0001,Department Lead,2022-03-21,Terminated
ASC000457,STR0025,Store Manager,2017-09-04,Active
ASC000458,STR0008,Store Manager,2020-04-22,Terminated
ASC000459,STR0011,Customer Service,2019-08-28,Active
ASC000460,STR0006,Stock Associate,2021-01-03,Terminated
ASC000461,STR0018,Department Lead,2017-11-15,Leave
ASC000462,STR0019,Stock Associate,2021-03-17,Terminated
ASC000463,STR0017,Customer Service,2024-04-23,Active
ASC000464,STR0025,Cashier,2023-03-30,Active
ASC000465,STR0025,Customer Service,2022-10-01,active 
ASC000466,STR0020,Cashier,2018-05-09,Active
ASC000467,STR0001,Cashier,2021-06-04,Terminated
ASC000468,STR0020,Cashier,2024-11-29,Leave
ASC000469,STR0014,Customer Service,2022-06-02,Leave
ASC000470,STR0018,Department Lead,2023-08-01,Active
ASC000471,STR0004,Department Lead,2018-03-08,Active
ASC000472,STR0001,Customer Service,2018-03-31,active 
ASC000473,STR0005,Customer Service,2017-02-11,Terminated
ASC000474,STR0007,Cashier,2020-09-16,Active
ASC000475,STR0001,Customer Service,2021-11-18,Terminated
ASC000476,STR0018,Stock Associate,2019-10-15,Leave
ASC000477,STR0019,Department Lead,2018-02-24,Active
ASC000478,STR0020,Stock Associate,2021-03-22,active 
ASC000479,STR0023,Store Manager,2021-08-07,Terminated
ASC000480,STR0005,Cashier,2022-01-12,Leave
ASC000481,STR0003,Stock Associate,2026-03-04,Leave
ASC000482,STR0016,Customer Service,2020-12-24,Terminated
ASC000483,STR0002,Store Manager,2021-01-23,active 
ASC000484,STR0021,Stock Associate,2017-07-08,Active
ASC000485,STR0009,Department Lead,2024-08-08,Leave
ASC000486,STR0022,Customer Service,2018-06-09,active 
ASC000487,STR0023,Cashier,2026-01-04,Active
ASC000488,STR0019,Cashier,2018-08-15,active 
ASC000489,STR0021,Cashier,2017-03-07,active 
ASC000490,STR0018,Customer Service,2020-12-11,Terminated
ASC000491,STR0018,Cashier,2023-07-04,Active
ASC000492,STR0021,Department Lead,2024-05-25,Terminated
ASC000493,STR0025,Customer Service,2019-04-14,Terminated
ASC000494,STR0014,Department Lead,2017-05-06,Active
ASC000495,STR0019,Stock Associate,2019-06-09,active 
ASC000496,STR0007,Customer Service,2017-12-03,active 
ASC000497,STR0022,Department Lead,2020-02-21,active 
ASC000498,STR0014,Department Lead,2020-05-02,Active
ASC000499,STR0022,Department Lead,2018-01-05,Leave
ASC000500,STR0003,Customer Service,2017-12-21,Terminated
