meter_id,customer_id,site_id,meter_type,install_date,multiplier,status,firmware_version
MTR0000053,CUST0000163,SITE0006,Commercial Meter,2021-12-29,1,active ,v1.3
MTR0000054,CUST0000306,SITE0020,Industrial Meter,2020-03-31,1,active ,v2.0
MTR0000055,CUST0000625,SITE0002,Smart Meter,04/30/2022,1,Inactive,
MTR0000056,CUST0000159,SITE0026,Industrial Meter,2022-07-04,100,Active,v1.3
MTR0000057,CUST0000163,SITE0001,Industrial Meter,2023-11-17,bad,Inactive,v1.2
MTR0000058,CUST0000475,SITE0010,Smart Meter,11/27/2018,100,Active,
MTR0000059,CUST0000248,SITE0022,Commercial Meter,2023-10-31,100,Inactive,v2.1
MTR0000060,CUST0000625,SITE0001,Industrial Meter,11/20/2021,1,Active,v1.2
MTR0000061,CUST0000711,SITE0023,Net Meter,2019-03-30,10,Disconnected,
MTR0000062,CUST0000753,SITE0028,Smart Meter,2022-05-05,10,Inactive,
MTR0000063,CUST0000384,SITE0024,Commercial Meter,2018-12-18,10,Disconnected,v2.0
MTR0000064,CUST0000153,SITE0028,Smart Meter,11/01/2025,100,Disconnected,v2.1
MTR0000065,CUST0000093,SITE0009,Commercial Meter,2019-09-29,10,Disconnected,v1.2
MTR0000066,CUST0000062,SITE0022,Net Meter,2024-05-28,1,Active,v2.0
MTR0000067,CUST0000498,SITE0027,Industrial Meter,2021-02-18,bad,Inactive,v1.2
MTR0000068,CUST0000307,SITE0011,Net Meter,2023-12-28,1,Active,v2.0
MTR0000069,CUST0000223,SITE0001,Industrial Meter,2021-10-24,bad,Disconnected,v1.3
MTR0000070,CUST0000086,SITE0019,Net Meter,2021-04-11,1,Inactive,v2.1
MTR0000071,CUST0000730,SITE0019,Commercial Meter,02/07/2019,1,active ,v1.3
MTR0000072,CUST0000112,SITE0003,Industrial Meter,11/29/2025,1,active ,v2.0
MTR0000073,CUST0000569,SITE0027,Smart Meter,2022-10-20,1,Disconnected,v1.2
MTR0000074,CUST0000511,SITE0018,Commercial Meter,2022-02-01,10,active ,v1.2
MTR0000075,CUST0000162,SITE0005,smart meter,2021-09-10,1,Inactive,v1.3
MTR0000076,CUST0000527,SITE0003,Net Meter,2024-04-28,bad,active ,v2.0
MTR0000077,CUST0000221,SITE0030,Net Meter,2021-03-24,1,Inactive,v1.2
MTR0000078,CUST0000627,SITE0007,Industrial Meter,03/06/2023,1,Inactive,v1.2
MTR0000079,CUST0000713,SITE0009,Industrial Meter,05/09/2025,1,Disconnected,v2.1
MTR0000080,CUST0000683,SITE0006,smart meter,07/07/2024,bad,Disconnected,v1.3
MTR0000081,CUST0000710,SITE0001,Smart Meter,01/01/2026,1,Disconnected,v2.0
MTR0000082,CUST0000159,SITE0005,Smart Meter,07/12/2020,1,Inactive,v1.3
MTR0000083,CUST0000040,SITE0029,smart meter,2022-06-10,1,Disconnected,v2.0
MTR0000084,CUST0000099,SITE0009,smart meter,10/28/2023,100,Disconnected,
MTR0000085,CUST0000095,SITE0014,smart meter,2020-03-31,1,Inactive,v2.0
MTR0000086,CUST0000326,SITE0010,Commercial Meter,2024-09-20,bad,active ,v1.3
MTR0000087,CUST0000576,SITE0004,Smart Meter,03/04/2022,1,Inactive,v1.2
MTR0000088,CUST0000188,SITE0029,Smart Meter,2024-12-25,1,Active,v2.0
MTR0000089,CUST0000652,SITE0008,Net Meter,03/02/2024,1,Active,v1.3
MTR0000090,CUST0000773,SITE0012,Commercial Meter,10/01/2020,1,active ,v1.2
MTR0000091,CUST0000230,SITE0011,Industrial Meter,2018-12-20,100,Disconnected,v2.1
MTR0000092,CUST0000073,SITE0024,Smart Meter,01/09/2026,1,active ,v2.0
MTR0000093,CUST0000217,SITE0006,smart meter,2021-10-23,bad,active ,v1.2
MTR0000094,CUST0000683,SITE0029,smart meter,06/30/2019,bad,active ,v2.0
MTR0000095,CUST0000409,SITE0012,Net Meter,11/13/2024,bad,active ,v1.3
MTR0000096,CUST0000400,SITE0018,Smart Meter,2021-02-19,100,active ,v1.3
MTR0000097,CUST0000367,SITE0019,Net Meter,2022-07-05,100,active ,v2.0
MTR0000098,CUST0000166,SITE0008,Smart Meter,2025-11-02,1,active ,v1.3
MTR0000099,CUST0000235,SITE0019,smart meter,2024-07-02,1,Active,v2.0
MTR0000100,CUST0000760,SITE0029,smart meter,2019-09-26,1,Active,v1.2
MTR0000101,CUST0000428,SITE0015,Net Meter,2025-06-07,1,Active,
MTR0000102,CUST0000764,SITE0019,Industrial Meter,2024-09-18,1,Active,v1.3
MTR0000103,CUST0000042,SITE_UNKNOWN,smart meter,04/25/2025,100,Disconnected,v1.2
MTR0000104,CUST0000794,SITE0012,Net Meter,09/21/2022,bad,Inactive,v2.1
MTR0000105,CUST0000331,SITE0029,Commercial Meter,09/07/2021,100,Disconnected,
MTR0000106,CUST0000288,SITE0018,Industrial Meter,2023-11-11,10,Active,v1.2
MTR0000107,CUST0000329,SITE0010,Commercial Meter,08/27/2018,bad,active ,v2.1
MTR0000108,CUST0000199,SITE0005,smart meter,2025-12-16,1,active ,v1.2
MTR0000109,CUST0000606,SITE0005,Industrial Meter,2021-10-31,bad,Active,v2.0
MTR0000110,CUST0000304,SITE0005,Industrial Meter,2024-02-05,1,Disconnected,
MTR0000111,CUST0000533,SITE0024,smart meter,2021-06-26,10,Disconnected,v1.2
MTR0000112,CUST0000018,SITE0022,Industrial Meter,12/30/2025,10,active ,v2.1
MTR0000113,CUST0000222,SITE0005,Net Meter,10/03/2025,bad,active ,
MTR0000114,CUST0000596,SITE0013,Industrial Meter,06/21/2023,1,active ,
MTR0000115,CUST0000427,SITE0022,Commercial Meter,11/06/2022,100,active ,v1.3
MTR0000116,CUST0000045,SITE0014,Industrial Meter,06/18/2023,100,active ,v1.2
MTR0000117,CUST0000416,SITE0017,Smart Meter,2018-10-03,10,Active,v1.3
MTR0000118,CUST0000684,SITE0018,Industrial Meter,2025-01-30,10,Active,v1.2
MTR0000119,CUST0000665,SITE0027,Commercial Meter,01/01/2020,bad,Active,v1.3
MTR0000120,CUST0000342,SITE0004,Net Meter,2024-07-16,100,Disconnected,v2.0
MTR0000121,CUST0000446,SITE0022,Commercial Meter,11/23/2023,1,active ,v1.2
MTR0000122,CUST0000421,SITE0014,smart meter,2019-03-05,100,active ,v2.1
MTR0000123,CUST0000175,SITE0004,smart meter,2018-06-27,100,Disconnected,v1.2
MTR0000124,CUST0000459,SITE0026,smart meter,2019-05-04,1,Inactive,v1.3
MTR0000125,CUST0000110,SITE0027,Smart Meter,2020-07-31,100,Disconnected,v1.2
MTR0000126,CUST0000241,SITE0026,smart meter,10/13/2023,100,Inactive,v2.0
MTR0000127,CUST0000662,SITE0027,Smart Meter,2023-05-08,100,active ,
MTR0000128,CUST0000382,SITE0014,Commercial Meter,2024-08-11,1,Disconnected,v1.2
MTR0000129,CUST0000703,SITE0014,Commercial Meter,2022-04-29,1,Disconnected,
MTR0000130,CUST0000359,SITE0012,Smart Meter,2025-10-20,10,active ,v2.0
MTR0000131,CUST0000403,SITE0016,smart meter,12/10/2025,bad,Disconnected,v1.2
MTR0000132,CUST0000055,SITE0028,Smart Meter,08/10/2021,1,Disconnected,v2.0
MTR0000133,CUST0000368,SITE0029,Net Meter,02/22/2022,10,Inactive,
MTR0000134,CUST0000702,SITE0018,Net Meter,2021-04-10,10,active ,
MTR0000135,CUST0000566,SITE0022,Industrial Meter,2021-07-27,1,Disconnected,v1.2
MTR0000136,CUST0000118,SITE0019,Smart Meter,2024-01-23,1,Active,v1.3
MTR0000137,CUST0000716,SITE0006,smart meter,06/19/2025,1,active ,v2.1
MTR0000138,CUST0000641,SITE0024,smart meter,2018-08-20,1,active ,v1.2
MTR0000139,CUST0000360,SITE0001,smart meter,07/11/2018,bad,Active,
MTR0000140,CUST0000539,SITE0014,smart meter,02/11/2024,1,Disconnected,v2.1
MTR0000141,CUST0000698,SITE0028,Commercial Meter,2018-11-21,10,Active,v2.0
MTR0000142,CUST0000610,SITE0001,Net Meter,2024-10-07,bad,Active,v2.0
MTR0000143,CUST0000296,SITE0016,Smart Meter,01/16/2023,1,Disconnected,v2.0
MTR0000144,CUST0000364,SITE0010,Industrial Meter,2019-06-02,1,active ,v2.0
MTR0000145,CUST0000290,SITE0015,Net Meter,07/11/2021,1,Disconnected,v2.0
MTR0000146,CUST0000212,SITE0025,smart meter,2018-04-21,10,Inactive,v2.1
MTR0000147,CUST0000536,SITE0005,Smart Meter,06/01/2021,100,Disconnected,v2.1
MTR0000148,CUST0000325,SITE0023,Commercial Meter,01/24/2021,1,active ,v2.0
MTR0000149,CUST0000394,SITE0013,Commercial Meter,2022-08-09,1,active ,v1.3
MTR0000150,CUST0000076,SITE0002,Net Meter,03/08/2023,1,active ,v1.3
MTR0000151,CUST0000067,SITE0022,smart meter,04/21/2020,1,Active,v2.1
MTR0000152,CUST0000626,SITE0006,Smart Meter,02/04/2019,1,Disconnected,v2.1
MTR0000153,CUST0000515,SITE0007,Commercial Meter,2022-11-23,bad,Disconnected,
MTR0000154,CUST0000616,SITE0021,Commercial Meter,01/22/2022,1,active ,v2.1
MTR0000155,CUST0000114,SITE0020,Net Meter,10/08/2018,1,Inactive,v2.1
MTR0000156,CUST0000616,SITE0010,Commercial Meter,2023-11-02,1,Active,v1.2
MTR0000157,CUST0000314,SITE0024,Industrial Meter,2021-08-15,1,Disconnected,v2.0
MTR0000158,CUST0000448,SITE0005,Net Meter,2019-05-20,1,Disconnected,v1.2
MTR0000159,CUST0000224,SITE0018,Net Meter,12/14/2020,1,active ,v2.0
MTR0000160,CUST0000599,SITE0015,smart meter,05/03/2020,1,active ,v1.2
MTR0000161,CUST0000545,SITE0012,smart meter,2024-10-03,bad,active ,v2.1
MTR0000162,CUST0000731,SITE0015,Industrial Meter,2025-09-09,10,active ,v2.1
MTR0000163,CUST0000506,SITE0021,Industrial Meter,2024-04-13,1,Active,v2.1
MTR0000164,CUST0000260,SITE0020,smart meter,11/05/2025,1,Active,v1.3
MTR0000165,CUST0000551,SITE0016,Commercial Meter,2024-10-01,bad,Disconnected,v1.3
MTR0000166,CUST0000426,SITE0012,Net Meter,2020-04-24,100,active ,
MTR0000167,CUST0000746,SITE0022,Industrial Meter,2022-05-16,1,Inactive,v2.0
MTR0000168,CUST0000540,SITE0009,Net Meter,2022-01-12,10,active ,v1.2
MTR0000169,CUST0000266,SITE0002,Smart Meter,2023-01-24,1,active ,v1.3
MTR0000170,CUST0000160,SITE0017,Net Meter,2023-11-06,1,Active,v1.2
MTR0000171,CUST0000565,SITE0001,Industrial Meter,09/12/2024,1,Active,v2.0
MTR0000172,CUST0000398,SITE_UNKNOWN,Smart Meter,02/10/2021,100,Active,v2.1
MTR0000173,CUST0000733,SITE0004,Commercial Meter,2022-03-15,10,Disconnected,v2.0
MTR0000174,CUST0000611,SITE0027,Smart Meter,2022-07-16,10,Active,v1.3
MTR0000175,CUST0000443,SITE0022,smart meter,2020-11-09,1,Disconnected,v2.0
MTR0000176,CUST0000019,SITE0005,Industrial Meter,12/13/2022,1,Active,v2.0
MTR0000177,CUST0000520,SITE0011,Smart Meter,11/07/2022,100,Disconnected,
MTR0000178,CUST0000054,SITE0001,Smart Meter,2021-06-01,1,active ,v1.3
MTR0000179,CUST0000131,SITE0002,smart meter,2018-03-31,1,Disconnected,v2.1
MTR0000180,CUST0000626,SITE0014,smart meter,01/12/2021,1,active ,v2.1
MTR0000181,CUST0000786,SITE0020,smart meter,08/18/2020,1,Disconnected,v1.2
MTR0000182,CUST0000575,SITE0022,Smart Meter,2019-09-23,1,Inactive,v1.2
MTR0000183,CUST0000472,SITE0008,Industrial Meter,02/20/2018,100,Active,v1.2
MTR0000184,CUST0000305,SITE0015,Commercial Meter,2023-05-16,100,Inactive,v1.2
MTR0000185,CUST0000496,SITE0027,Industrial Meter,2019-12-11,bad,Active,v2.1
MTR0000186,CUST0000261,SITE0030,smart meter,2023-06-12,100,Inactive,v2.1
MTR0000187,CUST0000104,SITE0019,smart meter,06/01/2020,1,Active,v2.0
MTR0000188,CUST0000601,SITE0020,Commercial Meter,12/11/2025,bad,Inactive,v1.2
MTR0000189,CUST0000347,SITE0023,Net Meter,08/22/2018,bad,Disconnected,v1.3
MTR0000190,CUST0000254,SITE0025,smart meter,01/21/2025,10,active ,v1.3
MTR0000191,CUST0000409,SITE0011,Commercial Meter,2021-02-19,1,Active,v2.0
MTR0000192,CUST0000707,SITE0021,Smart Meter,2024-05-24,bad,active ,
MTR0000193,CUST0000505,SITE0023,Commercial Meter,2021-12-29,1,Disconnected,v2.1
MTR0000194,CUST0000508,SITE0004,Smart Meter,05/05/2023,1,Active,v1.2
MTR0000195,CUST0000080,SITE0016,Smart Meter,2021-12-30,1,active ,v2.1
MTR0000196,CUST0000766,SITE0007,smart meter,09/11/2018,1,Active,v1.2
MTR0000197,CUST0000285,SITE0007,Industrial Meter,08/09/2022,1,Active,v1.3
MTR0000198,CUST0000652,SITE0007,Industrial Meter,2018-09-18,1,Disconnected,v1.2
MTR0000199,CUST0000760,SITE0001,smart meter,11/28/2023,1,Active,v2.0
MTR0000200,CUST0000422,SITE0007,smart meter,2020-04-26,bad,active ,v1.2
MTR0000201,CUST0000617,SITE0029,Net Meter,05/19/2018,100,Inactive,
MTR0000202,CUST0000700,SITE0028,Commercial Meter,2020-08-01,1,Disconnected,
MTR0000203,CUST0000600,SITE0010,Net Meter,02/06/2018,bad,active ,
MTR0000204,CUST0000313,SITE0009,Commercial Meter,2021-03-07,bad,active ,v1.3
MTR0000205,CUST0000345,SITE0030,Industrial Meter,2018-09-18,10,Active,v2.1
MTR0000206,CUST0000799,SITE0012,Smart Meter,11/16/2021,bad,active ,v1.2
MTR0000207,CUST0000764,SITE0024,Industrial Meter,07/13/2018,bad,Active,v1.3
MTR0000208,CUST0000011,SITE0005,Industrial Meter,2025-07-13,10,Disconnected,
MTR0000209,CUST0000274,SITE0017,Net Meter,2019-01-24,bad,Disconnected,
MTR0000210,CUST0000514,SITE0004,Net Meter,2024-03-18,10,Active,v2.0
MTR0000211,CUST0000502,SITE0008,Smart Meter,2025-11-17,10,Active,v1.3
MTR0000212,CUST0000430,SITE0002,Net Meter,2022-05-06,1,Inactive,v1.3
MTR0000213,CUST0000574,SITE0008,Net Meter,2020-02-08,1,active ,v2.0
MTR0000214,CUST0000196,SITE0027,Smart Meter,2020-02-18,1,Active,v1.2
MTR0000215,CUST0000352,SITE0002,Commercial Meter,07/19/2023,1,Inactive,v1.3
MTR0000216,CUST0000623,SITE0009,smart meter,08/23/2021,bad,Disconnected,
MTR0000217,CUST0000249,SITE0029,Industrial Meter,2020-07-13,1,Disconnected,
MTR0000218,CUST0000645,SITE0010,Smart Meter,2024-10-15,1,Active,v2.0
MTR0000219,CUST0000399,SITE0009,Smart Meter,07/24/2020,1,Disconnected,v1.2
MTR0000220,CUST0000448,SITE0022,Industrial Meter,2024-06-11,1,active ,v1.2
MTR0000221,CUST0000218,SITE0021,Smart Meter,05/04/2018,bad,Disconnected,v1.3
MTR0000222,CUST0000617,SITE0016,Industrial Meter,2023-01-30,1,Active,v1.3
MTR0000223,CUST0000499,SITE0004,Industrial Meter,2023-10-14,1,Inactive,v2.1
MTR0000224,CUST0000105,SITE0012,Industrial Meter,2024-04-21,1,Disconnected,v1.2
MTR0000225,CUST0000360,SITE0025,smart meter,2023-03-04,10,Inactive,v1.3
MTR0000226,CUST0000129,SITE0026,Smart Meter,04/14/2019,10,Disconnected,v1.3
MTR0000227,CUST0000012,SITE0010,Net Meter,08/23/2022,10,Disconnected,v1.3
MTR0000228,CUST0000082,SITE0021,Industrial Meter,2021-04-27,100,Active,v2.0
MTR0000229,CUST0000498,SITE0023,Commercial Meter,2024-09-26,10,active ,v2.0
MTR0000230,CUST0000270,SITE0002,Net Meter,11/07/2025,10,Disconnected,v1.2
MTR0000231,CUST0000635,SITE0027,Commercial Meter,06/07/2021,1,Disconnected,v2.1
MTR0000232,CUST0000062,SITE0023,Smart Meter,02/16/2018,1,Active,
MTR0000233,CUST0000308,SITE0012,Industrial Meter,2019-10-12,bad,active ,v2.0
MTR0000234,CUST0000424,SITE0012,Commercial Meter,05/03/2022,10,Active,v2.1
MTR0000235,CUST0000700,SITE0027,Net Meter,04/05/2018,10,Inactive,v1.3
MTR0000236,CUST0000174,SITE0004,smart meter,2021-01-08,1,Active,v2.1
MTR0000237,CUST0000047,SITE0024,Commercial Meter,2021-11-18,1,Active,v2.0
MTR0000238,CUST0000538,SITE0003,Net Meter,2023-02-24,100,Inactive,
MTR0000239,CUST0000788,SITE0001,Industrial Meter,06/11/2023,bad,Active,v1.3
MTR0000240,CUST0000282,SITE0006,Industrial Meter,11/09/2024,1,Inactive,v2.1
MTR0000241,CUST0000419,SITE0016,Industrial Meter,08/17/2018,bad,active ,v1.3
MTR0000242,CUST0000330,SITE0012,Industrial Meter,2019-01-21,10,Inactive,v1.3
MTR0000243,CUST0000313,SITE0017,Industrial Meter,10/23/2021,bad,Active,
MTR0000244,CUST0000723,SITE0021,smart meter,2020-07-14,100,Active,
MTR0000245,CUST0000736,SITE0026,Commercial Meter,05/03/2022,1,active ,v2.0
MTR0000246,CUST0000348,SITE0012,smart meter,08/29/2025,10,active ,v1.3
MTR0000247,CUST0000682,SITE0029,smart meter,11/05/2020,1,active ,v1.3
MTR0000248,CUST0000094,SITE0006,smart meter,01/19/2022,100,active ,v2.1
MTR0000249,CUST0000270,SITE0028,smart meter,2023-11-12,100,Active,
MTR0000250,CUST0000637,SITE0012,Commercial Meter,2019-04-24,100,Disconnected,v2.1
MTR0000251,CUST0000324,SITE0007,Commercial Meter,08/07/2024,1,Disconnected,v2.0
MTR0000252,CUST0000508,SITE0007,Net Meter,2024-02-16,1,Active,v1.3
MTR0000253,CUST0000097,SITE0002,smart meter,03/05/2018,1,Inactive,
MTR0000254,CUST0000786,SITE0021,Industrial Meter,05/19/2019,100,active ,v1.2
MTR0000255,CUST0000528,SITE0029,Commercial Meter,03/17/2022,1,Disconnected,v1.3
MTR0000256,CUST0000587,SITE0009,Smart Meter,2021-06-11,bad,Active,v1.3
MTR0000257,CUST0000276,SITE0005,Industrial Meter,10/23/2022,1,active ,v2.1
MTR0000258,CUST0000765,SITE0010,Commercial Meter,2018-02-02,100,Active,v1.2
MTR0000259,CUST0000321,SITE0008,smart meter,02/06/2019,100,Disconnected,v1.2
MTR0000260,CUST0000413,SITE0030,smart meter,2019-03-13,100,Inactive,v2.0
MTR0000261,CUST0000106,SITE0024,smart meter,2023-06-29,100,Active,v2.0
MTR0000262,CUST0000169,SITE0013,Commercial Meter,07/19/2024,100,Active,
MTR0000263,CUST0000094,SITE0013,smart meter,12/03/2018,1,Active,v2.1
MTR0000264,CUST0000692,SITE0009,Smart Meter,2024-09-26,100,active ,v1.3
MTR0000265,CUST0000622,SITE0028,Commercial Meter,2019-02-08,1,Inactive,v2.1
MTR0000266,CUST0000093,SITE0014,Net Meter,05/05/2019,10,active ,v2.1
MTR0000267,CUST0000514,SITE0013,Smart Meter,11/11/2025,1,Disconnected,v2.1
MTR0000268,CUST0000157,SITE0017,Smart Meter,08/06/2025,1,Active,v1.3
MTR0000269,CUST0000396,SITE0003,Industrial Meter,02/10/2020,1,Active,v2.0
MTR0000270,CUST0000216,SITE0027,Industrial Meter,2020-03-13,10,Active,v1.2
MTR0000271,CUST0000577,SITE0010,smart meter,12/21/2019,1,Inactive,v1.3
MTR0000272,CUST0000761,SITE0002,smart meter,2018-06-08,100,active ,v2.0
MTR0000273,CUST0000314,SITE0022,smart meter,2023-07-19,100,Disconnected,v2.0
MTR0000274,CUST0000340,SITE0012,Smart Meter,05/17/2025,1,Active,v2.0
MTR0000275,CUST0000433,SITE0002,smart meter,2024-04-25,1,Active,v1.3
MTR0000276,CUST0000185,SITE0030,smart meter,02/03/2024,1,Inactive,v1.2
MTR0000277,CUST0000049,SITE0012,smart meter,2019-01-14,10,Inactive,v2.1
MTR0000278,CUST0000755,SITE0017,Net Meter,03/02/2020,1,active ,v1.3
MTR0000279,CUST0000084,SITE0019,Net Meter,06/11/2025,1,active ,v2.1
MTR0000280,CUST0000787,SITE0009,Net Meter,04/26/2025,100,Active,v1.3
MTR0000281,CUST0000155,SITE0009,smart meter,2024-05-22,1,Active,v2.0
MTR0000282,CUST0000367,SITE0011,Smart Meter,03/04/2021,bad,Inactive,v2.1
MTR0000283,CUST0000739,SITE0019,Commercial Meter,04/12/2019,1,active ,v2.1
MTR0000284,CUST0000384,SITE0022,Commercial Meter,2018-12-28,bad,Disconnected,v2.1
MTR0000285,CUST0000430,SITE0022,Net Meter,06/01/2025,1,Active,v1.2
MTR0000286,CUST0000505,SITE0016,Smart Meter,2023-03-09,1,Disconnected,v1.3
MTR0000287,CUST0000125,SITE0011,Net Meter,2025-01-20,100,Inactive,
MTR0000288,CUST0000223,SITE0012,Smart Meter,12/08/2025,10,Inactive,v2.0
MTR0000289,CUST0000589,SITE0018,smart meter,09/03/2021,1,active ,
MTR0000290,CUST0000224,SITE0003,Industrial Meter,07/11/2021,1,Inactive,v1.2
MTR0000291,CUST0000654,SITE0001,Industrial Meter,07/12/2021,10,Disconnected,v2.0
MTR0000292,CUST0000716,SITE0015,Commercial Meter,03/21/2019,1,active ,v1.3
MTR0000293,CUST0000634,SITE0021,Industrial Meter,2020-03-15,1,Inactive,
MTR0000294,CUST0000739,SITE0011,Net Meter,06/12/2019,1,active ,v2.1
MTR0000295,CUST0000431,SITE0030,Commercial Meter,07/18/2020,10,Inactive,v1.2
MTR0000296,CUST0000260,SITE0025,Net Meter,2018-06-25,100,Active,v1.2
MTR0000297,CUST0000488,SITE0025,Smart Meter,2025-10-12,1,Active,v1.2
MTR0000298,CUST0000030,SITE0011,Smart Meter,2023-01-03,100,Disconnected,v1.2
MTR0000299,CUST0000230,SITE0004,Smart Meter,09/11/2025,10,Inactive,
MTR0000300,CUST0000431,SITE0024,Industrial Meter,2023-11-29,1,Active,
MTR0000301,CUST0000530,SITE0030,Industrial Meter,10/24/2018,1,Active,
MTR0000302,CUST0000430,SITE0018,Net Meter,2022-09-30,bad,Inactive,v2.0
MTR0000303,CUST0000545,SITE0026,Net Meter,2019-07-06,1,Active,v2.1
MTR0000304,CUST0000343,SITE0005,smart meter,2024-09-30,10,Active,v1.3
MTR0000305,CUST0000775,SITE0029,Net Meter,2018-02-12,10,Active,v2.1
MTR0000306,CUST0000400,SITE0011,Commercial Meter,2025-05-30,1,Active,
MTR0000307,CUST0000283,SITE0024,Commercial Meter,12/28/2022,10,Disconnected,
MTR0000308,CUST0000118,SITE0009,Industrial Meter,2021-07-02,1,Active,
MTR0000309,CUST0000616,SITE0014,Commercial Meter,2023-06-22,1,Disconnected,v1.3
MTR0000310,CUST0000461,SITE0022,Commercial Meter,2022-10-10,10,Inactive,v1.2
MTR0000311,CUST0000252,SITE0015,smart meter,07/20/2021,100,active ,v1.2
MTR0000312,CUST0000222,SITE0021,Commercial Meter,04/27/2022,100,Disconnected,v2.0
