cdc_id,customer_id,effective_ts,operation,new_loyalty_tier,new_active_flag,change_reason
CCDC0000052,CUST00001187,2026-04-02 06:56:03,UPDATE,Silver,Y,customer_request
CCDC0000053,CUST00000374,2026-04-03 15:45:01,UPDATE,Basic,Y,customer_request
CCDC0000054,CUST00000275,2026-05-10 21:34:58,UPDATE,Basic,Y,spend_review
CCDC0000055,CUST00000897,2026-05-31 03:09:56,UPDATE,Plus,N,loyalty_upgrade
CCDC0000056,CUST00001465,2026-04-12 09:38:53,UPDATE,Plus,Y,inactive_cleanup
CCDC0000057,CUST00001488,2026-05-20 18:30:30,UPDATE,Plus,N,customer_request
CCDC0000058,CUST00001178,2026-04-07 00:53:10,UPDATE,Plus,Y,customer_request
CCDC0000059,CUST00000390,2026-04-11 01:14:40,UPDATE,Silver,N,customer_request
CCDC0000060,CUST00000261,2026-05-04 02:20:08,UPDATE,Plus,N,loyalty_upgrade
CCDC0000061,CUST00000479,2026-05-21 20:12:45,UPDATE,Plus,N,inactive_cleanup
CCDC0000062,CUST00000314,2026-05-18 10:42:38,UPDATE,Silver,N,inactive_cleanup
CCDC0000063,CUST00001129,2026-05-20 05:08:24,UPDATE,Basic,Y,spend_review
CCDC0000064,CUST00001352,2026-05-04 17:22:23,UPDATE,Silver,N,customer_request
CCDC0000065,CUST00001103,2026-04-06 17:54:30,UPDATE,Plus,Y,spend_review
CCDC0000066,CUST00001128,2026-05-12 16:38:35,UPDATE,Plus,N,spend_review
CCDC0000067,CUST00001740,2026-04-26 09:36:42,UPDATE,Silver,N,inactive_cleanup
CCDC0000068,CUST00000125,2026-04-26 20:12:26,UPDATE,Plus,N,inactive_cleanup
CCDC0000069,CUST00001669,2026-04-21 11:52:21,UPDATE,Gold,Y,inactive_cleanup
CCDC0000070,CUST00001782,2026-04-03 05:14:51,UPDATE,Plus,N,loyalty_upgrade
CCDC0000071,CUST00000755,2026-04-06 22:05:11,UPDATE,Silver,N,spend_review
CCDC0000072,CUST00000474,2026-04-12 10:24:46,UPDATE,Plus,Y,customer_request
CCDC0000073,CUST00001409,2026-05-21 08:56:47,UPDATE,Basic,Y,inactive_cleanup
CCDC0000074,CUST00000698,2026-05-23 12:20:17,UPDATE,Basic,Y,customer_request
CCDC0000075,CUST00000135,2026-04-26 15:11:13,UPDATE,Plus,Y,customer_request
CCDC0000076,CUST00001204,2026-05-02 09:59:20,UPDATE,Plus,N,spend_review
CCDC0000077,CUST00000826,2026-05-06 01:47:49,UPDATE,Plus,N,customer_request
CCDC0000078,CUST00000286,2026-05-06 01:09:14,UPDATE,Plus,Y,inactive_cleanup
CCDC0000079,CUST00001085,2026-04-25 08:36:08,UPDATE,Gold,N,customer_request
CCDC0000080,CUST00000069,2026-04-16 00:56:54,UPDATE,Basic,Y,customer_request
CCDC0000081,CUST00000718,2026-05-29 23:05:41,UPDATE,Basic,N,customer_request
CCDC0000082,CUST00000678,2026-04-18 23:38:52,UPDATE,Silver,Y,loyalty_upgrade
CCDC0000083,CUST00001138,2026-05-24 13:09:13,UPDATE,Silver,Y,spend_review
CCDC0000084,CUST00001613,2026-04-24 19:17:04,UPDATE,Silver,N,customer_request
CCDC0000085,CUST00000983,2026-05-21 16:51:03,UPDATE,Silver,N,spend_review
CCDC0000086,CUST00000658,2026-05-26 17:13:51,UPDATE,Basic,N,customer_request
CCDC0000087,CUST00000610,2026-04-23 04:50:47,UPDATE,Plus,N,inactive_cleanup
CCDC0000088,CUST00001319,2026-04-24 20:55:00,UPDATE,Basic,Y,loyalty_upgrade
CCDC0000089,CUST00000177,2026-04-30 11:34:28,UPDATE,Gold,N,spend_review
CCDC0000090,CUST00001316,2026-05-15 16:52:45,UPDATE,Plus,N,loyalty_upgrade
CCDC0000091,CUST00001328,2026-04-03 11:49:22,UPDATE,Basic,Y,loyalty_upgrade
CCDC0000092,CUST00000514,2026-05-06 04:56:15,UPDATE,Gold,N,customer_request
CCDC0000093,CUST00001800,2026-04-15 09:19:03,UPDATE,Silver,Y,customer_request
CCDC0000094,CUST00000993,2026-04-16 02:01:42,UPDATE,Gold,N,inactive_cleanup
CCDC0000095,CUST00000401,2026-05-20 03:43:15,UPDATE,Silver,Y,inactive_cleanup
CCDC0000096,CUST00001436,2026-05-12 19:41:07,UPDATE,Plus,Y,loyalty_upgrade
CCDC0000097,CUST00000608,2026-05-06 01:51:53,UPDATE,Gold,Y,loyalty_upgrade
CCDC0000098,CUST00001326,2026-05-16 10:39:13,UPDATE,Basic,Y,loyalty_upgrade
CCDC0000099,CUST00000405,2026-04-19 14:20:31,UPDATE,Silver,N,customer_request
CCDC0000100,CUST00000772,2026-05-18 11:24:07,UPDATE,Plus,Y,customer_request
CCDC0000101,CUST00001615,2026-04-24 13:54:58,UPDATE,Silver,Y,spend_review
CCDC0000102,CUST00001301,2026-04-26 12:15:46,UPDATE,Gold,N,spend_review
CCDC0000103,CUST00000693,2026-04-14 10:51:36,UPDATE,Plus,Y,loyalty_upgrade
CCDC0000104,CUST00000773,2026-05-11 07:54:18,UPDATE,Plus,N,customer_request
CCDC0000105,CUST00000318,2026-04-15 20:43:39,UPDATE,Silver,N,spend_review
CCDC0000106,CUST00000901,2026-04-05 14:24:11,UPDATE,Gold,N,inactive_cleanup
CCDC0000107,CUST00000239,2026-04-02 15:58:37,UPDATE,Basic,N,inactive_cleanup
CCDC0000108,CUST00001533,2026-04-23 21:41:56,UPDATE,Plus,Y,loyalty_upgrade
CCDC0000109,CUST00001279,2026-04-07 12:16:49,UPDATE,Gold,Y,spend_review
CCDC0000110,CUST00000408,2026-04-15 21:25:22,UPDATE,Silver,N,customer_request
CCDC0000111,CUST00000171,2026-05-15 08:16:39,UPDATE,Silver,Y,spend_review
CCDC0000112,CUST00001240,2026-04-27 08:09:48,UPDATE,Silver,Y,spend_review
CCDC0000113,CUST00001621,2026-04-09 07:15:59,UPDATE,Gold,N,spend_review
CCDC0000114,CUST00001390,2026-05-23 19:59:55,UPDATE,Plus,Y,spend_review
CCDC0000115,CUST00000553,2026-04-03 11:54:03,UPDATE,Silver,Y,customer_request
CCDC0000116,CUST00001742,2026-04-05 13:54:34,UPDATE,Basic,N,spend_review
CCDC0000117,CUST00000572,2026-04-25 11:33:56,UPDATE,Plus,N,inactive_cleanup
CCDC0000118,CUST00001564,2026-05-16 17:48:22,UPDATE,Gold,Y,loyalty_upgrade
CCDC0000119,CUST00000245,2026-04-27 10:52:10,UPDATE,Plus,Y,customer_request
CCDC0000120,CUST00001539,2026-04-17 07:35:23,UPDATE,Plus,N,spend_review
CCDC0000121,CUST00000160,2026-05-20 06:03:07,UPDATE,Basic,N,spend_review
CCDC0000122,CUST00000600,2026-04-08 11:07:59,UPDATE,Silver,N,inactive_cleanup
CCDC0000123,CUST00000216,2026-04-26 19:53:24,UPDATE,Silver,Y,inactive_cleanup
CCDC0000124,CUST00000970,2026-04-30 19:39:54,UPDATE,Basic,Y,loyalty_upgrade
CCDC0000125,CUST00001184,2026-04-19 19:10:38,UPDATE,Basic,Y,inactive_cleanup
CCDC0000126,CUST00001267,2026-05-28 10:08:41,UPDATE,Plus,Y,loyalty_upgrade
CCDC0000127,CUST00001263,2026-04-14 18:31:36,UPDATE,Gold,Y,spend_review
CCDC0000128,CUST00001657,2026-05-03 08:30:45,UPDATE,Gold,N,spend_review
CCDC0000129,CUST00001371,2026-05-23 12:33:38,UPDATE,Silver,N,loyalty_upgrade
CCDC0000130,CUST00001573,2026-05-15 03:53:31,UPDATE,Basic,Y,inactive_cleanup
CCDC0000131,CUST00001336,2026-05-19 14:13:12,UPDATE,Silver,Y,spend_review
CCDC0000132,CUST00001203,2026-04-16 01:00:33,UPDATE,Gold,Y,spend_review
CCDC0000133,CUST00001790,2026-04-22 11:42:37,UPDATE,Basic,Y,customer_request
CCDC0000134,CUST00000270,2026-05-25 21:29:59,UPDATE,Gold,Y,spend_review
CCDC0000135,CUST00000355,2026-04-25 17:54:13,UPDATE,Plus,N,spend_review
CCDC0000136,CUST00001144,2026-04-12 06:38:07,UPDATE,Silver,Y,spend_review
CCDC0000137,CUST00000163,2026-05-24 05:45:41,UPDATE,Plus,N,customer_request
CCDC0000138,CUST00000099,2026-04-08 19:29:49,UPDATE,Basic,Y,customer_request
CCDC0000139,CUST00001232,2026-04-05 19:14:16,UPDATE,Plus,Y,spend_review
CCDC0000140,CUST00001750,2026-04-24 22:42:53,UPDATE,Basic,Y,inactive_cleanup
CCDC0000141,CUST00000156,2026-05-30 05:14:25,UPDATE,Gold,N,loyalty_upgrade
CCDC0000142,CUST00001696,2026-05-02 23:46:06,UPDATE,Silver,N,spend_review
CCDC0000143,CUST00000072,2026-04-18 11:17:00,UPDATE,Gold,N,inactive_cleanup
CCDC0000144,CUST00000092,2026-04-05 00:12:57,UPDATE,Plus,Y,spend_review
CCDC0000145,CUST00001780,2026-04-20 22:56:42,UPDATE,Gold,N,loyalty_upgrade
CCDC0000146,CUST00001350,2026-04-09 19:58:07,UPDATE,Basic,Y,spend_review
CCDC0000147,CUST00001720,2026-04-16 07:16:37,UPDATE,Plus,Y,customer_request
CCDC0000148,CUST00000143,2026-04-14 22:29:00,UPDATE,Silver,Y,customer_request
CCDC0000149,CUST00001737,2026-05-11 08:38:54,UPDATE,Basic,Y,loyalty_upgrade
CCDC0000150,CUST00001659,2026-05-14 08:19:33,UPDATE,Basic,Y,customer_request
CCDC0000151,CUST00000589,2026-05-30 07:26:25,UPDATE,Plus,Y,spend_review
CCDC0000152,CUST00000484,2026-05-10 11:52:36,UPDATE,Plus,N,inactive_cleanup
CCDC0000153,CUST00000767,2026-04-27 16:03:44,UPDATE,Basic,Y,spend_review
CCDC0000154,CUST00000668,2026-05-24 05:49:27,UPDATE,Plus,Y,inactive_cleanup
CCDC0000155,CUST00000934,2026-05-01 06:44:21,UPDATE,Gold,N,loyalty_upgrade
CCDC0000156,CUST00001555,2026-05-15 10:00:08,UPDATE,Plus,Y,spend_review
CCDC0000157,CUST00000907,2026-05-07 10:09:24,UPDATE,Plus,N,spend_review
CCDC0000158,CUST00000563,2026-04-06 20:10:06,UPDATE,Basic,Y,loyalty_upgrade
CCDC0000159,CUST00001091,2026-04-19 20:10:50,UPDATE,Plus,Y,loyalty_upgrade
CCDC0000160,CUST00000230,2026-05-11 22:28:46,UPDATE,Plus,N,spend_review
CCDC0000161,CUST00000684,2026-05-22 12:13:41,UPDATE,Silver,N,spend_review
CCDC0000162,CUST00001545,2026-05-08 14:19:10,UPDATE,Gold,Y,spend_review
CCDC0000163,CUST00000505,2026-05-16 12:42:30,UPDATE,Silver,N,customer_request
CCDC0000164,CUST00000968,2026-04-05 22:07:38,UPDATE,Basic,N,loyalty_upgrade
CCDC0000165,CUST00000928,2026-04-02 01:35:58,UPDATE,Basic,Y,inactive_cleanup
CCDC0000166,CUST00001528,2026-04-12 05:01:25,UPDATE,Plus,Y,inactive_cleanup
CCDC0000167,CUST00001161,2026-05-04 22:06:03,UPDATE,Basic,Y,customer_request
CCDC0000168,CUST00001311,2026-05-14 23:20:28,UPDATE,Plus,Y,spend_review
CCDC0000169,CUST00000662,2026-04-27 04:22:04,UPDATE,Gold,N,customer_request
CCDC0000170,CUST00000111,2026-04-16 15:42:02,UPDATE,Plus,N,loyalty_upgrade
CCDC0000171,CUST00000419,2026-05-21 05:24:05,UPDATE,Plus,N,customer_request
CCDC0000172,CUST00001140,2026-04-04 08:27:18,UPDATE,Gold,N,customer_request
CCDC0000173,CUST00001118,2026-04-29 19:25:35,UPDATE,Gold,N,inactive_cleanup
CCDC0000174,CUST00001207,2026-04-03 20:41:01,UPDATE,Silver,N,customer_request
CCDC0000175,CUST00000961,2026-05-12 03:03:20,UPDATE,Gold,N,spend_review
CCDC0000176,CUST00000453,2026-04-16 19:55:30,UPDATE,Silver,N,loyalty_upgrade
CCDC0000177,CUST00001100,2026-05-23 22:05:05,UPDATE,Plus,Y,spend_review
CCDC0000178,CUST00000654,2026-04-10 10:16:24,UPDATE,Plus,N,loyalty_upgrade
CCDC0000179,CUST00001430,2026-05-10 14:01:12,UPDATE,Basic,N,inactive_cleanup
CCDC0000180,CUST00000889,2026-05-09 06:57:28,UPDATE,Basic,N,inactive_cleanup
CCDC0000181,CUST00000452,2026-05-22 09:51:23,UPDATE,Plus,N,customer_request
CCDC0000182,CUST00000392,2026-04-13 18:02:52,UPDATE,Gold,Y,spend_review
CCDC0000183,CUST00000226,2026-05-01 02:09:01,UPDATE,Silver,Y,customer_request
CCDC0000184,CUST00000875,2026-05-20 20:27:42,UPDATE,Basic,Y,inactive_cleanup
CCDC0000185,CUST00001134,2026-05-08 18:23:49,UPDATE,Basic,N,spend_review
CCDC0000186,CUST00001620,2026-04-11 12:36:11,UPDATE,Gold,Y,spend_review
CCDC0000187,CUST00000253,2026-05-16 15:02:04,UPDATE,Silver,N,spend_review
CCDC0000188,CUST00001356,2026-05-04 21:21:46,UPDATE,Plus,N,loyalty_upgrade
CCDC0000189,CUST00001234,2026-05-11 15:28:47,UPDATE,Basic,Y,inactive_cleanup
CCDC0000190,CUST00000417,2026-05-17 15:31:05,UPDATE,Gold,N,spend_review
CCDC0000191,CUST00000879,2026-05-10 17:54:14,UPDATE,Gold,Y,customer_request
CCDC0000192,CUST00000439,2026-05-18 09:25:48,UPDATE,Basic,Y,loyalty_upgrade
CCDC0000193,CUST00001126,2026-04-25 01:50:29,UPDATE,Silver,Y,spend_review
CCDC0000194,CUST00001284,2026-04-21 13:51:03,UPDATE,Plus,N,inactive_cleanup
CCDC0000195,CUST00001478,2026-04-11 01:34:19,UPDATE,Basic,Y,spend_review
CCDC0000196,CUST00001348,2026-05-09 15:26:35,UPDATE,Gold,N,inactive_cleanup
CCDC0000197,CUST00001668,2026-04-26 10:50:24,UPDATE,Silver,N,customer_request
CCDC0000198,CUST00001521,2026-05-21 15:05:28,UPDATE,Plus,Y,inactive_cleanup
CCDC0000199,CUST00000908,2026-05-02 20:59:38,UPDATE,Basic,N,loyalty_upgrade
CCDC0000200,CUST00000017,2026-04-15 07:17:46,UPDATE,Gold,N,inactive_cleanup
CCDC0000201,CUST00001614,2026-05-31 01:15:18,UPDATE,Basic,N,customer_request
CCDC0000202,CUST00000324,2026-05-12 18:56:44,UPDATE,Basic,Y,spend_review
CCDC0000203,CUST00001585,2026-04-25 01:42:29,UPDATE,Silver,N,inactive_cleanup
CCDC0000204,CUST00001692,2026-05-01 12:09:05,UPDATE,Gold,Y,inactive_cleanup
CCDC0000205,CUST00000556,2026-05-29 01:24:14,UPDATE,Plus,Y,customer_request
CCDC0000206,CUST00000105,2026-05-07 18:37:43,UPDATE,Silver,N,customer_request
CCDC0000207,CUST00000013,2026-05-13 10:35:10,UPDATE,Gold,Y,spend_review
CCDC0000208,CUST00001158,2026-04-07 17:09:20,UPDATE,Plus,Y,customer_request
CCDC0000209,CUST00000917,2026-04-08 14:39:09,UPDATE,Gold,Y,spend_review
CCDC0000210,CUST00001695,2026-04-04 20:00:50,UPDATE,Silver,Y,loyalty_upgrade
CCDC0000211,CUST00001532,2026-04-20 12:45:26,UPDATE,Plus,N,inactive_cleanup
CCDC0000212,CUST00001360,2026-05-28 16:15:24,UPDATE,Gold,Y,spend_review
CCDC0000213,CUST00000070,2026-05-27 03:08:49,UPDATE,Silver,N,spend_review
CCDC0000214,CUST00000922,2026-05-06 01:31:22,UPDATE,Silver,Y,loyalty_upgrade
CCDC0000215,CUST00001222,2026-05-11 11:16:38,UPDATE,Gold,N,spend_review
CCDC0000216,CUST00000651,2026-05-13 13:30:31,UPDATE,Gold,Y,spend_review
CCDC0000217,CUST00001483,2026-04-11 20:24:56,UPDATE,Gold,N,inactive_cleanup
CCDC0000218,CUST00001411,2026-05-23 23:04:01,UPDATE,Basic,Y,loyalty_upgrade
CCDC0000219,CUST00001618,2026-04-21 19:02:49,UPDATE,Gold,Y,spend_review
CCDC0000220,CUST00000095,2026-04-29 16:18:31,UPDATE,Plus,Y,loyalty_upgrade
