invoice_id,subscriber_id,billing_month,invoice_date,due_date,monthly_charge,usage_charge,tax_amount,other_fees,total_amount,invoice_status
INV400000082,SUB00000082,2026-04-01,2026-04-28,2026-05-16,57.60,15.25,7.62,4.24,84.70,Past Due
INV500000082,SUB00000082,2026-05-01,2026-05-28,2026-06-15,46.16,12.22,6.11,3.39,67.89,open 
INV400000083,SUB00000083,2026-04-01,2026-04-28,2026-05-16,145.73,38.57,19.29,10.72,214.30,open 
INV500000083,SUB00000083,2026-05-01,2026-05-28,2026-06-15,15.27,4.04,2.02,1.12,22.46,open 
INV400000084,SUB00000084,2026-04-01,2026-04-28,2026-05-16,71.54,18.94,9.47,5.26,105.21,Open
INV500000084,SUB00000084,2026-05-01,2026-05-28,2026-06-15,48.03,12.71,6.36,3.53,70.63,Paid
INV400000085,SUB00000085,2026-04-01,2026-04-28,2026-05-16,106.92,28.30,14.15,7.86,157.23,Cancelled
INV500000085,SUB00000085,2026-05-01,2026-05-28,2026-06-15,105.54,27.94,13.97,7.76,155.21,Paid
INV400000086,SUB00000086,2026-04-01,2026-04-28,2026-05-16,76.76,20.32,10.16,5.64,112.89,Cancelled
INV500000086,SUB00000086,2026-05-01,2026-05-28,2026-06-15,14.03,3.71,1.86,1.03,20.63,Past Due
INV400000087,SUB00000087,2026-04-01,2026-04-28,2026-05-16,18.06,4.78,2.39,1.33,26.56,Paid
INV500000087,SUB00000087,2026-05-01,2026-05-28,2026-06-15,84.93,22.48,11.24,6.25,124.90,open 
INV400000088,SUB00000088,2026-04-01,2026-04-28,2026-05-16,132.54,35.08,17.54,9.75,194.91,Open
INV500000088,SUB00000088,2026-05-01,2026-05-28,2026-06-15,130.83,34.63,17.32,9.62,192.40,Cancelled
INV400000089,SUB00000089,2026-04-01,2026-04-28,2026-05-16,85.32,22.58,11.29,6.27,125.46,Past Due
INV500000089,SUB00000089,2026-05-01,2026-05-28,2026-06-15,174.11,46.09,23.04,12.80,256.04,open 
INV400000090,SUB00000090,2026-04-01,2026-04-28,2026-05-16,19.08,5.05,2.53,1.40,28.06,Cancelled
INV500000090,SUB00000090,2026-05-01,2026-05-28,2026-06-15,154.08,40.79,20.39,11.33,226.59,open 
INV400000091,SUB00000091,2026-04-01,2026-04-28,2026-05-16,15.39,4.07,2.04,1.13,22.63,open 
INV500000091,SUB00000091,2026-05-01,2026-05-28,2026-06-15,74.38,19.69,9.84,5.47,109.38,open 
INV400000092,SUB00000092,2026-04-01,2026-04-28,2026-05-16,45.66,12.09,6.04,3.36,67.14,Past Due
INV500000092,SUB00000092,2026-05-01,2026-05-28,2026-06-15,51.97,13.76,6.88,3.82,76.43,Past Due
INV400000093,SUB00000093,2026-04-01,2026-04-28,2026-05-16,142.33,37.67,18.84,10.47,209.30,Cancelled
INV500000093,SUB00000093,2026-05-01,2026-05-28,2026-06-15,30.61,8.10,4.05,2.25,45.02,open 
INV400000094,SUB00000094,2026-04-01,2026-04-28,2026-05-16,151.73,40.16,20.08,11.16,223.14,Cancelled
INV500000094,SUB00000094,2026-05-01,2026-05-28,2026-06-15,138.84,36.75,18.38,10.21,204.18,open 
INV400000095,SUB00000095,2026-04-01,2026-04-28,2026-05-16,85.73,22.69,11.35,6.30,126.07,Past Due
INV500000095,SUB00000095,2026-05-01,2026-05-28,2026-06-15,74.89,19.82,9.91,5.51,110.14,Open
INV400000096,SUB00000096,2026-04-01,2026-04-28,2026-05-16,67.14,17.77,8.89,4.94,98.74,open 
INV500000096,SUB00000096,2026-05-01,2026-05-28,2026-06-15,15.55,4.12,2.06,1.14,22.87,Cancelled
INV400000097,SUB00000097,2026-04-01,2026-04-28,2026-05-16,57.63,15.26,7.63,4.24,84.75,Cancelled
INV500000097,SUB00000097,2026-05-01,2026-05-28,2026-06-15,48.70,12.89,6.45,3.58,71.62,Cancelled
INV400000098,SUB00000098,2026-04-01,2026-04-28,2026-05-16,70.00,18.53,9.27,5.15,102.95,Paid
INV500000098,SUB00000098,2026-05-01,2026-05-28,2026-06-15,78.11,20.68,10.34,5.74,114.87,Cancelled
INV400000099,SUB00000099,2026-04-01,2026-04-28,2026-05-16,117.05,30.98,15.49,8.61,172.14,Cancelled
INV500000099,SUB00000099,2026-05-01,2026-05-28,2026-06-15,98.05,25.95,12.98,7.21,144.19,Past Due
INV400000100,SUB00000100,2026-04-01,2026-04-28,2026-05-16,168.88,44.70,22.35,12.42,248.35,Cancelled
INV500000100,SUB00000100,2026-05-01,2026-05-28,2026-06-15,153.61,40.66,20.33,11.30,225.90,Past Due
INV400000101,SUB00000101,2026-04-01,2026-04-28,2026-05-16,174.12,46.09,23.05,12.80,256.07,Cancelled
INV500000101,SUB00000101,2026-05-01,2026-05-28,2026-06-15,29.69,7.86,3.93,2.18,43.66,Cancelled
INV400000102,SUB00000102,2026-04-01,2026-04-28,2026-05-16,120.69,31.95,15.97,8.87,177.49,open 
INV500000102,SUB00000102,2026-05-01,2026-05-28,2026-06-15,110.19,29.17,14.58,8.10,162.05,open 
INV400000103,SUB00000103,2026-04-01,2026-04-28,2026-05-16,26.48,7.01,3.50,1.95,38.94,Cancelled
INV500000103,SUB00000103,2026-05-01,2026-05-28,2026-06-15,106.88,28.29,14.15,7.86,157.17,open 
INV400000104,SUB00000104,2026-04-01,2026-04-28,2026-05-16,155.24,41.09,20.55,11.42,228.30,Open
INV500000104,SUB00000104,2026-05-01,2026-05-28,2026-06-15,114.78,30.38,15.19,8.44,168.79,open 
INV400000105,SUB00000105,2026-04-01,2026-04-28,2026-05-16,119.92,31.74,15.87,8.82,176.36,Paid
INV500000105,SUB00000105,2026-05-01,2026-05-28,2026-06-15,34.04,9.01,4.51,2.50,50.06,Open
INV400000106,SUB00000106,2026-04-01,2026-04-28,2026-05-16,100.41,26.58,13.29,7.38,147.66,Paid
INV500000106,SUB00000106,2026-05-01,2026-05-28,2026-06-15,158.72,42.01,21.01,11.67,233.41,Open
INV400000107,SUB00000107,2026-04-01,2026-04-28,2026-05-16,174.64,46.23,23.11,12.84,256.83,Open
INV500000107,SUB00000107,2026-05-01,2026-05-28,2026-06-15,163.17,43.19,21.60,12.00,239.96,Past Due
INV400000108,SUB00000108,2026-04-01,2026-04-28,2026-05-16,42.87,11.35,5.67,3.15,63.05,open 
INV500000108,SUB00000108,2026-05-01,2026-05-28,2026-06-15,77.61,20.54,10.27,5.71,114.13,Past Due
INV400000109,SUB00000109,2026-04-01,2026-04-28,2026-05-16,93.57,24.77,12.38,6.88,137.61,Cancelled
INV500000109,SUB00000109,2026-05-01,2026-05-28,2026-06-15,146.49,38.78,19.39,10.77,215.42,Past Due
INV400000110,SUB00000110,2026-04-01,2026-04-28,2026-05-16,148.04,39.19,19.59,10.89,217.71,open 
INV500000110,SUB00000110,2026-05-01,2026-05-28,2026-06-15,31.09,8.23,4.11,2.29,45.72,open 
INV400000111,SUB00000111,2026-04-01,2026-04-28,2026-05-16,115.61,30.60,15.30,8.50,170.01,Past Due
INV500000111,SUB00000111,2026-05-01,2026-05-28,2026-06-15,35.12,9.30,4.65,2.58,51.65,Paid
INV400000112,SUB00000112,2026-04-01,2026-04-28,2026-05-16,94.72,25.07,12.54,6.96,139.29,Paid
INV500000112,SUB00000112,2026-05-01,2026-05-28,2026-06-15,97.24,25.74,12.87,7.15,143.00,Past Due
INV400000113,SUB00000113,2026-04-01,2026-04-28,2026-05-16,124.32,32.91,16.45,9.14,182.82,Open
INV500000113,SUB00000113,2026-05-01,2026-05-28,2026-06-15,21.89,5.79,2.90,1.61,32.19,Open
INV400000114,SUB00000114,2026-04-01,2026-04-28,2026-05-16,171.20,45.32,22.66,12.59,251.77,Cancelled
INV500000114,SUB00000114,2026-05-01,2026-05-28,2026-06-15,142.58,37.74,18.87,10.48,209.68,Paid
INV400000115,SUB00000115,2026-04-01,2026-04-28,2026-05-16,86.84,22.99,11.49,6.39,127.71,Open
INV500000115,SUB00000115,2026-05-01,2026-05-28,2026-06-15,81.79,21.65,10.83,6.01,120.28,open 
INV400000116,SUB00000116,2026-04-01,2026-04-28,2026-05-16,91.39,24.19,12.10,6.72,134.40,Paid
INV500000116,SUB00000116,2026-05-01,2026-05-28,2026-06-15,83.28,22.04,11.02,6.12,122.47,Cancelled
INV400000117,SUB00000117,2026-04-01,2026-04-28,2026-05-16,131.09,34.70,17.35,9.64,192.78,Paid
INV500000117,SUB00000117,2026-05-01,2026-05-28,2026-06-15,80.22,21.23,10.62,5.90,117.97,open 
INV400000118,SUB00000118,2026-04-01,2026-04-28,2026-05-16,28.25,7.48,3.74,2.08,41.55,Cancelled
INV500000118,SUB00000118,2026-05-01,2026-05-28,2026-06-15,158.23,41.88,20.94,11.63,232.69,Open
INV400000119,SUB00000119,2026-04-01,2026-04-28,2026-05-16,76.37,20.21,10.11,5.62,112.30,Past Due
INV500000119,SUB00000119,2026-05-01,2026-05-28,2026-06-15,108.28,28.66,14.33,7.96,159.24,open 
