snapshot_date,store_id,product_id,on_hand_qty,reserved_qty,on_order_qty,reorder_point,safety_stock_qty,inventory_status
2026-04-01,STR0001,SKU0000204,132,20,106,50,30,healthy 
2026-04-01,STR0001,SKU0000144,10,3,185,10,5,Stockout
2026-04-01,STR0001,SKU0000093,157,22,11,50,30,Stockout
2026-04-01,STR0001,SKU0000175,96,52,5,75,20,Overstock
2026-04-01,STR0001,SKU0000185,340,26,14,30,20,Healthy
2026-04-01,STR0001,SKU0000465,259,11,127,10,5,Healthy
2026-04-01,STR0001,SKU0000523,471,9,135,10,20,Healthy
2026-04-01,STR0001,SKU0000106,11,0,106,75,30,Stockout
2026-04-01,STR0001,SKU0000299,389,39,142,50,5,Low
2026-04-01,STR0001,SKU0000454,256,49,184,50,5,Healthy
2026-04-01,STR0001,SKU0000572,336,25,130,20,30,Stockout
2026-04-01,STR0001,SKU0000423,176,15,99,75,20,Overstock
2026-04-01,STR0001,SKU0000481,246,59,32,10,10,Low
2026-04-01,STR0001,SKU0000234,183,18,57,10,10,Stockout
2026-04-01,STR0001,SKU0000543,370,5,186,10,10,Healthy
2026-04-01,STR0001,SKU0000278,9,4,154,30,10,Stockout
2026-04-01,STR0001,SKU0000331,82,44,32,75,10,Overstock
2026-04-01,STR0001,SKU0000537,20,12,108,50,5,Stockout
2026-04-01,STR0001,SKU0000402,119,39,26,30,5,Stockout
2026-04-01,STR0001,SKU0000346,420,0,156,10,30,healthy 
2026-04-01,STR0001,SKU0000065,92,38,1,50,5,healthy 
2026-04-01,STR0001,SKU0000146,321,32,135,10,5,Low
2026-04-01,STR0001,SKU0000526,160,45,153,50,20,Overstock
2026-04-01,STR0001,SKU0000485,87,37,165,75,10,Low
2026-04-01,STR0001,SKU0000254,9,9,107,10,30,Healthy
2026-04-01,STR0001,SKU0000554,333,45,129,30,10,Stockout
2026-04-01,STR0001,SKU0000010,297,60,44,75,30,Healthy
2026-04-01,STR0001,SKU0000486,388,49,84,50,20,Healthy
2026-04-01,STR0001,SKU0000580,270,60,144,30,5,Stockout
2026-04-01,STR0001,SKU0000404,121,27,0,75,30,Low
2026-04-01,STR0001,SKU0000259,131,29,7,50,5,healthy 
2026-04-01,STR0001,SKU0000335,167,7,91,20,5,Low
2026-04-01,STR0001,SKU0000251,320,28,15,50,5,Healthy
2026-04-01,STR0001,SKU0000083,454,28,176,50,5,Stockout
2026-04-01,STR0001,SKU0000365,460,15,70,50,30,Low
2026-04-01,STR0001,SKU0000306,244,13,82,30,20,healthy 
2026-04-01,STR0001,SKU0000136,260,16,35,75,30,Overstock
2026-04-01,STR0001,SKU0000137,331,11,2,10,30,Low
2026-04-01,STR0001,SKU0000337,416,20,183,10,20,Stockout
2026-04-01,STR0001,SKU0000075,367,4,173,50,20,Healthy
2026-04-01,STR0001,SKU0000222,464,29,46,20,5,Low
2026-04-01,STR0001,SKU0000476,205,24,136,20,30,Stockout
2026-04-01,STR0001,SKU0000565,188,40,183,10,20,Stockout
2026-04-01,STR0001,SKU0000238,121,47,152,75,10,Stockout
2026-04-01,STR0001,SKU0000285,56,19,113,30,30,healthy 
2026-04-01,STR0001,SKU0000369,87,34,41,20,20,Overstock
2026-04-01,STR0001,SKU0000482,297,8,164,20,30,Stockout
2026-04-01,STR0001,SKU0000397,400,46,45,10,5,Healthy
2026-04-01,STR0001,SKU0000483,175,33,173,20,30,Low
2026-04-01,STR0001,SKU0000460,303,3,189,75,5,healthy 
2026-04-01,STR0001,SKU0000308,35,33,58,10,30,Healthy
2026-04-01,STR0001,SKU0000101,260,41,179,75,20,Low
2026-04-01,STR0001,SKU0000421,192,33,60,75,10,Low
2026-04-01,STR0001,SKU0000379,294,13,129,75,10,Stockout
2026-04-01,STR0001,SKU0000530,77,20,118,50,20,healthy 
2026-04-01,STR0001,SKU0000076,396,8,91,20,10,healthy 
2026-04-01,STR0001,SKU0000339,280,8,23,10,5,Healthy
2026-04-01,STR0001,SKU0000265,440,44,4,75,30,Overstock
2026-04-01,STR0001,SKU0000256,245,22,46,50,5,healthy 
2026-04-01,STR0001,SKU0000400,469,24,46,30,5,healthy 
2026-04-01,STR0001,SKU0000179,483,1,103,10,10,Overstock
2026-04-01,STR0001,SKU0000418,324,53,194,75,20,Healthy
2026-04-01,STR0001,SKU0000200,323,52,23,20,20,Overstock
2026-04-01,STR0001,SKU0000286,90,1,194,10,20,Low
2026-04-01,STR0001,SKU0000187,251,10,27,10,30,Overstock
2026-04-01,STR0001,SKU0000236,347,28,103,30,30,Low
2026-04-01,STR0001,SKU0000557,200,17,135,50,10,Healthy
2026-04-01,STR0001,SKU0000490,361,9,3,50,30,healthy 
2026-04-01,STR0001,SKU0000274,77,8,45,50,30,Low
2026-04-01,STR0001,SKU0000444,454,16,166,50,5,Overstock
2026-04-01,STR0001,SKU0000534,357,59,36,20,5,Stockout
2026-04-01,STR0001,SKU0000313,79,14,87,75,5,Healthy
2026-04-01,STR0001,SKU0000458,89,19,89,30,5,Stockout
2026-04-01,STR0001,SKU0000096,203,40,129,20,5,healthy 
2026-04-01,STR0001,SKU0000392,251,3,103,30,5,healthy 
2026-04-01,STR0001,SKU0000403,17,15,67,50,5,Low
2026-04-01,STR0001,SKU0000533,479,17,75,20,10,Low
2026-04-01,STR0001,SKU0000197,1,0,107,20,5,Healthy
2026-04-01,STR0001,SKU0000378,1,1,162,20,10,healthy 
2026-04-01,STR0001,SKU0000108,320,13,124,50,30,Healthy
2026-04-01,STR0001,SKU0000341,419,35,173,10,20,Stockout
2026-04-01,STR0001,SKU0000455,97,27,51,30,10,Stockout
2026-04-01,STR0001,SKU0000168,434,12,43,50,20,Low
2026-04-01,STR0001,SKU0000042,22,11,194,10,30,healthy 
2026-04-01,STR0001,SKU0000342,110,51,67,50,20,Overstock
2026-04-01,STR0001,SKU0000512,322,28,121,10,20,healthy 
2026-04-01,STR0001,SKU0000368,391,35,170,30,30,Overstock
2026-04-01,STR0001,SKU0000183,493,9,81,10,30,Overstock
2026-04-01,STR0001,SKU0000098,bad,6,153,20,5,Low
2026-04-01,STR0001,SKU0000527,342,29,9,30,30,Overstock
2026-04-01,STR0001,SKU0000360,381,42,128,30,20,Overstock
2026-04-01,STR0001,SKU0000268,100,56,39,20,5,Stockout
2026-04-01,STR0001,SKU0000566,365,27,116,20,20,Overstock
2026-04-01,STR0001,SKU0000576,185,28,189,30,30,Low
2026-04-01,STR0001,SKU0000411,178,9,180,10,5,Overstock
2026-04-01,STR0001,SKU0000249,385,43,101,20,20,Healthy
2026-04-01,STR0001,SKU0000307,271,8,124,20,30,Stockout
2026-04-01,STR0001,SKU0000025,146,37,84,10,30,healthy 
2026-04-01,STR0001,SKU0000124,7,3,111,50,20,Stockout
2026-04-01,STR0001,SKU0000441,64,2,192,10,10,Overstock
2026-04-01,STR0001,SKU0000032,332,24,67,30,5,healthy 
2026-04-01,STR0001,SKU0000155,384,2,132,30,10,Healthy
2026-04-01,STR0001,SKU0000068,5,0,7,20,20,Healthy
2026-04-01,STR0001,SKU0000468,447,21,36,10,30,Overstock
2026-04-01,STR0001,SKU0000359,280,16,12,30,20,healthy 
2026-04-01,STR0001,SKU0000225,270,19,39,10,10,Overstock
2026-04-01,STR0001,SKU0000491,18,11,100,50,5,healthy 
2026-04-01,STR0001,SKU0000229,434,41,43,30,10,Low
2026-04-01,STR0001,SKU0000394,367,53,37,10,10,Low
2026-04-01,STR0001,SKU0000212,403,38,56,50,5,Overstock
2026-04-01,STR0001,SKU0000377,289,55,76,75,10,Stockout
2026-04-01,STR0001,SKU0000334,253,54,55,75,20,Overstock
2026-04-01,STR0001,SKU0000135,194,19,168,50,20,Overstock
2026-04-01,STR0001,SKU0000072,365,7,68,20,5,healthy 
2026-04-01,STR0001,SKU0000112,125,28,4,30,20,Low
2026-04-01,STR0002,SKU0000332,428,22,172,50,5,Healthy
2026-04-01,STR0002,SKU0000202,372,49,113,10,30,Healthy
2026-04-01,STR0002,SKU0000288,382,54,134,30,20,Healthy
2026-04-01,STR0002,SKU0000279,183,41,108,30,5,healthy 
2026-04-01,STR0002,SKU0000578,105,55,193,30,10,healthy 
2026-04-01,STR0002,SKU0000341,322,19,90,20,20,Overstock
2026-04-01,STR0002,SKU0000060,398,40,3,30,20,Overstock
2026-04-01,STR0002,SKU0000138,445,6,156,10,10,Low
2026-04-01,STR0002,SKU0000134,325,44,15,30,5,Healthy
2026-04-01,STR0002,SKU0000560,206,18,162,10,30,Overstock
2026-04-01,STR0002,SKU0000476,370,44,19,10,10,Stockout
2026-04-01,STR0002,SKU0000393,206,23,127,20,5,Low
2026-04-01,STR0002,SKU0000459,359,48,21,20,30,healthy 
2026-04-01,STR0002,SKU0000546,488,18,117,20,5,healthy 
2026-04-01,STR0002,SKU0000263,151,38,5,20,5,Low
2026-04-01,STR0002,SKU0000284,259,8,53,10,20,Low
2026-04-01,STR0002,SKU0000300,176,34,196,20,20,Overstock
2026-04-01,STR0002,SKU0000113,12,12,17,20,30,Low
2026-04-01,STR0002,SKU0000483,434,40,158,10,5,Low
2026-04-01,STR0002,SKU0000252,198,34,175,75,5,Low
2026-04-01,STR0002,SKU0000144,114,4,180,30,10,healthy 
2026-04-01,STR0002,SKU0000543,42,22,125,75,30,Low
2026-04-01,STR0002,SKU0000153,295,18,21,75,10,Overstock
2026-04-01,STR0002,SKU0000227,391,3,49,20,5,Overstock
2026-04-01,STR0002,SKU0000477,233,40,47,30,5,Stockout
2026-04-01,STR0002,SKU0000163,354,12,28,50,10,Healthy
2026-04-01,STR0002,SKU0000168,44,5,196,75,5,Healthy
2026-04-01,STR0002,SKU0000485,230,4,151,30,30,healthy 
2026-04-01,STR0002,SKU0000272,472,51,150,20,20,healthy 
2026-04-01,STR0002,SKU0000265,456,38,30,10,30,Stockout
2026-04-01,STR0002,SKU0000127,437,41,13,10,30,Healthy
2026-04-01,STR0002,SKU0000275,161,44,150,75,30,Overstock
2026-04-01,STR0002,SKU0000276,376,37,39,75,30,Stockout
2026-04-01,STR0002,SKU0000533,145,53,130,30,30,Overstock
2026-04-01,STR0002,SKU0000217,58,54,37,10,20,Low
2026-04-01,STR0002,SKU0000344,415,25,161,50,30,Healthy
2026-04-01,STR0002,SKU0000439,94,18,101,30,20,Healthy
2026-04-01,STR0002,SKU0000080,121,36,43,30,5,Healthy
2026-04-01,STR0002,SKU0000013,9,0,168,50,30,Healthy
2026-04-01,STR0002,SKU0000078,249,48,91,50,10,healthy 
2026-04-01,STR0002,SKU0000005,38,12,157,50,30,Stockout
2026-04-01,STR0002,SKU0000323,128,59,64,75,30,Stockout
2026-04-01,STR0002,SKU0000502,41,16,91,20,20,Low
2026-04-01,STR0002,SKU0000464,206,28,89,20,5,Low
2026-04-01,STR0002,SKU0000370,358,47,105,20,20,Overstock
2026-04-01,STR0002,SKU0000548,353,27,138,75,30,Stockout
2026-04-01,STR0002,SKU0000523,422,44,86,30,10,Healthy
2026-04-01,STR0002,SKU0000454,45,39,173,30,5,Stockout
2026-04-01,STR0002,SKU0000104,82,20,151,30,5,Stockout
2026-04-01,STR0002,SKU0000340,363,38,15,20,5,Overstock
2026-04-01,STR0002,SKU0000277,56,41,56,50,30,Overstock
2026-04-01,STR0002,SKU0000427,69,60,6,50,5,Healthy
2026-04-01,STR0002,SKU0000112,431,24,55,30,20,Healthy
2026-04-01,STR0002,SKU0000081,418,33,190,50,20,Low
2026-04-01,STR0002,SKU0000360,312,3,122,10,5,Healthy
2026-04-01,STR0002,SKU0000455,208,36,164,30,30,Healthy
2026-04-01,STR0002,SKU0000085,303,28,200,10,5,healthy 
2026-04-01,STR0002,SKU0000539,449,2,1,20,5,Overstock
2026-04-01,STR0002,SKU0000046,343,46,171,75,30,Low
2026-04-01,STR0002,SKU0000232,53,11,66,30,20,Low
2026-04-01,STR0002,SKU0000253,384,40,161,10,30,Healthy
2026-04-01,STR0002,SKU0000394,372,8,44,50,30,Healthy
2026-04-01,STR0002,SKU0000157,344,3,42,30,10,healthy 
2026-04-01,STR0002,SKU0000335,416,38,120,75,30,Stockout
2026-04-01,STR0002,SKU0000170,427,58,52,50,5,Healthy
2026-04-01,STR0002,SKU0000312,119,20,183,50,20,healthy 
2026-04-01,STR0002,SKU0000496,314,27,70,75,5,Overstock
2026-04-01,STR0002,SKU0000274,284,19,180,50,30,Healthy
2026-04-01,STR0002,SKU0000273,368,11,114,50,30,Healthy
2026-04-01,STR0002,SKU0000396,221,46,129,10,30,Overstock
2026-04-01,STR0002,SKU0000023,62,8,144,50,20,Low
2026-04-01,STR0002,SKU0000424,471,43,144,10,20,Stockout
2026-04-01,STR0002,SKU0000018,462,4,81,75,10,Stockout
2026-04-01,STR0002,SKU0000562,100,38,196,20,10,Stockout
2026-04-01,STR0002,SKU0000495,288,16,126,30,20,Overstock
2026-04-01,STR0002,SKU0000079,447,9,30,30,30,Overstock
2026-04-01,STR0002,SKU0000524,444,36,171,50,30,Low
2026-04-01,STR0002,SKU0000430,485,35,57,10,10,Healthy
2026-04-01,STR0002,SKU0000271,499,9,59,75,10,Healthy
2026-04-01,STR0002,SKU0000201,500,18,189,50,30,Overstock
2026-04-01,STR0002,SKU0000397,92,60,99,75,10,Low
2026-04-01,STR0002,SKU0000149,407,25,157,75,20,Stockout
2026-04-01,STR0002,SKU0000333,411,49,156,10,20,Overstock
2026-04-01,STR0002,SKU0000123,423,21,40,30,30,Overstock
2026-04-01,STR0002,SKU0000161,164,60,78,75,10,healthy 
2026-04-01,STR0002,SKU0000169,498,12,144,50,10,Stockout
2026-04-01,STR0002,SKU0000267,183,22,99,50,5,Healthy
2026-04-01,STR0002,SKU0000551,429,4,26,75,10,Healthy
2026-04-01,STR0002,SKU0000499,83,12,95,20,10,Low
2026-04-01,STR0002,SKU0000006,88,10,161,10,30,Stockout
2026-04-01,STR0002,SKU0000471,121,10,113,30,20,Overstock
2026-04-01,STR0002,SKU0000192,17,5,139,30,30,healthy 
2026-04-01,STR0002,SKU0000001,285,29,174,50,5,Stockout
2026-04-01,STR0002,SKU0000381,470,3,85,10,5,Stockout
2026-04-01,STR0002,SKU0000255,36,34,97,50,20,Healthy
2026-04-01,STR0002,SKU0000030,241,18,21,30,5,Stockout
2026-04-01,STR0002,SKU0000358,306,57,184,10,20,Stockout
2026-04-01,STR0002,SKU0000247,321,16,111,20,10,Healthy
2026-04-01,STR0002,SKU0000212,220,15,182,50,30,healthy 
2026-04-01,STR0002,SKU0000447,425,7,25,75,5,Low
2026-04-01,STR0002,SKU0000522,353,40,10,50,5,Low
2026-04-01,STR0002,SKU0000444,131,6,26,50,5,Stockout
2026-04-01,STR0002,SKU0000330,468,46,95,50,30,healthy 
2026-04-01,STR0002,SKU0000238,291,48,93,75,10,Overstock
2026-04-01,STR0002,SKU0000558,10,4,102,10,30,Stockout
2026-04-01,STR0002,SKU0000519,0,0,39,20,10,Low
2026-04-01,STR0002,SKU0000002,187,19,48,20,10,Overstock
2026-04-01,STR0002,SKU0000025,178,44,34,20,10,Overstock
2026-04-01,STR0002,SKU0000301,446,13,8,75,30,Stockout
2026-04-01,STR0002,SKU0000389,493,24,140,50,10,healthy 
2026-04-01,STR0002,SKU0000055,280,31,142,50,5,Overstock
2026-04-01,STR0002,SKU0000456,299,30,145,30,5,healthy 
2026-04-01,STR0002,SKU0000576,106,16,119,20,20,healthy 
2026-04-01,STR0002,SKU0000294,189,10,152,20,5,Low
2026-04-01,STR0002,SKU0000355,220,40,197,75,10,Low
2026-04-01,STR0002,SKU0000438,405,31,138,75,10,Overstock
2026-04-01,STR0002,SKU0000156,180,18,173,50,30,Low
2026-04-01,STR0002,SKU0000387,405,40,28,30,30,Low
2026-04-01,STR0002,SKU0000482,281,0,69,10,30,Healthy
2026-04-01,STR0002,SKU0000425,68,4,63,20,5,healthy 
2026-04-01,STR0002,SKU0000139,61,17,87,10,5,Overstock
2026-04-01,STR0002,SKU0000489,470,32,145,75,10,Low
2026-04-01,STR0002,SKU0000226,350,49,65,75,10,healthy 
2026-04-01,STR0002,SKU0000036,497,31,134,50,30,Healthy
2026-04-01,STR0002,SKU0000507,36,23,48,20,30,Stockout
2026-04-01,STR0002,SKU0000534,11,9,117,75,10,Low
2026-04-01,STR0002,SKU0000099,190,26,157,75,30,Stockout
2026-04-01,STR0002,SKU0000404,462,17,160,10,5,Stockout
2026-04-01,STR0002,SKU0000547,26,23,6,10,10,healthy 
2026-04-01,STR0002,SKU0000353,334,23,26,20,20,Overstock
2026-04-01,STR0002,SKU0000179,161,24,37,75,30,Stockout
2026-04-01,STR0002,SKU0000453,88,10,114,20,5,healthy 
2026-04-01,STR0002,SKU0000326,174,1,159,10,20,Overstock
2026-04-01,STR0002,SKU0000029,296,19,146,50,20,Stockout
2026-04-01,STR0002,SKU0000462,224,20,131,30,30,healthy 
2026-04-01,STR0002,SKU0000225,414,37,26,75,30,Stockout
2026-04-01,STR0002,SKU0000395,233,23,160,30,10,Healthy
2026-04-01,STR0002,SKU0000391,157,31,93,50,20,healthy 
2026-04-01,STR0002,SKU0000034,253,21,74,20,30,Low
2026-04-01,STR0002,SKU0000065,307,3,24,75,30,Low
2026-04-01,STR0002,SKU0000450,292,1,112,10,30,Healthy
2026-04-01,STR0002,SKU0000536,397,54,93,75,30,Healthy
2026-04-01,STR0002,SKU0000437,64,3,153,30,30,healthy 
2026-04-01,STR0002,SKU0000457,129,1,5,30,20,Low
2026-04-01,STR0002,SKU0000245,208,58,48,10,30,Overstock
2026-04-01,STR0002,SKU0000390,473,8,182,50,30,Healthy
2026-04-01,STR0002,SKU0000240,326,49,170,20,20,Overstock
2026-04-01,STR0002,SKU0000518,2,0,183,50,20,Overstock
2026-04-01,STR0002,SKU0000148,153,1,116,50,10,healthy 
2026-04-01,STR0002,SKU0000096,317,0,43,20,10,Low
2026-04-01,STR0002,SKU0000048,207,45,143,75,30,Stockout
2026-04-01,STR0002,SKU0000577,346,23,72,10,5,Overstock
2026-04-01,STR0002,SKU0000327,467,58,153,20,20,healthy 
2026-04-01,STR0002,SKU0000307,42,12,77,30,5,Low
2026-04-01,STR0002,SKU0000405,13,13,3,30,10,Overstock
2026-04-01,STR0002,SKU0000042,169,49,102,50,30,healthy 
2026-04-01,STR0002,SKU0000180,71,9,181,20,20,Healthy
2026-04-01,STR0002,SKU0000044,12,12,41,20,30,Overstock
2026-04-01,STR0002,SKU0000137,282,60,39,20,20,healthy 
2026-04-01,STR0002,SKU0000465,422,39,61,10,30,Stockout
2026-04-01,STR0003,SKU0000570,288,57,165,20,30,Stockout
2026-04-01,STR0003,SKU0000277,139,11,177,10,30,Overstock
2026-04-01,STR0003,SKU0000194,269,25,34,20,5,Healthy
2026-04-01,STR0003,SKU0000062,185,2,196,20,30,Low
2026-04-01,STR0003,SKU0000421,492,45,163,20,30,Overstock
2026-04-01,STR0003,SKU0000315,188,11,32,50,5,Stockout
2026-04-01,STR0003,SKU0000265,27,26,142,50,30,Overstock
2026-04-01,STR0003,SKU0000406,495,56,49,50,5,Low
2026-04-01,STR0003,SKU0000384,108,21,105,75,10,Low
2026-04-01,STR0003,SKU0000230,247,30,191,50,10,Healthy
2026-04-01,STR0003,SKU0000076,280,26,162,30,20,Overstock
2026-04-01,STR0003,SKU0000452,206,24,154,75,30,Stockout
2026-04-01,STR0003,SKU0000216,432,52,119,75,10,healthy 
2026-04-01,STR0003,SKU0000093,497,60,16,20,10,Healthy
2026-04-01,STR0003,SKU0000496,221,29,105,10,5,Overstock
2026-04-01,STR0003,SKU0000160,392,59,186,10,30,Overstock
2026-04-01,STR0003,SKU0000156,483,29,196,50,10,Overstock
2026-04-01,STR0003,SKU0000407,388,45,182,75,20,Stockout
2026-04-01,STR0003,SKU0000499,221,53,57,75,5,healthy 
2026-04-01,STR0003,SKU0000372,456,59,134,30,10,Overstock
2026-04-01,STR0003,SKU0000029,328,13,147,10,30,Healthy
2026-04-01,STR0003,SKU0000388,71,27,95,10,5,healthy 
2026-04-01,STR0003,SKU0000341,174,36,146,75,5,Overstock
2026-04-01,STR0003,SKU0000505,73,30,143,75,5,Healthy
2026-04-01,STR0003,SKU0000509,81,19,44,30,30,healthy 
2026-04-01,STR0003,SKU0000443,220,0,52,10,10,Overstock
2026-04-01,STR0003,SKU0000012,115,45,52,50,30,Low
2026-04-01,STR0003,SKU0000142,150,26,200,20,30,Stockout
2026-04-01,STR0003,SKU0000201,196,14,98,20,10,Healthy
2026-04-01,STR0003,SKU0000575,34,24,114,75,5,Stockout
2026-04-01,STR0003,SKU0000022,151,8,60,10,30,Overstock
2026-04-01,STR0003,SKU0000260,250,60,167,50,10,Healthy
2026-04-01,STR0003,SKU0000502,228,56,196,50,5,Low
2026-04-01,STR0003,SKU0000370,326,13,156,10,20,Low
2026-04-01,STR0003,SKU0000174,81,4,168,50,30,Low
2026-04-01,STR0003,SKU0000557,159,45,132,10,10,Stockout
2026-04-01,STR0003,SKU0000548,266,36,15,30,10,Stockout
2026-04-01,STR0003,SKU0000380,194,46,62,10,10,healthy 
2026-04-01,STR0003,SKU0000274,191,5,173,20,20,Healthy
2026-04-01,STR0003,SKU0000515,346,9,142,10,10,Stockout
2026-04-01,STR0003,SKU0000291,29,21,99,75,10,Stockout
2026-04-01,STR0003,SKU0000328,111,39,95,30,30,Stockout
2026-04-01,STR0003,SKU0000243,183,5,88,30,30,Healthy
2026-04-01,STR0003,SKU0000389,323,51,141,50,20,Overstock
2026-04-01,STR0003,SKU0000576,95,2,94,50,10,Healthy
2026-04-01,STR0003,SKU0000416,478,8,111,75,30,healthy 
2026-04-01,STR0003,SKU0000140,79,19,117,30,5,Stockout
2026-04-01,STR0003,SKU0000564,229,57,5,10,30,healthy 
2026-04-01,STR0003,SKU0000038,114,23,49,75,30,Low
2026-04-01,STR0003,SKU0000285,73,51,35,10,10,Low
2026-04-01,STR0003,SKU0000233,472,2,197,30,20,Low
2026-04-01,STR0003,SKU0000125,396,39,108,20,30,Healthy
2026-04-01,STR0003,SKU0000217,162,10,86,30,10,Overstock
2026-04-01,STR0003,SKU0000295,59,4,108,75,10,Stockout
2026-04-01,STR0003,SKU0000345,79,34,42,20,20,Healthy
2026-04-01,STR0003,SKU0000418,336,29,71,20,10,Low
2026-04-01,STR0003,SKU0000527,63,24,109,30,30,Low
2026-04-01,STR0003,SKU0000081,10,9,44,10,20,Stockout
2026-04-01,STR0003,SKU0000451,349,48,150,30,10,Low
2026-04-01,STR0003,SKU0000478,441,29,45,10,30,Stockout
2026-04-01,STR0003,SKU0000402,82,4,26,20,30,Stockout
2026-04-01,STR0003,SKU0000041,367,13,186,75,10,healthy 
2026-04-01,STR0003,SKU0000391,484,20,71,20,5,healthy 
2026-04-01,STR0003,SKU0000579,34,0,77,50,5,Overstock
2026-04-01,STR0003,SKU0000020,277,41,63,50,20,Healthy
2026-04-01,STR0003,SKU0000146,438,37,122,30,10,Healthy
2026-04-01,STR0003,SKU0000110,221,23,100,50,10,Low
2026-04-01,STR0003,SKU0000448,229,37,65,75,5,Overstock
2026-04-01,STR0003,SKU0000369,80,34,0,30,10,Healthy
2026-04-01,STR0003,SKU0000259,420,6,151,50,20,Low
2026-04-01,STR0003,SKU0000229,189,26,118,50,10,Healthy
2026-04-01,STR0003,SKU0000442,237,31,94,50,30,Low
2026-04-01,STR0003,SKU0000507,195,38,19,20,10,Low
2026-04-01,STR0003,SKU0000481,206,43,104,10,10,Overstock
2026-04-01,STR0003,SKU0000466,234,40,88,10,20,Low
2026-04-01,STR0003,SKU0000150,18,6,76,10,30,healthy 
2026-04-01,STR0003,SKU0000121,361,39,43,30,5,Healthy
2026-04-01,STR0003,SKU0000136,99,38,91,20,20,Healthy
2026-04-01,STR0003,SKU0000517,91,26,78,75,10,Overstock
2026-04-01,STR0003,SKU0000129,219,43,0,75,10,healthy 
2026-04-01,STR0003,SKU0000224,368,4,3,10,5,Overstock
2026-04-01,STR0003,SKU0000356,211,2,48,75,10,healthy 
2026-04-01,STR0003,SKU0000249,429,55,159,10,10,Stockout
2026-04-01,STR0003,SKU0000013,386,11,164,30,10,Overstock
2026-04-01,STR0003,SKU_BAD,184,44,74,30,30,Stockout
2026-04-01,STR0003,SKU0000106,159,16,198,10,5,Low
2026-04-01,STR0003,SKU0000411,145,16,108,75,30,Overstock
2026-04-01,STR0003,SKU0000175,215,0,124,30,30,Low
2026-04-01,STR0003,SKU0000273,225,40,55,20,10,Low
2026-04-01,STR0003,SKU0000188,219,38,182,20,30,healthy 
2026-04-01,STR0003,SKU0000546,176,29,13,75,10,Overstock
2026-04-01,STR0003,SKU0000569,139,20,171,50,5,Low
2026-04-01,STR0003,SKU0000210,37,37,15,20,20,healthy 
