adjustment_id,store_id,product_id,adjustment_ts,adjustment_qty,adjustment_reason,approved_by
ADJ00000095,STR0016,SKU0000156,2026-04-19 08:22:33,-5,Damage,mgr_2
ADJ00000096,STR0021,SKU0000511,2026-05-26 21:55:15,-2,Shrink,
ADJ00000097,STR0017,SKU0000358,2026-05-17 05:24:02,5,Shrink,mgr_1
ADJ00000098,STR0018,SKU0000143,2026-05-29 01:07:37,-2,Found Inventory,mgr_2
ADJ00000099,STR0018,SKU0000453,2026-04-05 05:00:50,5,System Correction,mgr_2
ADJ00000100,STR0016,SKU0000308,2026-05-18 14:13:54,-20,System Correction,mgr_2
ADJ00000101,STR0016,SKU0000447,2026-05-26 18:22:50,bad,Shrink,controller
ADJ00000102,STR0017,SKU0000442,2026-05-06 17:59:55,5,Cycle Count,mgr_2
ADJ00000103,STR0010,SKU0000333,2026-05-12 14:00:08,-20,System Correction,controller
ADJ00000104,STR0002,SKU0000025,2026-04-04 19:20:44,1,Cycle Count,
ADJ00000105,STR0014,SKU0000397,2026-05-21 01:31:07,5,Damage,inventory_lead
ADJ00000106,STR0011,SKU0000100,2026-04-23 06:20:20,20,Cycle Count,inventory_lead
ADJ00000107,STR0004,SKU0000310,2026-04-21 21:47:36,-2,Found Inventory,mgr_2
ADJ00000108,STR0016,SKU0000165,2026-04-13 04:01:50,20,Cycle Count,mgr_2
ADJ00000109,STR0013,SKU0000389,2026-04-01 00:55:08,-5,Found Inventory,controller
ADJ00000110,STR0021,SKU0000299,2026-05-11 17:14:24,bad,System Correction,mgr_2
ADJ00000111,STR0002,SKU0000262,2026-05-02 20:15:36,1,System Correction,inventory_lead
ADJ00000112,STR0022,SKU0000525,2026-05-11 22:17:47,1,Damage,mgr_1
ADJ00000113,STR0010,SKU0000103,2026-05-25 06:36:39,10,Shrink,inventory_lead
ADJ00000114,STR0023,SKU0000145,2026-04-05 01:40:56,-5,Found Inventory,mgr_2
ADJ00000115,STR0003,SKU0000547,2026-04-27 03:02:50,2,System Correction,mgr_1
ADJ00000116,STR0014,SKU0000359,2026-05-26 22:47:02,bad,Found Inventory,mgr_1
ADJ00000117,STR0010,SKU0000197,2026-04-29 07:32:24,20,Damage,mgr_1
ADJ00000118,STR0014,SKU0000528,2026-04-14 20:24:04,10,Found Inventory,inventory_lead
ADJ00000119,STR0007,SKU0000191,2026-04-23 14:01:27,-5,Damage,controller
ADJ00000120,STR0003,SKU0000401,2026-05-31 03:28:29,-10,Damage,controller
ADJ00000121,STR0015,SKU0000317,2026-04-02 06:00:34,-2,Damage,mgr_1
ADJ00000122,STR0004,SKU0000470,2026-04-10 21:13:12,-2,Cycle Count,controller
ADJ00000123,STR0020,SKU0000250,2026-05-01 12:30:49,bad,Found Inventory,inventory_lead
ADJ00000124,STR0014,SKU0000076,2026-05-10 20:00:29,-10,Cycle Count,mgr_2
ADJ00000125,STR0010,SKU0000418,2026-04-24 03:32:03,bad,System Correction,
ADJ00000126,STR0014,SKU0000051,2026-05-09 16:40:49,10,System Correction,inventory_lead
ADJ00000127,STR0022,SKU0000150,2026-05-08 02:10:49,1,Cycle Count,mgr_2
ADJ00000128,STR0014,SKU0000106,2026-04-15 23:10:07,2,System Correction,inventory_lead
ADJ00000129,STR0017,SKU0000349,2026-05-04 16:55:53,bad,Shrink,inventory_lead
ADJ00000130,STR0007,SKU0000523,2026-04-09 00:34:04,-5,Cycle Count,mgr_2
ADJ00000131,STR0014,SKU0000399,2026-05-26 07:53:31,bad,System Correction,mgr_1
ADJ00000132,STR0010,SKU0000323,2026-04-07 02:41:36,-5,Cycle Count,inventory_lead
ADJ00000133,STR0023,SKU0000565,2026-04-26 20:44:53,1,System Correction,mgr_1
ADJ00000134,STR0022,SKU0000365,2026-05-28 15:16:45,20,System Correction,controller
ADJ00000135,STR0018,SKU0000530,2026-05-28 05:00:44,5,Damage,
ADJ00000136,STR0014,SKU0000333,2026-05-31 08:36:20,-2,System Correction,inventory_lead
ADJ00000137,STR0012,SKU0000277,2026-04-19 23:21:38,-5,Found Inventory,mgr_1
ADJ00000138,STR0017,SKU0000067,2026-05-26 22:40:29,-20,Shrink,mgr_2
ADJ00000139,STR0017,SKU0000483,2026-04-02 05:26:28,20,System Correction,
ADJ00000140,STR0016,SKU0000081,2026-05-14 23:46:41,5,System Correction,
ADJ00000141,STR0002,SKU0000271,2026-05-26 16:40:48,20,Cycle Count,mgr_2
ADJ00000142,STR0006,SKU0000424,2026-05-03 21:15:13,5,Cycle Count,controller
ADJ00000143,STR0001,SKU0000125,2026-05-06 08:42:17,20,Cycle Count,controller
ADJ00000144,STR0019,SKU0000439,2026-04-19 08:34:26,5,Found Inventory,controller
ADJ00000145,STR0013,SKU0000022,2026-04-29 13:47:37,2,Cycle Count,mgr_1
ADJ00000146,STR0018,SKU0000283,2026-04-15 03:50:47,-5,Found Inventory,inventory_lead
ADJ00000147,STR0023,SKU0000056,2026-05-18 21:38:31,-20,System Correction,mgr_1
ADJ00000148,STR0010,SKU0000161,2026-04-06 21:26:01,10,Cycle Count,mgr_1
ADJ00000149,STR0014,SKU0000304,2026-04-07 21:03:55,-20,System Correction,
ADJ00000150,STR0001,SKU0000052,2026-05-31 12:20:41,-20,Found Inventory,controller
ADJ00000151,STR0010,SKU0000022,2026-04-17 21:23:51,2,Cycle Count,mgr_1
ADJ00000152,STR0005,SKU0000142,2026-04-07 00:11:09,2,Found Inventory,
ADJ00000153,STR0024,SKU0000112,2026-05-22 19:12:26,-20,Damage,mgr_2
ADJ00000154,STR0021,SKU0000256,2026-04-12 19:51:24,bad,Damage,controller
ADJ00000155,STR0008,SKU0000136,2026-05-16 11:59:18,10,System Correction,inventory_lead
ADJ00000156,STR0015,SKU0000203,2026-05-20 12:03:42,1,Cycle Count,mgr_1
ADJ00000157,STR0005,SKU0000506,2026-05-29 14:58:00,-20,Shrink,controller
ADJ00000158,STR0022,SKU0000112,2026-04-27 09:21:18,-20,Cycle Count,
ADJ00000159,STR0003,SKU0000558,2026-05-31 22:29:03,5,Found Inventory,mgr_2
ADJ00000160,STR0023,SKU0000493,2026-05-09 14:56:22,-2,Cycle Count,
ADJ00000161,STR0005,SKU0000405,2026-04-20 14:13:53,20,Cycle Count,mgr_1
ADJ00000162,STR0017,SKU0000192,2026-05-04 05:48:10,bad,Damage,
ADJ00000163,STR0001,SKU0000093,2026-05-13 12:29:34,2,Shrink,mgr_1
ADJ00000164,STR0007,SKU0000461,2026-04-07 06:56:24,-2,Cycle Count,mgr_2
ADJ00000165,STR0012,SKU0000407,2026-04-13 14:49:37,1,System Correction,mgr_1
ADJ00000166,STR0008,SKU0000127,2026-04-15 03:58:02,-20,Cycle Count,mgr_1
ADJ00000167,STR0012,SKU0000211,2026-04-04 13:02:28,5,Found Inventory,
ADJ00000168,STR0004,SKU0000558,2026-05-10 17:36:42,-20,Shrink,mgr_1
ADJ00000169,STR0018,SKU0000051,2026-04-29 14:48:07,1,Found Inventory,mgr_1
ADJ00000170,STR0016,SKU0000146,2026-04-14 09:36:12,10,Damage,mgr_2
ADJ00000171,STR0003,SKU0000107,2026-05-24 18:15:51,-10,Found Inventory,mgr_1
ADJ00000172,STR0015,SKU0000542,2026-04-23 05:42:34,-5,Shrink,
ADJ00000173,STR0012,SKU0000359,2026-05-04 07:04:56,5,Cycle Count,mgr_2
ADJ00000174,STR0003,SKU0000049,2026-05-28 12:34:16,20,Shrink,mgr_1
ADJ00000175,STR0009,SKU0000428,2026-05-25 22:36:56,1,Damage,mgr_1
ADJ00000176,STR0021,SKU0000315,2026-05-20 20:12:03,10,Cycle Count,mgr_2
ADJ00000177,STR0009,SKU0000296,2026-04-29 00:19:23,-10,Cycle Count,inventory_lead
ADJ00000178,STR0011,SKU0000034,2026-05-14 12:17:04,1,System Correction,controller
ADJ00000179,STR0007,SKU0000311,2026-05-04 04:07:22,-20,Shrink,mgr_1
ADJ00000180,STR0009,SKU0000536,2026-04-28 12:23:35,10,Damage,controller
ADJ00000181,STR0014,SKU0000200,2026-04-13 20:47:37,2,Found Inventory,mgr_2
ADJ00000182,STR0007,SKU0000386,2026-05-07 13:59:26,bad,System Correction,mgr_2
ADJ00000183,STR0009,SKU0000317,2026-04-10 08:30:14,bad,Shrink,mgr_2
ADJ00000184,STR0021,SKU0000572,2026-04-08 03:53:08,5,Cycle Count,mgr_1
ADJ00000185,STR0025,SKU0000375,2026-04-21 03:18:42,10,Cycle Count,mgr_1
ADJ00000186,STR0025,SKU0000269,2026-05-04 15:07:08,bad,Found Inventory,inventory_lead
ADJ00000187,STR0018,SKU0000059,2026-05-18 01:47:02,-2,Cycle Count,inventory_lead
ADJ00000188,STR0014,SKU0000573,2026-05-03 22:19:21,5,Shrink,mgr_1
ADJ00000189,STR0005,SKU0000290,2026-04-06 00:25:05,-2,Shrink,
ADJ00000190,STR0021,SKU0000493,2026-04-13 04:57:04,5,Found Inventory,mgr_2
ADJ00000191,STR0002,SKU0000076,2026-05-08 03:17:15,5,System Correction,mgr_1
ADJ00000192,STR0023,SKU0000489,2026-04-25 03:07:28,1,Cycle Count,mgr_2
ADJ00000193,STR0017,SKU0000222,2026-05-24 10:49:10,1,Shrink,mgr_2
ADJ00000194,STR0008,SKU0000112,2026-04-24 13:34:31,2,System Correction,
ADJ00000195,STR0006,SKU0000049,2026-04-25 18:46:20,-10,Found Inventory,mgr_1
ADJ00000196,STR0023,SKU0000403,2026-04-12 16:26:06,10,Damage,controller
ADJ00000197,STR0016,SKU0000126,2026-05-09 08:38:05,2,Found Inventory,controller
ADJ00000198,STR0008,SKU0000297,2026-05-14 17:27:44,1,Damage,mgr_2
ADJ00000199,STR0015,SKU0000472,2026-05-08 21:20:48,2,Cycle Count,mgr_2
ADJ00000200,STR0003,SKU0000184,2026-05-25 00:19:13,10,Found Inventory,inventory_lead
ADJ00000201,STR0024,SKU0000419,2026-05-03 01:44:48,-2,Found Inventory,mgr_1
ADJ00000202,STR0004,SKU0000462,2026-04-06 04:28:22,20,Cycle Count,mgr_2
ADJ00000203,STR0008,SKU0000362,2026-05-21 18:05:30,20,Shrink,controller
ADJ00000204,STR0013,SKU0000130,2026-05-29 12:06:03,5,Damage,controller
ADJ00000205,STR0006,SKU0000574,2026-05-14 08:35:51,-20,System Correction,
ADJ00000206,STR0008,SKU0000207,2026-04-05 23:25:35,-10,Shrink,inventory_lead
ADJ00000207,STR0014,SKU0000078,2026-05-27 11:02:52,1,Shrink,
ADJ00000208,STR0015,SKU0000359,2026-05-20 10:48:21,1,Found Inventory,mgr_2
ADJ00000209,STR0025,SKU0000350,2026-04-02 23:36:29,-2,Found Inventory,inventory_lead
ADJ00000210,STR0015,SKU0000114,2026-04-20 08:38:42,5,Cycle Count,mgr_2
ADJ00000211,STR0019,SKU0000193,2026-04-19 18:45:02,2,Damage,mgr_1
ADJ00000212,STR0010,SKU0000035,2026-05-09 18:29:12,10,Cycle Count,
ADJ00000213,STR0006,SKU0000201,2026-04-16 04:54:25,10,Shrink,mgr_1
ADJ00000214,STR0010,SKU0000071,2026-05-27 08:06:41,-5,Found Inventory,controller
ADJ00000215,STR0002,SKU0000562,2026-04-22 09:23:11,1,Shrink,mgr_2
ADJ00000216,STR0003,SKU0000224,2026-04-24 07:35:51,1,Damage,mgr_2
ADJ00000217,STR0024,SKU0000059,2026-04-20 04:19:08,1,Damage,
ADJ00000218,STR0020,SKU0000160,2026-04-06 19:43:02,20,System Correction,controller
ADJ00000219,STR0003,SKU0000418,2026-04-05 23:22:48,-10,Damage,inventory_lead
ADJ00000220,STR0013,SKU0000273,2026-04-11 04:28:06,5,Cycle Count,mgr_1
ADJ00000221,STR0017,SKU0000119,2026-04-20 16:12:48,10,Found Inventory,mgr_2
ADJ00000222,STR0004,SKU0000254,2026-05-20 09:23:13,-20,System Correction,mgr_2
ADJ00000223,STR0018,SKU0000031,2026-04-27 22:21:23,-10,System Correction,controller
ADJ00000224,STR0016,SKU0000412,2026-05-23 20:38:46,-5,Found Inventory,mgr_1
ADJ00000225,STR0013,SKU0000057,2026-05-07 17:45:06,-5,Found Inventory,controller
ADJ00000226,STR0002,SKU0000300,2026-04-29 21:41:28,20,Shrink,mgr_1
ADJ00000227,STR0001,SKU_BAD,2026-04-17 00:54:19,10,Cycle Count,
ADJ00000228,STR0010,SKU0000504,2026-05-26 11:40:50,-5,System Correction,controller
ADJ00000229,STR0018,SKU0000066,2026-05-01 16:53:03,bad,Found Inventory,
ADJ00000230,STR0008,SKU0000464,2026-05-31 23:39:57,-10,System Correction,controller
ADJ00000231,STR0018,SKU0000391,2026-05-19 00:54:10,bad,System Correction,
ADJ00000232,STR0015,SKU0000054,2026-04-12 19:41:44,2,Shrink,
ADJ00000233,STR0024,SKU0000560,2026-04-18 11:05:57,bad,Found Inventory,
ADJ00000234,STR0008,SKU0000195,2026-05-03 20:29:23,10,Cycle Count,
ADJ00000235,STR0011,SKU0000068,2026-04-11 22:03:25,2,Damage,
ADJ00000236,STR0005,SKU0000020,2026-05-05 02:11:02,-10,Shrink,mgr_1
ADJ00000237,STR0012,SKU0000108,2026-04-14 08:06:43,10,System Correction,
ADJ00000238,STR0023,SKU0000191,2026-05-03 14:32:39,10,Shrink,inventory_lead
ADJ00000239,STR0016,SKU0000076,2026-05-22 07:54:30,-20,Shrink,inventory_lead
ADJ00000240,STR0020,SKU0000308,2026-05-17 07:08:51,5,Shrink,
ADJ00000241,STR0005,SKU0000042,2026-04-28 16:38:17,5,Cycle Count,mgr_1
ADJ00000242,STR0015,SKU0000056,2026-04-10 06:06:14,bad,Shrink,
ADJ00000243,STR0024,SKU0000408,2026-05-28 22:44:10,-2,Found Inventory,
ADJ00000244,STR0014,SKU0000351,2026-04-24 13:56:04,5,Damage,mgr_1
ADJ00000245,STR0007,SKU0000129,2026-04-27 14:07:36,bad,Cycle Count,mgr_2
ADJ00000246,STR0023,SKU0000575,2026-05-17 09:09:17,-20,System Correction,controller
ADJ00000247,STR0008,SKU0000413,2026-04-22 10:00:04,-20,Damage,
ADJ00000248,STR0022,SKU0000055,2026-04-09 07:46:25,2,System Correction,mgr_1
ADJ00000249,STR0011,SKU0000520,2026-05-02 08:52:16,10,Found Inventory,mgr_1
ADJ00000250,STR0003,SKU0000456,2026-05-18 08:51:09,20,Found Inventory,
ADJ00000251,STR0006,SKU0000054,2026-05-20 02:36:48,-2,Shrink,inventory_lead
ADJ00000252,STR0008,SKU0000343,2026-04-13 10:53:12,bad,Damage,inventory_lead
ADJ00000253,STR0011,SKU0000128,2026-04-03 07:31:12,-10,System Correction,inventory_lead
ADJ00000254,STR0014,SKU0000446,2026-05-25 16:01:54,bad,Cycle Count,mgr_1
ADJ00000255,STR0013,SKU0000452,2026-04-29 04:24:37,10,Cycle Count,mgr_2
ADJ00000256,STR0007,SKU0000455,2026-04-22 03:16:10,10,System Correction,mgr_1
ADJ00000257,STR0023,SKU0000339,2026-05-04 03:33:04,-5,Found Inventory,mgr_1
ADJ00000258,STR0014,SKU0000542,2026-05-25 12:02:58,20,System Correction,
ADJ00000259,STR0014,SKU0000568,2026-04-24 08:55:42,bad,Damage,
ADJ00000260,STR0012,SKU0000011,2026-05-05 04:23:16,10,Found Inventory,mgr_2
ADJ00000261,STR0009,SKU0000429,2026-04-05 20:58:27,-2,Cycle Count,
ADJ00000262,STR0009,SKU0000444,2026-05-18 01:09:58,10,Cycle Count,
ADJ00000263,STR0022,SKU0000172,2026-05-17 14:19:48,5,Found Inventory,inventory_lead
ADJ00000264,STR0025,SKU0000049,2026-04-21 15:53:23,-20,Damage,mgr_1
ADJ00000265,STR0016,SKU0000079,2026-04-22 07:15:39,10,Found Inventory,mgr_2
ADJ00000266,STR0023,SKU0000091,2026-05-15 09:51:07,-5,Shrink,mgr_2
ADJ00000267,STR0009,SKU0000440,2026-04-13 03:47:49,1,System Correction,inventory_lead
ADJ00000268,STR0009,SKU0000132,2026-05-27 09:35:38,-5,System Correction,mgr_2
ADJ00000269,STR0021,SKU0000447,2026-04-06 05:04:46,-10,Damage,inventory_lead
ADJ00000270,STR0012,SKU0000373,2026-04-03 22:42:40,10,Shrink,controller
ADJ00000271,STR0012,SKU0000331,2026-04-30 02:22:44,-2,Shrink,controller
ADJ00000272,STR0006,SKU0000040,2026-05-22 14:28:10,-10,Damage,
ADJ00000273,STR0007,SKU0000028,2026-04-14 11:28:26,5,Shrink,mgr_2
ADJ00000274,STR0011,SKU0000243,2026-05-22 15:58:14,-2,System Correction,inventory_lead
ADJ00000275,STR0015,SKU0000104,2026-05-10 13:19:46,-5,Shrink,controller
ADJ00000276,STR0018,SKU0000572,2026-05-21 07:27:01,-2,Damage,mgr_2
ADJ00000277,STR0008,SKU0000034,2026-05-08 02:45:41,20,Shrink,controller
ADJ00000278,STR0010,SKU0000429,2026-04-29 06:25:13,10,Shrink,mgr_2
ADJ00000279,STR0009,SKU0000122,2026-05-29 17:11:28,-2,Cycle Count,inventory_lead
ADJ00000280,STR0014,SKU0000098,2026-05-04 19:14:20,5,Damage,controller
ADJ00000281,STR0008,SKU0000409,2026-05-27 16:33:11,1,Found Inventory,inventory_lead
ADJ00000282,STR0024,SKU0000420,2026-04-06 02:57:48,bad,Cycle Count,mgr_1
ADJ00000283,STR0023,SKU0000376,2026-05-31 23:11:18,1,Shrink,mgr_1
ADJ00000284,STR0009,SKU0000290,2026-05-12 15:35:56,1,System Correction,mgr_2
ADJ00000285,STR0016,SKU0000559,2026-05-16 22:11:42,1,Damage,
ADJ00000286,STR0013,SKU0000493,2026-04-16 05:16:30,5,Cycle Count,inventory_lead
ADJ00000287,STR0001,SKU0000167,2026-04-04 02:49:58,10,Cycle Count,
ADJ00000288,STR0022,SKU0000401,2026-04-14 02:00:47,5,Shrink,inventory_lead
ADJ00000289,STR0024,SKU0000014,2026-04-03 19:52:01,2,Found Inventory,mgr_1
ADJ00000290,STR0007,SKU0000390,2026-04-27 08:38:20,-2,Cycle Count,mgr_1
ADJ00000291,STR0016,SKU0000392,2026-05-30 06:34:44,-10,Cycle Count,controller
ADJ00000292,STR0002,SKU0000419,2026-04-22 06:24:41,-2,System Correction,controller
ADJ00000293,STR0023,SKU0000137,2026-05-17 23:42:07,5,System Correction,mgr_1
ADJ00000294,STR0015,SKU0000027,2026-04-22 14:41:17,2,Shrink,mgr_2
ADJ00000295,STR0006,SKU0000076,2026-04-22 21:44:24,bad,Found Inventory,
ADJ00000296,STR0017,SKU0000030,2026-04-25 22:24:35,1,Shrink,inventory_lead
ADJ00000297,STR0018,SKU0000150,2026-05-01 23:35:51,-2,Found Inventory,
ADJ00000298,STR0022,SKU0000323,2026-05-03 00:49:45,-5,System Correction,
ADJ00000299,STR0001,SKU0000484,2026-05-23 19:42:13,1,System Correction,
ADJ00000300,STR0003,SKU0000566,2026-05-29 06:49:43,1,Shrink,controller
ADJ00000301,STR0009,SKU0000185,2026-05-03 23:05:47,5,Damage,controller
ADJ00000302,STR0022,SKU0000112,2026-04-30 09:41:28,5,Damage,mgr_1
ADJ00000303,STR0001,SKU0000176,2026-05-19 16:07:30,20,Shrink,inventory_lead
