work_order_id,asset_id,site_id,created_date,scheduled_date,completed_date,maintenance_type,priority,status,labor_hours,parts_cost,_bronze_loaded_at_utc,_source_file
WO00000011,AST000080,SITE0010,2026-02-21,2026-02-21,,Inspection,Critical,Completed,51.89,8819.26,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000012,AST000249,SITE0030,2026-03-21,2026-03-26,,Inspection,High,Open,32.78,36182.29,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000013,AST000087,SITE0011,2026-04-14,2026-04-19,2026-04-16,Emergency,Low,open ,25.19,39825.62,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000014,AST000022,SITE0003,2026-04-27,2026-05-07,2026-05-17,Corrective,medium ,Open,19.32,10324.71,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000015,AST000163,SITE0020,2026-05-30,2026-06-08,2026-05-31,preventive ,Medium,Completed,32.01,20991.54,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000016,AST000157,SITE0019,2026-02-21,2026-03-03,2026-02-22,Preventive,High,Completed,49.98,17598.65,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000017,AST000030,SITE0004,2026-03-04,2026-03-10,2026-03-14,Inspection,Medium,open ,79.50,8265.62,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000018,AST000206,SITE0025,2026-01-14,2026-01-19,2026-01-24,Corrective,medium ,open ,38.90,35616.32,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000019,AST000204,SITE0024,2026-02-12,2026-02-12,,preventive ,Low,Cancelled,79.63,10609.59,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000020,AST000198,SITE0024,2026-01-31,2026-02-10,2026-02-01,Preventive,Low,Open,29.57,35272.07,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000021,AST000090,SITE0011,2026-04-05,2026-04-07,2026-05-15,Inspection,Low,In Progress,23.98,8769.27,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000022,AST000248,SITE0029,2026-01-20,2026-01-30,2026-02-09,preventive ,Medium,Cancelled,6.38,11824.60,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000023,AST000036,SITE0005,2026-04-03,2026-04-11,2026-04-13,Corrective,Low,Open,43.91,9561.75,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000024,AST000061,SITE0008,2026-05-28,2026-06-06,2026-06-07,Preventive,Critical,open ,35.76,37402.31,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000025,AST000012,SITE0002,2026-03-19,2026-03-24,2026-04-28,Emergency,Medium,Open,33.24,39916.76,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000026,AST000047,SITE0006,2026-04-19,2026-04-20,2026-04-29,Inspection,Low,Cancelled,69.74,34336.48,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000027,AST000006,SITE0001,2026-03-26,2026-03-26,2026-05-05,preventive ,medium ,open ,77.74,10653.91,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000028,AST000190,SITE0022,2026-04-14,2026-04-14,2026-05-04,preventive ,Critical,Completed,60.23,346.20,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000029,AST000051,SITE0007,2026-02-18,2026-02-28,2026-02-28,Inspection,Medium,In Progress,72.75,814.17,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000030,AST000027,SITE0004,2026-01-28,2026-02-04,2026-02-17,Inspection,medium ,open ,31.69,12230.35,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000031,AST000227,SITE0027,2026-03-22,2026-03-24,2026-05-01,Emergency,High,Completed,16.24,22789.82,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000032,AST000199,SITE0024,2026-04-30,2026-05-04,2026-05-01,Inspection,Medium,In Progress,14.27,42358.68,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000033,AST000128,SITE0016,2026-01-31,2026-02-07,2026-02-10,Inspection,Medium,open ,18.69,37828.13,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000034,AST000245,SITE0029,2026-04-28,2026-05-04,2026-06-07,Corrective,Medium,Completed,42.59,39952.52,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000035,AST000202,SITE0024,2026-03-04,2026-03-07,,Corrective,High,open ,50.88,27427.41,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000036,AST000216,SITE0026,2026-04-28,2026-05-03,2026-04-29,Corrective,Critical,Cancelled,63.56,21429.00,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000037,AST000136,SITE0016,2026-05-08,2026-05-13,2026-05-09,preventive ,Medium,Open,75.10,30913.15,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000038,AST000021,SITE0003,2026-03-24,2026-03-29,2026-03-26,Corrective,Medium,Open,44.23,30439.06,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000039,AST000179,SITE0021,2026-04-12,2026-04-13,2026-04-14,preventive ,High,Completed,59.19,37114.44,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000040,AST000139,SITE0017,2026-04-05,2026-04-10,2026-04-10,Corrective,High,open ,35.57,18070.99,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000041,AST000163,SITE0020,2026-02-10,2026-02-11,2026-02-20,preventive ,Low,Cancelled,39.16,39642.46,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000042,AST000074,SITE0009,2026-03-09,2026-03-10,,preventive ,medium ,In Progress,59.30,93.78,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000043,AST000044,SITE0006,2026-02-16,2026-02-24,,Preventive,Low,In Progress,28.34,42668.98,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000044,AST000225,SITE0027,2026-05-14,2026-05-22,2026-06-23,Emergency,Critical,Cancelled,1.96,32743.32,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000045,AST000007,SITE0001,2026-02-23,2026-02-24,2026-02-28,preventive ,Low,open ,74.53,4981.84,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000046,AST000074,SITE0009,2026-03-05,2026-03-06,2026-03-15,Emergency,Low,Cancelled,71.39,10460.62,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000047,AST000097,SITE0012,2026-02-14,2026-02-15,2026-02-16,preventive ,Critical,In Progress,69.47,19233.64,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000048,AST000206,SITE0025,2026-05-15,2026-05-19,2026-05-16,Preventive,High,In Progress,22.15,19127.53,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000049,AST000046,SITE0006,2026-02-16,2026-02-21,2026-02-17,Inspection,High,Completed,49.96,28655.99,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000050,AST000244,SITE0029,2026-03-01,2026-03-11,2026-03-11,Inspection,Low,open ,42.56,32320.36,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000051,AST000178,SITE0021,2026-02-24,2026-02-26,2026-02-26,Emergency,High,Cancelled,44.62,44199.77,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000052,AST000207,SITE0025,2026-04-28,2026-04-28,,preventive ,Medium,Open,30.72,10486.07,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000053,AST000191,SITE0023,2026-02-24,2026-02-26,2026-02-26,Corrective,Low,Cancelled,58.43,36642.40,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000054,AST000126,SITE0015,2026-01-25,2026-02-01,,Preventive,medium ,In Progress,11.83,19846.28,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000055,AST000071,SITE0009,2026-02-09,2026-02-18,2026-02-19,Emergency,Critical,open ,9.69,21064.50,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000056,AST000151,SITE0018,2026-01-12,2026-01-14,2026-01-14,preventive ,Low,In Progress,49.09,39891.48,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000057,AST000109,SITE0013,2026-01-11,2026-01-11,2026-01-16,Preventive,High,Open,60.31,12754.57,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000058,AST000045,SITE0006,2026-03-26,2026-03-27,2026-03-28,Corrective,Medium,Completed,23.19,40563.23,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000059,AST000208,SITE0025,2026-05-27,2026-06-01,2026-06-16,Inspection,Critical,In Progress,7.42,39280.57,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000060,AST000210,SITE0025,2026-01-24,2026-01-24,2026-02-13,Preventive,Low,open ,35.81,5362.22,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000061,AST000163,SITE0020,2026-03-12,2026-03-19,2026-03-17,Emergency,Low,Open,65.08,28893.99,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000062,AST000085,SITE0011,2026-04-06,2026-04-15,2026-04-11,preventive ,Critical,Open,47.85,22356.71,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000063,AST000093,SITE0012,2026-01-01,2026-01-10,2026-02-10,Preventive,Medium,Cancelled,71.07,31694.26,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000064,AST000016,SITE0003,2026-04-26,2026-04-26,2026-06-05,Preventive,medium ,Open,16.21,33255.58,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000065,AST000062,SITE0008,2026-05-09,2026-05-09,2026-05-29,Corrective,High,Cancelled,77.66,24969.94,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000066,AST000085,SITE0011,2026-03-18,2026-03-24,2026-04-27,Emergency,Low,open ,76.73,38454.62,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000067,AST000153,SITE0018,2026-03-02,2026-03-04,2026-03-12,Preventive,Low,open ,79.53,18255.54,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000068,AST000093,SITE0012,2026-04-22,2026-04-24,,Preventive,High,open ,32.56,33791.82,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000069,AST000089,SITE0011,2026-05-10,2026-05-10,2026-05-11,Emergency,Medium,In Progress,58.89,18664.46,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000070,AST000244,SITE0029,2026-04-18,2026-04-22,2026-05-28,Emergency,Low,Cancelled,44.47,24445.76,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000071,AST000084,SITE0010,2026-05-22,2026-06-01,2026-06-11,preventive ,High,In Progress,10.67,34679.93,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000072,AST000174,SITE0021,2026-01-25,2026-01-26,2026-02-04,Corrective,High,open ,47.68,14822.04,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000073,AST000018,SITE0003,2026-03-24,2026-03-27,2026-03-29,Preventive,Medium,Open,79.00,28672.23,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000074,AST000248,SITE0029,2026-05-08,2026-05-18,2026-05-13,Corrective,Low,Completed,71.25,19462.08,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000075,AST000168,SITE0020,2026-02-15,2026-02-21,2026-03-27,preventive ,Low,open ,68.75,29436.57,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000076,AST000202,SITE0024,2026-03-04,2026-03-11,2026-03-14,Corrective,Critical,Open,17.38,14933.82,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000077,AST000241,SITE0029,2026-04-16,2026-04-23,2026-05-06,preventive ,High,Open,33.80,40163.51,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000078,AST000130,SITE0016,2026-01-16,2026-01-23,2026-01-21,Preventive,medium ,Open,52.49,17606.55,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000079,AST000219,SITE0026,2026-05-17,2026-05-22,2026-05-22,Preventive,Low,In Progress,75.31,32971.83,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000080,AST000065,SITE0008,2026-05-06,2026-05-10,2026-05-08,preventive ,medium ,Cancelled,50.43,24301.79,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000081,AST000117,SITE0014,2026-03-03,2026-03-11,2026-03-08,Inspection,Low,Cancelled,72.68,44057.80,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000082,AST000135,SITE0016,2026-04-25,2026-05-03,2026-05-05,Preventive,Low,In Progress,3.14,43508.69,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000083,AST000177,SITE0021,2026-01-07,2026-01-16,2026-01-17,preventive ,Low,Cancelled,54.11,3118.26,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000084,AST000105,SITE0013,2026-05-10,2026-05-13,2026-05-20,Emergency,medium ,open ,57.38,26000.21,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000085,AST000058,SITE0008,2026-02-17,2026-02-24,2026-03-29,Corrective,Critical,Completed,56.84,27270.65,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000086,AST000208,SITE0025,2026-05-14,2026-05-23,2026-06-03,Inspection,Low,Open,40.28,3061.50,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000087,AST000208,SITE0025,2026-04-23,2026-04-24,2026-04-28,Corrective,medium ,Completed,45.75,38385.68,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000088,AST000153,SITE0018,2026-02-19,2026-02-25,2026-02-21,Preventive,High,Completed,37.29,10069.47,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000089,AST000218,SITE0026,2026-01-08,2026-01-14,2026-01-28,preventive ,Medium,In Progress,16.83,21224.21,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000090,AST000128,SITE0016,2026-03-05,2026-03-07,2026-03-15,Emergency,Medium,open ,65.11,35000.01,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000091,AST000094,SITE0012,2026-01-09,2026-01-13,2026-02-18,Corrective,Critical,open ,56.35,43491.35,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000092,AST000064,SITE0008,2026-04-23,2026-04-24,2026-04-25,Inspection,High,Open,77.65,27776.85,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000093,AST000179,SITE0021,2026-01-19,2026-01-24,2026-01-20,Corrective,medium ,Completed,17.78,32308.77,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000094,AST000226,SITE0027,2026-01-12,2026-01-19,2026-01-17,Corrective,Low,In Progress,48.61,14495.44,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000095,AST000177,SITE0021,2026-02-23,2026-03-05,2026-02-25,Preventive,High,Completed,68.70,39747.97,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000096,AST000007,SITE0001,2026-01-06,2026-01-16,2026-01-08,Inspection,High,Completed,43.88,38936.04,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000097,AST000009,SITE0002,2026-05-20,2026-05-23,,Preventive,Critical,Completed,19.71,22056.49,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000098,AST000201,SITE0024,2026-02-16,2026-02-16,2026-03-08,Preventive,High,Cancelled,19.41,33533.08,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000099,AST000246,SITE_BAD,2026-05-06,2026-05-06,2026-05-26,Preventive,medium ,Cancelled,5.40,18108.98,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000100,AST000119,SITE0015,2026-04-21,2026-04-27,2026-05-11,Emergency,Medium,open ,52.24,38076.68,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000101,AST000147,SITE0018,2026-05-08,2026-05-10,2026-05-10,Preventive,Critical,Completed,53.63,39664.79,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000102,AST000145,SITE0018,2026-04-28,2026-05-01,2026-04-30,preventive ,Low,open ,24.92,22561.91,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000103,AST000001,SITE0001,2026-01-15,2026-01-24,,Corrective,Low,open ,27.67,15928.49,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000104,AST000106,SITE0013,2026-04-20,2026-04-30,2026-04-30,Preventive,Low,In Progress,32.41,36031.88,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000105,AST000199,SITE0024,2026-05-10,2026-05-20,2026-06-19,Preventive,High,Cancelled,36.07,1950.24,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000106,AST000216,SITE0026,2026-05-07,2026-05-08,2026-05-12,Emergency,medium ,Completed,47.33,16494.33,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000107,AST000021,SITE0003,2026-04-13,2026-04-19,2026-04-18,Emergency,High,In Progress,56.92,33683.12,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000108,AST000164,SITE0020,2026-04-27,2026-05-02,2026-05-07,Corrective,medium ,Completed,21.58,26584.34,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000109,AST000047,SITE0006,2026-05-15,2026-05-21,2026-05-16,Emergency,Low,Cancelled,24.47,12813.05,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000110,AST000029,SITE0004,2026-02-02,2026-02-05,2026-02-03,Preventive,Medium,Open,56.44,26476.39,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000111,AST000089,SITE0011,2026-03-11,2026-03-12,2026-03-13,preventive ,Critical,Open,66.34,43054.85,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000112,AST000091,SITE0011,2026-03-29,2026-04-05,2026-04-03,preventive ,medium ,Completed,51.49,14512.75,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000113,AST000213,SITE0026,2026-02-21,2026-02-27,,Corrective,medium ,Cancelled,71.81,24613.98,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000114,AST000186,SITE0022,2026-04-23,2026-04-25,2026-04-25,Preventive,High,open ,23.52,29651.02,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000115,AST000162,SITE0019,2026-05-20,2026-05-22,2026-05-22,Inspection,medium ,In Progress,60.64,38038.98,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000116,AST000247,SITE0029,2026-02-17,2026-02-24,2026-02-18,Emergency,Low,In Progress,74.54,34558.14,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000117,AST000121,SITE0015,2026-02-01,2026-02-09,2026-02-21,Inspection,Critical,Completed,74.15,19418.88,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000118,AST000082,SITE0010,2026-01-02,2026-01-10,2026-01-12,Inspection,Low,Completed,32.55,15113.17,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000119,AST000175,SITE0021,2026-01-13,2026-01-18,,Emergency,Low,Cancelled,23.37,15813.57,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000120,AST000207,SITE0025,2026-05-27,2026-05-27,2026-06-16,Emergency,Medium,open ,58.48,13913.68,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000121,AST000030,SITE0004,2026-03-14,2026-03-15,2026-03-19,Preventive,High,open ,39.60,1635.90,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000122,AST000207,SITE0025,2026-03-04,2026-03-14,2026-03-06,Inspection,Medium,Open,12.88,31734.54,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000123,AST000111,SITE0014,2026-02-11,2026-02-15,,Inspection,Critical,Completed,25.71,31600.02,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000124,AST000082,SITE0010,2026-02-04,2026-02-12,2026-02-09,Corrective,medium ,open ,77.00,5902.68,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000125,AST000031,SITE0004,2026-03-18,2026-03-28,2026-03-19,Preventive,medium ,Open,12.19,221.57,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000126,AST000030,SITE0004,2026-01-01,2026-01-06,2026-02-10,Inspection,Critical,Open,72.85,38679.56,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000127,AST000018,SITE0003,2026-05-21,2026-05-31,2026-06-30,Preventive,Critical,Cancelled,24.61,1157.37,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000128,AST000144,SITE0017,2026-05-16,2026-05-21,2026-06-25,Inspection,Low,Completed,60.40,17768.37,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000129,AST000198,SITE0024,2026-05-14,2026-05-14,2026-06-23,Emergency,High,Cancelled,bad,38996.87,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000130,AST000181,SITE0021,2026-01-04,2026-01-11,2026-01-09,Corrective,Medium,In Progress,42.65,18834.56,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000131,AST000165,SITE0020,2026-05-27,2026-05-29,2026-06-06,preventive ,High,Open,63.31,37471.37,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000132,AST000046,SITE0006,2026-05-14,2026-05-20,2026-05-15,Corrective,Critical,Completed,64.04,19434.39,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000133,AST000158,SITE0019,2026-04-13,2026-04-15,2026-05-23,Corrective,Critical,In Progress,70.00,22328.75,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000134,AST000151,SITE0018,2026-01-10,2026-01-16,2026-01-30,Preventive,medium ,Completed,15.30,33483.69,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000135,AST000083,SITE0010,2026-04-12,2026-04-14,,Preventive,Medium,open ,0.62,15745.90,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000136,AST000115,SITE0014,2026-03-07,2026-03-14,2026-04-16,Preventive,Medium,open ,0.66,18299.98,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000137,AST000018,SITE0003,2026-01-11,2026-01-16,2026-02-20,Inspection,Critical,Open,13.77,33959.73,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000138,AST000127,SITE0016,2026-01-31,2026-02-07,2026-02-01,Emergency,medium ,Completed,22.05,3234.59,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000139,AST000222,SITE0026,2026-03-05,2026-03-13,2026-03-15,Inspection,High,In Progress,35.02,3553.15,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000140,AST000120,SITE0015,2026-02-22,2026-02-22,2026-02-23,Corrective,Medium,Open,69.78,17407.36,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000141,AST000039,SITE0005,2026-03-09,2026-03-10,2026-03-29,Preventive,High,open ,13.17,16722.15,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000142,AST000011,SITE0002,2026-02-02,2026-02-04,2026-02-04,Corrective,Low,Completed,35.13,4401.07,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000143,AST000143,SITE0017,2026-05-12,2026-05-18,,Preventive,High,Completed,75.25,23275.50,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000144,AST000034,SITE0005,2026-05-10,2026-05-15,,Preventive,Critical,In Progress,3.65,1873.69,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000145,AST000165,SITE0020,2026-01-12,2026-01-12,2026-02-01,Emergency,Low,Open,19.67,40020.12,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000146,AST000017,SITE0003,2026-03-03,2026-03-06,2026-03-23,Emergency,Medium,Cancelled,44.27,18716.30,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
