receipt_line_id,receipt_id,po_line_id,product_id,received_qty,rejected_qty,damage_reason
RCL0000000057,RCV00000028,POL0000000167,SKU0000529,275,0,Damaged packaging
RCL0000000058,RCV00000029,POL0000001359,SKU0000502,550,0,Incorrect item
RCL0000000059,RCV00000030,POL0000000949,SKU0000640,110,1,
RCL0000000060,RCV00000031,POL0000001377,SKU0000020,375,1,
RCL0000000061,RCV00000032,POL0000000530,SKU0000497,250,1,Damaged packaging
RCL0000000062,RCV00000032,POL0000000529,SKU0000179,0,0,
RCL0000000063,RCV00000032,POL0000000527,SKU0000668,550,1,Damaged packaging
RCL0000000064,RCV00000032,POL0000000528,SKU0000059,100,0,Damaged packaging
RCL0000000065,RCV00000033,POL0000001249,SKU0000014,550,1,Damaged packaging
RCL0000000066,RCV00000033,POL0000001248,SKU0000283,1000,2,Damaged packaging
RCL0000000067,RCV00000034,POL0000001178,SKU0000650,375,1,Incorrect item
RCL0000000068,RCV00000035,POL0000000662,SKU0000638,0,0,
RCL0000000069,RCV00000036,POL0000001510,SKU0000395,50,2,Incorrect item
RCL0000000070,RCV00000036,POL0000001509,SKU0000556,50,0,Incorrect item
RCL0000000071,RCV00000036,POL0000001511,SKU0000680,110,0,Damaged packaging
RCL0000000072,RCV00000037,POL0000000572,SKU0000256,0,0,Incorrect item
RCL0000000073,RCV00000038,POL0000001267,SKU0000630,250,,
RCL0000000074,RCV00000039,POL0000001730,SKU0000292,250,0,Incorrect item
RCL0000000075,RCV00000039,POL0000001731,SKU0000119,50,2,
RCL0000000076,RCV00000040,POL0000001876,SKU0000454,25,0,Temperature breach
RCL0000000077,RCV00000041,POL0000001848,SKU0000083,110,5,Damaged packaging
RCL0000000078,RCV00000042,POL0000001421,SKU0000549,0,0,Temperature breach
RCL0000000079,RCV00000042,POL0000001420,SKU0000579,110,0,Damaged packaging
RCL0000000080,RCV00000043,POL0000000861,SKU0000667,50,0,Incorrect item
RCL0000000081,RCV00000043,POL0000000863,SKU0000250,0,5,
RCL0000000082,RCV00000044,POL0000000390,SKU0000468,0,0,
RCL0000000083,RCV00000044,POL0000000389,SKU0000420,500,1,Incorrect item
RCL0000000084,RCV00000045,POL0000000182,SKU0000245,550,2,
RCL0000000085,RCV00000046,POL0000000521,SKU0000222,75,5,
RCL0000000086,RCV00000046,POL0000000522,SKU0000146,125,,
RCL0000000087,RCV00000047,POL0000001610,SKU0000268,275,5,Incorrect item
RCL0000000088,RCV00000047,POL0000001611,SKU0000673,1100,1,Damaged packaging
RCL0000000089,RCV00000047,POL0000001612,SKU0000273,1000,2,Damaged packaging
RCL0000000090,RCV00000048,POL0000000795,SKU0000455,55,5,Temperature breach
RCL0000000091,RCV00000048,POL0000000792,SKU0000646,1000,0,Damaged packaging
RCL0000000092,RCV00000048,POL0000000793,SKU0000365,1100,0,Temperature breach
RCL0000000093,RCV00000048,POL0000000794,SKU0000366,250,,Incorrect item
RCL0000000094,RCV00000049,POL0000000231,SKU0000223,100,0,Incorrect item
RCL0000000095,RCV00000050,POL0000001635,SKU0000649,375,0,Incorrect item
RCL0000000096,RCV00000051,POL0000000145,SKU0000395,125,2,Incorrect item
RCL0000000097,RCV00000051,POL0000000147,SKU0000522,500,1,Incorrect item
RCL0000000098,RCV00000051,POL0000000146,SKU0000032,250,,Incorrect item
RCL0000000099,RCV00000052,POL0000001770,SKU0000411,250,5,
RCL0000000100,RCV00000053,POL0000000290,SKU0000407,75,1,Damaged packaging
RCL0000000101,RCV00000054,POL0000001408,SKU0000633,550,0,Temperature breach
RCL0000000102,RCV00000055,POL0000000383,SKU0000361,500,1,
RCL0000000103,RCV00000055,POL0000000382,SKU0000688,187,0,Incorrect item
RCL0000000104,RCV00000056,POL0000000335,SKU0000366,275,0,Incorrect item
RCL0000000105,RCV00000056,POL0000000336,SKU0000580,500,0,Damaged packaging
RCL0000000106,RCV00000057,POL0000000564,SKU0000653,110,0,
RCL0000000107,RCV00000057,POL0000000565,SKU0000110,1000,0,
RCL0000000108,RCV00000058,POL0000001179,SKU0000384,75,0,Incorrect item
RCL0000000109,RCV00000058,POL0000001182,SKU0000479,110,1,
RCL0000000110,RCV00000059,POL0000001538,SKU0000080,125,5,Temperature breach
RCL0000000111,RCV00000060,POL0000001768,SKU0000678,50,0,Damaged packaging
RCL0000000112,RCV00000061,POL0000001956,SKU0000009,55,,
RCL0000000113,RCV00000062,POL0000000439,SKU0000571,500,2,
RCL0000000114,RCV00000062,POL0000000438,SKU0000303,0,0,Incorrect item
RCL0000000115,RCV00000063,POL0000000512,SKU0000656,100,,Damaged packaging
RCL0000000116,RCV00000064,POL0000000456,SKU0000684,100,0,Damaged packaging
RCL0000000117,RCV00000065,POL0000000899,SKU0000579,100,1,Incorrect item
RCL0000000118,RCV00000066,POL0000001340,SKU0000127,bad,0,
RCL0000000119,RCV00000067,POL0000000542,SKU0000128,125,0,Damaged packaging
RCL0000000120,RCV00000068,POL0000000828,SKU0000664,50,0,Incorrect item
RCL0000000121,RCV00000069,POL0000000717,SKU0000630,750,0,
RCL0000000122,RCV00000070,POL0000001920,SKU0000450,0,1,Temperature breach
RCL0000000123,RCV00000070,POL0000001918,SKU0000660,1000,0,Damaged packaging
RCL0000000124,RCV00000070,POL0000001919,SKU0000391,187,0,Incorrect item
RCL0000000125,RCV00000071,POL0000001238,SKU0000434,100,5,Damaged packaging
RCL0000000126,RCV00000071,POL0000001237,SKU0000489,0,1,
RCL0000000127,RCV00000072,POL0000000485,SKU0000106,75,2,Incorrect item
RCL0000000128,RCV00000073,POL0000001310,SKU0000297,0,5,Incorrect item
RCL0000000129,RCV00000074,POL0000000591,SKU0000115,50,0,Temperature breach
RCL0000000130,RCV00000074,POL0000000592,SKU0000200,50,1,Incorrect item
RCL0000000131,RCV00000075,POL0000001766,SKU0000125,500,1,
RCL0000000132,RCV00000076,POL0000001171,SKU0000175,110,,Damaged packaging
RCL0000000133,RCV00000076,POL0000001170,SKU0000119,55,1,Incorrect item
RCL0000000134,RCV00000076,POL0000001169,SKU0000396,500,0,Damaged packaging
RCL0000000135,RCV00000077,POL0000001845,SKU0000415,500,1,
RCL0000000136,RCV00000078,POL0000001329,SKU0000186,375,1,Damaged packaging
RCL0000000137,RCV00000079,POL0000000242,SKU0000533,75,1,Incorrect item
RCL0000000138,RCV00000080,POL0000001236,SKU0000501,550,1,Damaged packaging
RCL0000000139,RCV00000081,POL0000000113,SKU0000511,0,0,Damaged packaging
RCL0000000140,RCV00000081,POL0000000114,SKU0000674,750,1,Incorrect item
RCL0000000141,RCV00000082,POL0000001551,SKU0000110,110,,
RCL0000000142,RCV00000082,POL0000001550,SKU0000394,75,0,Damaged packaging
RCL0000000143,RCV00000083,POL0000000888,SKU0000432,250,,
RCL0000000144,RCV00000084,POL0000002001,SKU0000380,75,2,
RCL0000000145,RCV00000084,POL0000002002,SKU0000071,75,1,
RCL0000000146,RCV00000085,POL0000000588,SKU0000509,110,0,Incorrect item
RCL0000000147,RCV00000085,POL0000000590,SKU0000127,500,1,Incorrect item
RCL0000000148,RCV00000085,POL0000000589,SKU0000076,75,0,
RCL0000000149,RCV00000086,POL0000001336,SKU0000489,55,0,Incorrect item
RCL0000000150,RCV00000086,POL0000001337,SKU0000008,1100,5,Damaged packaging
RCL0000000151,RCV00000087,POL0000000702,SKU0000227,0,0,
RCL0000000152,RCV00000088,POL0000001298,SKU0000634,1100,5,
RCL0000000153,RCV00000088,POL0000001296,SKU0000335,0,5,Temperature breach
RCL0000000154,RCV00000088,POL0000001297,SKU0000650,750,2,Damaged packaging
RCL0000000155,RCV00000089,POL0000000606,SKU0000259,25,0,Damaged packaging
RCL0000000156,RCV00000089,POL0000000607,SKU0000114,50,0,Incorrect item
RCL0000000157,RCV00000089,POL0000000608,SKU0000583,250,1,Temperature breach
RCL0000000158,RCV00000090,POL0000000840,SKU0000399,75,0,Damaged packaging
RCL0000000159,RCV00000090,POL0000000841,SKU0000337,0,,Incorrect item
RCL0000000160,RCV00000090,POL0000000842,SKU0000611,50,1,Damaged packaging
RCL0000000161,RCV00000090,POL0000000843,SKU0000511,50,0,
RCL0000000162,RCV00000091,POL0000001049,SKU0000041,55,1,
RCL0000000163,RCV00000091,POL0000001048,SKU0000302,0,0,Temperature breach
RCL0000000164,RCV00000092,POL0000001914,SKU0000210,37,2,Damaged packaging
RCL0000000165,RCV00000093,POL0000000417,SKU0000141,500,0,Damaged packaging
RCL0000000166,RCV00000094,POL0000000584,SKU0000209,110,0,Temperature breach
RCL0000000167,RCV00000094,POL0000000585,SKU_UNKNOWN,500,2,Temperature breach
RCL0000000168,RCV00000095,POL0000001816,SKU0000585,250,,Temperature breach
RCL0000000169,RCV00000095,POL0000001815,SKU0000384,275,1,Incorrect item
RCL0000000170,RCV00000096,POL0000000767,SKU0000457,1000,1,Temperature breach
RCL0000000171,RCV00000097,POL0000000284,SKU0000272,275,,
RCL0000000172,RCV00000097,POL0000000283,SKU0000182,250,0,
RCL0000000173,RCV00000097,POL0000000282,SKU0000454,0,0,Temperature breach
RCL0000000174,RCV00000098,POL0000000762,SKU0000118,37,2,Incorrect item
RCL0000000175,RCV00000098,POL0000000763,SKU0000028,110,0,Temperature breach
RCL0000000176,RCV00000099,POL0000000900,SKU0000432,187,2,
RCL0000000177,RCV00000099,POL0000000901,SKU0000102,50,1,Damaged packaging
RCL0000000178,RCV00000099,POL0000000902,SKU0000122,250,,Incorrect item
RCL0000000179,RCV00000100,POL0000000730,SKU0000417,250,5,Temperature breach
RCL0000000180,RCV00000100,POL0000000729,SKU0000233,0,2,Temperature breach
RCL0000000181,RCV00000101,POL0000000856,SKU0000596,500,0,
RCL0000000182,RCV_UNKNOWN,POL0000000558,SKU0000099,50,5,Incorrect item
RCL0000000183,RCV00000102,POL0000000559,SKU0000501,25,5,Temperature breach
RCL0000000184,RCV00000103,POL0000001810,SKU0000502,750,0,
RCL0000000185,RCV00000104,POL0000001424,SKU0000523,37,0,
RCL0000000186,RCV00000104,POL0000001423,SKU0000164,25,0,Damaged packaging
RCL0000000187,RCV00000104,POL0000001422,SKU0000463,55,,Incorrect item
RCL0000000188,RCV00000105,POL0000000760,SKU0000272,50,0,Damaged packaging
RCL0000000189,RCV00000105,POL0000000759,SKU0000618,1100,0,
RCL0000000190,RCV00000105,POL0000000758,SKU0000076,1000,0,Damaged packaging
RCL0000000191,RCV00000106,POL0000000895,SKU0000023,250,5,Damaged packaging
RCL0000000192,RCV00000107,POL0000001242,SKU0000460,250,0,
RCL0000000193,RCV00000107,POL0000001240,SKU0000003,275,2,Incorrect item
RCL0000000194,RCV00000108,POL0000001798,SKU0000615,50,0,Incorrect item
RCL0000000195,RCV00000109,POL0000001638,SKU0000425,275,2,
RCL0000000196,RCV00000110,POL0000001264,SKU0000415,125,2,Damaged packaging
RCL0000000197,RCV00000111,POL0000001764,SKU0000207,55,5,Incorrect item
RCL0000000198,RCV00000112,POL0000000744,SKU0000387,75,5,Damaged packaging
RCL0000000199,RCV00000112,POL0000000743,SKU0000012,550,2,Damaged packaging
RCL0000000200,RCV00000113,POL0000000069,SKU0000012,50,1,Damaged packaging
RCL0000000201,RCV00000113,POL0000000068,SKU0000661,125,0,
RCL0000000202,RCV00000114,POL0000001278,SKU0000048,0,,Temperature breach
RCL0000000203,RCV00000114,POL0000001279,SKU0000077,0,5,Damaged packaging
RCL0000000204,RCV00000114,POL0000001277,SKU0000004,110,,Incorrect item
RCL0000000205,RCV00000115,POL0000000988,SKU0000053,250,0,Temperature breach
RCL0000000206,RCV00000116,POL0000001622,SKU0000617,bad,0,Temperature breach
RCL0000000207,RCV00000116,POL0000001621,SKU_UNKNOWN,375,,Damaged packaging
RCL0000000208,RCV00000117,POL0000000994,SKU0000270,0,0,Temperature breach
RCL0000000209,RCV00000117,POL0000000996,SKU0000083,1000,5,Damaged packaging
RCL0000000210,RCV00000117,POL0000000995,SKU0000004,50,,Incorrect item
RCL0000000211,RCV00000118,POL0000000747,SKU0000524,125,,
RCL0000000212,RCV00000118,POL0000000746,SKU0000393,500,5,
RCL0000000213,RCV00000118,POL0000000748,SKU0000055,550,0,Damaged packaging
RCL0000000214,RCV00000119,POL0000000061,SKU0000199,125,,
RCL0000000215,RCV00000119,POL0000000060,SKU0000181,275,5,
RCL0000000216,RCV00000119,POL0000000059,SKU0000002,187,1,Damaged packaging
RCL0000000217,RCV00000120,POL0000000320,SKU0000385,110,1,Damaged packaging
RCL0000000218,RCV00000121,POL0000001035,SKU0000481,100,0,Incorrect item
RCL0000000219,RCV00000121,POL0000001036,SKU0000076,375,0,
RCL0000000220,RCV00000122,POL0000000726,SKU0000167,75,0,Damaged packaging
RCL0000000221,RCV00000123,POL0000001143,SKU0000441,0,5,Damaged packaging
RCL0000000222,RCV00000123,POL0000001144,SKU0000529,0,5,Damaged packaging
RCL0000000223,RCV00000124,POL0000000149,SKU0000249,1100,0,Damaged packaging
RCL0000000224,RCV00000124,POL0000000148,SKU0000361,550,1,Damaged packaging
RCL0000000225,RCV00000125,POL0000000243,SKU0000200,275,2,Temperature breach
RCL0000000226,RCV00000126,POL0000000610,SKU0000121,275,2,Temperature breach
RCL0000000227,RCV00000127,POL0000000172,SKU0000321,375,0,Temperature breach
RCL0000000228,RCV00000127,POL0000000171,SKU0000032,55,1,Temperature breach
RCL0000000229,RCV00000127,POL0000000170,SKU0000357,0,,
RCL0000000230,RCV00000128,POL0000000974,SKU0000156,110,,Temperature breach
RCL0000000231,RCV00000128,POL0000000975,SKU0000228,500,0,
RCL0000000232,RCV00000129,POL0000000196,SKU0000441,0,1,Temperature breach
RCL0000000233,RCV00000130,POL0000000927,SKU0000265,125,2,
RCL0000000234,RCV00000130,POL0000000928,SKU0000478,100,0,Damaged packaging
RCL0000000235,RCV00000131,POL0000001084,SKU0000396,250,2,Temperature breach
RCL0000000236,RCV00000131,POL0000001085,SKU0000633,25,0,Damaged packaging
RCL0000000237,RCV00000131,POL0000001083,SKU0000039,55,0,Incorrect item
RCL0000000238,RCV00000132,POL0000000073,SKU0000222,25,1,Incorrect item
RCL0000000239,RCV00000133,POL0000001517,SKU0000659,250,0,Temperature breach
RCL0000000240,RCV00000133,POL0000001515,SKU0000198,750,0,
RCL0000000241,RCV00000133,POL0000001516,SKU0000026,750,,
RCL0000000242,RCV00000134,POL0000000788,SKU0000444,375,0,Damaged packaging
RCL0000000243,RCV00000134,POL0000000790,SKU0000172,110,,Damaged packaging
RCL0000000244,RCV00000135,POL0000001140,SKU0000078,0,,Incorrect item
RCL0000000245,RCV00000135,POL0000001139,SKU0000040,50,0,Incorrect item
RCL0000000246,RCV00000135,POL0000001138,SKU0000407,550,2,Incorrect item
RCL0000000247,RCV00000136,POL0000001476,SKU0000521,0,,
RCL0000000248,RCV00000136,POL0000001475,SKU0000120,275,2,Temperature breach
RCL0000000249,RCV00000136,POL0000001474,SKU0000124,75,0,Damaged packaging
RCL0000000250,RCV00000136,POL0000001477,SKU0000626,250,5,Incorrect item
RCL0000000251,RCV00000137,POL0000001123,SKU0000550,0,,
RCL0000000252,RCV00000137,POL0000001122,SKU0000101,275,,Damaged packaging
RCL0000000253,RCV00000137,POL0000001124,SKU0000335,187,2,Temperature breach
RCL0000000254,RCV00000138,POL0000000092,SKU0000607,110,1,Incorrect item
RCL0000000255,RCV00000138,POL0000000093,SKU0000270,750,2,
RCL0000000256,RCV00000138,POL0000000091,SKU0000143,0,,Incorrect item
RCL0000000257,RCV00000139,POL0000000260,SKU0000124,750,1,Damaged packaging
RCL0000000258,RCV00000140,POL0000000400,SKU0000396,750,0,
RCL0000000259,RCV00000140,POL0000000401,SKU0000227,500,0,Damaged packaging
RCL0000000260,RCV00000141,POL0000001104,SKU0000010,125,1,
RCL0000000261,RCV00000141,POL0000001105,SKU0000550,750,0,
RCL0000000262,RCV00000141,POL0000001106,SKU0000415,50,0,Temperature breach
RCL0000000263,RCV00000142,POL0000000766,SKU0000355,110,0,Damaged packaging
RCL0000000264,RCV00000143,POL0000001282,SKU0000058,375,5,Incorrect item
RCL0000000265,RCV00000144,POL0000000141,SKU0000558,50,5,Damaged packaging
RCL0000000266,RCV00000145,POL0000001369,SKU0000022,0,1,Incorrect item
RCL0000000267,RCV00000145,POL0000001368,SKU0000040,250,0,Incorrect item
RCL0000000268,RCV00000146,POL0000001929,SKU0000596,75,0,Incorrect item
RCL0000000269,RCV00000146,POL0000001930,SKU0000521,0,5,Temperature breach
RCL0000000270,RCV00000147,POL0000000538,SKU0000588,50,0,Temperature breach
RCL0000000271,RCV00000147,POL0000000539,SKU0000034,55,1,Incorrect item
RCL0000000272,RCV00000148,POL0000001125,SKU0000204,50,0,Temperature breach
RCL0000000273,RCV00000149,POL0000000367,SKU0000026,50,,Damaged packaging
RCL0000000274,RCV00000149,POL0000000369,SKU0000637,0,5,Incorrect item
RCL0000000275,RCV00000150,POL0000000121,SKU0000325,50,0,
RCL0000000276,RCV00000150,POL0000000122,SKU0000572,375,0,
RCL0000000277,RCV00000151,POL0000000020,SKU0000392,50,2,Temperature breach
RCL0000000278,RCV00000152,POL0000001262,SKU0000492,100,,Temperature breach
RCL0000000279,RCV00000152,POL0000001261,SKU0000308,100,0,Temperature breach
RCL0000000280,RCV00000153,POL0000000569,SKU0000560,55,0,Damaged packaging
RCL0000000281,RCV00000153,POL0000000571,SKU0000163,50,,Temperature breach
RCL0000000282,RCV00000154,POL0000000728,SKU0000181,0,2,Incorrect item
RCL0000000283,RCV00000155,POL0000001352,SKU0000163,750,0,
RCL0000000284,RCV00000156,POL0000001811,SKU0000091,0,0,Temperature breach
RCL0000000285,RCV00000156,POL0000001812,SKU0000302,500,0,Incorrect item
RCL0000000286,RCV00000157,POL0000001844,SKU0000129,275,,
RCL0000000287,RCV00000158,POL0000001982,SKU0000183,100,,
RCL0000000288,RCV00000158,POL0000001981,SKU0000462,0,5,
RCL0000000289,RCV00000158,POL0000001980,SKU0000328,275,2,Damaged packaging
RCL0000000290,RCV00000159,POL0000001702,SKU0000030,0,,
RCL0000000291,RCV00000160,POL0000001367,SKU0000265,0,0,Temperature breach
RCL0000000292,RCV00000161,POL0000000021,SKU0000326,0,,Damaged packaging
RCL0000000293,RCV00000161,POL0000000022,SKU0000097,250,,
RCL0000000294,RCV00000161,POL0000000023,SKU0000395,37,0,
RCL0000000295,RCV00000162,POL0000001086,SKU0000141,0,,Incorrect item
RCL0000000296,RCV00000162,POL0000001087,SKU0000437,275,,Incorrect item
RCL0000000297,RCV00000163,POL0000001134,SKU0000510,1000,,Incorrect item
RCL0000000298,RCV00000164,POL0000000359,SKU0000104,250,0,Temperature breach
RCL0000000299,RCV00000165,POL0000001069,SKU0000567,1000,0,
RCL0000000300,RCV00000166,POL0000001969,SKU0000675,550,0,Damaged packaging
RCL0000000301,RCV00000166,POL0000001968,SKU0000025,750,0,Temperature breach
RCL0000000302,RCV00000166,POL0000001970,SKU0000596,500,0,Temperature breach
RCL0000000303,RCV00000167,POL0000000385,SKU0000340,100,0,Damaged packaging
RCL0000000304,RCV00000167,POL0000000387,SKU0000139,125,0,Temperature breach
RCL0000000305,RCV00000168,POL0000001354,SKU0000668,1100,2,Damaged packaging
RCL0000000306,RCV00000169,POL0000000785,SKU0000484,0,2,Temperature breach
RCL0000000307,RCV00000169,POL0000000784,SKU0000200,50,2,
RCL0000000308,RCV00000169,POL0000000786,SKU0000208,100,0,Temperature breach
RCL0000000309,RCV00000170,POL0000000302,SKU0000277,110,,Incorrect item
RCL0000000310,RCV00000170,POL0000000303,SKU0000351,500,5,Incorrect item
RCL0000000311,RCV00000171,POL0000001247,SKU0000239,750,,Incorrect item
RCL0000000312,RCV00000172,POL0000001405,SKU0000141,0,1,Incorrect item
RCL0000000313,RCV00000172,POL0000001406,SKU0000396,75,0,
RCL0000000314,RCV00000172,POL0000001404,SKU0000368,500,0,
RCL0000000315,RCV00000173,POL0000001647,SKU0000045,250,1,Temperature breach
RCL0000000316,RCV00000174,POL0000000281,SKU0000261,55,0,
RCL0000000317,RCV00000175,POL0000001465,SKU0000236,1100,2,Temperature breach
RCL0000000318,RCV00000175,POL0000001463,SKU0000384,75,0,
RCL0000000319,RCV00000176,POL0000001314,SKU0000007,500,0,Damaged packaging
RCL0000000320,RCV00000177,POL0000000371,SKU0000055,0,1,Damaged packaging
RCL0000000321,RCV00000178,POL0000000544,SKU0000356,1000,2,Incorrect item
RCL0000000322,RCV00000179,POL0000000133,SKU0000268,187,2,Incorrect item
RCL0000000323,RCV00000179,POL0000000135,SKU0000147,750,0,Incorrect item
RCL0000000324,RCV00000180,POL0000000663,SKU0000499,75,2,Damaged packaging
RCL0000000325,RCV00000180,POL0000000664,SKU0000407,500,1,Damaged packaging
RCL0000000326,RCV00000181,POL0000001696,SKU0000064,0,1,Incorrect item
RCL0000000327,RCV00000181,POL0000001695,SKU0000553,275,0,
RCL0000000328,RCV00000182,POL0000000431,SKU0000182,50,0,
RCL0000000329,RCV00000182,POL0000000432,SKU0000293,375,1,Incorrect item
RCL0000000330,RCV00000182,POL0000000433,SKU0000103,0,1,
RCL0000000331,RCV00000183,POL0000001977,SKU0000026,250,0,
RCL0000000332,RCV00000183,POL0000001978,SKU0000106,75,,Incorrect item
RCL0000000333,RCV00000184,POL0000000880,SKU0000510,100,0,
RCL0000000334,RCV00000185,POL0000001689,SKU0000589,187,0,Temperature breach
RCL0000000335,RCV00000185,POL0000001690,SKU0000307,50,0,Damaged packaging
RCL0000000336,RCV00000186,POL0000001546,SKU0000583,250,0,Temperature breach
RCL0000000337,RCV00000186,POL0000001544,SKU0000326,750,5,
RCL0000000338,RCV00000187,POL0000001020,SKU0000412,275,0,Incorrect item
RCL0000000339,RCV00000187,POL0000001021,SKU0000530,0,0,Temperature breach
RCL0000000340,RCV00000188,POL0000000932,SKU0000262,500,2,Damaged packaging
RCL0000000341,RCV00000188,POL0000000931,SKU0000122,250,0,Incorrect item
RCL0000000342,RCV00000188,POL0000000930,SKU0000047,125,0,Damaged packaging
RCL0000000343,RCV00000189,POL0000000305,SKU0000005,37,0,Incorrect item
RCL0000000344,RCV00000190,POL0000001401,SKU0000674,125,2,Incorrect item
RCL0000000345,RCV00000191,POL0000000987,SKU0000524,250,1,Incorrect item
RCL0000000346,RCV00000191,POL0000000986,SKU0000100,250,1,Incorrect item
RCL0000000347,RCV00000192,POL0000000245,SKU0000482,bad,0,Incorrect item
RCL0000000348,RCV00000192,POL0000000247,SKU0000579,0,5,Damaged packaging
RCL0000000349,RCV00000192,POL0000000244,SKU0000304,75,,Damaged packaging
RCL0000000350,RCV00000192,POL0000000246,SKU0000448,500,0,Incorrect item
RCL0000000351,RCV00000193,POL0000000508,SKU0000672,75,5,Damaged packaging
RCL0000000352,RCV00000194,POL0000001823,SKU0000337,100,0,
RCL0000000353,RCV00000194,POL0000001822,SKU0000626,50,0,Incorrect item
RCL0000000354,RCV00000194,POL0000001824,SKU0000320,250,,Incorrect item
RCL0000000355,RCV00000195,POL0000001429,SKU0000455,110,5,Incorrect item
RCL0000000356,RCV00000195,POL0000001428,SKU0000676,0,0,
RCL0000000357,RCV00000196,POL0000000973,SKU0000453,275,0,
RCL0000000358,RCV00000197,POL0000001216,SKU0000585,25,1,
RCL0000000359,RCV00000197,POL0000001215,SKU0000553,100,2,Damaged packaging
RCL0000000360,RCV00000197,POL0000001214,SKU0000065,0,0,Damaged packaging
