po_id,supplier_id,warehouse_id,po_date,expected_receipt_date,po_status,currency,created_by,source_system
PO00000186,SUP00078,WH0002,2026-04-25,2026-05-01,Cancelled,MXN,buyer_2,erp
PO00000187,SUP00063,WH0008,2026-03-07,2026-03-17,Approved,EUR,planner_a,erp
PO00000188,SUP00023,WH0020,02/10/2026,2026-03-13,Received,CNY,planner_b,erp
PO00000189,SUP00038,WH0020,2026-01-10,2026-02-13,Partially Received,USD,planner_c,erp
PO00000190,SUP00003,WH0023,2026-03-21,2026-04-29,Partially Received,CNY,planner_b,erp
PO00000191,SUP00044,WH0011,2026-02-27,2026-03-19,Partially Received,USD,planner_b,erp
PO00000192,SUP00045,WH0012,04/19/2026,2026-05-05,Approved,USD,buyer_2,erp
PO00000193,SUP00112,WH0016,2026-04-07,2026-04-16,Created,USD,planner_c,erp
PO00000194,SUP00105,WH0023,2026-01-22,2026-03-03,Created,CNY,buyer_2,erp
PO00000195,SUP00025,WH0010,02/19/2026,2026-03-31,Received,MXN,buyer_2,erp
PO00000196,SUP00056,WH0021,03/31/2026,2026-04-14,Cancelled,USD,planner_c,erp
PO00000197,SUP00067,WH0021,2025-12-21,2026-01-24,Received,USD,planner_b,erp
PO00000198,SUP00098,WH0025,12/21/2025,2026-01-10,approved ,USD,buyer_1,erp
PO00000199,SUP00070,WH0013,2026-01-29,2026-02-06,approved ,CAD,buyer_1,erp
PO00000200,SUP00105,WH0013,01/23/2026,2026-01-31,Received,CAD,planner_b,erp
PO00000201,SUP00078,WH0023,12/10/2025,2025-12-17,approved ,CAD,buyer_1,erp
PO00000202,SUP00079,WH0001,04/03/2026,2026-05-09,Created,CAD,planner_b,erp
PO00000203,SUP00024,WH0017,2026-04-06,2026-04-18,Received,EUR,planner_b,erp
PO00000204,SUP00083,WH0007,2026-05-11,2026-05-25,Received,EUR,planner_b,erp
PO00000205,SUP00048,WH0008,12/20/2025,2026-01-25,Received,MXN,planner_c,erp
PO00000206,SUP00015,WH0003,2026-01-27,2026-02-23,Created,CAD,buyer_2,erp
PO00000207,SUP00117,WH0024,01/17/2026,2026-01-24,Partially Received,USD,planner_c,erp
PO00000208,SUP00056,WH0015,02/03/2026,2026-02-21,Created,MXN,planner_a,erp
PO00000209,SUP00096,WH0011,03/05/2026,2026-04-05,Created,EUR,planner_c,erp
PO00000210,SUP00005,WH0021,2026-02-28,2026-04-07,Cancelled,EUR,buyer_1,erp
PO00000211,SUP00033,WH0011,2026-03-07,2026-03-19,Created,CAD,buyer_2,erp
PO00000212,SUP00006,WH0014,2026-03-05,2026-03-21,Approved,MXN,planner_c,erp
PO00000213,SUP00064,WH0020,03/06/2026,2026-03-25,Partially Received,CAD,buyer_2,erp
PO00000214,SUP00104,WH0020,2026-03-17,2026-04-23,Partially Received,USD,planner_b,erp
PO00000215,SUP00025,WH0007,03/14/2026,2026-04-17,Created,CAD,buyer_1,erp
PO00000216,SUP00051,WH0004,04/28/2026,2026-05-29,Cancelled,CNY,buyer_2,erp
PO00000217,SUP00002,WH0004,2026-04-10,2026-04-30,Received,CNY,buyer_2,erp
PO00000218,SUP00081,WH0011,2026-04-29,2026-05-06,Created,MXN,buyer_1,erp
PO00000219,SUP00079,WH0016,2026-03-12,2026-04-01,Partially Received,CNY,planner_a,erp
PO00000220,SUP00086,WH0006,2025-12-16,2026-01-12,Received,MXN,planner_a,erp
PO00000221,SUP00020,WH0001,2026-03-12,2026-03-26,Approved,USD,buyer_2,erp
PO00000222,SUP00055,WH0007,05/05/2026,2026-05-11,Approved,CNY,buyer_2,erp
PO00000223,SUP00064,WH0002,2025-12-16,2026-01-26,Partially Received,USD,planner_b,erp
PO00000224,SUP00099,WH0021,12/10/2025,2025-12-30,Received,EUR,buyer_2,erp
PO00000225,SUP00002,WH0005,2026-03-16,2026-04-23,Approved,USD,planner_c,erp
PO00000226,SUP00013,WH0005,2026-01-01,2026-02-11,Received,EUR,buyer_1,erp
PO00000227,SUP00061,WH0023,03/08/2026,2026-04-11,Cancelled,USD,planner_c,erp
PO00000228,SUP00043,WH0014,2026-05-14,2026-06-27,Approved,CAD,planner_c,erp
PO00000229,SUP00031,WH0008,2026-04-16,2026-05-18,approved ,CAD,planner_b,erp
PO00000230,SUP00061,WH0008,01/24/2026,2026-03-03,Received,CAD,buyer_2,erp
PO00000231,SUP00046,WH0002,2026-03-21,2026-04-27,Partially Received,MXN,planner_a,erp
PO00000232,SUP00114,WH0011,2025-12-02,2025-12-07,Approved,EUR,planner_a,erp
PO00000233,SUP00050,WH0004,04/11/2026,2026-05-13,Created,USD,planner_b,erp
PO00000234,SUP00101,WH0010,2026-02-11,2026-02-19,Cancelled,USD,planner_c,erp
PO00000235,SUP00074,WH0005,04/12/2026,2026-05-08,Received,USD,buyer_2,erp
PO00000236,SUP00052,WH0002,2026-04-13,2026-05-13,Created,USD,buyer_1,erp
PO00000237,SUP00065,WH0009,05/12/2026,2026-05-29,Created,CNY,planner_b,erp
PO00000238,SUP00089,WH0015,01/17/2026,2026-02-09,Received,MXN,buyer_2,erp
PO00000239,SUP00054,WH0008,2025-12-12,2026-01-21,Approved,USD,buyer_1,erp
PO00000240,SUP00013,WH0013,05/02/2026,2026-05-18,Received,CNY,buyer_1,erp
PO00000241,SUP00096,WH0023,12/07/2025,2025-12-31,approved ,USD,planner_c,erp
PO00000242,SUP00017,WH0005,04/05/2026,2026-05-20,Approved,CAD,buyer_1,erp
PO00000243,SUP00039,WH0001,2026-02-03,2026-02-14,Cancelled,USD,planner_b,erp
PO00000244,SUP00039,WH0005,12/05/2025,2025-12-13,Approved,CAD,buyer_2,erp
PO00000245,SUP00096,WH0006,2026-01-12,2026-02-22,Created,USD,planner_c,erp
PO00000246,SUP00114,WH0023,2025-12-02,2026-01-12,Approved,EUR,planner_a,erp
PO00000247,SUP00082,WH0016,2026-02-02,2026-02-27,Created,CAD,planner_c,erp
PO00000248,SUP00089,WH0013,12/23/2025,2026-01-10,Received,USD,buyer_1,erp
PO00000249,SUP00007,WH0007,2026-03-21,2026-04-27,Created,USD,planner_b,erp
PO00000250,SUP00074,WH0012,2026-04-24,2026-05-30,Created,USD,buyer_1,erp
PO00000251,SUP00109,WH0024,2025-12-04,2025-12-19,Created,USD,buyer_1,erp
PO00000252,SUP00074,WH_UNKNOWN,02/02/2026,2026-03-19,Created,USD,planner_a,erp
PO00000253,SUP00005,WH0025,2026-03-02,2026-03-29,Approved,CAD,planner_c,erp
PO00000254,SUP00014,WH0006,01/04/2026,2026-02-13,approved ,EUR,buyer_1,erp
PO00000255,SUP00060,WH0022,02/06/2026,2026-03-06,Created,MXN,buyer_1,erp
PO00000256,SUP00091,WH0010,2026-03-13,2026-04-02,approved ,MXN,buyer_2,erp
PO00000257,SUP00087,WH0022,2025-12-17,2026-01-17,approved ,CAD,planner_c,erp
PO00000258,SUP00106,WH0009,2026-03-03,2026-04-16,approved ,CNY,planner_c,erp
PO00000259,SUP00003,WH0017,12/13/2025,2026-01-10,Cancelled,USD,planner_c,erp
PO00000260,SUP00030,WH0025,2026-03-29,2026-05-03,Received,EUR,buyer_2,erp
PO00000261,SUP00026,WH0003,2026-01-30,2026-03-16,approved ,CAD,planner_a,erp
PO00000262,SUP00021,WH0001,2026-03-30,2026-05-02,Approved,MXN,buyer_2,erp
PO00000263,SUP00099,WH0022,2025-12-07,2025-12-28,Cancelled,USD,planner_b,erp
PO00000264,SUP00028,WH0021,2026-02-05,2026-02-27,Approved,CNY,buyer_2,erp
PO00000265,SUP00117,WH0025,2026-01-22,2026-02-25,Cancelled,USD,planner_b,erp
PO00000266,SUP00012,WH0014,04/20/2026,2026-05-26,Partially Received,CNY,buyer_1,erp
PO00000267,SUP00093,WH0018,12/21/2025,2025-12-27,approved ,MXN,planner_b,erp
PO00000268,SUP00002,WH0025,2026-01-21,2026-02-02,Received,EUR,planner_b,erp
PO00000269,SUP00063,WH0005,01/23/2026,2026-02-27,Approved,CNY,planner_b,erp
PO00000270,SUP00029,WH0012,12/27/2025,2026-01-05,approved ,USD,planner_b,erp
PO00000271,SUP00093,WH0025,01/08/2026,2026-02-16,Cancelled,EUR,buyer_1,erp
PO00000272,SUP00034,WH0015,03/22/2026,2026-04-29,Approved,CNY,planner_a,erp
PO00000273,SUP00025,WH0020,03/12/2026,2026-04-23,approved ,CNY,planner_a,erp
PO00000274,SUP00083,WH0016,2026-04-05,2026-04-18,Cancelled,USD,planner_a,erp
PO00000275,SUP00075,WH0018,12/22/2025,2026-01-09,Partially Received,EUR,planner_a,erp
PO00000276,SUP00070,WH0014,01/15/2026,2026-02-08,Cancelled,USD,planner_b,erp
PO00000277,SUP00031,WH0018,2025-12-23,2026-02-06,Cancelled,EUR,buyer_2,erp
PO00000278,SUP00071,WH0013,03/21/2026,2026-04-19,Created,MXN,planner_a,erp
PO00000279,SUP00091,WH0001,2025-12-20,2026-01-13,Approved,MXN,planner_a,erp
PO00000280,SUP00009,WH0010,2025-12-24,2026-01-17,Received,CNY,planner_b,erp
PO00000281,SUP00086,WH0005,2025-12-18,2025-12-29,approved ,USD,planner_c,erp
PO00000282,SUP00099,WH0019,02/11/2026,2026-02-19,Partially Received,USD,planner_c,erp
PO00000283,SUP00026,WH0013,01/14/2026,2026-02-28,Cancelled,EUR,buyer_2,erp
PO00000284,SUP00099,WH0019,2026-01-09,2026-02-03,Partially Received,CNY,planner_b,erp
PO00000285,SUP00058,WH0004,04/14/2026,2026-05-18,Received,USD,buyer_2,erp
PO00000286,SUP00067,WH0010,2026-01-09,2026-01-29,approved ,MXN,planner_a,erp
PO00000287,SUP00027,WH0010,04/20/2026,2026-05-15,Approved,EUR,planner_b,erp
PO00000288,SUP00033,WH0025,2026-01-26,2026-03-10,approved ,MXN,buyer_2,erp
PO00000289,SUP00010,WH0007,2026-02-22,2026-03-23,Received,EUR,planner_c,erp
PO00000290,SUP00019,WH0013,2025-12-26,2026-02-01,Received,MXN,buyer_1,erp
PO00000291,SUP00093,WH0016,2026-03-31,2026-04-10,Cancelled,CAD,buyer_1,erp
PO00000292,SUP00072,WH0003,05/03/2026,2026-06-02,Approved,USD,buyer_1,erp
PO00000293,SUP00064,WH0011,12/04/2025,2026-01-07,approved ,EUR,planner_a,erp
