invoice_id,order_id,customer_id,invoice_date,due_date,invoice_amount,currency,invoice_status
INV00000243,SO00002395,CUST000165,2026-03-12,2026-04-11,11959.39,USD,Partially Paid
INV00000244,SO00000254,CUST000226,05/10/2026,2026-05-25,37102.99,USD,Cancelled
INV00000245,SO00002452,CUST000358,2026-02-08,2026-03-25,42294.95,EUR,Cancelled
INV00000246,SO00000433,CUST000262,2026-01-19,2026-03-20,8421.38,EUR,Paid
INV00000247,SO00002385,CUST000008,2026-01-12,2026-03-13,38616.87,USD,Partially Paid
INV00000248,SO00001449,CUST000430,2026-05-29,2026-06-28,30907.23,EUR,Open
INV00000249,SO00002275,CUST000251,2026-03-20,2026-04-04,29914.70,USD,open 
INV00000250,SO00000410,CUST000412,03/16/2026,2026-04-15,19499.03,EUR,open 
INV00000251,SO00000478,CUST000235,2026-01-19,2026-03-05,5318.80,EUR,Cancelled
INV00000252,SO00002430,CUST000429,2026-01-23,2026-03-24,44346.23,MXN,open 
INV00000253,SO00001892,CUST000088,2026-01-12,2026-02-26,13697.51,MXN,Partially Paid
INV00000254,SO00001754,CUST000183,2026-04-11,2026-05-26,32808.51,USD,Paid
INV00000255,SO00002312,CUST000025,03/20/2026,2026-05-04,41887.70,USD,Paid
INV00000256,SO00000873,CUST000353,04/05/2026,2026-04-20,37182.96,USD,open 
INV00000257,SO00000481,CUST000248,02/09/2026,2026-02-24,9456.09,USD,Cancelled
INV00000258,SO00002098,CUST000165,03/03/2026,2026-03-18,37514.19,EUR,Open
INV00000259,SO00001913,CUST000080,02/21/2026,2026-04-07,31597.79,CAD,open 
INV00000260,SO00001242,CUST000286,06/04/2026,2026-07-19,34605.92,USD,Open
INV00000261,SO00000900,CUST000274,02/21/2026,2026-03-23,13241.53,MXN,Open
INV00000262,SO00000301,CUST000366,2026-01-25,2026-02-09,24832.60,USD,Paid
INV00000263,SO00000396,CUST000034,2026-06-10,2026-07-10,30316.24,EUR,Cancelled
INV00000264,SO00002243,CUST000333,2026-05-06,2026-06-05,32125.43,CAD,open 
INV00000265,SO00002433,CUST000292,02/21/2026,2026-04-22,26422.72,USD,Partially Paid
INV00000266,SO00000128,CUST000182,2026-02-05,2026-03-22,31652.34,EUR,Partially Paid
INV00000267,SO00002041,CUST000095,2026-03-16,2026-05-15,11616.58,USD,open 
INV00000268,SO00002326,CUST000391,2026-01-28,2026-03-14,30416.23,USD,open 
INV00000269,SO00001300,CUST000365,05/23/2026,2026-06-22,40855.46,USD,Paid
INV00000270,SO00002038,CUST000036,2026-04-07,2026-06-06,32172.38,CAD,Paid
INV00000271,SO00001444,CUST000182,2026-06-01,2026-06-16,29369.83,CAD,Partially Paid
INV00000272,SO00002197,CUST000030,2026-05-03,2026-07-02,5632.49,USD,Partially Paid
INV00000273,SO00002114,CUST000330,03/06/2026,2026-04-20,22769.27,USD,Partially Paid
INV00000274,SO00000912,CUST000140,03/22/2026,2026-05-06,43785.47,USD,Paid
INV00000275,SO00000591,CUST000440,2026-04-23,2026-06-07,25856.17,USD,Partially Paid
INV00000276,SO00001126,CUST000420,02/24/2026,2026-04-25,14936.69,USD,Cancelled
INV00000277,SO00001944,CUST000068,01/30/2026,2026-02-14,28327.67,USD,Cancelled
INV00000278,SO00002026,CUST000166,2026-03-04,2026-03-19,41362.56,MXN,open 
INV00000279,SO00000222,CUST000140,04/03/2026,2026-05-18,43283.86,EUR,Paid
INV00000280,SO00000596,CUST000059,2026-05-14,2026-06-28,36628.68,CAD,Partially Paid
INV00000281,SO00002459,CUST000083,05/23/2026,2026-06-07,32341.48,EUR,Cancelled
INV00000282,SO00002418,CUST000386,05/07/2026,2026-06-06,6105.28,USD,Paid
INV00000283,SO00001455,CUST000115,2026-05-02,2026-06-16,30820.63,USD,Partially Paid
INV00000284,SO00000288,CUST000181,02/12/2026,2026-03-14,8579.94,USD,open 
INV00000285,SO00002102,CUST000137,01/21/2026,2026-03-22,22432.15,MXN,Open
INV00000286,SO00000497,CUST000345,2026-06-03,2026-06-18,9721.05,USD,Open
INV00000287,SO00002145,CUST000014,2026-03-17,2026-05-01,173.00,USD,Paid
INV00000288,SO00001807,CUST000144,01/19/2026,2026-03-05,35046.01,MXN,Cancelled
INV00000289,SO00000003,CUST000016,01/23/2026,2026-03-09,2341.10,CAD,Cancelled
INV00000290,SO00000870,CUST000019,2026-03-15,2026-05-14,23991.98,EUR,Paid
INV00000291,SO00002345,CUST000409,2026-05-29,2026-06-13,4121.14,MXN,open 
INV00000292,SO00001054,CUST000422,2026-01-07,2026-01-22,44164.48,USD,Paid
INV00000293,SO_UNKNOWN,CUST000435,03/26/2026,2026-04-10,17909.70,EUR,open 
INV00000294,SO00001492,CUST000184,2026-06-03,2026-08-02,13298.07,USD,Open
INV00000295,SO00002185,CUST000276,05/01/2026,2026-06-30,9525.28,MXN,Partially Paid
INV00000296,SO00001658,CUST000445,2026-02-17,2026-03-19,40005.36,CAD,Partially Paid
INV00000297,SO00002081,CUST000195,05/04/2026,2026-07-03,26585.19,CAD,open 
INV00000298,SO00000140,CUST000004,04/10/2026,2026-06-09,23748.89,EUR,Cancelled
INV00000299,SO00000953,CUST000026,03/13/2026,2026-03-28,14975.13,EUR,open 
INV00000300,SO00002263,CUST000202,2026-02-28,2026-04-29,8068.43,USD,Paid
INV00000301,SO00000381,CUST000341,2026-02-19,2026-03-21,12128.40,CAD,Paid
INV00000302,SO00000012,CUST000008,05/27/2026,2026-07-26,25580.28,USD,Cancelled
INV00000303,SO00000104,CUST000131,2026-01-16,2026-03-02,2895.58,CAD,Paid
INV00000304,SO00002405,CUST000140,2026-02-21,2026-04-07,1828.91,USD,Cancelled
INV00000305,SO00000891,CUST000227,04/24/2026,2026-05-24,19631.47,CAD,Paid
INV00000306,SO00000535,CUST000212,01/15/2026,2026-03-01,4826.83,USD,Partially Paid
INV00000307,SO00000800,CUST000106,03/06/2026,2026-04-20,43034.36,MXN,Cancelled
INV00000308,SO00000738,CUST000390,04/14/2026,2026-04-29,44212.01,USD,Partially Paid
