snapshot_date,warehouse_id,product_id,on_hand_qty,allocated_qty,available_qty,reorder_point,safety_stock_qty,inventory_status
2026-01-31,WH0001,SKU0000644,1625,30,1595,50,25,healthy 
2026-01-31,WH0001,SKU0000487,859,242,617,500,25,healthy 
2026-01-31,WH0001,SKU0000091,89,51,38,50,25,Overstock
2026-01-31,WH0001,SKU0000014,966,268,698,500,50,Low
2026-01-31,WH0001,SKU0000142,955,122,833,500,100,Stockout
2026-01-31,WH0001,SKU0000027,697,235,462,250,100,Low
2026-01-31,WH0001,SKU0000567,1690,145,1545,500,50,Stockout
2026-01-31,WH0001,SKU0000521,749,397,352,250,25,Healthy
2026-01-31,WH0001,SKU0000525,144,27,117,250,25,Stockout
2026-01-31,WH0001,SKU0000494,1035,129,906,100,200,healthy 
2026-01-31,WH0001,SKU0000119,108,46,62,500,200,Low
2026-01-31,WH0001,SKU0000468,925,335,590,50,100,Stockout
2026-01-31,WH0001,SKU0000558,1645,161,1484,250,200,healthy 
2026-01-31,WH0001,SKU0000416,1173,421,752,250,200,Stockout
2026-01-31,WH0001,SKU0000111,1457,462,995,250,25,Overstock
2026-01-31,WH0001,SKU0000269,70,54,16,50,100,Stockout
2026-01-31,WH0001,SKU0000285,1817,481,1336,250,50,Low
2026-01-31,WH0001,SKU0000590,1767,256,1511,250,50,healthy 
2026-01-31,WH0001,SKU0000527,227,35,192,500,200,healthy 
2026-01-31,WH0001,SKU0000133,1847,422,1425,500,200,Low
2026-01-31,WH0001,SKU0000155,1024,476,548,500,200,Overstock
2026-01-31,WH0001,SKU0000244,1146,367,779,50,100,Overstock
2026-01-31,WH0001,SKU0000181,763,311,452,50,200,Low
2026-01-31,WH0001,SKU0000056,30,20,10,500,25,healthy 
2026-01-31,WH0001,SKU0000135,636,37,599,250,100,Overstock
2026-01-31,WH0001,SKU0000452,1461,36,1425,500,200,Overstock
2026-01-31,WH0001,SKU0000217,0,0,0,50,50,Overstock
2026-01-31,WH0001,SKU0000631,761,313,448,50,200,healthy 
2026-01-31,WH0001,SKU0000007,1256,121,1135,50,200,Healthy
2026-01-31,WH0001,SKU0000081,1777,473,1304,100,200,healthy 
2026-01-31,WH0001,SKU0000296,1616,160,1456,250,50,Healthy
2026-01-31,WH0001,SKU0000034,519,87,432,100,25,healthy 
2026-01-31,WH0001,SKU0000290,1787,193,1594,500,200,Overstock
2026-01-31,WH0001,SKU0000216,773,22,751,500,200,Healthy
2026-01-31,WH0001,SKU0000122,490,72,418,100,100,Healthy
2026-01-31,WH0001,SKU0000437,1387,227,1160,100,50,Low
2026-01-31,WH0001,SKU0000628,801,288,513,50,25,Healthy
2026-01-31,WH0001,SKU0000470,851,267,584,500,100,Low
2026-01-31,WH0001,SKU0000243,185,74,111,100,200,Overstock
2026-01-31,WH0001,SKU0000068,23,3,20,500,50,Healthy
2026-01-31,WH0001,SKU0000063,1399,343,1056,100,25,Overstock
2026-01-31,WH0001,SKU0000195,65,59,6,100,100,healthy 
2026-01-31,WH0001,SKU0000445,22,15,7,100,100,Stockout
2026-01-31,WH0001,SKU0000222,369,179,190,250,25,Low
2026-01-31,WH0001,SKU0000233,571,264,307,50,200,Stockout
2026-01-31,WH0001,SKU0000448,743,37,706,100,100,Healthy
2026-01-31,WH0001,SKU0000021,1985,199,1786,500,100,Stockout
2026-01-31,WH0001,SKU0000606,1597,320,1277,100,25,healthy 
2026-01-31,WH0001,SKU0000053,66,43,23,250,50,Healthy
2026-01-31,WH0001,SKU0000342,486,121,365,50,50,Overstock
2026-01-31,WH0001,SKU0000385,896,130,766,100,100,Stockout
2026-01-31,WH0001,SKU_UNKNOWN,1356,200,1156,50,25,healthy 
2026-01-31,WH0001,SKU0000346,1381,411,970,50,25,Low
2026-01-31,WH0001,SKU0000226,1551,296,1255,100,50,Low
2026-01-31,WH0001,SKU0000572,966,106,860,100,200,Overstock
2026-01-31,WH0001,SKU0000402,653,334,319,250,25,Overstock
2026-01-31,WH0001,SKU0000052,1565,70,1495,250,50,Stockout
2026-01-31,WH0001,SKU0000177,490,368,122,250,100,healthy 
2026-01-31,WH0001,SKU0000359,430,42,388,100,25,Low
2026-01-31,WH0001,SKU0000245,345,60,285,50,50,healthy 
2026-01-31,WH0001,SKU0000565,545,202,343,500,50,healthy 
2026-01-31,WH0001,SKU0000239,266,153,113,50,200,Stockout
2026-01-31,WH0001,SKU0000673,1602,484,1118,250,25,Stockout
2026-01-31,WH0001,SKU0000573,1573,323,1250,50,200,Overstock
2026-01-31,WH0001,SKU0000506,401,114,287,50,25,Stockout
2026-01-31,WH0001,SKU0000261,1535,19,1516,100,25,Stockout
2026-01-31,WH0001,SKU0000382,1792,350,1442,100,200,healthy 
2026-01-31,WH0001,SKU0000070,1062,149,913,100,100,healthy 
2026-01-31,WH0001,SKU0000614,1810,402,1408,50,100,Stockout
2026-01-31,WH0001,SKU0000178,1267,254,1013,100,50,healthy 
2026-01-31,WH0001,SKU0000032,1439,19,1420,50,100,Overstock
2026-01-31,WH0001,SKU0000491,310,48,262,50,50,Low
2026-01-31,WH0001,SKU0000219,1187,333,854,250,25,Low
2026-01-31,WH0001,SKU0000403,1953,204,1749,100,100,Overstock
2026-01-31,WH0001,SKU0000318,1645,271,1374,250,25,Low
2026-01-31,WH0001,SKU0000305,1150,149,1001,50,25,Stockout
2026-01-31,WH0001,SKU0000596,1440,432,1008,100,100,Healthy
2026-01-31,WH0001,SKU0000621,1537,67,1470,500,100,Low
2026-01-31,WH0001,SKU0000379,38,6,32,50,50,healthy 
2026-01-31,WH0001,SKU0000309,1926,160,1766,250,50,healthy 
2026-01-31,WH0001,SKU0000562,208,150,58,50,200,healthy 
2026-01-31,WH0001,SKU0000005,979,4,975,50,200,Overstock
2026-01-31,WH0001,SKU0000273,1121,449,672,50,100,Overstock
2026-01-31,WH0001,SKU0000413,1044,138,906,250,200,healthy 
2026-01-31,WH0001,SKU0000337,617,290,327,100,25,Low
2026-01-31,WH0001,SKU0000629,330,153,177,250,25,healthy 
2026-01-31,WH0001,SKU0000415,44,1,43,250,100,Stockout
2026-01-31,WH0001,SKU0000493,1725,48,1677,500,50,Low
2026-01-31,WH0001,SKU0000583,1443,238,1205,500,200,Overstock
2026-01-31,WH0001,SKU0000236,1379,316,1063,50,100,Healthy
2026-01-31,WH0001,SKU0000301,142,120,22,250,200,healthy 
2026-01-31,WH0001,SKU0000372,1744,208,1536,100,200,Low
2026-01-31,WH0001,SKU0000132,1601,461,1140,500,200,healthy 
2026-01-31,WH0001,SKU0000050,1404,477,927,500,100,Low
2026-01-31,WH0001,SKU0000646,1432,421,1011,250,200,Healthy
2026-01-31,WH0001,SKU0000017,1096,411,685,100,200,Stockout
2026-01-31,WH0001,SKU0000537,862,292,570,500,25,healthy 
2026-01-31,WH0001,SKU0000054,457,387,70,100,25,Low
2026-01-31,WH0001,SKU0000666,710,370,340,500,50,Overstock
2026-01-31,WH0001,SKU0000400,978,287,691,100,200,Overstock
2026-01-31,WH0001,SKU0000193,1119,445,674,50,50,Stockout
2026-01-31,WH0001,SKU0000600,595,28,567,50,100,healthy 
2026-01-31,WH0001,SKU0000179,836,388,448,250,200,Stockout
2026-01-31,WH0001,SKU0000523,1308,259,1049,100,50,Stockout
2026-01-31,WH0001,SKU0000037,1715,144,1571,250,100,Stockout
2026-01-31,WH0001,SKU0000192,206,160,46,50,25,Stockout
2026-01-31,WH0001,SKU0000019,1051,83,968,500,200,Overstock
2026-01-31,WH0001,SKU0000578,823,101,722,500,100,healthy 
2026-01-31,WH0001,SKU0000412,157,23,134,50,25,Healthy
2026-01-31,WH0001,SKU0000029,1173,377,796,250,25,Overstock
2026-01-31,WH0001,SKU0000160,631,154,477,250,100,Overstock
2026-01-31,WH0001,SKU0000659,1274,292,982,500,200,healthy 
2026-01-31,WH0002,SKU0000161,130,2,128,50,100,Low
2026-01-31,WH0002,SKU0000359,764,145,619,500,200,Overstock
2026-01-31,WH0002,SKU0000056,1309,126,1183,250,50,Healthy
2026-01-31,WH0002,SKU0000031,1108,304,804,500,100,Stockout
2026-01-31,WH0002,SKU0000159,64,28,36,100,200,Overstock
2026-01-31,WH0002,SKU0000091,402,124,278,100,200,Healthy
2026-01-31,WH0002,SKU0000118,630,99,531,100,25,Overstock
2026-01-31,WH0002,SKU0000274,206,89,117,500,100,Low
2026-01-31,WH0002,SKU0000346,1493,317,1176,250,100,Healthy
2026-01-31,WH0002,SKU0000331,1388,191,1197,50,200,Stockout
2026-01-31,WH0002,SKU0000521,1736,220,1516,250,50,Healthy
2026-01-31,WH0002,SKU0000563,568,305,263,50,100,Low
2026-01-31,WH0002,SKU0000167,1952,413,1539,250,100,Healthy
2026-01-31,WH0002,SKU0000205,328,220,108,100,100,healthy 
2026-01-31,WH0002,SKU0000534,1448,6,1442,500,25,Healthy
2026-01-31,WH0002,SKU0000226,892,252,640,500,200,Stockout
2026-01-31,WH0002,SKU0000485,711,145,566,250,200,Stockout
2026-01-31,WH0002,SKU0000437,361,52,309,500,50,Low
2026-01-31,WH0002,SKU0000661,1190,187,1003,500,200,Stockout
2026-01-31,WH0002,SKU0000602,1219,188,1031,100,25,Healthy
2026-01-31,WH0002,SKU0000478,1032,239,793,50,25,Stockout
2026-01-31,WH0002,SKU0000231,1158,436,722,50,50,Healthy
2026-01-31,WH0002,SKU0000173,534,179,355,250,100,Overstock
2026-01-31,WH0002,SKU0000110,1114,250,864,500,25,Low
2026-01-31,WH0002,SKU0000320,15,3,12,500,100,Healthy
2026-01-31,WH0002,SKU0000666,1105,452,653,500,200,healthy 
2026-01-31,WH0002,SKU0000673,327,277,50,250,25,healthy 
2026-01-31,WH0002,SKU0000494,431,189,242,50,25,Healthy
2026-01-31,WH0002,SKU0000294,1407,211,1196,50,25,healthy 
2026-01-31,WH0002,SKU0000528,273,212,61,250,100,Stockout
2026-01-31,WH0002,SKU0000593,1223,107,1116,500,200,Low
2026-01-31,WH0002,SKU0000313,1865,131,1734,100,100,Low
2026-01-31,WH0002,SKU0000032,806,460,346,250,100,Healthy
2026-01-31,WH0002,SKU0000452,13,11,2,50,50,Healthy
2026-01-31,WH0002,SKU0000148,689,495,194,250,25,healthy 
2026-01-31,WH0002,SKU0000675,1681,161,1520,50,200,Stockout
2026-01-31,WH0002,SKU0000181,742,482,260,250,25,healthy 
2026-01-31,WH0002,SKU0000305,209,124,85,50,50,Healthy
2026-01-31,WH0002,SKU0000612,1697,255,1442,250,50,Stockout
2026-01-31,WH0002,SKU0000243,921,399,522,50,100,Healthy
2026-01-31,WH0002,SKU0000042,360,205,155,250,200,Stockout
2026-01-31,WH0002,SKU0000150,113,92,21,250,50,Overstock
2026-01-31,WH0002,SKU0000402,306,9,297,100,100,Low
2026-01-31,WH0002,SKU0000081,181,170,11,250,100,healthy 
2026-01-31,WH0002,SKU0000193,1583,452,1131,500,50,Low
2026-01-31,WH0002,SKU0000020,500,88,412,250,200,Healthy
2026-01-31,WH0002,SKU0000144,169,139,30,500,25,Healthy
2026-01-31,WH0002,SKU0000236,161,158,3,50,25,Low
2026-01-31,WH0002,SKU0000348,1047,336,711,250,50,Low
2026-01-31,WH0002,SKU0000061,909,406,503,100,25,healthy 
2026-01-31,WH0002,SKU0000644,1206,16,1190,500,25,Overstock
2026-01-31,WH0002,SKU0000244,689,265,424,50,100,Stockout
2026-01-31,WH0002,SKU0000493,1260,261,999,100,25,Healthy
2026-01-31,WH0002,SKU0000363,1532,160,1372,500,25,Overstock
2026-01-31,WH0002,SKU0000040,546,254,292,500,200,Stockout
2026-01-31,WH0002,SKU0000567,1078,150,928,500,50,healthy 
2026-01-31,WH0002,SKU0000590,1999,305,1694,500,200,Stockout
2026-01-31,WH0002,SKU0000384,596,131,465,50,100,Overstock
2026-01-31,WH0002,SKU0000585,44,20,24,100,200,Low
2026-01-31,WH0002,SKU0000523,200,171,29,100,50,Low
2026-01-31,WH0002,SKU0000171,907,471,436,100,25,healthy 
2026-01-31,WH0002,SKU0000068,1886,365,1521,100,25,Healthy
2026-01-31,WH0002,SKU0000500,158,86,72,500,100,Healthy
2026-01-31,WH0002,SKU0000164,1920,231,1689,50,200,Low
2026-01-31,WH0002,SKU0000527,535,45,490,50,200,Low
2026-01-31,WH0002,SKU0000373,1185,26,1159,50,100,Overstock
2026-01-31,WH0002,SKU0000104,1417,298,1119,500,25,Low
2026-01-31,WH0002,SKU0000379,80,55,25,100,50,Stockout
2026-01-31,WH0002,SKU0000525,17,2,15,250,200,Stockout
2026-01-31,WH0002,SKU0000601,1106,264,842,50,25,Overstock
2026-01-31,WH0002,SKU0000323,738,287,451,250,100,Overstock
2026-01-31,WH0002,SKU0000375,390,56,334,500,200,healthy 
2026-01-31,WH0002,SKU0000422,1193,85,1108,250,200,Healthy
2026-01-31,WH0002,SKU0000075,598,127,471,500,25,Low
2026-01-31,WH0002,SKU0000529,1278,90,1188,50,200,Overstock
2026-01-31,WH0002,SKU0000405,730,480,250,250,100,Healthy
2026-01-31,WH0002,SKU0000535,783,411,372,50,200,healthy 
2026-01-31,WH0002,SKU0000443,525,213,312,500,25,Overstock
2026-01-31,WH0002,SKU0000627,1278,479,799,250,50,healthy 
2026-01-31,WH0002,SKU0000049,1500,268,1232,500,200,Stockout
2026-01-31,WH0002,SKU0000194,1723,67,1656,250,25,Low
2026-01-31,WH0002,SKU0000223,1576,259,1317,100,100,healthy 
2026-01-31,WH0002,SKU0000235,284,93,191,50,200,Healthy
2026-01-31,WH0002,SKU0000034,972,296,676,50,200,healthy 
2026-01-31,WH0002,SKU0000289,1252,3,1249,50,200,Healthy
2026-01-31,WH0002,SKU0000285,311,123,188,250,50,healthy 
2026-01-31,WH0002,SKU0000416,1749,372,1377,250,100,Overstock
2026-01-31,WH0002,SKU0000429,380,348,32,50,25,Overstock
2026-01-31,WH0002,SKU0000153,1220,487,733,250,25,Low
2026-01-31,WH0002,SKU0000546,197,36,161,250,25,Overstock
2026-01-31,WH0002,SKU0000389,158,9,149,250,25,healthy 
2026-01-31,WH0002,SKU0000065,1783,313,1470,250,25,Stockout
2026-01-31,WH0002,SKU0000614,609,473,136,250,50,Low
2026-01-31,WH0002,SKU0000111,979,402,577,100,100,Stockout
2026-01-31,WH0002,SKU0000338,1076,310,766,50,25,Healthy
2026-01-31,WH0002,SKU_UNKNOWN,619,452,167,100,50,healthy 
2026-01-31,WH0002,SKU0000321,1725,27,1698,500,25,healthy 
2026-01-31,WH0002,SKU0000157,1696,5,1691,250,100,Overstock
2026-01-31,WH0002,SKU0000509,1057,71,986,100,25,Low
2026-01-31,WH0002,SKU0000206,1647,172,1475,500,100,Stockout
2026-01-31,WH0002,SKU0000145,4,2,2,100,100,Low
2026-01-31,WH0002,SKU0000027,1024,433,591,100,200,Overstock
2026-01-31,WH0002,SKU0000519,0,0,0,500,100,Healthy
2026-01-31,WH0002,SKU0000233,1734,51,1683,500,25,Stockout
2026-01-31,WH0002,SKU0000012,829,211,618,250,200,Low
2026-01-31,WH0002,SKU0000132,1558,246,1312,50,100,Healthy
2026-01-31,WH0002,SKU0000360,1783,286,1497,250,200,healthy 
2026-01-31,WH0002,SKU0000467,440,428,12,250,200,healthy 
2026-01-31,WH0002,SKU0000046,1016,238,778,50,200,Stockout
2026-01-31,WH0002,SKU0000586,493,132,361,100,25,healthy 
2026-01-31,WH0002,SKU0000554,1537,414,1123,250,100,Healthy
2026-01-31,WH0002,SKU0000578,149,99,50,250,25,Low
2026-01-31,WH0002,SKU0000230,731,8,723,500,25,Overstock
2026-01-31,WH0002,SKU0000301,1311,44,1267,50,200,Healthy
2026-01-31,WH0002,SKU0000491,1703,78,1625,100,50,Stockout
2026-01-31,WH0002,SKU0000092,678,445,233,250,100,Overstock
2026-01-31,WH0002,SKU0000660,1157,255,902,250,100,Overstock
2026-01-31,WH0002,SKU0000628,173,169,4,500,100,Healthy
2026-01-31,WH0002,SKU0000293,725,429,296,100,200,Healthy
2026-01-31,WH0002,SKU0000665,1090,469,621,500,25,healthy 
2026-01-31,WH0002,SKU0000626,601,132,469,100,25,Stockout
2026-01-31,WH0002,SKU0000010,144,92,52,50,100,Overstock
2026-01-31,WH0002,SKU0000671,866,237,629,50,50,Low
2026-01-31,WH0002,SKU0000483,276,68,208,250,50,Low
2026-01-31,WH0002,SKU0000646,1405,284,1121,100,200,Low
2026-01-31,WH0002,SKU0000657,1367,368,999,50,25,Low
2026-01-31,WH0002,SKU0000088,797,389,408,50,100,healthy 
2026-01-31,WH0002,SKU0000261,1488,33,1455,100,100,Overstock
2026-01-31,WH0002,SKU0000545,452,16,436,500,25,Stockout
2026-01-31,WH0002,SKU0000517,1647,366,1281,250,200,Healthy
2026-01-31,WH0002,SKU0000099,958,302,656,250,100,Overstock
2026-01-31,WH0002,SKU0000468,460,362,98,250,100,Overstock
2026-01-31,WH0002,SKU0000515,1581,247,1334,50,200,Overstock
2026-01-31,WH0002,SKU0000676,1109,381,728,250,100,Overstock
2026-01-31,WH0002,SKU0000365,674,158,516,100,50,healthy 
2026-01-31,WH0002,SKU0000367,535,134,401,100,200,Healthy
2026-01-31,WH0002,SKU0000606,1344,499,845,50,200,Low
2026-01-31,WH0002,SKU0000208,368,119,249,100,50,healthy 
2026-01-31,WH0002,SKU0000677,1958,2,1956,250,100,Stockout
2026-01-31,WH0002,SKU0000286,897,461,436,100,25,Low
2026-01-31,WH0002,SKU0000106,1526,393,1133,500,25,Healthy
2026-01-31,WH0002,SKU0000138,1885,348,1537,100,50,Stockout
2026-01-31,WH0002,SKU0000191,1035,359,676,250,25,Healthy
2026-01-31,WH0002,SKU0000654,337,59,278,250,200,Stockout
2026-01-31,WH0002,SKU0000531,1603,19,1584,250,200,healthy 
2026-01-31,WH0002,SKU0000492,502,366,136,50,25,Stockout
2026-01-31,WH0002,SKU0000296,214,204,10,250,100,Stockout
2026-01-31,WH0002,SKU0000123,1180,487,693,500,200,healthy 
2026-01-31,WH0002,SKU0000178,158,24,134,100,50,healthy 
2026-01-31,WH0002,SKU0000234,1004,70,934,100,25,Stockout
2026-01-31,WH0002,SKU0000308,58,49,9,100,50,Low
2026-01-31,WH0002,SKU0000383,1426,188,1238,500,200,Overstock
2026-01-31,WH0002,SKU0000487,266,85,181,250,200,Low
2026-01-31,WH0002,SKU0000275,212,20,192,100,25,Low
2026-01-31,WH0002,SKU0000532,248,31,217,500,100,Overstock
2026-01-31,WH0002,SKU0000333,630,320,310,500,50,Low
2026-01-31,WH0002,SKU0000221,1984,370,1614,500,100,Healthy
2026-01-31,WH0002,SKU0000488,1917,375,1542,250,100,Low
2026-01-31,WH0002,SKU0000596,1092,449,643,50,50,Low
2026-01-31,WH0002,SKU0000597,563,0,563,50,100,healthy 
2026-01-31,WH0002,SKU0000615,164,145,19,50,100,Low
2026-01-31,WH0002,SKU0000029,325,44,281,50,25,Overstock
2026-01-31,WH0002,SKU0000682,510,457,53,250,200,healthy 
2026-01-31,WH0002,SKU0000094,295,65,230,50,100,Low
2026-01-31,WH0002,SKU0000425,16,11,5,50,50,healthy 
2026-01-31,WH0002,SKU0000290,717,342,375,500,200,healthy 
2026-01-31,WH0002,SKU0000072,36,29,7,250,200,healthy 
2026-01-31,WH0002,SKU0000441,621,269,352,250,50,Low
2026-01-31,WH0002,SKU0000518,98,2,96,500,200,Healthy
2026-01-31,WH0002,SKU0000098,1405,487,918,250,25,Stockout
2026-01-31,WH0002,SKU0000199,1607,243,1364,500,50,Low
2026-01-31,WH0002,SKU0000302,1212,87,1125,250,200,Overstock
2026-01-31,WH0002,SKU0000121,1194,280,914,50,25,Stockout
2026-01-31,WH0002,SKU0000583,694,405,289,100,100,Healthy
2026-01-31,WH0002,SKU0000114,1495,158,1337,100,200,healthy 
2026-01-31,WH0002,SKU0000524,1671,205,1466,500,50,Overstock
2026-01-31,WH0002,SKU0000135,825,271,554,500,200,Stockout
2026-01-31,WH0002,SKU0000249,1601,164,1437,50,200,Low
2026-01-31,WH0002,SKU0000077,236,136,100,50,50,Overstock
2026-01-31,WH0002,SKU0000537,1207,167,1040,500,50,Healthy
2026-01-31,WH0002,SKU0000303,1462,407,1055,100,200,Overstock
2026-01-31,WH0002,SKU0000224,1545,464,1081,100,50,Overstock
2026-01-31,WH0002,SKU0000415,1958,42,1916,50,25,Healthy
2026-01-31,WH0002,SKU0000639,774,74,700,250,100,healthy 
2026-01-31,WH0002,SKU0000342,1060,121,939,500,50,Stockout
2026-01-31,WH0002,SKU0000462,1731,248,1483,500,50,Overstock
2026-01-31,WH0002,SKU0000168,302,148,154,100,50,Healthy
2026-01-31,WH0002,SKU0000463,978,30,948,50,25,healthy 
2026-01-31,WH0002,SKU0000198,1907,457,1450,50,25,Overstock
2026-01-31,WH0002,SKU0000497,577,253,324,50,50,Overstock
2026-01-31,WH0002,SKU0000050,1639,228,1411,250,25,Overstock
2026-01-31,WH0002,SKU0000245,737,20,717,100,50,Overstock
2026-01-31,WH0002,SKU0000555,415,374,41,500,50,Stockout
2026-01-31,WH0002,SKU0000397,1574,381,1193,250,50,healthy 
2026-01-31,WH0002,SKU0000355,1058,148,910,500,100,Stockout
2026-01-31,WH0002,SKU0000309,1060,142,918,50,200,Stockout
2026-01-31,WH0002,SKU0000086,1315,216,1099,100,50,healthy 
2026-01-31,WH0002,SKU0000179,1083,472,611,250,200,Healthy
2026-01-31,WH0002,SKU0000053,846,109,737,250,50,Overstock
2026-01-31,WH0002,SKU0000621,628,316,312,50,50,Overstock
2026-01-31,WH0003,SKU0000441,802,375,427,100,50,Overstock
2026-01-31,WH0003,SKU0000563,1689,391,1298,250,200,Stockout
