cdc_id,provider_id,effective_ts,operation,new_specialty,new_employment_status,change_reason
PRCDC0000105,PRV000324,2026-04-10 16:56:05,UPDATE,Orthopedic Surgery,Leave,status_change
PRCDC0000106,PRV000060,2026-02-03 04:30:18,UPDATE,General Surgery,Terminated,status_change
PRCDC0000107,PRV000050,2026-03-19 16:05:26,UPDATE,Orthopedic Surgery,Leave,department_transfer
PRCDC0000108,PRV000277,2026-02-13 00:32:26,UPDATE,General Surgery,Active,credential_update
PRCDC0000109,PRV000236,2026-04-15 05:03:46,UPDATE,Orthopedic Surgery,Leave,department_transfer
PRCDC0000110,PRV000244,2026-04-04 18:51:20,UPDATE,Orthopedic Surgery,Active,status_change
PRCDC0000111,PRV000350,2026-02-13 01:17:44,UPDATE,Neurology,Active,status_change
PRCDC0000112,PRV000318,2026-03-06 07:58:45,UPDATE,Pediatrics,Terminated,credential_update
PRCDC0000113,PRV000315,2026-05-11 12:11:33,UPDATE,Radiology,Active,credential_update
PRCDC0000114,PRV000087,2026-03-10 15:37:09,UPDATE,Orthopedic Surgery,Terminated,status_change
PRCDC0000115,PRV000067,2026-02-17 16:23:30,UPDATE,Neurology,Leave,credential_update
PRCDC0000116,PRV000053,2026-02-17 04:14:04,UPDATE,Neurology,Active,credential_update
PRCDC0000117,PRV000331,2026-04-10 07:27:38,UPDATE,Critical Care,Terminated,department_transfer
PRCDC0000118,PRV000072,2026-03-04 06:23:06,UPDATE,Cardiology,Leave,status_change
PRCDC0000119,PRV000015,2026-03-16 11:40:06,UPDATE,Neurology,Leave,status_change
PRCDC0000120,PRV000205,2026-05-10 17:27:40,UPDATE,Pediatrics,Active,status_change
