transaction_line_id,transaction_id,line_number,product_id,quantity,unit_price,regular_price,promotion_id,coupon_amount,tax_amount,line_status,valid_values,store_id,associate_id,customer_id,transaction_ts,transaction_date,transaction_type,sales_channel,receipt_status,department,subcategory,brand,standard_cost,gross_sales,net_sales,estimated_cogs,gross_margin,markdown_amount
TL0000000033,TXN000000009,1,SKU0000089,1.0,124.15,137.95,,0.0,11.17,Sold,True,STR0002,ASC000253,CUST00000842,2026-05-28 02:48:00,2026-05-28,SALE,Pickup,Completed,Automotive,Accessories,Healthyyou,56.99,124.15,124.15,56.99,67.16,13.799999999999983
TL0000000034,TXN000000009,2,SKU0000310,1.0,236.78,278.57,,0.0,11.84,Sold,True,STR0002,ASC000253,CUST00000842,2026-05-28 02:48:00,2026-05-28,SALE,Pickup,Completed,Apparel,Kids,Techline,107.07,236.78,236.78,107.07,129.71,41.78999999999999
TL0000000038,TXN000000011,1,SKU0000320,1.0,47.69,56.1,PRM00014,2.0,2.38,Sold,True,STR0012,ASC000345,CUST00000415,2026-05-11 09:20:00,2026-05-11,SALE,Pickup,Completed,Electronics,Audio,Freshway,21.42,47.69,45.69,21.42,24.269999999999996,8.410000000000004
TL0000000039,TXN000000011,2,SKU0000406,4.0,401.39,401.39,,2.0,144.5,Sold,True,STR0012,ASC000345,CUST00000415,2026-05-11 09:20:00,2026-05-11,SALE,Pickup,Completed,Sports,Cycling,Valueplus,158.3,1605.56,1603.56,633.2,970.3599999999999,0.0
TL0000000042,TXN000000013,1,SKU0000343,2.0,440.04,440.04,PRM00050,0.0,61.61,Sold,True,STR0012,ASC000069,,2026-05-14 02:19:00,2026-05-14,SALE,Pickup,Completed,Automotive,Car Care,Techline,368.75,880.08,880.08,737.5,142.58000000000004,0.0
TL0000000044,TXN000000014,2,SKU0000099,2.0,63.51,79.39,PRM00037,0.0,11.43,Sold,True,STR0021,ASC000210,CUST00001755,2026-05-27 21:22:00,2026-05-27,SALE,Store,Completed,Apparel,Shoes,Freshway,30.06,127.02,127.02,60.12,66.9,31.760000000000005
TL0000000045,TXN000000014,3,SKU0000109,2.0,874.15,874.15,,2.0,122.38,Sold,True,STR0021,ASC000210,CUST00001755,2026-05-27 21:22:00,2026-05-27,SALE,Store,Completed,Apparel,Men,Freshway,382.09,1748.3,1746.3,764.18,982.12,0.0
TL0000000046,TXN000000014,4,SKU0000487,1.0,3.12,3.12,PRM00047,1.0,0.22,Sold,True,STR0021,ASC000210,CUST00001755,2026-05-27 21:22:00,2026-05-27,SALE,Store,Completed,Electronics,Accessories,Valueplus,2.19,3.12,2.12,2.19,-0.06999999999999984,0.0
TL0000000048,TXN000000015,1,SKU0000077,2.0,1163.09,1163.09,PRM00045,0.0,162.83,Sold,True,STR0016,ASC000100,CUST00000295,,,SALE,Pickup,Completed,Office,Stationery,Techline,436.01,2326.18,2326.18,872.02,1454.1599999999999,0.0
TL0000000053,TXN000000018,1,SKU0000370,1.0,47.03,47.03,,2.0,4.23,Sold,True,STR0013,ASC000149,CUST00001229,,,SALE,Pickup,Completed,Health & Beauty,Personal Care,Techline,19.48,47.03,45.03,19.48,25.55,0.0
TL0000000054,TXN000000018,2,SKU0000559,2.0,418.95,492.88,,0.0,58.65,Sold,True,STR0013,ASC000149,CUST00001229,,,SALE,Pickup,Completed,Grocery,Dairy,Healthyyou,409.77,837.9,837.9,819.54,18.360000000000014,147.86
TL0000000055,TXN000000019,1,SKU0000181,2.0,178.48,198.31,,1.0,32.13,Sold,True,STR0017,ASC000309,CUST00000027,,,SALE,Pickup,Completed,Grocery,Frozen,Techline,73.96,356.96,355.96,147.92,208.04,39.660000000000025
TL0000000066,TXN000000023,1,SKU0000300,1.0,574.45,604.68,,5.0,0.0,Sold,True,STR0011,ASC000399,,2026-05-01 04:23:00,2026-05-01,SALE,Pickup,Completed,Home,Kitchen,Urbanbasics,390.62,574.45,569.45,390.62,178.83000000000004,30.229999999999905
TL0000000067,TXN000000024,1,SKU0000245,2.0,378.16,378.16,,0.0,0.0,Sold,True,STR0004,ASC000062,CUST00001610,,,SALE,Pickup,Completed,Grocery,Frozen,Techline,305.79,756.32,756.32,611.58,144.74,0.0
TL0000000068,TXN000000025,1,SKU0000154,4.0,100.58,111.76,,0.0,36.21,Sold,True,STR0002,ASC000253,CUST00000800,,,SALE,Store,Completed,Home,Kitchen,Urbanbasics,78.49,402.32,402.32,313.96,88.36000000000001,44.72000000000003
TL0000000070,TXN000000026,1,SKU0000547,3.0,566.13,595.93,,2.0,0.0,Sold,True,STR0010,ASC000064,,,,SALE,Store,Completed,Health & Beauty,Wellness,Greathome,286.34,1698.3899999999999,1696.3899999999999,859.02,837.3699999999999,89.39999999999986
TL0000000071,TXN000000026,2,SKU0000348,1.0,418.6,465.11,,0.0,0.0,Sold,True,STR0010,ASC000064,,,,SALE,Store,Completed,Apparel,Men,Techline,200.44,418.6,418.6,200.44,218.16000000000003,46.50999999999999
TL0000000073,TXN000000026,4,SKU0000420,5.0,678.55,678.55,,0.0,0.0,Sold,True,STR0010,ASC000064,,,,SALE,Store,Completed,Sports,Cycling,Greathome,389.95,3392.75,3392.75,1949.75,1443.0,0.0
TL0000000074,TXN000000026,5,SKU0000447,2.0,220.89,220.89,,2.0,0.0,Sold,True,STR0010,ASC000064,,,,SALE,Store,Completed,Electronics,Audio,Greathome,161.12,441.78,439.78,322.24,117.53999999999996,0.0
TL0000000081,TXN000000029,1,SKU0000524,2.0,959.9,959.9,,0.0,134.39,Sold,True,STR0020,ASC000358,,,,SALE,Store,Completed,Office,School Supplies,Greathome,413.44,1919.8,1919.8,826.88,1092.92,0.0
TL0000000082,TXN000000030,1,SKU0000070,4.0,249.18,293.15,,0.0,49.84,Sold,True,STR0023,ASC000487,CUST00000991,,,SALE,Store,Completed,Home,Decor,Northpeak,166.15,996.72,996.72,664.6,332.12,175.87999999999988
TL0000000083,TXN000000030,2,SKU0000293,1.0,786.6,786.6,,1.0,70.79,Sold,True,STR0023,ASC000487,CUST00000991,,,SALE,Store,Completed,Home,Kitchen,Greathome,376.82,786.6,785.6,376.82,408.78000000000003,0.0
TL0000000084,TXN000000031,1,SKU0000413,2.0,114.15,126.83,,2.0,15.98,Sold,True,STR0003,ASC000073,CUST00001397,,,SALE,Pickup,Completed,Apparel,Men,Greathome,90.76,228.3,226.3,181.52,44.78,25.359999999999985
TL0000000086,TXN000000032,2,SKU0000145,1.0,405.8,450.89,PRM00047,0.0,20.29,Sold,True,STR0025,ASC000174,CUST00001794,,,SALE,Pickup,Completed,Electronics,Gaming,Techline,224.85,405.8,405.8,224.85,180.95000000000002,45.089999999999975
TL0000000087,TXN000000032,3,SKU0000043,4.0,563.66,563.66,,0.0,202.92,Sold,True,STR0025,ASC000174,CUST00001794,,,SALE,Pickup,Completed,Apparel,Kids,Urbanbasics,303.25,2254.64,2254.64,1213.0,1041.6399999999999,0.0
TL0000000088,TXN000000032,4,SKU0000037,1.0,132.86,166.08,,0.0,11.96,Sold,True,STR0025,ASC000174,CUST00001794,,,SALE,Pickup,Completed,Apparel,Shoes,Healthyyou,143.95,132.86,132.86,143.95,-11.089999999999975,33.22
TL0000000089,TXN000000032,5,SKU0000159,4.0,534.86,563.01,,0.0,149.76,Sold,True,STR0025,ASC000174,CUST00001794,,,SALE,Pickup,Completed,Apparel,Men,Healthyyou,209.78,2139.44,2139.44,839.12,1300.3200000000002,112.59999999999991
TL0000000093,TXN000000034,1,SKU0000457,1.0,363.55,363.55,PRM00043,1.0,0.0,Sold,True,STR0010,ASC000414,CUST00001196,2026-05-22 01:50:00,2026-05-22,SALE,Store,Completed,Office,School Supplies,Urbanbasics,304.69,363.55,362.55,304.69,57.860000000000014,0.0
TL0000000095,TXN000000035,1,SKU0000449,3.0,110.73,116.56,,2.0,0.0,Sold,True,STR0025,ASC000352,CUST00000681,2026-04-13 17:26:00,2026-04-13,SALE,Store,Completed,Grocery,Produce,Freshway,81.85,332.19,330.19,245.54999999999998,84.64000000000001,17.489999999999995
TL0000000100,TXN000000036,1,SKU0000520,4.0,126.86,158.57,PRM00010,5.0,35.52,Sold,True,STR0007,ASC000079,,,,SALE,Store,Completed,Automotive,Tires,Urbanbasics,60.56,507.44,502.44,242.24,260.2,126.83999999999997
TL0000000102,TXN000000036,3,SKU0000094,4.0,85.99,90.52,,5.0,17.2,Sold,True,STR0007,ASC000079,,,,SALE,Store,Completed,Automotive,Accessories,Urbanbasics,36.27,343.96,338.96,145.08,193.87999999999997,18.120000000000005
TL0000000119,TXN000000041,1,SKU0000057,4.0,166.72,208.4,,0.0,60.02,Sold,True,STR0017,ASC000164,CUST00001296,2026-04-06 04:10:00,2026-04-06,SALE,Store,Completed,Health & Beauty,Pharmacy,Urbanbasics,112.21,666.88,666.88,448.84,218.04000000000002,166.72000000000003
TL0000000120,TXN000000041,2,SKU0000130,5.0,686.38,686.38,,0.0,240.23,Sold,True,STR0017,ASC000164,CUST00001296,2026-04-06 04:10:00,2026-04-06,SALE,Store,Completed,Sports,Cycling,Techline,317.31,3431.9,3431.9,1586.55,1845.3500000000001,0.0
TL0000000121,TXN000000041,3,SKU0000131,3.0,357.54,397.27,,1.0,0.0,Sold,True,STR0017,ASC000164,CUST00001296,2026-04-06 04:10:00,2026-04-06,SALE,Store,Completed,Automotive,Accessories,Healthyyou,234.41,1072.6200000000001,1071.6200000000001,703.23,368.3900000000001,119.18999999999988
TL0000000124,TXN000000043,2,SKU0000019,1.0,115.04,115.04,,0.0,8.05,Sold,True,STR0015,ASC000212,CUST00000223,2026-04-21 21:33:00,2026-04-21,SALE,Store,Completed,Health & Beauty,Pharmacy,Greathome,61.04,115.04,115.04,61.04,54.00000000000001,0.0
TL0000000141,TXN000000048,1,SKU0000058,1.0,709.62,834.85,,2.0,63.87,Sold,True,STR0013,ASC000091,CUST00000550,2026-04-09 13:07:00,2026-04-09,SALE,Store,Completed,Apparel,Men,Urbanbasics,311.48,709.62,707.62,311.48,396.14,125.23000000000002
TL0000000142,TXN000000048,2,SKU0000551,1.0,469.71,469.71,,0.0,42.27,Sold,True,STR0013,ASC000091,CUST00000550,2026-04-09 13:07:00,2026-04-09,SALE,Store,Completed,Grocery,Beverages,Valueplus,336.27,469.71,469.71,336.27,133.44,0.0
TL0000000143,TXN000000048,3,SKU0000350,5.0,94.95,94.95,,0.0,42.73,Sold,True,STR0013,ASC000091,CUST00000550,2026-04-09 13:07:00,2026-04-09,SALE,Store,Completed,Sports,Fitness,Healthyyou,69.66,474.75,474.75,348.29999999999995,126.45000000000005,0.0
TL0000000144,TXN000000049,1,SKU0000434,2.0,212.98,236.64,,0.0,0.0,Sold,True,STR0019,ASC000292,,2026-05-28 20:48:00,2026-05-28,SALE,Pickup,Completed,Grocery,Pantry,Greathome,219.05,425.96,425.96,438.1,-12.140000000000043,47.31999999999999
TL0000000145,TXN000000049,2,SKU0000537,4.0,5.77,7.21,,0.0,2.08,Sold,True,STR0019,ASC000292,,2026-05-28 20:48:00,2026-05-28,SALE,Pickup,Completed,Health & Beauty,Personal Care,Urbanbasics,3.67,23.08,23.08,14.68,8.399999999999999,5.760000000000002
TL0000000146,TXN000000049,3,SKU0000191,2.0,320.55,356.17,,2.0,57.7,Sold,True,STR0019,ASC000292,,2026-05-28 20:48:00,2026-05-28,SALE,Pickup,Completed,Sports,Cycling,Healthyyou,142.97,641.1,639.1,285.94,353.16,71.24000000000001
TL0000000147,TXN000000049,4,SKU0000016,1.0,463.3,579.13,,0.0,41.7,Sold,True,STR0019,ASC000292,,2026-05-28 20:48:00,2026-05-28,SALE,Pickup,Completed,Home,Decor,Healthyyou,294.07,463.3,463.3,294.07,169.23000000000002,115.82999999999998
TL0000000148,TXN000000050,1,SKU0000351,1.0,9.55,11.23,,0.0,0.0,Sold,True,STR0005,ASC000334,CUST00001750,2026-04-18 04:29:00,2026-04-18,SALE,Store,Completed,Sports,Cycling,Techline,8.91,9.55,9.55,8.91,0.6400000000000006,1.6799999999999997
TL0000000149,TXN000000050,2,SKU0000209,4.0,331.76,331.76,PRM00008,0.0,92.89,Sold,True,STR0005,ASC000334,CUST00001750,2026-04-18 04:29:00,2026-04-18,SALE,Store,Completed,Health & Beauty,Cosmetics,Healthyyou,198.43,1327.04,1327.04,793.72,533.3199999999999,0.0
TL0000000161,TXN000000053,3,SKU0000252,1.0,64.86,64.86,,0.0,0.0,Sold,True,STR0007,ASC000270,CUST00000757,,,SALE,Store,Completed,Apparel,Men,Urbanbasics,36.31,64.86,64.86,36.31,28.549999999999997,0.0
TL0000000162,TXN000000053,4,SKU0000381,4.0,766.69,958.36,,0.0,214.67,Sold,True,STR0007,ASC000270,CUST00000757,,,SALE,Store,Completed,Grocery,Beverages,Freshway,372.51,3066.76,3066.76,1490.04,1576.7200000000003,766.6799999999998
TL0000000173,TXN000000056,3,SKU0000176,1.0,481.69,507.04,,5.0,0.0,Sold,True,STR0009,ASC000178,CUST00000208,2026-05-15 03:07:00,2026-05-15,SALE,Store,Completed,Apparel,Men,Urbanbasics,314.52,481.69,476.69,314.52,162.17000000000002,25.350000000000023
TL0000000174,TXN000000056,4,SKU0000394,1.0,889.1,889.1,,0.0,80.02,Sold,True,STR0009,ASC000178,CUST00000208,2026-05-15 03:07:00,2026-05-15,SALE,Store,Completed,Sports,Fitness,Urbanbasics,375.68,889.1,889.1,375.68,513.4200000000001,0.0
TL0000000175,TXN000000056,5,SKU0000107,1.0,437.99,486.66,PRM00042,2.0,39.42,Sold,True,STR0009,ASC000178,CUST00000208,2026-05-15 03:07:00,2026-05-15,SALE,Store,Completed,Apparel,Men,Greathome,324.95,437.99,435.99,324.95,111.04000000000002,48.670000000000016
TL0000000176,TXN000000056,6,SKU0000165,1.0,519.31,577.01,,0.0,46.74,Sold,True,STR0009,ASC000178,CUST00000208,2026-05-15 03:07:00,2026-05-15,SALE,Store,Completed,Grocery,Frozen,Valueplus,328.59,519.31,519.31,328.59,190.71999999999997,57.700000000000045
TL0000000186,TXN000000060,2,SKU0000178,1.0,924.12,924.12,,0.0,0.0,Sold,True,STR0003,ASC000481,CUST00001105,2026-04-06 04:39:00,2026-04-06,SALE,Pickup,Completed,Sports,Fitness,Greathome,404.99,924.12,924.12,404.99,519.13,0.0
TL0000000195,TXN000000062,1,SKU0000386,1.0,722.33,722.33,,0.0,50.56,Sold,True,STR0017,ASC000024,CUST00001118,,,SALE,Store,Completed,Health & Beauty,Cosmetics,Northpeak,350.7,722.33,722.33,350.7,371.63000000000005,0.0
TL0000000199,TXN000000064,1,SKU0000366,4.0,463.8,463.8,,1.0,129.86,Sold,True,STR0004,ASC000240,CUST00000627,,,SALE,Store,Completed,Automotive,Accessories,Techline,206.14,1855.2,1854.2,824.56,1029.64,0.0
TL0000000200,TXN000000064,2,SKU0000019,5.0,115.04,115.04,,0.0,40.26,Sold,True,STR0004,ASC000240,CUST00000627,,,SALE,Store,Completed,Health & Beauty,Pharmacy,Greathome,61.04,575.2,575.2,305.2,270.00000000000006,0.0
TL0000000204,TXN000000066,1,SKU0000165,5.0,577.01,577.01,,0.0,144.25,Sold,True,STR0002,ASC000114,,,,SALE,Store,Completed,Grocery,Frozen,Valueplus,328.59,2885.05,2885.05,1642.9499999999998,1242.1000000000004,0.0
TL0000000205,TXN000000066,2,SKU0000564,2.0,612.13,612.13,,0.0,85.7,Sold,True,STR0002,ASC000114,,,,SALE,Store,Completed,Office,School Supplies,Urbanbasics,306.21,1224.26,1224.26,612.42,611.84,0.0
TL0000000206,TXN000000067,1,SKU0000293,4.0,668.61,786.6,PRM00049,2.0,0.0,Sold,True,STR0011,ASC000325,,,,SALE,Store,Completed,Home,Kitchen,Greathome,376.82,2674.44,2672.44,1507.28,1165.16,471.96000000000004
TL0000000207,TXN000000067,2,SKU0000078,1.0,46.7,46.7,,1.0,3.27,Sold,True,STR0011,ASC000325,,,,SALE,Store,Completed,Sports,Outdoor,Urbanbasics,26.96,46.7,45.7,26.96,18.740000000000002,0.0
TL0000000208,TXN000000067,3,SKU0000575,2.0,755.64,795.41,,0.0,136.02,Sold,True,STR0011,ASC000325,,,,SALE,Store,Completed,Grocery,Dairy,Healthyyou,319.07,1511.28,1511.28,638.14,873.14,79.53999999999996
TL0000000210,TXN000000067,5,SKU0000230,4.0,541.24,541.24,,0.0,108.25,Sold,True,STR0011,ASC000325,,,,SALE,Store,Completed,Office,Stationery,Healthyyou,204.28,2164.96,2164.96,817.12,1347.8400000000001,0.0
TL0000000219,TXN000000070,2,SKU0000118,3.0,490.5,545.0,,0.0,0.0,Sold,True,STR0006,ASC000319,CUST00001602,2026-04-17 20:15:00,2026-04-17,SALE,Store,Completed,Home,Kitchen,Northpeak,221.26,1471.5,1471.5,663.78,807.72,163.5
TL0000000220,TXN000000070,3,SKU0000251,1.0,342.34,380.38,,1.0,30.81,Sold,True,STR0006,ASC000319,CUST00001602,2026-04-17 20:15:00,2026-04-17,SALE,Store,Completed,Sports,Cycling,Urbanbasics,301.63,342.34,341.34,301.63,39.70999999999998,38.04000000000002
TL0000000221,TXN000000070,4,SKU0000150,3.0,1062.67,1180.75,,5.0,0.0,Sold,True,STR0006,ASC000319,CUST00001602,2026-04-17 20:15:00,2026-04-17,SALE,Store,Completed,Grocery,Pantry,Northpeak,437.57,3188.01,3183.01,1312.71,1870.3000000000002,354.2399999999998
TL0000000222,TXN000000070,5,SKU0000068,1.0,202.94,202.94,,1.0,18.26,Sold,True,STR0006,ASC000319,CUST00001602,2026-04-17 20:15:00,2026-04-17,SALE,Store,Completed,Apparel,Women,Valueplus,179.94,202.94,201.94,179.94,22.0,0.0
TL0000000227,TXN000000072,1,SKU0000115,2.0,13.76,14.48,,0.0,0.0,Sold,True,STR0004,ASC000074,CUST00001328,,,SALE,Store,Completed,Office,Printing,Urbanbasics,10.18,27.52,27.52,20.36,7.16,1.4400000000000013
TL0000000230,TXN000000072,4,SKU0000421,2.0,311.41,311.41,PRM00043,0.0,31.14,Sold,True,STR0004,ASC000074,CUST00001328,,,SALE,Store,Completed,Office,Stationery,Techline,274.16,622.82,622.82,548.32,74.5,0.0
TL0000000231,TXN000000072,5,SKU0000071,2.0,363.81,454.76,PRM00012,0.0,65.49,Sold,True,STR0004,ASC000074,CUST00001328,,,SALE,Store,Completed,Apparel,Shoes,Northpeak,230.32,727.62,727.62,460.64,266.98,181.89999999999998
TL0000000232,TXN000000072,6,SKU0000159,1.0,506.71,563.01,,1.0,0.0,Sold,True,STR0004,ASC000074,CUST00001328,,,SALE,Store,Completed,Apparel,Men,Healthyyou,209.78,506.71,505.71,209.78,295.92999999999995,56.30000000000001
TL0000000233,TXN000000073,1,SKU0000498,3.0,596.67,628.07,,1.0,125.3,Sold,True,STR0021,ASC000268,CUST00001330,,,SALE,Pickup,Completed,Office,School Supplies,Valueplus,441.51,1790.0099999999998,1789.0099999999998,1324.53,464.4799999999998,94.20000000000027
TL0000000235,TXN000000073,3,SKU0000425,1.0,250.29,294.46,,1.0,12.51,Sold,True,STR0021,ASC000268,CUST00001330,,,SALE,Pickup,Completed,Health & Beauty,Wellness,Northpeak,148.16,250.29,249.29,148.16,101.13,44.16999999999999
TL0000000240,TXN000000075,1,SKU0000569,4.0,471.98,496.82,,2.0,169.91,Sold,True,STR0005,ASC000343,CUST00001454,,,SALE,Pickup,Completed,Health & Beauty,Personal Care,Healthyyou,406.38,1887.92,1885.92,1625.52,260.4000000000001,99.3599999999999
TL0000000241,TXN000000075,2,SKU0000389,1.0,730.31,811.46,,0.0,0.0,Sold,True,STR0005,ASC000343,CUST00001454,,,SALE,Pickup,Completed,Apparel,Men,Freshway,406.6,730.31,730.31,406.6,323.7099999999999,81.15000000000009
TL0000000242,TXN000000075,3,SKU0000376,2.0,438.3,438.3,,0.0,43.83,Sold,True,STR0005,ASC000343,CUST00001454,,,SALE,Pickup,Completed,Home,Kitchen,Northpeak,404.75,876.6,876.6,809.5,67.10000000000002,0.0
TL0000000249,TXN000000077,3,SKU0000456,2.0,224.21,224.21,PRM00048,1.0,22.42,Sold,True,STR0025,ASC000464,CUST00000158,,,SALE,Pickup,Completed,Health & Beauty,Pharmacy,Healthyyou,156.94,448.42,447.42,313.88,133.54000000000002,0.0
TL0000000250,TXN000000077,4,SKU0000136,2.0,558.45,558.45,,0.0,78.18,Sold,True,STR0025,ASC000464,CUST00000158,,,SALE,Pickup,Completed,Home,Decor,Urbanbasics,256.97,1116.9,1116.9,513.94,602.96,0.0
TL0000000251,TXN000000077,5,SKU0000186,1.0,368.53,368.53,,5.0,18.43,Sold,True,STR0025,ASC000464,CUST00000158,,,SALE,Pickup,Completed,Sports,Outdoor,Urbanbasics,197.57,368.53,363.53,197.57,165.95999999999998,0.0
TL0000000255,TXN000000079,1,SKU0000488,1.0,96.15,96.15,,2.0,0.0,Sold,True,STR0016,ASC000182,CUST00001255,2026-05-19 14:29:00,2026-05-19,SALE,Pickup,Completed,Sports,Fitness,Freshway,58.48,96.15,94.15,58.48,35.67000000000001,0.0
TL0000000257,TXN000000079,3,SKU0000559,1.0,492.88,492.88,,0.0,44.36,Sold,True,STR0016,ASC000182,CUST00001255,2026-05-19 14:29:00,2026-05-19,SALE,Pickup,Completed,Grocery,Dairy,Healthyyou,409.77,492.88,492.88,409.77,83.11000000000001,0.0
TL0000000267,TXN000000082,2,SKU0000101,1.0,730.64,730.64,,1.0,0.0,Sold,True,STR0010,ASC000439,CUST00001440,,,SALE,Store,Completed,Office,Printing,Freshway,344.7,730.64,729.64,344.7,384.94,0.0
TL0000000269,TXN000000082,4,SKU0000155,1.0,403.07,403.07,PRM00013,1.0,0.0,Sold,True,STR0010,ASC000439,CUST00001440,,,SALE,Store,Completed,Health & Beauty,Personal Care,Greathome,336.34,403.07,402.07,336.34,65.73000000000002,0.0
TL0000000270,TXN000000082,5,SKU0000126,3.0,442.32,465.6,,2.0,119.43,Sold,True,STR0010,ASC000439,CUST00001440,,,SALE,Store,Completed,Home,Bedding,Valueplus,241.86,1326.96,1324.96,725.58,599.38,69.84000000000009
TL0000000279,TXN000000084,3,SKU0000060,4.0,717.94,897.42,,2.0,0.0,Sold,True,STR0008,ASC000458,,,,SALE,Store,Completed,Sports,Cycling,Healthyyou,394.22,2871.76,2869.76,1576.88,1292.88,717.9199999999996
TL0000000280,TXN000000084,4,SKU0000335,4.0,349.75,437.19,,0.0,125.91,Sold,True,STR0008,ASC000458,,,,SALE,Store,Completed,Apparel,Men,Urbanbasics,219.15,1399.0,1399.0,876.6,522.4,349.76
TL0000000281,TXN000000084,5,SKU0000435,1.0,525.74,525.74,,0.0,36.8,Sold,True,STR0008,ASC000458,,,,SALE,Store,Completed,Electronics,Audio,Freshway,335.37,525.74,525.74,335.37,190.37,0.0
TL0000000282,TXN000000085,1,SKU0000386,2.0,577.86,722.33,,0.0,57.79,Sold,True,STR0018,ASC000297,CUST00000529,,,SALE,Store,Completed,Health & Beauty,Cosmetics,Northpeak,350.7,1155.72,1155.72,701.4,454.32000000000005,288.94000000000005
TL0000000291,TXN000000087,1,SKU0000368,5.0,159.98,159.98,,0.0,55.99,Sold,True,STR0010,ASC000064,CUST00000550,2026-04-23 06:47:00,2026-04-23,SALE,Store,Completed,Home,Storage,Techline,62.29,799.9,799.9,311.45,488.45,0.0
TL0000000292,TXN000000087,2,SKU0000355,2.0,942.53,942.53,,0.0,131.95,Sold,True,STR0010,ASC000064,CUST00000550,2026-04-23 06:47:00,2026-04-23,SALE,Store,Completed,Grocery,Dairy,Freshway,409.78,1885.06,1885.06,819.56,1065.5,0.0
TL0000000293,TXN000000087,3,SKU0000094,3.0,90.52,90.52,,0.0,0.0,Sold,True,STR0010,ASC000064,CUST00000550,2026-04-23 06:47:00,2026-04-23,SALE,Store,Completed,Automotive,Accessories,Urbanbasics,36.27,271.56,271.56,108.81,162.75,0.0
TL0000000302,TXN000000090,2,SKU0000491,4.0,801.69,1002.11,,5.0,288.61,Sold,True,STR0005,ASC000480,CUST00000685,,,SALE,Pickup,Completed,Office,Stationery,Valueplus,395.25,3206.76,3201.76,1581.0,1620.7600000000002,801.6799999999998
TL0000000304,TXN000000090,4,SKU0000520,2.0,150.64,158.57,PRM00035,0.0,0.0,Sold,True,STR0005,ASC000480,CUST00000685,,,SALE,Pickup,Completed,Automotive,Tires,Urbanbasics,60.56,301.28,301.28,121.12,180.15999999999997,15.860000000000014
TL0000000305,TXN000000090,5,SKU0000487,2.0,2.96,3.12,,0.0,0.0,Sold,True,STR0005,ASC000480,CUST00000685,,,SALE,Pickup,Completed,Electronics,Accessories,Valueplus,2.19,5.92,5.92,4.38,1.54,0.3200000000000003
