promotion_id,transaction_count,units,promo_sales,markdown_amount,promotion_name,promotion_type,discount_value,start_date,end_date,channel,active_flag
PRM00044,19,39.0,17705.94,1397.65,Dollar Off Campaign 44,Dollar Off,20,2026-03-26,2026-03-29,Store,True
PRM00012,16,35.0,17572.47,885.1900000000002,Rollback Campaign 12,Rollback,10,2026-04-27,2026-05-18,Omnichannel,True
PRM00024,20,49.0,17286.93,1119.0599999999997,Rollback Campaign 24,Rollback,10,2026-03-20,2026-04-03,Omnichannel,True
PRM00019,19,53.0,17147.74,1292.5700000000002,Bogo Campaign 19,Bogo,10,2026-04-12,2026-04-19,Online,True
PRM00036,15,37.0,17146.39,1038.2699999999998,Rollback Campaign 36,Rollback,5,2026-05-09,2026-05-30,Online,True
PRM00060,19,50.0,16937.1,782.3499999999999,Bogo Campaign 60,Bogo,25,2026-04-04,2026-05-04,Online,True
PRM00017,18,42.0,16920.75,1769.0699999999997,Clearance Campaign 17,Clearance,20,2026-04-27,2026-05-27,Omnichannel,True
PRM00043,26,46.0,16904.3,1344.1000000000001,Dollar Off Campaign 43,Dollar Off,5,2026-03-02,2026-04-01,Omnichannel,True
PRM00053,23,51.0,16778.09,841.5899999999999,Bogo Campaign 53,Bogo,25,2026-03-31,2026-04-14,Online,True
PRM00030,18,52.0,16573.55,1544.1000000000001,Percent Off Campaign 30,Percent Off,20,2026-04-29,2026-05-06,Store,True
PRM00051,15,34.0,16028.44,166.04999999999993,Rollback Campaign 51,Rollback,10,2026-04-29,2026-05-13,Online,True
PRM00039,17,40.0,15769.66,1600.8599999999997,Rollback Campaign 39,Rollback,15,2026-04-24,2026-05-01,Store,True
PRM00002,22,48.0,15728.29,715.5999999999997,Percent Off Campaign 2,Percent Off,20,2026-03-04,2026-03-18,Omnichannel,True
PRM00033,17,42.0,15556.41,1376.8199999999997,Dollar Off Campaign 33,Dollar Off,10,2026-04-03,2026-04-24,Online,False
PRM00055,19,41.0,14816.67,1286.98,Clearance Campaign 55,Clearance,10,2026-04-01,2026-04-04,Store,True
PRM00038,21,48.0,14603.71,1118.5300000000002,Clearance Campaign 38,Clearance,5,2026-03-07,2026-04-06,Omnichannel,True
PRM00016,21,50.0,14574.2,1185.76,Rollback Campaign 16,Rollback,20,2026-03-25,2026-04-15,Store,True
PRM00026,20,43.0,13712.68,1336.37,Percent Off Campaign 26,Percent Off,10,2026-04-19,2026-05-03,Store,True
PRM00057,18,41.0,13701.94,1001.9200000000001,Rollback Campaign 57,Rollback,5,2026-04-07,2026-04-14,Store,True
PRM00035,18,41.0,13567.55,1113.2199999999998,Percent Off Campaign 35,Percent Off,15,2026-04-02,2026-05-02,Online,True
PRM00034,17,33.0,12831.75,712.9900000000002,Percent Off Campaign 34,Percent Off,10,2026-05-01,2026-05-04,Online,True
PRM00027,15,30.0,12707.31,1169.7200000000003,Rollback Campaign 27,Rollback,25,2026-05-12,2026-05-15,Online,True
PRM00025,17,36.0,12345.25,849.1199999999999,Rollback Campaign 25,Rollback,5,2026-04-15,2026-05-15,Omnichannel,True
PRM00011,21,42.0,12209.84,979.3599999999999,Percent Off Campaign 11,Percent Off,20,2026-03-11,2026-04-10,Omnichannel,False
PRM00022,21,44.0,11743.45,1298.6899999999998,Rollback Campaign 22,Rollback,10,2026-04-09,2026-04-23,Online,True
PRM00009,12,27.0,11048.33,1176.73,Clearance Campaign 9,Clearance,15,2026-03-21,2026-03-28,Online,True
PRM00054,15,38.0,11031.76,878.4199999999998,Dollar Off Campaign 54,Dollar Off,20,2026-04-26,2026-05-10,Store,False
PRM00029,14,43.0,10925.3,209.39999999999998,Rollback Campaign 29,Rollback,5,2026-04-04,2026-04-18,Omnichannel,True
PRM00048,17,34.0,10913.28,841.5499999999998,Rollback Campaign 48,Rollback,25,2026-03-22,2026-04-12,Online,True
PRM00010,16,36.0,10461.63,1420.69,Percent Off Campaign 10,Percent Off,20,2026-03-26,2026-03-29,Store,False
PRM00020,15,31.0,10369.61,320.0399999999999,Dollar Off Campaign 20,Dollar Off,15,2026-05-13,2026-06-12,Omnichannel,True
PRM00015,14,29.0,10066.36,655.3199999999999,Rollback Campaign 15,Rollback,15,2026-03-07,2026-03-21,Omnichannel,True
PRM00041,12,30.0,9820.01,1959.5599999999997,Clearance Campaign 41,Clearance,5,2026-05-08,2026-05-15,Online,True
PRM00047,19,39.0,9219.91,1053.5599999999997,Clearance Campaign 47,Clearance,5,2026-04-07,2026-04-14,Omnichannel,True
PRM00004,11,22.0,8094.69,1260.56,Dollar Off Campaign 4,Dollar Off,20,2026-04-03,2026-04-10,Store,True
PRM00006,13,25.0,7580.95,595.2100000000002,Rollback Campaign 6,Rollback,15,2026-03-27,2026-04-10,Store,True
PRM00052,7,18.0,5206.33,279.84000000000003,Rollback Campaign 52,Rollback,15,2026-04-22,2026-05-13,Store,True
