online_order_line_id,online_order_id,line_number,product_id,quantity,unit_price,discount_amount,line_status,valid_values,customer_id,order_ts,fulfillment_type,fulfillment_store_id,order_status,device_type,order_date,department,subcategory,brand,standard_cost,gross_sales,net_sales,estimated_cogs,gross_margin
OL0000000019,WEB00000008,2,SKU0000528,4.0,65.18,0.0,Open,True,CUST00001220,2026-04-02 23:30:20,Pickup,STR0015,Placed,Ios,2026-04-02,Automotive,Accessories,Healthyyou,35.11,260.72,260.72,140.44,120.28000000000003
OL0000000020,WEB00000008,3,SKU0000311,4.0,205.5,2.0,Open,True,CUST00001220,2026-04-02 23:30:20,Pickup,STR0015,Placed,Ios,2026-04-02,Home,Kitchen,Valueplus,134.34,822.0,820.0,537.36,282.64
OL0000000021,WEB00000008,4,SKU0000541,4.0,398.78,0.0,Shipped,True,CUST00001220,2026-04-02 23:30:20,Pickup,STR0015,Placed,Ios,2026-04-02,Electronics,Gaming,Greathome,266.83,1595.12,1595.12,1067.32,527.8
OL0000000022,WEB00000009,1,SKU0000147,1.0,473.33,5.0,Picked,True,CUST00000734,2026-05-21 08:14:46,Ship To Home,STR0017,Processing,Web,2026-05-21,Apparel,Shoes,Greathome,304.51,473.33,468.33,304.51,163.82
OL0000000025,WEB00000009,4,SKU0000350,1.0,94.95,5.0,Allocated,True,CUST00000734,2026-05-21 08:14:46,Ship To Home,STR0017,Processing,Web,2026-05-21,Sports,Fitness,Healthyyou,69.66,94.95,89.95,69.66,20.290000000000006
OL0000000026,WEB00000009,5,SKU0000030,1.0,341.8,5.0,Open,True,CUST00000734,2026-05-21 08:14:46,Ship To Home,STR0017,Processing,Web,2026-05-21,Electronics,Computers,Healthyyou,149.2,341.8,336.8,149.2,187.60000000000002
OL0000000033,WEB00000012,1,SKU0000067,4.0,774.41,0.0,Shipped,True,CUST00000958,2026-05-14 05:12:34,Ship To Home,STR0004,Processing,Web,2026-05-14,Apparel,Shoes,Freshway,303.81,3097.64,3097.64,1215.24,1882.3999999999999
OL0000000035,WEB00000012,3,SKU0000309,3.0,420.75,0.0,Cancelled,True,CUST00000958,2026-05-14 05:12:34,Ship To Home,STR0004,Processing,Web,2026-05-14,Home,Bedding,Northpeak,203.55,1262.25,1262.25,610.6500000000001,651.5999999999999
OL0000000036,WEB00000012,4,SKU0000564,3.0,612.13,1.0,Cancelled,True,CUST00000958,2026-05-14 05:12:34,Ship To Home,STR0004,Processing,Web,2026-05-14,Office,School Supplies,Urbanbasics,306.21,1836.3899999999999,1835.3899999999999,918.6299999999999,916.76
OL0000000037,WEB00000012,5,SKU0000028,1.0,320.01,2.0,Allocated,True,CUST00000958,2026-05-14 05:12:34,Ship To Home,STR0004,Processing,Web,2026-05-14,Grocery,Produce,Valueplus,241.93,320.01,318.01,241.93,76.07999999999998
OL0000000038,WEB00000013,1,SKU0000011,3.0,112.26,0.0,Cancelled,True,CUST00001715,2026-04-12 05:31:33,Delivery,STR0008,Delivered,Web,2026-04-12,Office,Stationery,Healthyyou,72.59,336.78000000000003,336.78000000000003,217.77,119.01000000000002
OL0000000043,WEB00000016,2,SKU0000511,2.0,714.61,5.0,Open,True,CUST00001261,2026-04-08 03:44:31,Pickup,STR0024,Ready,Web,2026-04-08,Automotive,Accessories,Urbanbasics,292.97,1429.22,1424.22,585.94,838.28
OL0000000044,WEB00000016,3,SKU0000022,4.0,269.66,0.0,Allocated,True,CUST00001261,2026-04-08 03:44:31,Pickup,STR0024,Ready,Web,2026-04-08,Office,Printing,Northpeak,185.15,1078.64,1078.64,740.6,338.0400000000001
OL0000000045,WEB00000017,1,SKU0000542,3.0,494.12,0.0,Picked,True,CUST00001198,2026-05-25 07:46:57,Pickup,STR0014,Delivered,Web,2026-05-25,Sports,Cycling,Northpeak,202.49,1482.3600000000001,1482.3600000000001,607.47,874.8900000000001
OL0000000051,WEB00000018,3,SKU0000044,1.0,836.26,1.0,Allocated,True,CUST00000968,2026-04-07 16:15:13,Ship To Home,STR0014,Delivered,Ios,2026-04-07,Home,Bedding,Healthyyou,397.67,836.26,835.26,397.67,437.59
OL0000000052,WEB00000018,4,SKU0000030,4.0,341.8,0.0,Allocated,True,CUST00000968,2026-04-07 16:15:13,Ship To Home,STR0014,Delivered,Ios,2026-04-07,Electronics,Computers,Healthyyou,149.2,1367.2,1367.2,596.8,770.4000000000001
OL0000000053,WEB00000019,1,SKU0000529,1.0,295.09,1.0,Open,True,CUST00001505,2026-04-16 00:20:44,Pickup,STR0006,Shipped,Android,2026-04-16,Health & Beauty,Personal Care,Freshway,117.22,295.09,294.09,117.22,176.86999999999998
OL0000000054,WEB00000019,2,SKU0000113,2.0,313.01,5.0,Open,True,CUST00001505,2026-04-16 00:20:44,Pickup,STR0006,Shipped,Android,2026-04-16,Apparel,Kids,Greathome,220.12,626.02,621.02,440.24,180.77999999999997
OL0000000055,WEB00000019,3,SKU0000083,3.0,501.55,5.0,Open,True,CUST00001505,2026-04-16 00:20:44,Pickup,STR0006,Shipped,Android,2026-04-16,Grocery,Pantry,Techline,241.61,1504.65,1499.65,724.83,774.82
OL0000000056,WEB00000020,1,SKU0000064,4.0,23.81,0.0,Cancelled,True,CUST00000636,2026-05-06 19:11:54,Pickup,STR0003,Placed,Ios,2026-05-06,Sports,Fitness,Techline,17.75,95.24,95.24,71.0,24.239999999999995
OL0000000057,WEB00000020,2,SKU0000125,4.0,482.59,0.0,Cancelled,True,CUST00000636,2026-05-06 19:11:54,Pickup,STR0003,Placed,Ios,2026-05-06,Sports,Outdoor,Valueplus,239.97,1930.36,1930.36,959.88,970.4799999999999
OL0000000058,WEB00000020,3,SKU0000565,1.0,80.22,0.0,Shipped,True,CUST00000636,2026-05-06 19:11:54,Pickup,STR0003,Placed,Ios,2026-05-06,Sports,Fitness,Healthyyou,38.95,80.22,80.22,38.95,41.269999999999996
OL0000000059,WEB00000020,4,SKU0000083,2.0,501.55,0.0,Open,True,CUST00000636,2026-05-06 19:11:54,Pickup,STR0003,Placed,Ios,2026-05-06,Grocery,Pantry,Techline,241.61,1003.1,1003.1,483.22,519.88
OL0000000061,WEB00000021,2,SKU0000033,2.0,711.31,0.0,Picked,True,CUST00000248,2026-04-03 18:34:06,Ship To Home,STR0001,Delivered,Ios,2026-04-03,Home,Kitchen,Healthyyou,437.33,1422.62,1422.62,874.66,547.9599999999999
OL0000000062,WEB00000021,3,SKU0000482,1.0,751.13,0.0,Allocated,True,CUST00000248,2026-04-03 18:34:06,Ship To Home,STR0001,Delivered,Ios,2026-04-03,Office,School Supplies,Urbanbasics,380.67,751.13,751.13,380.67,370.46
OL0000000063,WEB00000022,1,SKU0000390,1.0,249.82,2.0,Cancelled,True,CUST00001037,2026-04-11 15:19:44,Ship To Home,STR0019,Placed,Android,2026-04-11,Grocery,Dairy,Techline,138.38,249.82,247.82,138.38,109.44
OL0000000064,WEB00000023,1,SKU0000479,1.0,238.05,0.0,Shipped,True,CUST00000265,2026-05-17 02:13:16,Delivery,STR0013,Processing,Ios,2026-05-17,Automotive,Accessories,Northpeak,90.71,238.05,238.05,90.71,147.34000000000003
OL0000000065,WEB00000023,2,SKU0000326,3.0,255.75,0.0,Cancelled,True,CUST00000265,2026-05-17 02:13:16,Delivery,STR0013,Processing,Ios,2026-05-17,Apparel,Men,Valueplus,137.56,767.25,767.25,412.68,354.57
OL0000000066,WEB00000023,3,SKU0000170,3.0,371.22,1.0,Shipped,True,CUST00000265,2026-05-17 02:13:16,Delivery,STR0013,Processing,Ios,2026-05-17,Health & Beauty,Personal Care,Greathome,327.23,1113.66,1112.66,981.69,130.97000000000003
OL0000000067,WEB00000023,4,SKU0000231,2.0,328.79,2.0,Allocated,True,CUST00000265,2026-05-17 02:13:16,Delivery,STR0013,Processing,Ios,2026-05-17,Sports,Cycling,Urbanbasics,168.96,657.58,655.58,337.92,317.66
OL0000000069,WEB00000024,1,SKU0000024,3.0,349.75,0.0,Cancelled,True,CUST00001171,2026-04-13 04:35:45,Delivery,STR0010,Ready,Web,2026-04-13,Sports,Fitness,Northpeak,223.46,1049.25,1049.25,670.38,378.87
OL0000000070,WEB00000024,2,SKU0000048,3.0,888.44,1.0,Picked,True,CUST00001171,2026-04-13 04:35:45,Delivery,STR0010,Ready,Web,2026-04-13,Home,Storage,Techline,378.7,2665.32,2664.32,1136.1,1528.2200000000003
OL0000000071,WEB00000024,3,SKU0000164,3.0,714.59,0.0,Picked,True,CUST00001171,2026-04-13 04:35:45,Delivery,STR0010,Ready,Web,2026-04-13,Apparel,Shoes,Northpeak,321.07,2143.77,2143.77,963.21,1180.56
OL0000000072,WEB00000024,4,SKU0000194,4.0,281.87,2.0,Shipped,True,CUST00001171,2026-04-13 04:35:45,Delivery,STR0010,Ready,Web,2026-04-13,Health & Beauty,Wellness,Valueplus,239.83,1127.48,1125.48,959.32,166.15999999999997
OL0000000073,WEB00000025,1,SKU0000351,1.0,11.23,0.0,Cancelled,True,CUST00001120,2026-04-02 16:09:07,Ship To Home,STR0013,Delivered,Android,2026-04-02,Sports,Cycling,Techline,8.91,11.23,11.23,8.91,2.3200000000000003
OL0000000074,WEB00000025,2,SKU0000553,1.0,493.1,0.0,Cancelled,True,CUST00001120,2026-04-02 16:09:07,Ship To Home,STR0013,Delivered,Android,2026-04-02,Home,Kitchen,Urbanbasics,333.43,493.1,493.1,333.43,159.67000000000002
OL0000000076,WEB00000025,4,SKU0000403,3.0,354.83,0.0,Shipped,True,CUST00001120,2026-04-02 16:09:07,Ship To Home,STR0013,Delivered,Android,2026-04-02,Automotive,Tires,Healthyyou,178.62,1064.49,1064.49,535.86,528.63
OL0000000082,WEB00000027,1,SKU0000501,2.0,122.73,0.0,Picked,True,CUST00001470,2026-04-24 12:27:09,Delivery,STR0008,Delivered,Web,2026-04-24,Automotive,Accessories,Greathome,66.1,245.46,245.46,132.2,113.26000000000002
OL0000000083,WEB00000027,2,SKU0000501,4.0,122.73,0.0,Allocated,True,CUST00001470,2026-04-24 12:27:09,Delivery,STR0008,Delivered,Web,2026-04-24,Automotive,Accessories,Greathome,66.1,490.92,490.92,264.4,226.52000000000004
OL0000000084,WEB00000028,1,SKU0000064,1.0,23.81,0.0,Cancelled,True,CUST00001454,2026-05-20 17:30:19,Ship To Home,STR0022,Delivered,Android,2026-05-20,Sports,Fitness,Techline,17.75,23.81,23.81,17.75,6.059999999999999
OL0000000086,WEB00000030,1,SKU0000548,3.0,62.68,5.0,Open,True,CUST00000642,2026-05-26 02:06:52,Ship To Home,STR0022,Shipped,Web,2026-05-26,Home,Storage,Freshway,32.26,188.04,183.04,96.78,86.25999999999999
OL0000000087,WEB00000030,2,SKU0000111,1.0,557.52,0.0,Cancelled,True,CUST00000642,2026-05-26 02:06:52,Ship To Home,STR0022,Shipped,Web,2026-05-26,Home,Decor,Techline,298.38,557.52,557.52,298.38,259.14
OL0000000088,WEB00000030,3,SKU0000375,4.0,491.34,2.0,Picked,True,CUST00000642,2026-05-26 02:06:52,Ship To Home,STR0022,Shipped,Web,2026-05-26,Sports,Cycling,Northpeak,220.19,1965.36,1963.36,880.76,1082.6
OL0000000090,WEB00000030,5,SKU0000097,2.0,619.42,2.0,Shipped,True,CUST00000642,2026-05-26 02:06:52,Ship To Home,STR0022,Shipped,Web,2026-05-26,Electronics,Computers,Techline,434.37,1238.84,1236.84,868.74,368.0999999999999
OL0000000093,WEB00000031,3,SKU0000515,1.0,538.39,0.0,Picked,True,CUST00000864,2026-05-09 08:10:33,Delivery,STR0003,Shipped,Android,2026-05-09,Automotive,Tires,Greathome,235.54,538.39,538.39,235.54,302.85
OL0000000096,WEB00000033,1,SKU0000547,1.0,595.93,0.0,Open,True,CUST00000394,2026-05-01 12:48:49,Pickup,STR0002,Delivered,Web,2026-05-01,Health & Beauty,Wellness,Greathome,286.34,595.93,595.93,286.34,309.59
OL0000000097,WEB00000033,2,SKU0000567,1.0,15.45,2.0,Shipped,True,CUST00000394,2026-05-01 12:48:49,Pickup,STR0002,Delivered,Web,2026-05-01,Health & Beauty,Cosmetics,Freshway,6.92,15.45,13.45,6.92,6.529999999999999
OL0000000099,WEB00000034,1,SKU0000433,1.0,814.73,0.0,Picked,True,CUST00001573,2026-04-18 16:12:02,Delivery,STR0014,Shipped,Web,2026-04-18,Office,School Supplies,Northpeak,351.39,814.73,814.73,351.39,463.34000000000003
OL0000000100,WEB00000034,2,SKU0000365,4.0,256.04,2.0,Shipped,True,CUST00001573,2026-04-18 16:12:02,Delivery,STR0014,Shipped,Web,2026-04-18,Electronics,Accessories,Freshway,111.25,1024.16,1022.1600000000001,445.0,577.1600000000001
OL0000000103,WEB00000034,5,SKU0000448,4.0,530.06,5.0,Cancelled,True,CUST00001573,2026-04-18 16:12:02,Delivery,STR0014,Shipped,Web,2026-04-18,Apparel,Women,Freshway,258.22,2120.24,2115.24,1032.88,1082.3599999999997
OL0000000104,WEB00000035,1,SKU0000475,2.0,150.21,2.0,Picked,True,CUST00000792,2026-04-01 23:42:18,Ship To Home,STR0023,Placed,Android,2026-04-01,Sports,Fitness,Healthyyou,68.87,300.42,298.42,137.74,160.68
OL0000000105,WEB00000035,2,SKU0000352,3.0,819.41,5.0,Allocated,True,CUST00000792,2026-04-01 23:42:18,Ship To Home,STR0023,Placed,Android,2026-04-01,Electronics,Computers,Greathome,361.58,2458.23,2453.23,1084.74,1368.49
OL0000000106,WEB00000035,3,SKU0000263,1.0,99.4,5.0,Cancelled,True,CUST00000792,2026-04-01 23:42:18,Ship To Home,STR0023,Placed,Android,2026-04-01,Office,Stationery,Freshway,46.66,99.4,94.4,46.66,47.74000000000001
OL0000000107,WEB00000036,1,SKU0000371,1.0,488.92,0.0,Cancelled,True,CUST00000563,2026-04-08 23:42:54,Delivery,STR0005,Delivered,Web,2026-04-08,Sports,Fitness,Techline,205.93,488.92,488.92,205.93,282.99
OL0000000110,WEB00000037,2,SKU0000281,4.0,780.39,2.0,Shipped,True,CUST00001773,2026-04-15 18:05:50,Ship To Home,STR0023,Ready,Ios,2026-04-15,Sports,Fitness,Northpeak,314.05,3121.56,3119.56,1256.2,1863.36
OL0000000111,WEB00000037,3,SKU0000168,3.0,635.65,0.0,Picked,True,CUST00001773,2026-04-15 18:05:50,Ship To Home,STR0023,Ready,Ios,2026-04-15,Automotive,Car Care,Greathome,292.27,1906.9499999999998,1906.9499999999998,876.81,1030.1399999999999
OL0000000112,WEB00000037,4,SKU0000218,4.0,388.94,0.0,Cancelled,True,CUST00001773,2026-04-15 18:05:50,Ship To Home,STR0023,Ready,Ios,2026-04-15,Automotive,Tires,Urbanbasics,336.59,1555.76,1555.76,1346.36,209.4000000000001
OL0000000113,WEB00000037,5,SKU0000005,3.0,129.56,0.0,Allocated,True,CUST00001773,2026-04-15 18:05:50,Ship To Home,STR0023,Ready,Ios,2026-04-15,Home,Storage,Urbanbasics,58.85,388.68,388.68,176.55,212.13
OL0000000114,WEB00000038,1,SKU0000419,4.0,30.1,0.0,Picked,True,CUST00001739,2026-05-13 21:53:43,Pickup,STR0006,Processing,Web,2026-05-13,Apparel,Women,Healthyyou,11.84,120.4,120.4,47.36,73.04
OL0000000115,WEB00000038,2,SKU0000308,2.0,497.51,0.0,Open,True,CUST00001739,2026-05-13 21:53:43,Pickup,STR0006,Processing,Web,2026-05-13,Apparel,Men,Northpeak,212.19,995.02,995.02,424.38,570.64
OL0000000116,WEB00000038,3,SKU0000497,4.0,88.01,1.0,Shipped,True,CUST00001739,2026-05-13 21:53:43,Pickup,STR0006,Processing,Web,2026-05-13,Grocery,Pantry,Urbanbasics,69.82,352.04,351.04,279.28,71.76000000000005
OL0000000117,WEB00000038,4,SKU0000263,1.0,99.4,0.0,Open,True,CUST00001739,2026-05-13 21:53:43,Pickup,STR0006,Processing,Web,2026-05-13,Office,Stationery,Freshway,46.66,99.4,99.4,46.66,52.74000000000001
OL0000000118,WEB00000038,5,SKU0000183,3.0,750.79,0.0,Cancelled,True,CUST00001739,2026-05-13 21:53:43,Pickup,STR0006,Processing,Web,2026-05-13,Health & Beauty,Cosmetics,Freshway,442.34,2252.37,2252.37,1327.02,925.3499999999999
OL0000000119,WEB00000039,1,SKU0000289,2.0,942.08,0.0,Shipped,True,CUST00000648,2026-04-19 05:02:53,Delivery,STR0001,Delivered,Ios,2026-04-19,Sports,Fitness,Healthyyou,406.88,1884.16,1884.16,813.76,1070.4
OL0000000120,WEB00000040,1,SKU0000255,1.0,483.13,0.0,Shipped,True,CUST00001256,2026-04-28 03:22:40,Delivery,STR0022,Ready,Android,2026-04-28,Sports,Fitness,Healthyyou,204.44,483.13,483.13,204.44,278.69
OL0000000121,WEB00000040,2,SKU0000421,1.0,311.41,0.0,Shipped,True,CUST00001256,2026-04-28 03:22:40,Delivery,STR0022,Ready,Android,2026-04-28,Office,Stationery,Techline,274.16,311.41,311.41,274.16,37.25
OL0000000124,WEB00000040,5,SKU0000356,3.0,327.8,0.0,Allocated,True,CUST00001256,2026-04-28 03:22:40,Delivery,STR0022,Ready,Android,2026-04-28,Office,School Supplies,Techline,200.54,983.4000000000001,983.4000000000001,601.62,381.7800000000001
OL0000000128,WEB00000042,1,SKU0000351,2.0,11.23,0.0,Picked,True,CUST00001252,2026-04-03 08:43:28,Pickup,STR0003,Delivered,Ios,2026-04-03,Sports,Cycling,Techline,8.91,22.46,22.46,17.82,4.640000000000001
OL0000000129,WEB00000042,2,SKU0000454,1.0,216.29,0.0,Open,True,CUST00001252,2026-04-03 08:43:28,Pickup,STR0003,Delivered,Ios,2026-04-03,Home,Decor,Techline,143.6,216.29,216.29,143.6,72.69
OL0000000131,WEB00000043,2,SKU0000348,4.0,465.11,5.0,Open,True,CUST00001669,2026-05-11 15:05:42,Ship To Home,STR0008,Delivered,Ios,2026-05-11,Apparel,Men,Techline,200.44,1860.44,1855.44,801.76,1053.68
OL0000000132,WEB00000043,3,SKU0000052,1.0,342.09,5.0,Open,True,CUST00001669,2026-05-11 15:05:42,Ship To Home,STR0008,Delivered,Ios,2026-05-11,Health & Beauty,Pharmacy,Freshway,196.43,342.09,337.09,196.43,140.65999999999997
OL0000000135,WEB00000044,3,SKU0000005,3.0,129.56,5.0,Cancelled,True,CUST00001071,2026-05-06 05:46:12,Delivery,STR0024,Processing,Android,2026-05-06,Home,Storage,Urbanbasics,58.85,388.68,383.68,176.55,207.13
OL0000000139,WEB00000045,3,SKU0000165,4.0,577.01,1.0,Open,True,CUST00001735,2026-04-28 22:02:03,Pickup,STR0021,Placed,Ios,2026-04-28,Grocery,Frozen,Valueplus,328.59,2308.04,2307.04,1314.36,992.6800000000001
OL0000000140,WEB00000045,4,SKU0000382,1.0,956.23,2.0,Shipped,True,CUST00001735,2026-04-28 22:02:03,Pickup,STR0021,Placed,Ios,2026-04-28,Automotive,Car Care,Freshway,356.17,956.23,954.23,356.17,598.06
OL0000000141,WEB00000046,1,SKU0000066,1.0,651.9,0.0,Open,True,CUST00000860,2026-04-30 13:04:37,Pickup,STR0014,Ready,Web,2026-04-30,Electronics,Audio,Urbanbasics,402.01,651.9,651.9,402.01,249.89
OL0000000143,WEB00000046,3,SKU0000210,1.0,129.37,2.0,Open,True,CUST00000860,2026-04-30 13:04:37,Pickup,STR0014,Ready,Web,2026-04-30,Home,Bedding,Healthyyou,97.44,129.37,127.37,97.44,29.930000000000007
OL0000000144,WEB00000047,1,SKU0000157,2.0,486.13,0.0,Picked,True,CUST00000696,2026-05-23 22:27:07,Delivery,STR0018,Delivered,Ios,2026-05-23,Electronics,Gaming,Greathome,411.15,972.26,972.26,822.3,149.96000000000004
OL0000000145,WEB00000048,1,SKU0000184,1.0,757.42,0.0,Allocated,True,CUST00001384,2026-05-03 21:40:59,Delivery,STR0010,Ready,Web,2026-05-03,Health & Beauty,Wellness,Valueplus,338.1,757.42,757.42,338.1,419.31999999999994
OL0000000146,WEB00000048,2,SKU0000567,4.0,15.45,5.0,Open,True,CUST00001384,2026-05-03 21:40:59,Delivery,STR0010,Ready,Web,2026-05-03,Health & Beauty,Cosmetics,Freshway,6.92,61.8,56.8,27.68,29.119999999999997
OL0000000147,WEB00000048,3,SKU0000357,2.0,808.29,0.0,Picked,True,CUST00001384,2026-05-03 21:40:59,Delivery,STR0010,Ready,Web,2026-05-03,Grocery,Pantry,Healthyyou,394.13,1616.58,1616.58,788.26,828.3199999999999
OL0000000148,WEB00000048,4,SKU0000006,4.0,732.82,0.0,Open,True,CUST00001384,2026-05-03 21:40:59,Delivery,STR0010,Ready,Web,2026-05-03,Office,School Supplies,Greathome,424.82,2931.28,2931.28,1699.28,1232.0000000000002
OL0000000152,WEB00000051,1,SKU0000055,1.0,63.35,5.0,Cancelled,True,CUST00001209,2026-05-05 04:18:05,Pickup,STR0012,Shipped,Ios,2026-05-05,Apparel,Shoes,Valueplus,31.3,63.35,58.35,31.3,27.05
OL0000000153,WEB00000052,1,SKU0000268,1.0,431.07,0.0,Shipped,True,CUST00000176,2026-05-10 01:11:49,Ship To Home,STR0003,Delivered,Android,2026-05-10,Apparel,Shoes,Techline,374.94,431.07,431.07,374.94,56.129999999999995
OL0000000154,WEB00000053,1,SKU0000209,1.0,331.76,2.0,Cancelled,True,CUST00001689,2026-04-25 20:38:57,Delivery,STR0019,Processing,Android,2026-04-25,Health & Beauty,Cosmetics,Healthyyou,198.43,331.76,329.76,198.43,131.32999999999998
OL0000000155,WEB00000053,2,SKU0000470,2.0,314.4,1.0,Allocated,True,CUST00001689,2026-04-25 20:38:57,Delivery,STR0019,Processing,Android,2026-04-25,Automotive,Car Care,Techline,229.94,628.8,627.8,459.88,167.91999999999996
OL0000000158,WEB00000054,3,SKU0000118,3.0,545.0,2.0,Shipped,True,CUST00001320,2026-05-22 10:44:55,Delivery,STR0015,Ready,Android,2026-05-22,Home,Kitchen,Northpeak,221.26,1635.0,1633.0,663.78,969.22
OL0000000159,WEB00000054,4,SKU0000242,4.0,12.72,0.0,Picked,True,CUST00001320,2026-05-22 10:44:55,Delivery,STR0015,Ready,Android,2026-05-22,Apparel,Women,Valueplus,4.84,50.88,50.88,19.36,31.520000000000003
OL0000000161,WEB00000055,1,SKU0000053,2.0,276.92,0.0,Open,True,CUST00001629,2026-04-25 00:00:27,Delivery,STR0001,Shipped,Android,2026-04-25,Grocery,Frozen,Northpeak,107.6,553.84,553.84,215.2,338.64000000000004
OL0000000163,WEB00000055,3,SKU0000085,4.0,372.2,1.0,Open,True,CUST00001629,2026-04-25 00:00:27,Delivery,STR0001,Shipped,Android,2026-04-25,Automotive,Accessories,Healthyyou,152.6,1488.8,1487.8,610.4,877.4
OL0000000170,WEB00000059,1,SKU0000362,2.0,580.18,0.0,Cancelled,True,CUST00001122,2026-04-06 03:36:33,Delivery,STR0002,Placed,Ios,2026-04-06,Office,School Supplies,Northpeak,255.42,1160.36,1160.36,510.84,649.52
OL0000000172,WEB00000059,3,SKU0000268,1.0,431.07,0.0,Open,True,CUST00001122,2026-04-06 03:36:33,Delivery,STR0002,Placed,Ios,2026-04-06,Apparel,Shoes,Techline,374.94,431.07,431.07,374.94,56.129999999999995
OL0000000173,WEB00000060,1,SKU0000483,4.0,117.0,5.0,Shipped,True,CUST00000264,2026-04-11 22:42:33,Ship To Home,STR0023,Ready,Web,2026-04-11,Apparel,Shoes,Northpeak,89.94,468.0,463.0,359.76,103.24000000000001
OL0000000174,WEB00000060,2,SKU0000039,4.0,132.22,0.0,Allocated,True,CUST00000264,2026-04-11 22:42:33,Ship To Home,STR0023,Ready,Web,2026-04-11,Electronics,Audio,Urbanbasics,83.24,528.88,528.88,332.96,195.92000000000002
OL0000000175,WEB00000061,1,SKU0000325,1.0,537.91,0.0,Open,True,CUST00001042,2026-04-16 08:42:48,Ship To Home,STR0023,Ready,Android,2026-04-16,Office,School Supplies,Healthyyou,248.11,537.91,537.91,248.11,289.79999999999995
OL0000000178,WEB00000062,3,SKU0000155,1.0,403.07,1.0,Picked,True,CUST00001698,2026-05-28 13:20:56,Ship To Home,STR0008,Ready,Web,2026-05-28,Health & Beauty,Personal Care,Greathome,336.34,403.07,402.07,336.34,65.73000000000002
