transaction_id,basket_sales,payment_amount,tender_count,difference,reconciliation_status
TXN000000187,3842.1800000000003,215.79,1.0,-3626.3900000000003,Mismatch
TXN000000190,3894.7999999999997,40.15,1.0,-3854.6499999999996,Mismatch
TXN000000196,4363.15,95.91,1.0,-4267.24,Mismatch
TXN000000200,3530.04,435.59,1.0,-3094.45,Mismatch
TXN000000201,988.23,151.12,1.0,-837.11,Mismatch
TXN000000205,510.89,0.0,0.0,-510.89,Mismatch
TXN000000206,1325.54,108.07,1.0,-1217.47,Mismatch
TXN000000208,9335.49,0.0,0.0,-9335.49,Mismatch
TXN000000210,2062.81,339.9,1.0,-1722.9099999999999,Mismatch
TXN000000217,3843.71,0.0,0.0,-3843.71,Mismatch
TXN000000219,188.44,0.0,0.0,-188.44,Mismatch
TXN000000226,2772.96,0.0,0.0,-2772.96,Mismatch
TXN000000228,1173.75,0.0,0.0,-1173.75,Mismatch
TXN000000230,3150.6000000000004,209.88,1.0,-2940.7200000000003,Mismatch
TXN000000231,2158.79,82.18,1.0,-2076.61,Mismatch
TXN000000232,1184.3600000000001,239.22,1.0,-945.1400000000001,Mismatch
TXN000000233,5311.37,0.0,0.0,-5311.37,Mismatch
TXN000000234,1953.15,0.0,0.0,-1953.15,Mismatch
TXN000000235,1349.1999999999998,18.65,1.0,-1330.5499999999997,Mismatch
TXN000000236,847.08,237.84,1.0,-609.24,Mismatch
TXN000000239,3505.7999999999997,49.57,1.0,-3456.2299999999996,Mismatch
TXN000000240,389.78,0.0,0.0,-389.78,Mismatch
TXN000000241,1904.5,465.31,1.0,-1439.19,Mismatch
TXN000000243,521.22,47.85,1.0,-473.37,Mismatch
TXN000000244,959.34,165.9,1.0,-793.44,Mismatch
TXN000000248,1111.9,354.91,1.0,-756.99,Mismatch
TXN000000249,1027.86,0.0,1.0,-1027.86,Mismatch
TXN000000250,1446.85,0.0,0.0,-1446.85,Mismatch
TXN000000252,1407.5900000000001,0.0,0.0,-1407.5900000000001,Mismatch
TXN000000258,2647.16,0.0,0.0,-2647.16,Mismatch
TXN000000260,3009.14,499.3,1.0,-2509.8399999999997,Mismatch
TXN000000262,2492.0699999999997,15.48,1.0,-2476.5899999999997,Mismatch
TXN000000264,43.0,0.0,0.0,-43.0,Mismatch
TXN000000265,2617.68,216.01,1.0,-2401.67,Mismatch
TXN000000268,1430.44,178.83,1.0,-1251.6100000000001,Mismatch
TXN000000269,121.75,381.54,1.0,259.79,Mismatch
TXN000000276,2951.23,0.0,0.0,-2951.23,Mismatch
TXN000000282,2367.34,0.0,0.0,-2367.34,Mismatch
TXN000000283,1585.22,0.0,0.0,-1585.22,Mismatch
TXN000000285,3935.8199999999997,0.0,0.0,-3935.8199999999997,Mismatch
TXN000000288,2948.86,0.0,0.0,-2948.86,Mismatch
TXN000000289,3030.84,0.0,0.0,-3030.84,Mismatch
TXN000000293,326.38,450.96,1.0,124.57999999999998,Mismatch
TXN000000294,1452.26,0.0,0.0,-1452.26,Mismatch
TXN000000299,16.99,0.0,0.0,-16.99,Mismatch
TXN000000305,264.64,0.0,0.0,-264.64,Mismatch
TXN000000306,3717.69,0.0,0.0,-3717.69,Mismatch
TXN000000310,2626.0,0.0,0.0,-2626.0,Mismatch
TXN000000312,2099.59,0.0,0.0,-2099.59,Mismatch
TXN000000314,4996.89,340.69,1.0,-4656.200000000001,Mismatch
TXN000000315,878.14,790.09,2.0,-88.04999999999995,Mismatch
TXN000000316,607.71,0.0,0.0,-607.71,Mismatch
TXN000000322,1986.64,63.65,1.0,-1922.99,Mismatch
TXN000000329,7379.58,0.0,0.0,-7379.58,Mismatch
TXN000000330,123.8,0.0,0.0,-123.8,Mismatch
TXN000000331,1185.4,195.56,1.0,-989.8400000000001,Mismatch
TXN000000332,3686.67,466.71,1.0,-3219.96,Mismatch
TXN000000333,4460.43,156.8,1.0,-4303.63,Mismatch
TXN000000334,1059.72,0.0,0.0,-1059.72,Mismatch
TXN000000336,2309.98,161.88,1.0,-2148.1,Mismatch
TXN000000338,1442.4,0.0,0.0,-1442.4,Mismatch
TXN000000339,2396.4,455.77,1.0,-1940.63,Mismatch
TXN000000344,1370.01,0.0,0.0,-1370.01,Mismatch
TXN000000345,1918.65,0.0,0.0,-1918.65,Mismatch
TXN000000347,150.5,344.59,1.0,194.08999999999997,Mismatch
TXN000000349,696.84,0.0,0.0,-696.84,Mismatch
TXN000000353,4201.95,497.84,1.0,-3704.1099999999997,Mismatch
TXN000000354,1250.06,0.0,0.0,-1250.06,Mismatch
TXN000000356,172.39,0.0,0.0,-172.39,Mismatch
TXN000000357,3525.1099999999997,65.09,1.0,-3460.0199999999995,Mismatch
TXN000000358,1246.76,389.73,1.0,-857.03,Mismatch
TXN000000360,2393.2799999999997,148.55,1.0,-2244.7299999999996,Mismatch
TXN000000362,1752.8,0.0,0.0,-1752.8,Mismatch
TXN000000364,6301.6,27.72,1.0,-6273.88,Mismatch
TXN000000367,1987.28,328.96,1.0,-1658.32,Mismatch
TXN000000368,3403.4799999999996,0.0,0.0,-3403.4799999999996,Mismatch
TXN000000369,2540.84,41.95,1.0,-2498.8900000000003,Mismatch
TXN000000371,4169.25,324.62,1.0,-3844.63,Mismatch
TXN000000373,6116.780000000001,0.0,0.0,-6116.780000000001,Mismatch
TXN000000377,249.88,0.0,0.0,-249.88,Mismatch
TXN000000378,2584.86,0.0,0.0,-2584.86,Mismatch
TXN000000379,187.0,436.28,1.0,249.27999999999997,Mismatch
TXN000000385,5161.08,296.91,1.0,-4864.17,Mismatch
TXN000000386,2385.7400000000002,0.0,0.0,-2385.7400000000002,Mismatch
TXN000000388,323.79,0.0,0.0,-323.79,Mismatch
TXN000000389,631.33,43.02,1.0,-588.3100000000001,Mismatch
TXN000000391,673.47,0.0,0.0,-673.47,Mismatch
TXN000000392,628.77,764.06,2.0,135.28999999999996,Mismatch
TXN000000393,131.26,208.86,1.0,77.60000000000002,Mismatch
TXN000000394,315.82,0.0,0.0,-315.82,Mismatch
TXN000000395,93.48,0.0,0.0,-93.48,Mismatch
TXN000000400,1040.29,0.0,0.0,-1040.29,Mismatch
TXN000000401,2397.6800000000003,0.0,0.0,-2397.6800000000003,Mismatch
TXN000000403,459.89,331.96,1.0,-127.93,Mismatch
TXN000000405,1038.64,409.62,1.0,-629.0200000000001,Mismatch
TXN000000406,8192.18,0.0,0.0,-8192.18,Mismatch
TXN000000410,274.58,10.18,1.0,-264.4,Mismatch
TXN000000411,921.3000000000001,352.56,1.0,-568.74,Mismatch
TXN000000415,1972.44,375.7,1.0,-1596.74,Mismatch
TXN000000419,1100.1399999999999,426.73,1.0,-673.4099999999999,Mismatch
TXN000000421,233.92,154.63,1.0,-79.28999999999999,Mismatch
TXN000000422,1523.81,176.88,1.0,-1346.9299999999998,Mismatch
TXN000000424,1486.6,106.43,1.0,-1380.1699999999998,Mismatch
TXN000000428,2547.66,227.11,1.0,-2320.5499999999997,Mismatch
TXN000000432,1379.1200000000001,317.5,1.0,-1061.6200000000001,Mismatch
TXN000000435,377.39,0.0,0.0,-377.39,Mismatch
TXN000000437,202.36,465.8,1.0,263.44,Mismatch
TXN000000438,1416.4299999999998,21.32,1.0,-1395.11,Mismatch
TXN000000441,1612.92,0.0,0.0,-1612.92,Mismatch
TXN000000442,3482.7799999999997,259.77,1.0,-3223.0099999999998,Mismatch
TXN000000447,1394.8100000000002,136.23,1.0,-1258.5800000000002,Mismatch
TXN000000449,3486.9,0.0,0.0,-3486.9,Mismatch
TXN000000450,4360.46,22.9,1.0,-4337.56,Mismatch
TXN000000454,1503.0,182.98,1.0,-1320.02,Mismatch
TXN000000455,7956.33,142.05,1.0,-7814.28,Mismatch
TXN000000457,952.75,492.49,1.0,-460.26,Mismatch
TXN000000458,4760.0,0.0,0.0,-4760.0,Mismatch
TXN000000463,178.9,359.82,1.0,180.92,Mismatch
TXN000000465,9750.849999999999,0.0,0.0,-9750.849999999999,Mismatch
TXN000000466,2699.2,314.42,1.0,-2384.7799999999997,Mismatch
TXN000000467,3593.1000000000004,99.01,1.0,-3494.09,Mismatch
TXN000000468,48.06,477.1,1.0,429.04,Mismatch
TXN000000473,4178.75,0.0,0.0,-4178.75,Mismatch
TXN000000476,469.09,0.0,0.0,-469.09,Mismatch
TXN000000479,34.52,0.0,0.0,-34.52,Mismatch
TXN000000482,2958.84,0.0,0.0,-2958.84,Mismatch
TXN000000484,777.64,460.46,1.0,-317.18,Mismatch
TXN000000486,2373.77,0.0,0.0,-2373.77,Mismatch
TXN000000487,320.68,0.0,0.0,-320.68,Mismatch
TXN000000490,1106.0500000000002,0.0,0.0,-1106.0500000000002,Mismatch
TXN000000492,595.5699999999999,231.82,1.0,-363.74999999999994,Mismatch
TXN000000493,3297.96,475.13,1.0,-2822.83,Mismatch
TXN000000495,2059.9,83.73,1.0,-1976.17,Mismatch
TXN000000501,966.6800000000001,392.18,1.0,-574.5,Mismatch
TXN000000502,1494.6399999999999,0.0,0.0,-1494.6399999999999,Mismatch
TXN000000510,5925.45,498.83,1.0,-5426.62,Mismatch
TXN000000511,2418.0699999999997,0.0,0.0,-2418.0699999999997,Mismatch
TXN000000513,2996.4700000000003,460.59,1.0,-2535.88,Mismatch
TXN000000517,1044.34,0.0,0.0,-1044.34,Mismatch
TXN000000518,2719.31,453.59,1.0,-2265.72,Mismatch
TXN000000520,1796.76,236.65,1.0,-1560.11,Mismatch
TXN000000521,438.3,24.35,1.0,-413.95,Mismatch
TXN000000522,367.09,414.52,1.0,47.43000000000001,Mismatch
TXN000000523,3719.35,0.0,0.0,-3719.35,Mismatch
TXN000000525,2484.1,0.0,0.0,-2484.1,Mismatch
TXN000000528,1393.1899999999998,113.16,1.0,-1280.0299999999997,Mismatch
TXN000000529,1311.58,0.0,0.0,-1311.58,Mismatch
TXN000000530,310.12,85.08,1.0,-225.04000000000002,Mismatch
TXN000000533,1591.45,18.63,1.0,-1572.82,Mismatch
TXN000000536,1067.55,195.31,1.0,-872.24,Mismatch
TXN000000537,1112.3300000000002,48.42,1.0,-1063.91,Mismatch
TXN000000541,833.99,0.0,0.0,-833.99,Mismatch
TXN000000543,2353.92,406.04,1.0,-1947.88,Mismatch
TXN000000544,1415.3600000000001,0.0,0.0,-1415.3600000000001,Mismatch
TXN000000545,1255.1100000000001,0.0,0.0,-1255.1100000000001,Mismatch
TXN000000548,866.52,356.27,1.0,-510.25,Mismatch
TXN000000549,397.78,0.0,0.0,-397.78,Mismatch
TXN000000553,2612.75,0.0,0.0,-2612.75,Mismatch
TXN000000561,1719.1399999999999,323.47,1.0,-1395.6699999999998,Mismatch
TXN000000562,5426.3099999999995,138.97,1.0,-5287.339999999999,Mismatch
TXN000000564,2949.96,0.0,0.0,-2949.96,Mismatch
TXN000000567,473.78,376.75,1.0,-97.02999999999997,Mismatch
TXN000000569,2181.91,78.45,1.0,-2103.46,Mismatch
TXN000000571,844.7900000000001,105.68,1.0,-739.1100000000001,Mismatch
TXN000000573,5490.53,0.0,0.0,-5490.53,Mismatch
TXN000000576,5249.84,160.6,1.0,-5089.24,Mismatch
TXN000000579,2952.9999999999995,475.61,1.0,-2477.3899999999994,Mismatch
TXN000000580,2028.38,0.0,0.0,-2028.38,Mismatch
TXN000000583,2442.16,0.0,0.0,-2442.16,Mismatch
TXN000000587,2785.1800000000003,480.88,1.0,-2304.3,Mismatch
TXN000000592,331.03,183.61,1.0,-147.41999999999996,Mismatch
TXN000000596,1575.79,172.46,1.0,-1403.33,Mismatch
TXN000000598,1087.8600000000001,0.0,0.0,-1087.8600000000001,Mismatch
TXN000000608,1729.48,290.3,1.0,-1439.18,Mismatch
TXN000000612,641.8,367.83,1.0,-273.96999999999997,Mismatch
TXN000000616,1665.2,392.88,1.0,-1272.3200000000002,Mismatch
TXN000000622,2979.6499999999996,71.15,1.0,-2908.4999999999995,Mismatch
TXN000000625,2461.68,0.0,0.0,-2461.68,Mismatch
TXN000000626,3837.6,0.0,0.0,-3837.6,Mismatch
TXN000000628,11.23,0.0,0.0,-11.23,Mismatch
TXN000000629,1749.4,369.63,1.0,-1379.77,Mismatch
TXN000000630,2651.84,260.62,1.0,-2391.2200000000003,Mismatch
TXN000000631,463.14,0.0,0.0,-463.14,Mismatch
TXN000000633,2223.59,0.0,0.0,-2223.59,Mismatch
TXN000000634,1706.1,0.0,0.0,-1706.1,Mismatch
TXN000000635,457.79999999999995,73.74,1.0,-384.05999999999995,Mismatch
TXN000000636,3410.7799999999997,374.36,1.0,-3036.4199999999996,Mismatch
TXN000000638,274.26,125.28,1.0,-148.98,Mismatch
TXN000000644,4023.9199999999996,224.08,1.0,-3799.8399999999997,Mismatch
TXN000000648,153.69,0.0,0.0,-153.69,Mismatch
TXN000000650,1208.62,325.43,1.0,-883.1899999999998,Mismatch
TXN000000651,2056.3199999999997,0.0,0.0,-2056.3199999999997,Mismatch
TXN000000652,3467.1,0.0,0.0,-3467.1,Mismatch
TXN000000653,2503.4700000000003,162.84,1.0,-2340.63,Mismatch
TXN000000654,3857.13,0.0,0.0,-3857.13,Mismatch
TXN000000655,6193.099999999999,31.44,1.0,-6161.66,Mismatch
TXN000000657,1471.38,0.0,0.0,-1471.38,Mismatch
TXN000000660,52.56,349.34,1.0,296.78,Mismatch
TXN000000661,3060.65,266.98,1.0,-2793.67,Mismatch
TXN000000667,485.13,474.42,1.0,-10.70999999999998,Mismatch
TXN000000672,911.9000000000001,462.64,1.0,-449.2600000000001,Mismatch
TXN000000673,4468.5599999999995,116.71,1.0,-4351.849999999999,Mismatch
TXN000000675,805.43,404.09,1.0,-401.34,Mismatch
TXN000000677,810.91,0.0,0.0,-810.91,Mismatch
TXN000000678,2235.7,0.0,0.0,-2235.7,Mismatch
TXN000000680,5965.07,431.29,1.0,-5533.78,Mismatch
TXN000000681,6993.66,419.9,1.0,-6573.76,Mismatch
TXN000000684,572.09,197.06,1.0,-375.03000000000003,Mismatch
TXN000000687,3257.92,315.1,1.0,-2942.82,Mismatch
TXN000000689,1676.9,317.47,1.0,-1359.43,Mismatch
TXN000000691,1792.96,296.96,1.0,-1496.0,Mismatch
TXN000000692,1445.6999999999998,0.0,0.0,-1445.6999999999998,Mismatch
TXN000000694,1065.26,221.0,1.0,-844.26,Mismatch
TXN000000699,2006.45,335.03,1.0,-1671.42,Mismatch
TXN000000700,2939.65,0.0,0.0,-2939.65,Mismatch
TXN000000701,1576.6100000000001,0.0,0.0,-1576.6100000000001,Mismatch
TXN000000703,429.14,0.0,0.0,-429.14,Mismatch
TXN000000706,4322.0199999999995,9.01,1.0,-4313.009999999999,Mismatch
TXN000000707,255.75,0.0,0.0,-255.75,Mismatch
TXN000000715,2178.2200000000003,263.5,1.0,-1914.7200000000003,Mismatch
TXN000000716,1094.34,67.89,1.0,-1026.4499999999998,Mismatch
TXN000000718,2754.3,0.0,0.0,-2754.3,Mismatch
TXN000000719,741.16,323.98,1.0,-417.17999999999995,Mismatch
TXN000000721,4259.98,322.62,1.0,-3937.3599999999997,Mismatch
TXN000000722,598.4499999999999,0.0,0.0,-598.4499999999999,Mismatch
TXN000000723,939.18,0.0,0.0,-939.18,Mismatch
TXN000000724,3822.82,248.42,1.0,-3574.4,Mismatch
TXN000000725,589.4000000000001,377.26,1.0,-212.1400000000001,Mismatch
TXN000000726,966.5600000000001,0.0,0.0,-966.5600000000001,Mismatch
TXN000000728,2314.52,202.74,1.0,-2111.7799999999997,Mismatch
TXN000000730,174.41,0.0,0.0,-174.41,Mismatch
TXN000000732,5026.36,0.0,0.0,-5026.36,Mismatch
TXN000000734,1854.02,0.0,0.0,-1854.02,Mismatch
TXN000000736,2451.3199999999997,0.0,0.0,-2451.3199999999997,Mismatch
TXN000000738,1069.09,0.0,0.0,-1069.09,Mismatch
TXN000000739,420.52,471.15,1.0,50.629999999999995,Mismatch
TXN000000743,1310.02,0.0,0.0,-1310.02,Mismatch
TXN000000745,927.26,0.0,0.0,-927.26,Mismatch
TXN000000746,6429.4800000000005,0.0,0.0,-6429.4800000000005,Mismatch
TXN000000747,4226.65,0.0,0.0,-4226.65,Mismatch
TXN000000749,1102.6,197.84,1.0,-904.7599999999999,Mismatch
TXN000000752,1885.75,0.0,0.0,-1885.75,Mismatch
TXN000000758,3390.05,373.79,1.0,-3016.26,Mismatch
TXN000000759,2049.98,57.75,1.0,-1992.23,Mismatch
TXN000000761,1213.05,621.25,2.0,-591.8,Mismatch
TXN000000766,547.76,474.74,1.0,-73.01999999999998,Mismatch
TXN000000767,2743.25,489.3,1.0,-2253.95,Mismatch
TXN000000773,1038.47,151.14,1.0,-887.33,Mismatch
TXN000000774,72.2,465.59,1.0,393.39,Mismatch
TXN000000780,3955.9300000000003,433.65,1.0,-3522.28,Mismatch
TXN000000781,2761.77,487.57,1.0,-2274.2,Mismatch
TXN000000782,1043.16,7.29,1.0,-1035.8700000000001,Mismatch
TXN000000785,434.22,270.81,1.0,-163.41000000000003,Mismatch
TXN000000788,6101.48,0.0,0.0,-6101.48,Mismatch
TXN000000791,2250.89,0.0,0.0,-2250.89,Mismatch
TXN000000793,482.15999999999997,203.59,1.0,-278.56999999999994,Mismatch
TXN000000796,6132.54,486.57,1.0,-5645.97,Mismatch
TXN000000797,3226.84,306.72,1.0,-2920.12,Mismatch
TXN000000798,2813.89,70.77,1.0,-2743.12,Mismatch
TXN000000802,3923.76,90.15,1.0,-3833.61,Mismatch
TXN000000803,4870.76,0.0,0.0,-4870.76,Mismatch
TXN000000804,3765.92,359.24,1.0,-3406.6800000000003,Mismatch
TXN000000806,2145.3,0.0,0.0,-2145.3,Mismatch
TXN000000808,1283.0,425.28,1.0,-857.72,Mismatch
TXN000000814,581.52,217.89,1.0,-363.63,Mismatch
TXN000000818,909.84,161.27,1.0,-748.57,Mismatch
TXN000000821,4141.68,0.0,0.0,-4141.68,Mismatch
TXN000000825,1032.57,154.47,1.0,-878.0999999999999,Mismatch
TXN000000827,452.59999999999997,404.21,1.0,-48.389999999999986,Mismatch
TXN000000831,1261.14,273.37,1.0,-987.7700000000001,Mismatch
TXN000000837,1890.6200000000001,115.12,1.0,-1775.5,Mismatch
TXN000000838,740.3,0.0,0.0,-740.3,Mismatch
TXN000000839,2542.4,0.0,0.0,-2542.4,Mismatch
TXN000000841,4404.07,260.02,1.0,-4144.049999999999,Mismatch
TXN000000842,3323.31,0.0,0.0,-3323.31,Mismatch
TXN000000845,4051.7299999999996,165.7,1.0,-3886.0299999999997,Mismatch
TXN000000846,1701.5700000000002,0.0,0.0,-1701.5700000000002,Mismatch
TXN000000848,482.08000000000004,474.53,1.0,-7.550000000000068,Mismatch
TXN000000849,573.34,159.59,1.0,-413.75,Mismatch
TXN000000852,3285.56,0.0,0.0,-3285.56,Mismatch
TXN000000853,2628.05,0.0,0.0,-2628.05,Mismatch
TXN000000854,2177.91,496.03,1.0,-1681.8799999999999,Mismatch
TXN000000856,873.3,402.14,1.0,-471.15999999999997,Mismatch
TXN000000857,2549.91,0.0,0.0,-2549.91,Mismatch
TXN000000860,1224.47,0.0,0.0,-1224.47,Mismatch
TXN000000864,4895.58,570.38,2.0,-4325.2,Mismatch
TXN000000865,1365.5,0.0,0.0,-1365.5,Mismatch
TXN000000867,3564.2,78.21,1.0,-3485.99,Mismatch
TXN000000869,943.16,0.0,0.0,-943.16,Mismatch
TXN000000871,1786.58,121.85,1.0,-1664.73,Mismatch
TXN000000873,949.14,0.0,0.0,-949.14,Mismatch
TXN000000875,7678.59,0.0,0.0,-7678.59,Mismatch
TXN000000878,4278.04,0.0,0.0,-4278.04,Mismatch
TXN000000879,4175.43,494.32,1.0,-3681.11,Mismatch
TXN000000880,104.56,271.73,1.0,167.17000000000002,Mismatch
TXN000000884,989.18,488.13,1.0,-501.04999999999995,Mismatch
TXN000000886,2754.99,0.0,0.0,-2754.99,Mismatch
TXN000000887,2765.39,0.0,0.0,-2765.39,Mismatch
TXN000000888,1420.6499999999999,0.0,0.0,-1420.6499999999999,Mismatch
TXN000000889,3163.8199999999997,256.62,1.0,-2907.2,Mismatch
TXN000000890,2911.59,13.81,1.0,-2897.78,Mismatch
TXN000000894,2935.9100000000003,422.22,1.0,-2513.6900000000005,Mismatch
TXN000000895,884.8,0.0,0.0,-884.8,Mismatch
TXN000000898,2916.26,283.57,1.0,-2632.69,Mismatch
TXN000000899,101.32,302.56,1.0,201.24,Mismatch
TXN000000901,5085.24,0.0,0.0,-5085.24,Mismatch
TXN000000902,892.78,109.32,1.0,-783.46,Mismatch
TXN000000903,6236.0,193.36,1.0,-6042.64,Mismatch
TXN000000904,308.19,0.0,0.0,-308.19,Mismatch
TXN000000906,1233.94,244.42,1.0,-989.5200000000001,Mismatch
TXN000000907,2691.95,478.73,1.0,-2213.22,Mismatch
TXN000000911,1279.44,0.0,0.0,-1279.44,Mismatch
TXN000000914,852.46,0.0,0.0,-852.46,Mismatch
TXN000000915,375.04,0.0,0.0,-375.04,Mismatch
TXN000000916,1411.26,0.0,0.0,-1411.26,Mismatch
TXN000000917,1851.7199999999998,377.87,1.0,-1473.85,Mismatch
TXN000000918,160.44,0.0,0.0,-160.44,Mismatch
TXN000000919,869.2,0.0,0.0,-869.2,Mismatch
TXN000000920,1321.74,0.0,0.0,-1321.74,Mismatch
TXN000000921,68.19,212.08,1.0,143.89000000000001,Mismatch
TXN000000925,1420.72,0.0,0.0,-1420.72,Mismatch
TXN000000926,1843.8600000000001,0.0,0.0,-1843.8600000000001,Mismatch
TXN000000927,4115.75,354.18,1.0,-3761.57,Mismatch
TXN000000931,1748.52,42.25,1.0,-1706.27,Mismatch
TXN000000932,2837.38,0.0,0.0,-2837.38,Mismatch
TXN000000936,3491.4900000000002,0.0,0.0,-3491.4900000000002,Mismatch
TXN000000941,2543.98,53.65,1.0,-2490.33,Mismatch
TXN000000942,2284.04,0.0,0.0,-2284.04,Mismatch
TXN000000943,6968.78,479.78,1.0,-6489.0,Mismatch
TXN000000947,1432.93,33.73,1.0,-1399.2,Mismatch
TXN000000952,4066.53,209.66,1.0,-3856.8700000000003,Mismatch
TXN000000955,1596.24,0.0,0.0,-1596.24,Mismatch
TXN000000959,1727.94,40.32,1.0,-1687.6200000000001,Mismatch
TXN000000964,1091.5,0.0,0.0,-1091.5,Mismatch
TXN000000967,2787.55,365.66,1.0,-2421.8900000000003,Mismatch
TXN000000969,2562.3,258.61,2.0,-2303.69,Mismatch
TXN000000973,1231.0800000000002,0.0,0.0,-1231.0800000000002,Mismatch
TXN000000974,5147.07,264.14,1.0,-4882.929999999999,Mismatch
TXN000000983,2741.68,65.71,1.0,-2675.97,Mismatch
TXN000000984,239.26,190.18,1.0,-49.079999999999984,Mismatch
