snapshot_date,store_id,product_id,on_hand_qty,reserved_qty,on_order_qty,reorder_point,safety_stock_qty,inventory_status,available_qty,valid_values,stockout_flag,low_stock_flag,overstock_flag
2026-05-01,STR0019,SKU0000151,0.0,0,140,30,20,Low,0.0,True,True,True,False
2026-05-01,STR0022,SKU0000125,17.0,17,37,50,20,Stockout,0.0,True,True,True,False
2026-05-01,STR0005,SKU0000017,37.0,37,92,50,5,Low,0.0,True,True,True,False
2026-05-01,STR0005,SKU0000053,2.0,2,110,10,20,Stockout,0.0,True,True,True,False
2026-05-01,STR0004,SKU0000202,0.0,0,178,50,5,Healthy,0.0,True,True,True,False
2026-05-01,STR0006,SKU0000220,2.0,2,7,20,10,Overstock,0.0,True,True,True,False
2026-05-01,STR0005,SKU0000276,21.0,21,114,20,10,Healthy,0.0,True,True,True,False
2026-05-01,STR0002,SKU0000112,6.0,6,58,20,5,Healthy,0.0,True,True,True,False
2026-05-01,STR0001,SKU0000339,16.0,16,41,30,5,Healthy,0.0,True,True,True,False
2026-05-01,STR0003,SKU0000287,14.0,14,68,10,30,Healthy,0.0,True,True,True,False
2026-05-01,STR0010,SKU0000297,5.0,5,117,50,20,Overstock,0.0,True,True,True,False
2026-05-01,STR0007,SKU0000443,17.0,17,36,30,10,Stockout,0.0,True,True,True,False
2026-05-15,STR0018,SKU0000245,20.0,20,138,30,20,Overstock,0.0,True,True,True,False
2026-05-15,STR0018,SKU0000500,2.0,2,97,30,20,Healthy,0.0,True,True,True,False
2026-05-15,STR0018,SKU0000143,5.0,5,90,75,30,Healthy,0.0,True,True,True,False
2026-05-15,STR0018,SKU0000010,12.0,12,190,50,20,Stockout,0.0,True,True,True,False
2026-05-15,STR0014,SKU0000243,11.0,11,95,75,30,Overstock,0.0,True,True,True,False
2026-05-15,STR0016,SKU0000035,1.0,1,21,10,5,Healthy,0.0,True,True,True,False
2026-05-15,STR0015,SKU0000453,14.0,14,107,20,20,Overstock,0.0,True,True,True,False
2026-05-15,STR0016,SKU0000242,50.0,50,175,50,20,Stockout,0.0,True,True,True,False
2026-05-15,STR0015,SKU0000079,21.0,21,193,30,5,Overstock,0.0,True,True,True,False
2026-05-15,STR0023,SKU0000289,34.0,34,79,50,5,Healthy,0.0,True,True,True,False
2026-05-15,STR0023,SKU0000049,1.0,1,14,50,5,Overstock,0.0,True,True,True,False
2026-05-15,STR0024,SKU0000385,3.0,3,196,50,5,Stockout,0.0,True,True,True,False
2026-05-15,STR0025,SKU0000551,1.0,1,69,10,30,Stockout,0.0,True,True,True,False
2026-05-15,STR0021,SKU0000221,2.0,2,157,30,5,Stockout,0.0,True,True,True,False
2026-05-15,STR0021,SKU0000105,2.0,2,51,20,5,Healthy,0.0,True,True,True,False
2026-05-15,STR0006,SKU0000573,2.0,2,140,75,30,Stockout,0.0,True,True,True,False
2026-05-15,STR0006,SKU0000552,12.0,12,30,75,30,Stockout,0.0,True,True,True,False
2026-05-15,STR0003,SKU0000529,17.0,17,122,50,10,Healthy,0.0,True,True,True,False
2026-05-15,STR0012,SKU0000280,3.0,3,20,10,5,Healthy,0.0,True,True,True,False
2026-05-15,STR0008,SKU0000468,0.0,0,71,50,10,Overstock,0.0,True,True,True,False
2026-05-15,STR0010,SKU0000471,7.0,7,30,50,30,Healthy,0.0,True,True,True,False
2026-05-15,STR0009,SKU0000147,40.0,40,163,20,20,Stockout,0.0,True,True,True,False
2026-05-31,STR0017,SKU0000495,0.0,0,63,20,5,Overstock,0.0,True,True,True,False
2026-05-31,STR0017,SKU0000031,0.0,0,126,10,5,Stockout,0.0,True,True,True,False
2026-05-31,STR0016,SKU0000404,4.0,4,159,30,30,Healthy,0.0,True,True,True,False
2026-05-31,STR0016,SKU0000551,0.0,0,113,50,20,Overstock,0.0,True,True,True,False
2026-05-31,STR0017,SKU0000542,0.0,0,12,10,10,Overstock,0.0,True,True,True,False
2026-05-31,STR0019,SKU0000301,0.0,0,47,50,10,Healthy,0.0,True,True,True,False
2026-05-31,STR0018,SKU0000416,58.0,58,143,10,5,Stockout,0.0,True,True,True,False
2026-05-31,STR0018,SKU0000139,23.0,23,112,50,10,Healthy,0.0,True,True,True,False
2026-05-31,STR0018,SKU0000403,18.0,18,92,50,20,Healthy,0.0,True,True,True,False
2026-05-31,STR0015,SKU0000290,1.0,1,184,50,10,Low,0.0,True,True,True,False
2026-05-31,STR0016,SKU0000526,3.0,3,183,10,10,Healthy,0.0,True,True,True,False
2026-05-31,STR0023,SKU0000575,13.0,13,104,20,5,Low,0.0,True,True,True,False
2026-05-31,STR0022,SKU0000577,12.0,12,154,50,20,Low,0.0,True,True,True,False
2026-05-31,STR0025,SKU0000063,0.0,0,79,20,30,Low,0.0,True,True,True,False
2026-05-31,STR0025,SKU0000488,18.0,18,15,50,20,Healthy,0.0,True,True,True,False
2026-05-31,STR0025,SKU0000176,19.0,19,152,10,30,Low,0.0,True,True,True,False
2026-05-31,STR0020,SKU0000488,0.0,0,88,50,30,Healthy,0.0,True,True,True,False
2026-05-31,STR0021,SKU0000352,5.0,5,44,10,5,Overstock,0.0,True,True,True,False
2026-05-31,STR0020,SKU0000025,2.0,2,63,20,5,Healthy,0.0,True,True,True,False
2026-05-31,STR0019,SKU0000085,1.0,1,169,20,10,Healthy,0.0,True,True,True,False
2026-05-31,STR0020,SKU0000134,0.0,0,73,20,20,Stockout,0.0,True,True,True,False
2026-05-31,STR0020,SKU0000036,29.0,29,51,20,30,Stockout,0.0,True,True,True,False
2026-05-31,STR0020,SKU0000144,3.0,3,86,75,5,Overstock,0.0,True,True,True,False
2026-05-31,STR0022,SKU0000332,5.0,5,151,30,30,Overstock,0.0,True,True,True,False
2026-05-31,STR0022,SKU0000397,1.0,1,138,50,10,Low,0.0,True,True,True,False
2026-05-31,STR0022,SKU0000139,0.0,0,155,75,30,Healthy,0.0,True,True,True,False
2026-05-31,STR0022,SKU0000439,4.0,4,64,50,10,Healthy,0.0,True,True,True,False
2026-05-31,STR0021,SKU0000551,0.0,0,99,30,20,Overstock,0.0,True,True,True,False
2026-05-31,STR0005,SKU0000380,2.0,2,49,75,5,Stockout,0.0,True,True,True,False
2026-05-31,STR0005,SKU0000482,3.0,3,78,75,5,Healthy,0.0,True,True,True,False
2026-05-31,STR0006,SKU0000524,15.0,15,139,20,30,Stockout,0.0,True,True,True,False
2026-05-31,STR0005,SKU0000275,24.0,24,154,20,30,Healthy,0.0,True,True,True,False
2026-05-31,STR0006,SKU0000538,0.0,0,62,75,20,Healthy,0.0,True,True,True,False
2026-05-31,STR0002,SKU0000322,4.0,4,194,20,5,Stockout,0.0,True,True,True,False
2026-05-31,STR0001,SKU0000087,4.0,4,52,30,20,Overstock,0.0,True,True,True,False
2026-05-31,STR0002,SKU0000004,53.0,53,49,20,20,Stockout,0.0,True,True,True,False
2026-05-31,STR0003,SKU0000484,10.0,10,85,50,10,Overstock,0.0,True,True,True,False
2026-05-31,STR0003,SKU0000149,53.0,53,173,10,5,Low,0.0,True,True,True,False
2026-05-31,STR0011,SKU0000166,7.0,7,28,30,30,Healthy,0.0,True,True,True,False
2026-05-31,STR0011,SKU0000378,1.0,1,197,20,20,Overstock,0.0,True,True,True,False
2026-05-31,STR0010,SKU0000019,2.0,2,143,75,20,Overstock,0.0,True,True,True,False
2026-05-31,STR0011,SKU0000570,0.0,0,40,20,30,Overstock,0.0,True,True,True,False
2026-05-31,STR0012,SKU0000531,8.0,8,120,10,20,Overstock,0.0,True,True,True,False
2026-05-31,STR0012,SKU0000133,1.0,1,102,50,5,Overstock,0.0,True,True,True,False
2026-05-31,STR0008,SKU0000139,14.0,14,160,50,30,Healthy,0.0,True,True,True,False
2026-05-31,STR0008,SKU0000269,10.0,10,127,75,10,Stockout,0.0,True,True,True,False
2026-05-31,STR0008,SKU0000546,8.0,8,10,30,10,Low,0.0,True,True,True,False
2026-05-31,STR0008,SKU0000506,0.0,0,92,75,10,Healthy,0.0,True,True,True,False
2026-05-31,STR0007,SKU0000122,1.0,1,192,10,5,Overstock,0.0,True,True,True,False
2026-05-31,STR0007,SKU0000398,7.0,7,159,30,5,Stockout,0.0,True,True,True,False
2026-05-31,STR0008,SKU0000275,0.0,0,10,20,30,Stockout,0.0,True,True,True,False
2026-05-31,STR0009,SKU0000359,7.0,7,54,20,5,Low,0.0,True,True,True,False
2026-05-31,STR0009,SKU0000203,0.0,0,85,10,30,Low,0.0,True,True,True,False
