supplier_id,supplier_name,country,supplier_tier,lead_time_days,on_time_rate,defect_rate,active_flag
SUP00067,Global Supply 67,USA,Preferred,7.0,0.9017,0.045,True
SUP00068,North Supply 68,USA,Strategic,14.0,0.7017,0.0014,True
SUP00069,Value Supply 69,IND,Backup,,0.7754,0.0704,False
SUP00070,North Supply 70,MEX,Backup,,0.8383,0.0059,True
SUP00071,North Supply 71,IND,Strategic,21.0,0.8319,0.0161,True
SUP00072,Value Supply 72,USA,Strategic,7.0,0.7196,0.0459,True
SUP00073,Summit Supply 73,USA,Preferred,,0.9472,0.0287,True
SUP00074,Summit Supply 74,VNM,Preferred,5.0,0.8975,0.0651,False
SUP00075,Value Supply 75,CAN,Preferred,3.0,0.73,0.0095,True
SUP00076,Evergreen Supply 76,USA,Strategic,,0.8336,0.0073,True
SUP00077,Evergreen Supply 77,USA,Standard,7.0,0.9771,0.0471,True
SUP00078,Summit Supply 78,USA,Backup,3.0,0.751,0.0732,False
SUP00079,Global Supply 79,USA,Backup,7.0,0.9127,0.0134,False
SUP00080,Summit Supply 80,USA,Standard,5.0,0.7056,0.0359,True
